Data da opinião,Nota,Título,Conteúdo
25 de dez.,5,.,"Ótimo atendimento, super atenciosos, muito aconchegante. Quarto limpo, café bem servido e localização excelente, bem no centro. Chuveiro aquece bem. Época do natal estava enfeitado com luzes. Enfim, aprovado!!!"
24 de dez.,5,Experiência unica,"Magnífico. Indescritível! Equipe super acolhedora. Excelente localização. Acomodação e atendimento personalizados! Fomos embora já querendo voltar! Café da manhã personalizado, saboroso, apresentação única, hotel charmoso"
16 de dez.,5,Adorei’,"Gostei, ambiente agradável! O que me incomodou foi o fato de não ter nada de identificação na porta para limpeza do quarto. Toda vezes que saíamos alguém entrava e limpava.. isso me incomodou um pouco, pois muita das vezes não queria que limpassem… ainda mais várias vezes ao dia! O café também é um pouco diferente, não fica exposto para escolhermos e sim um funcionário trás alguns itens até sua mesa! Fora isso não tenho o que reclamar! Funcionários educados e atenciosos!"
8 de dez.,5,"Um hotel maravilhoso, no coração de Gramado!","Hotel excelente, no centrinho de Gramado, a um passo dos principais restaurantes e lojas da cidade. Suíte aconchegante, perfumada, limpeza impecável. Fomos recebidos com muita simpatia, nos sentimos muito à vontade. A equipe é eficiente, muito acolhedora, sempre pronta a nos oferecer o melhor. O café da manhã é inesquecível, a cada dia uma experiência nova, sabores que surpreendem! Tudo com um toque de beleza e excelência. Nossos parabéns a essa equipe maravilhosa!"
nov. de 2022,5,"Ótima estadia , hotel em uma ótima localização, atendimento nota 10. Café da manhã maravilhoso . Experiência maravilhosa","Ótima experiência, hotel bem localizado, perto de restaurantes e lojas , quarto maravilhoso , atendimento dos funcionários nota 10 , café da manhã muito bom , estacionamento privativo , enfim foi uma experiência muito boa , adorei muito o hotel."
nov. de 2022,5,Tudo muito bom,"A equipe de camareiras é a mais rápida e eficiente que já vi. A localização do hotel é privilegiada, não da 50m da rua coberta. O café da manhã é muito completo, geralmente você só vai ter fome umas 6h depois."
nov. de 2022,5,"Local excelente, estratégico pasta quem quer deixar o carro e fazer tudo caminhando. Atendimento exclusivo. Café da manhã na me",Exatamente o que esperávamos para celebrar no 34 aniversário de casados.  Todo super limpo e aromatizado com mimos delicados e sistema de automação perfeito para os leigos no assunto.  O serviço de camareiras é impecável deixando tudo pronto para a noite
nov. de 2022,5,Excelente hotel para casais.,"Excelente localização e atendimento. Hotel muito aconchegante com ótimo café da manhã. Como era uma data especial para nós, o hotel teve todo carinho e preocupação com cada detalhe. Desde a chegada, até no dia a dia, quando voltamos para o hotel havia uma surpresa."
nov. de 2022,5,Surpreendente,Tivemos uma grata surpresa no hotel. A cortesia dos funcionários surpreende. Tivemos uma ótima recepção com um quarto todo preparado com mimos e decoração que nos deixaram muito felizes. Da recepção às camareiras o atendimento é ótimo. O café da manhã é tipo menu com variedade e qualidade que impressionam. Definitivamente recomendamos o hotel para casais que querem viver uma ótima experiência em Gramado.
nov. de 2022,5,Quarto,"Um atendimento excelente!!!!!!!!! Quarto maravilhoso!! !!!!Melhor café da manhã!!!!!!!!! Muito atenciosos com os hóspedes!!!!! Nos receberam muito bem, conseguimos aproveitar bastante do hotel e da cidade!!! Ótima localização!!!!"
