Data da opinião,Nota,Título,Conteúdo
5 de dez.,5,Atendimento e limpeza impecáveis,"Gabi, carlos, Arthur, Marcelo e Rafael nos atenderam de forma personalisada sempre com sorriso e boas dicas. A acomodacao do quarto 08 era grande com cama muito confortavel, banheiro espaçoso l. Arrumacao do quarto era feita a cada vez q nós saíamos do quarto e deixava tudo arrumado. Café da manha com fartura e qualidade, pois fazem quase tudo aqui no hotel"
4 de dez.,5,Hostel Britânico,"Estadia excelente, qualidade das suítes e com um café da manhã incrível, funcionários muito educados e simpáticos.  Ótima localização, próximo ao centro e em uma rua bem tranquila.  Com certeza voltaremos."
nov. de 2022,5,Recomendo,Td perfeito! Super recomendo! Tds atenciosos e prestativos! Café da manhã delicioso! Quartos amplos e modernos! Td novo e bem limpo! Excelente custo x beneficio! Voltarei em breve com certezas! Além de tudo impecável ainda recebemosx mimo delicioso todas as noites para fechar o dia com chave de ouro. Muito amor e carinho em todos os detalhes!
nov. de 2022,5,Repetiria muitas vezes,"O conforto do dormitório, a decoração, o atendimento dos colaboradores e o café da manhã, tudo incrível. Difícil algo negativo para apontar, único ponto mas que não me incomodou, foi um pouco de barulho da avenida que fica perto do hotel."
nov. de 2022,5,"Local aconchegante, bem localizado me senti em casa.","Quarto aconchegante, roupas de camas limpas e cheirosas. Banheiro muito limpo, tamanho ótimo. Local silencioso. Biscoitos e frutas de mimo. Tudo perfeito. Café da manhã delicioso, com muitas opções. Muito atenciosos. Adorei"
nov. de 2022,5,Simplesmente nota 10!,"Atendimento, limpeza, café da manhã, acomodações, decoração, achei tudo muito legal! Fica em uma rua tranquila e está próximo ao centro de gramado. Super indico e voltarei! Café da manhã suuuper gostoso!"
nov. de 2022,5,Hotel ótimo,"O hotel é super aconchegante, com funcionários super solícitos e cama super confortável!  O café da manhã é bom e o pessoal prepara algumas coisas antes do horário do café caso o hóspede tenha passeio cedo.  A localização também é ótima! Super recomendo"
nov. de 2022,5,Avaliação Britânico,"Excelente hotel, atendimento de primeira qualidade, inclusive dos funcionários.  Vale ressaltar também a qualidade do café da manhã, sempre com muita variedade.  A limpeza dos quartos esteve sempre impecável."
nov. de 2022,5,Super satisfeita,"Tudo maravilhoso,organizacão,limpezaatendimento nota 10, pessoal muito atenciosos e simpáticos,ambiente aconchegante e muito agradável,eu indico de olhos fechados,voltaremos muito em breve,obrigada por tudo."
nov. de 2022,5,Indicação do Hostel,Gostei muito do Hostel . Pessoal e equipe de funcionários muito simpáticos ótimo café da manhã e boa localização. Quando eu voltar a Gramado ficaria no mesmo Hostel ja que tudo correu da melhor forma possível. Tem um museu muito interessante em frente e os pontos turísticos são muito próximos de carro e alguns possível se fazer a pé.
nov. de 2022,5,Experiência incrível,"Encontrei o aconchego que eu desejava…. Chegamos de uma longa viagem, eu e meus dois filhos de 11 e 8 anos, pegamos uma frente fria onde a minima era de 4 e máxima de 12 gruas, fomos recebidos com um chocolate quente logo na entrada.  O hotel já com árvore de natal montada e lareira acesa, um sofá, parecia a sala de uma casa, muito acolhedora… No quarto chocolates com mensagem de boas vindas….tudo muito limpo e novo.  Camas e roupas de cama muito bons, banho maravilhosa, com pressão e bem quentinho…  Máquina de café/chá no apartamento, pago, mas preço justo.  Eles não tem restaurante, mas comermos a pizza deles, caseira deliciosa, eles também servem vinhos, os preços de tudo super justo, não me senti explorada.  O café da manhã…. Divino!!! Pães, bolos… muito variados e fresquinhos. A equipe da recepção sempre muito educada e atenciosa  Localização muito boa, quarto de bom tamanho.  Meus filhos se sentiram em casa, com muito conforto e mimo. Além da limpeza diária, uma pessoa da equipe passava no apartamento no final do dia e ainda dava uma arrumada, lava copes, xícaras usados.  Ficaria lá novamente COM CERTEZA!"
set. de 2022,5,Tudo que você precisa para ser feliz em Gramado.,"Simplesmente espetacular o atendimento dos funcionários. O hotel é pequeno, mas muito limpo, bem cuidado, funcionários super atenciosos. Muito bem localizado.    Esse hotel, apesar de pequeno, consegue superar as grandes redes de hotel. Com certeza meu hotel em Gramado."
set. de 2022,5,Gramado 2022,"Tudo perfeito , estrutura , localização e principalmente a cordialidade , simpatia e disposição da equipe em fazer com que nossa experiência fosse a melhor possível ! Fomos super bem recebidos antes mesmo de chegar ao hotel através de mensagens que antecederam nossa chegada, Saímos com vontade de ficar , retornaremos em 2023 ."
ago. de 2022,5,Estadia agradável,Passamos um noite no hotel em um final de semana de grande movimento em Gramado. Nos surpreendeu quanto a criatividade da proposta. Alternativa econômica com bom gosto e excelente e descolado atendimento.
ago. de 2022,5,Hotel e recepção incrível!,"Passamos 5 dias no hotel, e fomos extremamente bem recebidos e acomodados. Café da manhã sensacional, oque é o pãozinho deles? Maravilhoso! Pertinho do centro, e o lugar muito tranquilo. Quarto muito espaçoso e aconchegante, voltaremos!"
ago. de 2022,5,Hospedagem muito agradável,"Todos os funcionários são muito atenciosos, a decoração do local é muito linda, os quartos são muito espaçosos e bem decorados e tudo muito organizado, o café da manhã tem bastante opções bem gostosas, tudo muito agradável"
ago. de 2022,4,Boa estadia,"Hotel bem bonitinho, com características de um hostel, decoração bem bacana, recém reformado, limpeza ok, atendentes muito simpáticos, recomendo para pernoitar, café da manhã bom, cama e lençóis muito bons, toalhas podem melhorar, são pequenas."
jun. de 2022,5,Hospedagem de qualidade,"Adoramos a hospedagem. Toda a equipe do hostel é incrível. Muito atenciosos, gentis e deram dicas de passeios valiosas. O café da manhã sempre muito saboroso e o chocolate quente simplesmente maravilhoso. Tudo impecável."
jun. de 2022,5,Aconchegante e muito limpo,"Os quartos são muito limpos, o hotel é bem arrumado e decorado, adoramos o café da manhã, especialmente.  Ficamos apenas 3 noites ao todo, duas num quarto familiar, amplo e confortável, uma numa suite, mais ampla e com um banheiro bem espaçoso.  Recomendo."
jun. de 2022,5,"Lindo, aconchegante e ótimo atendimento!","Minha experiência de hospedagem no hostel foi super positiva do início ao fim. Fui extremamente bem atendida por todos os profissionais, desde o esclarecimento de dúvidas antes da minha chegada, o cuidado com o conforto durante a estadia, e a preocupação com minha experiência na saída. O ambiente do hostel é lindo e acolhedor, além de super aconchegante. Fiquei hospedada durante uma semana especialmente fria de junho, mas a temperatura no interior permaneceu agradável e confortável durante todo o tempo e em todos os cômodos (tomar uma taça de vinho em frente à lareira certamente ajuda e tem seu valor, mas não é obrigatório para se manter aquecido). O café da manhã também é excelente, com muitas opções de salgados, doces, bebidas, sendo muitas das coisas feitas na hora pela super competente e simpática equipe da cozinha - não deixe de provar os pães de fermentação natural e os cupcakes! Mesmo que compartilhados, os quartos fornecem privacidade e segurança, com armários, cortinas, e camas e cobertores confortáveis, além do ar condicionado que ajuda a passar pelas noites mais frias da serra gaúcha. Os banheiros também são muito limpos e organizados, e os chuveiros possuem ótima vazão de água e possibilidade de um banho bem quente para relaxar após um dia de passeio, trabalho ou estudos pela cidade. Fiquei encantada com o hostel, recomendo muito e certamente voltarei a me hospedar no Britânico Suítes."
jun. de 2022,5,"Um charme, maravilhoso!","Eu e meu esposo amamos a estadia. O Hotel é um charme em cada detalhe. A nossa suíte era muito confortável, banheiro novo, a ducha muito boa e forte. O café da manhã é um encanto a parte, muita variedade e tudo muito saboroso. Os cup cakes ganharam o meu coração! O atendimento é incrível, todos sem exceção. Recomendo, vale muito a pena o custo benefício e a qualidade da hospedagem."
mai. de 2022,5,Excelente,"Com toda certeza ter me hospedado no Hotel Britânico fez toda a diferença para que a minha viagem a Gramado fosse sensacional. Atendimento excelente, café da manhã de qualidade e limpeza impecável das instalações."
mai. de 2022,5,Maravilhoso,"Uma experiência muito boa pessoal extremamente cordial estrutura bacana ambiente extremamente limpo café da manhã maravilhoso, recomendo de olhos fechados, me senti em casa voltarei 🔄novamente sem dúvida⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐"
abr. de 2022,5,Lugar fantástico e muito aconchegante.,"Adoramos a hospedagem no hotel. Bem localizado, com um café da manha muito bom. Uma organização incrível na recepção e na limpeza dos quartos. Só tenho elogios a toda estrutura do hotel Britânico. Com certeza irei recomentar para outras pessoas."
abr. de 2022,5,Viagem Gramado e Canela,"A hospedagem foi sensacional. A organização do hotel, atendimento, café da manhã impecável! Lugar aconchegante, excelente localização! Custo benefício nota 10 ! Com certeza voltaremos e super indico! Amei!"
abr. de 2022,5,Excelente acomodações e atendimento do mais alto Nivel.,"Fomos super bem recepcionados, tudo que era pedido era atendido de forma imediata, café da manha excelente, fácil acesso, recomendo e me hospedaria novamente em detrimento a outros que já me hospedei em Gramado."
abr. de 2022,5,Maravilhoso!,"Nos amamos esse hotel! O ambiente é muito acolhedor, com funcionarios educados e atenciosos, bem localizado e uma comida maravilhosa!! A limpeza do hotel tb foi impecável.    Vale a pena conhecer. Fora que é uma graça a decoração.  Com certeza iremos voltar!"
abr. de 2022,5,Recomendo,"O pessoal do hotel é muito receptivo e atencioso. O quarto é muito gostoso e confortável, a cama e o chuveiro são maravilhosos. O café da manhã incrivel!  Muito bem localizado e próximo do centro.  Super recomendo!"
abr. de 2022,5,Estadia maravilhosa,"Fomos muito bem recebidos! O pessoal é muito receptivo. O hotel é bem localizado. Um uber para o centro custa menos de R$10,00. Os quartos são novos, limpos, camas confortáveis. Café da manhã maravilhoso. Wi-Fi funciona bem. Excelente custo benefício."
mar. de 2022,5,Um lugar para guardar no coração.,"Gramado é uma cidade especial, é como estar nos nossos sonhos mais bonitos. Ela é elegante, cheirosa, acolhedora, bonita em cada cantinho. Britânico Suites tem o mesmo espírito. A gente nem lembra que os colaboradores trabalham alí, eles tem sempre um sorriso no rosto e um gesto de atenção. Já me hospedei duas vezes e como diz a música, eu quero sempre mais."
mar. de 2022,5,SUÍTES MARAVILHOSAS,"Hotel muito bem localizado, suítes ótimas e amplas, com banheiros ótimos.  Limpeza impecável e café da manhã excelente.  Colaboradores super atenciosos e cada detalhe bem elaborado.  Estão em reformas e acredito que irá ficar ainda melhor."
