Data da opinião,Nota,Título,Conteúdo
25 de dez.,5,"Limpeza ,localização atenção dos colaboradores , café da manhã , tudo sensacional, estratégico, estacionamento","Perfeito , localização, Recepcao, limpeza, atenção de todos, café da manhã, super indico, foi uma experiência muito confortável, voltaremos com certeza sentir esse acolhimentos e satisfação em tudo. A localização é perfeita e privilegiada."
24 de dez.,4,"Ótima localização, segurança e limpeza","A localização é excelente, fui com a minha filha pequena, pudemos curtir as festividades de natal, até mais tarde e ir andando para o hotel em segurança pois o ambiente é tranquilo. Há um café junto ao hotel com música ao vivo em alguns dias, muito agradável. Os funcionários sempre gentis e educados, os quartos limpos com frequência."
23 de dez.,5,Hotel muito bom,"Hotel bem localizado, a 2min a pé da avenida principal. Não precisa de carro, não pega trânsito 👏🏼  Cafe da manhã farto, com muitas opções e horário até 10:30 ou 11h final de semana.  Funcionários bem preparados, solícitos e pro hotel, sua satisfação vem em primeiro lugar.  Quarto espaçoso, ficamos no da sacada, cama e chuveiro bons. Único detalhe é o travesseiro muito macio mas questao de gosto.  Nota 10!!"
23 de dez.,5,Excelente!,"O hotel oferece ótima estrutura, na melhor localização de Gramado, bem no centro, perto de tudo. Café da manhã, acomodações, limpeza e cordialidade de todos os funcionários são pontos altos! Recomendo"
23 de dez.,5,Excelente,"Tudo ótimo, bom atendimento, boas acomadaçōes, excelente café da manhã, excelente localização com acesso aos melhores locais da cidade a pé, tudo maravilhoso, atendimento nota 10, ótima academia com hidro"
22 de dez.,5,Excelente atendimento,"Ótima localização bem no centro, limpeza e recepção dos funcionários!! Impecável! O restaurante também é muito bom com muitos doces no café da manhã! Recomendo para todos que desejam conhecer gramado!"
21 de dez.,5,Muito bom,"Hotel muito bem localizado. Recepção excepcional, meu pai é cadeirante e eles fizeram tudo que foi solicitado com muito carinho e atenção ! O hotel é limpo, tem um ótimo serviço de quarto e um café da manhã bem completo ! Amei minha estadia"
20 de dez.,5,Gramado/RS. Um dos melhores passeios que já fizemos.,"Nós hospedamos no Laghetto pela segunda vez agora em dezembro/2022. Ótimo atendimento. Excelente atendimento, funcionários muito educados. Localização perfeita bem no centro coladinho na Rua Coberta onde encontramos muito restaurantes e muita diversão."
19 de dez.,5,Excelente localização e atendimento super simpático!,"Gostaria de elogiar o serviço e atendimento deste hotel que recebeu a minha família por 5 dias maravilhosos em Gramado.  Além da localização excelente, podendo fazer tudo a pé na região central da cidade, o hotel fornece um café da manhã completo e muito delicioso e um clima de atendimento muito solícito com os hóspedes .  Na nossa estadia, minha mãe fez aniversário e teve até surpresa no quarto com decoração de parabéns e ela não poderia ter ficado mais feliz."
15 de dez.,5,Hotel que recomendo para todos,"Atendimento perfeito, localização mais perfeita ainda. A ducha é incrível. Café da manhã com muitas variedades. Foi uma estadia sem stress. Vou voltar com certeza. E vou recomendar para toda a família"
15 de dez.,5,Super atenciosos,Atendimento super atencioso desde que chegamos no hotel. Fomos com o bebê e sem pedir nada eles providenciaram um berço e uma banheira no nosso quarto. Todos os funcionários muito educados e solícitos. O quarto era igual as foros do site. Café da manhã excelente.
12 de dez.,5,Amamos,"Ótima localização, funcionários super prestativos  Gostamos de estar perto da rua coberta e de ótimos restaurantes, o buffet de café da manhã super completo.  Nós sentimos seguros com o hotel e com a localização"
12 de dez.,5,Passeio de férias em Gramado,"Ambiente muito limpo, roupas de cama e toalhas de excelente qualidade, kit de higiene da Boticário, café da manhã maravilhoso, funcionários atenciosos sempre dispostos a ajudar, ótima localização com ótimos restaurantes próximos.  Recomendo"
11 de dez.,5,Excelente acomodação,"Localização, atendimento e conforto excelentes, vale muito a pena, café da manhã sortido, com frutas, pães e bolos, e pratos a lá Carte muito bons, estacionamento com manobristas atenciosos, recomento!"
9 de dez.,5,Hotel excelente,"Hotel excelente! Atendimento impecável, funcionários são super educados e prestativos. Café da manhã foi um dos melhores que já vimos em hotelaria, tudo novinho, limpinho! Serviço de quarto excelente também. Amamos!"
7 de dez.,5,Hotel Laghetto Stilo CENTRO,"Ótimas acomodações, camas largas e confortáveis, muito higiênico, excelente localização. Silencioso! Funcionários atenciosos e muito colaborativos. Recomendo. Voltarei certamente! Me senti em casa. Parabéns!"
6 de dez.,5,Espetacular,"Melhor hotel que fiquei em minhas últimas 3 viagens que fiz ! Estão de parabéns!!! Limpeza excelente, atendimento excepcional, camas super macia quarto cheiroso, café da manhã maravilhoso tem variedades de frutas Paes"
2 de dez.,5,Gramado NOV 2022,"Excelente recepção, clima ajudou bastante, belos passeios. Sobre o Hotel super receptivos, educados. Instalações muito boas, localização super privilegiada, perto de tudo. Com um café da manhã super charmoso."
nov. de 2022,5,Viagem marcante,"Tudo ótimo. Educação dos funcionários. Preços do atendimento do bar e restaurante. Roupa de cama excelente, no corredor ferro de passar muito bom. Tudo no hotel realmente muito bom. Foi uma experiência fBulosaa"
nov. de 2022,5,Dias incríveis.,"Excelente, tudo maravilhoso.  Atendimento da recepção todos educados e muito atencioso. Café da manhã ótimo. Voltarei com certeza.  Obrigada a todos pelo atendimento.  Gramado é um lugar incrível."
nov. de 2022,4,Excelente localização,"Ficamos agora no feriado prolongado de 15/11.    O hotel é muito bem localizado, fica bem no centro de Gramado e em alta temporada isso é uma grande vantagem, já que o trânsito no centro fica bem complicado e é mais difícil ainda estacionar o carro.    A limpeza é excelente, o café da manhã é bom, porém tenho duas observações:  - O hotel só tem 1 elevador, que é usado para serviço e pelos hóspedes. Dessa forma, o tempo de espera quando está movimentado é muito alto. Usamos mais as escadas (e isso é até bom para queimar calorias).  - O café da manhã é bom, mas o hotel estava muito cheio e além disso, é aberto para quem não está hospedado. Resultado: tem que esperar mesa ser liberada e limpa, muita fila no buffet. Achei bem estressante o café da manhã, por causa do grande movimento e pouco espaço.    Recomendo muito o hotel pela localização e limpeza, mas acho que quando está cheio, fica difícil usar o elevador e ter um café da manhã tranquilo. Em baixa temporada deve ser maravilhoso."
nov. de 2022,5,Avaliação do hotel,"Excelente hotel, voltaremos mais vezes muito bom atendimento, local limpo pessoal dedicado e prestativos  Excelentes acomodações  Café da manhã muito bom com comidas saborosas  Vou fazer uma divulgação para todos meus amigos"
