Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Férias em Granado,"Pousada extremamente aconchegante e bem cuidada. Alem de fofa. Café da manhã perfeito. Atendimento ímpar. A localização fez tda diferença. É sensacional, bem central sem ter barulho. Super indico. Voltarei com certeza!"
set. de 2022,5,Hospedagem maravilhosa,"Super indico. A pousada é extremamente aconchegante, tem tudo que alguém precisa em uma hospedagem e o atendimento é maravilhoso, artesanal mesmo. Todos os funcionários da pousada são muito atenciosos. Voltaria sempre."
ago. de 2022,5,Ótimo,"O atendimento foi ótimo, desde o WhatsApp para efetuar a reserva... as mulheres da cozinha cuidaram do nosso café da manhã com muito carinho, sem contar na simpatia delas! Os meninos da recepção todos muito queridos e atenciosos! Pousada muito aconchegante, limpa e super quentinha para os dias de frio que pegamos por lá... Um dos atendentes da recepção fez um chá especial pra mim devido eu estar com um leve resfriado e teve todo cuidado por eu ser gestante! Obrigada a todos."
jul. de 2022,5,Segunda hospedagem,"Segunda vez que nos hospedamos nesta pousada , e sempre muito bem atendidos . Os rapazes da recepção Felipe e Renato são muito organizados e sempre estão prontos pra ajudar . As senhoras do café e da limpeza tb são ótimas . Pousada bem limpinha e arrumada . Tudo ok . Fica muito bem localizada , vc consegue fazer tudo a pé no centro . Obs: única coisa a lamentar foi uma família hospedada extremamente barulhenta e sem noção , que atrapalhou um pouco a sempre ótima experiência de ficar nesta pousada ."
jul. de 2022,5,Aconchego,"É a segunda vez que me hospedo na pousada e cada vez que vou embora já da saudades. Muito aconchegante, café da manha maravilhoso e todos os funcionários são muito educados. O quarto é equipado com ferro de passar, chaleira e maquina de fazer cafe. Tem a facilidade de estar no centro e VC não depender de carro para passeios mais próximos e principais pontos turísticos."
jul. de 2022,5,"Pousada intimista, aconchegante e de excelente localização","Não gosto de lugar com muita aglomeração e nossa opção pela pousada foi para atender esse quesito e logicamente a localização, excelente por sinal, adoramos. Já começamos bem com o atendimento do recepcionista Renato. Cara nota 10, super atento, prestativo, educado, nota 10. Tratamos com o Felipe também idem para ele. As senhoras da cozinha uma paixão. Todo dia no café preparava ovo mexido sem queijo para minha esposa, só pedimos uma vez nos dias seguintes vinha a mesa e perguntava se podia trazer. Serviço super personalizado coisa que não conseguiríamos em hotel com muito hóspede. Por falar em café, frutas frescas e saborosas, nutela de verdade, iogurtes molico e activia e o necessário para um excelente café, tudo em pequenas porções com reposições logicamente e tudo…"
jul. de 2022,5,Charme e aconchego no coração de Gramado,"Muito bem localizado, na principal avenida de Gramado, mas sem o barulho do movimento local. Quartos aconchegantes, com cama super confortável e lençóis e cobertas de qualidade. Fiquei em quarto com varanda que dá vista para avenida. Café da manhã muito bom , com horário bem amplo Todos os funcionários muito atenciosos e solícitos, desde a recepção, arrumação e café. Em especial a atenção e simpatia do Felipe, que também dá ótimas dicas e faz tudo ficar perfeito na estadia. Ótima relação custo-benefício. Recomendo."
jun. de 2022,5,Excelente pousada!,"Boa localização, a poucos metros da rua coberta e da igreja de gramado, quartos confortáveis e aconchegantes e café da manhã muito bom. Agradecimento em especial ao Juliano pela recepção de primeira qualidade."
mai. de 2022,5,Excelente localização e um atendimento fora de série!,"Já perdi a conta de quantas vezes visito a pousada e é incrível como eles conseguem aprimorar seu atendimento! Fizeram uma reforma e contam com novos quartos maravilhosos. Mas particularmente sempre fico no mesmo quarto desde a primeira vez. A localização da pousada é excelente, o atendimento de toda a família Bella Terra é espetacular! O café da manhã é fora de série."
mai. de 2022,5,PERFEITA!!!!,Perfeita. Fomos recebidos da melhor forma Clima familiar. Não tivemos nenhum incômodo. Quarta muito confortável. Café da manhã incrível. Localização surreal. Parabéns a todos da pousada. Em especial ao Felipe e Renato pelo atendimento.
abr. de 2022,4,Continua muito bom,"Hospedei-me novamente no Bella Terra, super bem localizado, a pousada esta no centro de Gramado , mas é silenciosa , com estacionamento , pessoal gentil, bons quartos e a qualidade do atendimento sempre boa. Voltaremos."
abr. de 2022,5,Localização fantástica com atendimento personalizado!,"Uma experiência incrível! Estar no melhor de Gramado, literalmente a poucos passos da Rua Coberta (menos de 100m).    A chegada com o recepcionista já lhe dando as boas vindas chamando pelo seu nome é o prenúncio de uma ótima estadia.    Viemos para curtir a Lua de Mel em Gramado, a recepção foi ótima, contratei o serviço de decoração do quarto, que nos aguardava com uma espumante gelada (do tipo escolhido), deliciosas frutas frescas, uma caixa de chocolates (de Gramado obviamente) e a cama coberta por pétalas de rosas! A esposa ficou radiante!    O hotel/pousada é pequeno, com apenas 4 andares, o espaço para café da manhã com mesas pequenas e decoração intimista é mais bonito que nas fotos!  Já falei que as frutas são sempre frescas e deliciosas?  Geleias, ovos, café, pães, tudo uma delícia!  Não há aquela fartura de ""café colonial"" e nem precisa, pq nessa cidade uma coisa que você fará muito é comer bem!    A decoração da entrada tem ainda uma salinha com lareira e nos fundos um espaço de leitura.    Há também estacionamento gratuito, wi-fi, chuveiros ótimos, roupa de cama e banho de qualidade superior.    Resumindo, seja atraído pela localização e se encante com o atendimento!    Dica: Faça a reserva direto com o hotel e ganhe desconto em relação aos sites de reserva."
out. de 2021,5,Excelente pousada com localização privilegiada!,"A pousada é excelente e a localização não tem como ser melhor. A poucos metros da Rua coberta e perto de tudo que se precisa em Gramado. A pousada entrega um pouco mais do que promete, com acomodações perfeitas e muito limpas. Ótimo café da manhã e um atendimento impecável. Nota máxima para o Felipe, responsável pela recepção. Educação e competência em tudo que é solicitado. Parabéns ao Felipe e à direção da Pousada por escolher tão bem seus funcionários."
set. de 2021,5,Ótimo cuidado com o hóspede,"Fiz minha hospedagem de Lua de Mel nesta pousada (Em Novembro de 2019), o que mais me encantou além da localização foi o cuidado com o hóspede. Ganhamos um mimo super especial e até hoje me lembro com caarinho. O único ponto negativo é o fato de não possuir elevadores, fora isso tudo é ótimo. Comida, atençao dos funcionarios, limpeza. Pretendo voltar."
jul. de 2021,5,"Pousada fantástica, boa localização e justo custo benefício.","Pousada super aconchegante, quartos espaçosos e excelentes… A pousada possui uma ótima localização ( próximo ao centro, perto da rua coberta), funcionário atenciosos e educados, muito solícitos… Super indico !!! O único adendo : wife deixa a desejar, de resto ( café da manhã, quartos, limpeza, preocupação em relação a COVID) está tudo maravilhoso."
