Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Excelente,"Quarto excelente tudo muito limpo, localização ótima fica no centro de Florianópolis, perto de shopping, funcionários muito gentis. Café da manhã excelente, o hotel é muito bom. A experiência foi excelente."
uma avaliação Ontem,4,Boa opção em Florianópolis,"O hotel foi um achado para nós que não tínhamos planejado ir para Floripa. Via Booking for super tranquilo reservar os dois quartos.  Fomos muito bem recebidos pelo time de recepção.  Quarto atendeu nossa necessidade apesar de achar que a conservação estava um pouco abaixo do padrão da rede, mas não nos atrapalhou. Só o espaço do chuveiro que era quase impossível se mexer.  O café da manhã estava OK e a maioria do pessoal que nos atendeu foram simpáticos, mas teve uns dois de mal humor.  A localização é excelente, perto de muita coisa pra fazer a pé.  Principal ponto negativo eram os elevadores pois estava somente com um em funcionamento e por estar com alta ocupação, por vários momentos causou transtornos."
uma avaliação Ontem,3,Péssima experiência,"O site de vocês é bem ruim para orientar o cliente. Fiz reserva de um superior, para entrada no dia 27.12.22 entre 02:00h e 03:00h da madrugada. Ao preço aproximado de R$ 450,00 - no momento do check-in o recepcionista disse que a reserva NÃO existia para aquela data/horário. Mesmo sendo mostrado a confirmação da reserva. Aí veio com a conversa de ter que pagar a preço de balcão… R$ 730,00 - tremenda malandragem. Perderam um cliente que a anos dava preferência pra bandeira. Sejam mais atentos com o sistema ruim de reservas."
26 de dez.,5,Suite Júnior,"Experiência maravilhosaaa. Localização ótima com várias opções ao redor. Funcionários com pró atividade e bem educados. Café da manhã bem variado. Quartos confortáveis. Nossa cama era grande, com 4 travesseiros. Ar condicionado silencioso. Top."
15 de dez.,5,Hotel muito bem localizado. Conseguimos fazer reserva de última hora sem problema algum e de um quarto enorme. Café da m,Hotel muito bem localizado. Conseguimos fazer reserva de última hora sem problema algum e de um quarto enorme. Café da manhã gostoso. Funcionários muito solícitos. Restaurante muito gostoso e que vale a experiência. Facilitou muito uma viagem improvisada e valeu totalmente a viagem.
nov. de 2022,5,EXCELENTE HOTEL!,"Ficamos por 3 dias no hotel e nos sentimos muito bem acolhidos por todos os funcionários, o quarto era espaçoso com vista para o mar, a limpeza foi impecável, o café da manhã farto e cheio de opções. A localização é excelente, com bons restaurantes por perto, e fica em frente a um Shopping. Recomendamos demais o Blue Tree Premium Florianópolis."
nov. de 2022,5,Bodas de Pérolas,Ficamos 4 noites nesse hotel maravilhoso. Tudo muito limpo e organizado. Quarto impecável com grande espaço interior.  Uma experiência única e que ficará em nossas memórias. Perto de tudo e com a orla da praia para caminhadas.
out. de 2022,2,Não vale a pena,"Infelizmente este hotel foge à regra da rede. Começa pelo quarto que é muito pequeno, blackout na janela passa muita luz e o chuveiro que para esquentar tem que sair pouca água. Já não bastasse, as 06 da manhã o elevador começa a ser utilizado e no meu quarto parecia que estava lá dentro. Um barulho horrível e que parecia estar sem manutenção adequada. No me caso, não voltarei."
out. de 2022,3,Não é um hotel Premium como diz,"Não é um hotel Premium. Pedi vinho para tomar na piscina, não tinha simplesmente nenhum. Pela qualidade que se posicionam achei péssimo, descobri que nao se vende. A área de home office tem tomadas antigas e não oferecem adaptador. A piscina da cobertura é muito gelada e totalmente descoberta. O café é o mesmo todos os dias, nem uma cuca oferecem, bolo local. A lavanderia é terceirizada com prazos ruins. Estou hospedado por 10 dias e me arrependi. No mais, o óbvio funciona, como o atendimento das pessoas é excelente assim como o quarto e localização perfeita."
out. de 2022,5,"Somente a chuva que foi único empecilho, restante excelente.Muito boa foi a minha escolha para estar em Florianópolis !!","Ótima estadia confortável, bem  Localizado, atendimento impecável.  Café da manhã muito bom.  Serviço de quarto muito bom .  Ótimos funcionários sempre prontos para ajudar hóspedes.  Localização muito boa.  Custo benefício excelente.  Recomendo hotel."
out. de 2022,2,Insetos no quarto. Péssima manutenção,Encontramos uma BARATA no quarto. Havia limo ao redor das torneiras. O vaso sanitário estava entupido. O papel higiênico não foi reposto pela camareira. As cadeiras do restaurante tinham o assento sujo. A TV estava com defeito na tela.
out. de 2022,5,Tudo perfeito!,"Hospedagem perfeita. O hotel possui ótima localização e infraestrutura, suíte premium maravilhosa, todos os funcionários nos trataram de forma extremamente gentil e acolhedora. Nossa pet amou o kit que recebeu, acompanhado de uma cartinha personalizada de boas vindas."
set. de 2022,4,Bom para estadia rápida,"Hotel padrão , para ficar poucos dias. Nosso quarto era limpo, amplo, com vista para o mar.  Sono bom . Quarto bem escuro. Fiquei com receio de um bar em frente, mas não incomodou.  Cafe da manhã básico , mas resolve.  Tem estacionamento com valet , funciona bem .  Achei um pouco caro ."
ago. de 2022,4,Hotel confortável Beira Mar,"hotel com conforto, próximo de shopping, restaurantes, beira mar, caminhada, beach tênis próximos, academias, mercado, padaria. Deveria ter mais opções no café da manhã e reposição mais eficaz! No final atende expectativa"
ago. de 2022,3,Expectativa maior que realidade,Instalação com boa localização perto de shopping restaurantes a beira mar!  Café da manhã com pouca opção e demora no atender na reposição de alimentos! Faltou observar água na máquina café da repuxão para corredores antes 6:00h dia 27/7  Boa limpeza e agilidade recepção
ago. de 2022,5,Ótima opção em Floripa!,"Ótima localização e não simples shopping a área é muito agradável! Excelente serviço de manobristas “mesmo quando está um caos eles se esforçam para serem agradáveis e ágeis” a recepção foi rápida e simpática bem como todos os funcionários do hotel, o café da manhã foi bom e com produtos frescos. O apartamento que ficamos 1305 estava ótimo bem limpo e organizado e uma bela vista do mar! Recomendo e voltarei em breve!"
jul. de 2022,5,Muito Bem Localizado,"Para quem deseja aproveitar os restaurantes da Avenida Beira-mar norte e ainda, de quebra, estar ao lado de um shopping center de excelente padrão, com lojas de grifes conhecidas e também bons restaurantes, esse BLUE TREE é excelente. Bom quarto para família"
jul. de 2022,5,Equipe e Instalações impecáveis até com os Pets.,"Equipe atenciosa e simpática e as instalações e serviço impecável.  Todos sempre disponíveis, educados e simpáticos, além dos quartos estarem perfeitos.  Há uma atenção e kits que surpreenderam para os pets, sendo o carinho de todos foi fora do normal."
jun. de 2022,5,Excelente,"Uma grande experiência, um maravilhoso hotel, quartos modernos, tudo muito impecável. Atendimento nota 10, sem tirar o café da manhã que era bem farto. A localização fez toda diferença, só atravessar a calçada já estávamos no shopping Beira Mar. Recomendo!"
jun. de 2022,2,Hotel muito barulhento,"Nos disponibilizaram o quarto no 13º andar, ao lado da máquina do elevador. Terrível, não tem como dormir com o ruído do motor e as polias e cabo de aço... não recomendamos a ninguém a se instalar neste quarto. Pedimos para trocar e simplesmente disseram que não tinha outro disponível. Foi do tipo, se dane seus clientes trouxas, já pagaram mesmo..."
