Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,A negócios,"Excelente hotel Limpeza nota 10 Excelente atendimento na recepção no checkin e checkout O tamanho do quarto excelente O café da manhã excelente uma grande variedades e outros pratos feito na hora Bem localizado próximo à praia, pontões turísticos a igreja de boa viagem, restaurantes, supermercado, e ônibus"
out. de 2022,5,Impecável,"Para mim, um legítimo hotel 5 estrelas! O cuidado com os hóspedes é o maior diferencial deste hotel. As instalações são maravilhosas, modernas, confortáveis e com um design contemporâneo cheio de detalhes. Desde a nossa chegada ao Bugan, passando pelo check in até o momento do check out, toda a equipe foi extremamente solicita, simpática, preparada, cordial e educada. O quarto é muito confortável, bem iluminado, com ar condicionado moderno que percebe quando estamos no interior do quarto e mantém a temperatura ideal. Estava a nossa disposição uma cafeteira com cápsulas, chaleira elétrica com opções de chá, e uma água como cortesia. As roupas de cama, a arrumação da cama e os travesseiros, impecáveis! Adoramos o diferencial do travesseiro terapêutico aromatizado, pedi o de…"
24 de dez.,4,Viagem natal,"Cade da manhã, maravilhoso, com diversas variedades! Senti falta de uma tv smart no quarto, mas o quarto é muito confortável e grande, cama muito boa, água do chuveiro também muito bom! Recepcionista educada!"
22 de dez.,4,Estadia agradavel em Recife,"Os funcionarios do hotel sao excelentes e sempre dispostos a ajudar. Destaco a gentileza dos funcionarios Savio e Karina. A localizacao e boa, perto de restaurantes, lojas, aeroporto e praia. O hotel tem boa estrutura e os quartos sao de bom tamanho. Precisam fazer melhor manutencao - nosso apartamento precisava de pintura, havia manchas no piso e em alguns moveis. De modo geral, ficamos satisfeitos e esperamos voltar mais vezes."
21 de dez.,5,Um dos melhores hotéis em Recife!,"Quarto super confortável e aconchegante. Hotel muito bonito no geral, atendimento super cordial e atencioso, principalmente da Kayley no check-in e da Leanne no check-out. Café da manhã saboroso, com opções sazonais. Estive com minha namorada comemorando 2 anos de namoro e recebemos um lindo mimo, com uma cartinha! Obrigado por terem atendido minha solicitação com carinho ❤️"
20 de dez.,5,Excelente Hotel,"Excelente hotel, desde a infraestrutura ao atendimento, além de ter uma ótimo localização e próximo dos principais restaurantes, barzinhos. Café da manhã com muitas variedades de frutas, pães. Recomendado"
17 de dez.,5,Superou as expectativas,Excelente acomodação! Quarto amplo e limpeza impecável. Café da manhã atende as expectativas. Ótima localização com facilidade pra estacionamento. Equipe de funcionários muito educados e sempre solícitos a ajudar.
16 de dez.,3,Bugan hotel,"Gosto muito do hotelBugan, na minha última Estadia o quarto deixou a desejar. Porém recomendo pelo atendimento e acolhimento dos funcionários . Café da manhã perfeito! Serviço de garagem que também ajuda bastante"
16 de dez.,5,Hotel nota 10,"Adorei o hotel. As acomodações, limpeza, atendimento, localização. Quartos confortáveis, funcionários solícitos. Ótimo restaurante, café da manhã excelente. Toda equipe está de parabéns. A partir de agora toda vez que for para Recife Bugan será meu endereço."
14 de dez.,5,Hotel excelente,"Hotel aconchegante, funcionários prestativos e simpáticos. Quarto confortável, limpo e espaçoso. Café da manhã com muitas opções e comida gostosa. No geral, foi uma excelente experiência, recomendo demais."
14 de dez.,5,Tranquilo,"Excelente hospedagem para que está a trabalho. Prático e objetivo. Quarto confortável e café da manhã básico para um dia de trabalho. Ponto negativo é o banheiro com parede de vidro. Muito clean, porém Se vc divide quarto fica sem privacidade"
14 de dez.,1,JOGO DA COPA DO MUNDO,"O Sinal da TV é da NET é horrível, era dia de jogo da copa do mundo do Brasil, impossível assistir o jogo! Coloquem um sinal de TV de qualidade. O decodificador da net era um bem antigo, analógico mal dava pra ver os jogadores em campo! Muito ruim mesmo! O sinal é ruim em todos os canais e programas, precisa mudar o sistema de televisão!"
