Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,10,"Excelente hotel , boa localização, instalações modernas e café da manhã show, não gostei das opções de petiscos, são poucas. Dica: quem faz o pedido no quarto e realiza o pagamento guarde o comprovante, pois será cobrado na saida. Não dão baixa."
dez. de 2022,5,Réveillon,"Elogios a atendente e garçonete Carla Roberta, super atenciosa, gentil. Prestativa e desenvolvendo suas funções com sorrisos e presteza. Ressalto que a mesna atendeu durante o dia na puscinabe a noite no jantar com a mesma gentileza. Parabéns ."
dez. de 2022,4,Carla Roberta um exemplo de funcionária !,"Carla Roberta uma atendente nota milllll! Ficamos encantados com o seu atendimento. Nos atendeu alegre, educada, prestativa, simpática e eficientemente. Uma funcionária exemplar. Parabéns Carla você é TOP!!"
dez. de 2022,4,Carla MARAVILHOSA,"Atendimento da Carla roberta EXCELENTE!! Atenciosa, educada, simpático, prestativa, brincalhona uma atendente completa. Por mais funcionários assim na recepção principalmente que deixou a desejar. Carla é top demais!!"
dez. de 2022,5,Avaliação excelente,"Nota 5!!!!!!ótimo atendimento e presteza nos serviços, dedicação e ótima conduta perante os hóspedes, a funcionária está de parabéns !!!!!!!ambiente muito limpo e auxílio com bastante dedicação e cuidados com o ambiente perante os nos"
uma avaliação Ontem,5,10,"Excelente hotel , boa localização, instalações modernas e café da manhã show, não gostei das opções de petiscos, são poucas. Dica: quem faz o pedido no quarto e realiza o pagamento guarde o comprovante, pois será cobrado na saida. Não dão baixa."
dez. de 2022,5,Réveillon,"Elogios a atendente e garçonete Carla Roberta, super atenciosa, gentil. Prestativa e desenvolvendo suas funções com sorrisos e presteza. Ressalto que a mesna atendeu durante o dia na puscinabe a noite no jantar com a mesma gentileza. Parabéns ."
dez. de 2022,4,Carla Roberta um exemplo de funcionária !,"Carla Roberta uma atendente nota milllll! Ficamos encantados com o seu atendimento. Nos atendeu alegre, educada, prestativa, simpática e eficientemente. Uma funcionária exemplar. Parabéns Carla você é TOP!!"
dez. de 2022,4,Carla MARAVILHOSA,"Atendimento da Carla roberta EXCELENTE!! Atenciosa, educada, simpático, prestativa, brincalhona uma atendente completa. Por mais funcionários assim na recepção principalmente que deixou a desejar. Carla é top demais!!"
dez. de 2022,5,Avaliação excelente,"Nota 5!!!!!!ótimo atendimento e presteza nos serviços, dedicação e ótima conduta perante os hóspedes, a funcionária está de parabéns !!!!!!!ambiente muito limpo e auxílio com bastante dedicação e cuidados com o ambiente perante os nos"
dez. de 2022,5,Mar Hotel,"Melhor hotel de recife, todos os funcionários super gentis, Nelma, Carla e Gabriela fazem os melhores sanduíches e tapiocas, ewerton sempre muito educado.  Café da manhã muito variado, atendimento nota 10000."
dez. de 2022,5,Um atendimento de coração pra coração.,"Foi uma excelente experiência, os atendentes da recepção foram muito solícitos, garçons, serviço de quarto e arrumação sempre muito atenciosos. Ficamos encantados com o carinho de todos do café, e com certeza lembraremos das gostosuras preparadas pelas Gabi, Carla e Nelma, além da recepção da Janeide."
dez. de 2022,5,Como foi bom estar aqui e dividir com vcs minha alegria de Pernambucar,"A simpatia dos funcionários é sem igual, Janeide garçom do buffet e Juliana camareira ficarão na memória, quanto carinho e cuidado no que fazem, que sorrisos agradáveis. Parabéns meninas espero encontrar vcs mais vezes e quem sabe em uma função onde possam ensinar a equipe a ser como vcs. Dupla Ja x Ju"
dez. de 2022,5,Ótima experiência,"Quero deixar um elogio pra Janeide, foi uma fofa tanto no café da manhã quanto ao levar o room service. Sorridente e educada!! Por mais atendentes como ela. E o hotel em si é muito bom, completo, com área de piscina ótima também."
dez. de 2022,5,Hotel muito bom!,"Hotel limpo, com quartos bem organizados. Os funcionários são educados e prestativos. Café da manhã excelente, tapiocas maravilhosas e feitas na hora. Área de lazer organizado e limpo. Perto da orla de boa viagem, igrejinha que tem feirinha."
dez. de 2022,5,Viagem em família,"Recomendo a todos. Funcionários educados e atenciosos, café da manhã muito gostoso. Quarto sempre bem cuidado. As informações sobre a Internet são bem tranquilas de entender. Eu que me hospedei com um bebê achei que tem boas atividades pra bebês. Voltarei sempre que tiver oportunidade."
dez. de 2022,5,Profissionais educados! Nelma minha funcionária preferida!,O café da manhã é maravilhoso! A Nelma e a Gabi capricham na tapioca e no omelete! Todos os funcionários são extremamente educados. Já fico no mar hotel há alguns anos por conta do trabalho e é o meu preferido!
dez. de 2022,5,Perfeito!,"Ficamos 10 dias de férias no mar hotel,e o hotel é maravilhoso!todos os funcionários são agradáveis,café da manhã com muita variedade,qualquer necessidade,a assistência é rápida…com certeza voltaremos."
dez. de 2022,5,Surpreendido com a atenção dos funcionários,"Fiquei no hotel somente 1 noite, cheguei tarde mas fui surpreendido com a atenção dos funcionários desde o check in até o café da manhã. A senhora das tapiocas e o John que passa nas mesas servindo bolo e pão de queijo fizeram a diferença."
