Data da opinião,Nota,Título,Conteúdo
25 de dez.,5,Natal em recife,"O hotel é bom .o atendimento do restaurante é excelente, principalmente a atendente Dagma .ela pessoa pro ativa foi ela quem nos informou da ceia de Natal. Ela deveria ser promovida para o atendimento sempre com um sorriso no rosto ,muito prestativa. Nota dez."
20 de dez.,2,Decepção.,DECEPÇÃO. Sou cliente Accor e decepcionada com hotel. Box vazando ensopando a toalha de piso do banheiro. Banheiro com limo e mal cheiro. Hospedagem em 3 adultos e sempre duas toalhas disponíveis. Quarto barulhento. Café da manhã razoável. Ainda bem que minha hospedagem foi de dois dias somente. A única coisa boa foi o tamanho do quarto. No check-out a recepção nem me perguntou sobre a minha hospedagem. Talvez para não ouvir as reclamações. Não recomendo.
19 de dez.,1,Inacreditável um Grand Mercure neste estado. Inadmissível,"Quarto, banheiro e corredor de acesso sujos, cheios de infiltração, bolor sem manutenção, rastros de tinta de uma pintura feita sem nenhum capricho, equipamentos e mobílias sofríveis. Ar condicionado estragado, sem correção, isolamento das janelas péssimo. Quarto com muito barulho e cheiro de fritura da cozinha do hotel. Não aconselho a ninguém se hospedar neste Hotel."
4 de dez.,4,Um ds melhores do Recife mas menos Grand do que deveria,"Se, por um lado, segue sendo um dos melhores hotéis da cidade e um dos poucos com vista frontal pra praia, por outro lado, é muito frustrante voltar e ver os mesmos velhos problemas de sempre, sejam eles estruturais ou não. São todos muito solícitos e agradáveis, desde Reservas e passando pela Recepção, A&B e camareiras: esse e a praia são o melhor ativo do hotel! A reforma não termina nunca, quantos prazos já me foram dados para a finalização da recepção e seu retorno à Av. Boa Viagem, como era antes e como o Google Maps ainda mostra. Fora o fato de ela precisar ser sempre congelante, chega a ser desagradável mesmo passar por lá. A suíte lateral segue saltando aos olhos por ser tão confortável; entretanto, detalhes não tão irrelevantes que comprometem sua funcionalidade…"
nov. de 2022,4,Ótima opção de hospedagem em Recife,"um hotel enorme, na frente da Praia de Boa Viagem. O Grand Mercure tem muitos quartos e ampla área de lazer, com destaque para o espaçoso mezanino, com vista para a praia, piscina, bar, restaurante e muitas mesas e espreguiçadeiras. Os quartos são amplos e espaçosos, assim como o banheiro. Há também um bom isolamento acústico no interior dos quartos, o que evita barulhos durante a madrugada. O staff do hotel é atenciosos e bastante cordial e o serviço de mesa é impecável. Não foi à toa que fizemos muitas refeições no restaurante do mezanino, especialmente no jantar, durante os seis dias inteiros de hospedagem. O único ponto de atenção vai para o serviço de café da manhã, onde notamos certa demora na reposição dos itens. De resto, esse hotel é excelente."
nov. de 2022,1,Jamais poderia ser um Grand Mercure,"Ja fiquei nesse hotel ha alguns anos e era um bom hotel. Hoje o descuido e a falta de manutenção imperam no lugar. Hotel está velho, sujo, mal cuidado. Havia limo no piso, box e parede do banheiro, camas horriveis, porta que tinha uma ""greta"" onde se via o corredor. Enfim, tudo muito, MAS MUITO MESMO, mal cuidado e largado.  O café da manhã até tens alguns produtos OK, mas é uma bagunça generalizada.  Enfim, jamais poderia ser chamado de Grand qualquer coisa. Aliás, nem pra um Mercure normal serve.  Decepçao total para o custo que tem e um hotel frente mar.  ** fiquei hospedado em um apto frente mar, ou seja, os mais caros e teoricamente mais bem cuidados."
nov. de 2022,2,Grand Tapeação,"Recentemente estive por duas noites no Grand Mercure Boa Viagem Recife.    O apartamento que reservei era da categoria ""luxo"" e em nenhum momento me foi informado que os apartamentos situados do 15º ao 19ª andares haviam sido reformados e suas fotos eram as que apareciam na Internet.    Eu só vim a saber sobre os tais apartamentos reformados quando comentei com um funcionário sobre os problemas do apartamento 1222, onde fiquei. Ele então me contou sobre os reformados, do 15ª ao 19ª andar, estando os serviços de reforma paralisados nos andares inferiores.    Resultado: paguei por um apartamento de luxo e fui colocado num totalmente decadente (1222), com uma péssima cama, lençóis de qualidade inferior, móveis velhos e arranhados, ar condicionado que não esfriava nada, má iluminação, etc.    Estou fazendo essas críticas para alertar incautos a não caírem na roubada em que entrei ao reservar um apartamento de luxo totalmente inaceitável e cujas fotos na Internet não refletem a realidade.    Me parece má-fé do Hotel apresentar essas fotos que, obviamente, iludem as pessoas.    Péssima experiência....."
nov. de 2022,5,Atendimento perfeito,"Acomodações confortáveis (cama, travesseiro, roupa de cama). Funcionarios muito atenciosos e gentis, desde a recepção do café da manhã até o bar; destaque para o Alex, que nos atendeu nesses dois locais. Café da manhã farto, com itens habituais de um café colonial e itens regionais. Ficamos em um quarto com maravilhosa vista para o mar."
nov. de 2022,5,Vista incrível do mar,Era a primeira vez que eu me hospedava completamente de frente para o mar e tive uma experiência inesquecível! O quarto era enorme e o ar condicionado perfeito. A vista do mar era um espetáculo à parte. Cama com travesseiros super confortáveis e um café da manhã super diversificado! Recomendo d+!
nov. de 2022,4,Hotel muito bom!,"A localização do hotel é o ponto chave!  De resto, um hotel normal, sem nada em especial!  O ponto negativo vai para o chuveiro que demorava para esquentar, além da água sair por uns filetes, pois acredito que estava um pouco entupido!  Café da manhã normal também!"
