Data da opinião,Nota,Título,Conteúdo
nov. de 2022,2,Ruim,"O hotel em si não é tão velho, mas ficamos num quarto péssimo, apertado. Liguei na recepção para relatar e pedi para nos colocar num quarto mais amplo, éramos três pessoas e a recepção ficou de verificar a disponibilidade e estou esperando até agora. Poucos funcionários, muita espera para checkin e checkout. Enormes filas na recepção. Uma colega estava sozinha num quarto para três bem mais amplo que o nosso. Achei péssima a estadia. A nota é mesmo pelo café da manhã que apesar de não ser completamente bom, tinha um cuzcuz saboroso. No segundo dia não tinha bolo de rolo no café da manhã, uma lástima!"
nov. de 2022,1,Decepcionante,"Principal problema foi a limpeza. No prineiro dia, após reclamar que o quarto não foi limpo, depois de horas da reclamação na recepção fizeram arrumação. No segundo dia, eram 19h e arrumação do quarto também não tinha sido feita. Recepção pouco ajuda, e gerência ausente, nada fazem a não ser pedir pra esperar, mas sabem que há falta de pessoal. Após às 17h fica apenas uma camareira para o hotel todo, e ainda disseram o absurdo de que limpeza é feita até 21h!! Como? Com hospéde no quarto? Além disso, café da manhã fraco e sem reposição já às 07h, apenas uma hora depois do seu início. O hotel recebe alunos de cursos em salas de eventos, causando tumulto e grande fluxo de pessoas no térreo. Além disso, havia grupos de hóspedes bêbados e fazendo barulho ao lado da recepção, e em…"
nov. de 2022,3,Decepção,"O café da manhã tinha bastante variedade. Os funcionários eram simpáticos, mas acho que o hotel tinha que ter mais funcionários na recepção. O quarto era antigo, limpeza estava péssima, o corredor cheirava a mofo."
nov. de 2022,5,Hotel muito bom,"Hotel muito bom, limpo e quartos amplos, bons e aconchegantes, já fui algumas vezes e nunca me arrependi. Café da manhã muito bom com várias opções. E é próximo da praia e tem área de lazer com piscina. Ótimo para ir a casal, família e/ou amigos."
out. de 2022,2,Me senti enganada,"Escolhi um hotel que tivesse piscina porque sabia que seria bom para nossa programação (viajei com 2 crianças). Chegando lá, um aviso no elevador de que a piscina estava em manutenção. Ok, no nosso último dia lá ia ser liberada. Confirmei com o funcionário a informação e ele confirmou. No dia da liberação, saí do quarto perguntando onde era a piscina, 2 funcionários me explicaram como chegar. Chegando lá, dei de cara com a piscina vazia, ainda em manutenção... Fui questionar e a resposta básica: os funcionários responsáveis tiveram um problema, não conseguiram terminar etc... Quando um dos serviços de um hotel não estará disponível por determinado tempo, é obrigação avisar nos seus canais (site, central de reserva) e isso não foi feito."
set. de 2022,3,Razoável custo benefício,"Fiquei dois dias neste hotel  * Pontos positivos: localização e café da manhã razoável  * Pontos negativos: vaso sanitário entupido, não resolveram o problema, mesmo após sinalizarmos, acredito que seja algo estrutural do hotel. O estacionamento do hotel (que custa 25 por dia) não fica no hotel, então toda vez que precisa sair o carro demora de 15 - 30 minutos para chegar no hotel."
ago. de 2022,4,Boa Localização,"O hotel é bem localizado. Ficamos no apartamento triplo, o quarto era bem espaçoso, tinha uma cama de casal grande e uma cama de solteiro. O banheiro também é bom, com espaço e limpo. Funcionários educados e atenciosos. Café da manhã razoável."
jul. de 2022,3,Boa Localização,"Estivemos hospedados em julho/22 e sem duvida, o ponto forte é a localização do hotel. Em relação aos pontos que não foram agradáveis, o quarto família que ficamos, a janela dava para uma parede de um outro prédio, não conseguíamos verificar nem como estava o tempo; segundo ponto, é o estacionamento, além de cobrarem 25 reais a diária, o tempo de espera para receber o carro.. era em média de 15 a 30 minutos..."
jul. de 2022,4,Bom!!!!!,"Funcionários educados,cama confortável,tv a cabo com bastante canais, ducha com bastante pressão e boa limpeza, os produtos do café da manhã são de qualidade ,mas a variedade diminuio muito, não é a primeira vez que fico no hotel, fiquei 10 dias e muito pouco muda,os frios nunca mudam , só tem dois tipos de pão, não tem mais uma funcionária fazendo tapioca e omelete , coisa que a maioria dos hotéis no nordeste tem,nesse quesito podem melhorar!!!"
jul. de 2022,4,Boa opção na região do Pina,"Hotel possui boa estrutura e localização que atende as expectativas. Quarto possui mobiliário adequado. A ducha do banheiro não aqueceu bem durante a hospedagem. Café da manhã razoável. Maquinário da academia estava com defeito, o que me causou certo incomodo. Destaque negativo para o WIFI, muito instável e não confiável. Se tiver que fazer um trabalho importante, pode ficar na mão."
jun. de 2022,1,Descaso e sumiço de pertence,"Me hospedei no hotel do dia 03 para o dia 04. Deixei meus óculos de grau na parte superior da cabeceira da cama. Assim, que dei falta dele no dia seguinte liguei para o hotel, ficaram de procurar e me retornar, demoraram vários dias, tive que ligar novamente duas vezes para me informarem que não acharam o meu óculos. O problema é que não tinha como não achar, ele foi deixando lá por um descuido meu mas infelizmente desapareceu já no outro dia."
mai. de 2022,4,Hotel funcional,"Localização perfeita, duas quadras da praia de Boa Viagem. O bairro é muito bem servido, tem um restaurante e uma farmácia na frente do hotel. O Rappi funcionou super bem.  O quarto é pequeno mas suficiente pra um casal, a piscina é boa mas a academia estava com a esteira sem funcionar. O café não tem muitas opções, mas as que são oferecidas agradam vários paladares."
mai. de 2022,4,Boas condições de hospedagem,"Hotel em otima condiçoes estruturais e de localização. Quarto ampla e bem confortavel. Boa localização, porem os quartos em frente a avenida podem sofrem com excesso de barulho do transito e bares. Café da manha completo"
mai. de 2022,4,Primeira viagem ao Nordeste,"O hotel é localizado em uma importante avenida a poucos quarteirões da praia de boa viagem. Pontos altos: café da manhã de qualidade e bem completo com valor incluso na diária. Piscina, saunas e academia abertas até as 22hrs eu também achei muito conveniente. Limpeza do quarto e possuir frigobar e cofre tbm foi um plus.  Pontos negativos: pelo menos no quarto que ficamos (econômico), a cama era pequena e meu marido ficou com os pés pra fora rs. A luz do banheiro ativa um ventilador pra dissipar o vapor, porém é bastante barulhenta e incomoda e por último o serviço de valete acaba ficando demorado, acredito que pela estrutura do estacionamento."
abr. de 2022,3,Férias,"Meu Nome é Manoel é estive em viagem de férias de 19 de abril à 25 de abril, onde me programei com bastante antecedência pra que tudo desse certo junto da companhia de uma amiga…. O qual ao chegar de madrugada por um erro da Agência, ter nós colocado em um quarto de casal o que teve um certo desconforto no atendimento na solicitação da troca junto ao atendente o qual de início foi um tanto rude…. Na tratativa de resolver a situação…. A qual foi solicitada…. Quanto ao quarto dado na opção da troca não tenho nada a reclamar ficamos no 520 no quinto andar próximo da piscina o qual ficava a um lance de escadas da piscina….. A única reclamação que tenho a fazer é infelizmente da arrumação dos quartos que deixa a desejar…. Nós dois primeiros dias foram perfeitos do terceiro dia em diante infelizmente, não foram corretos nas trocas das toalhas e arrumação do quarto… até por é falta de recolher os lixos deixam a desejar….. o pessoal da recepção também um tanto grosseiros , com execao da consierge Sthefanny que fez de tudo em poder nos ajudar…. Mas independente de tudo…. Recomendo sim o Hotel à outros hóspedes…. Até porque a infraestrutura do Hotel é de primeira o que falta é essa atenção especial na tratativa de lidar com pessoas…. Afinal de contas ,somos todos turistas é queremos ser bem recebidos …. Principalmente em um Estado tão acolhedor …. É aqui os meus Parabéns ao Hotel por toda decoração com às obras dos Artistas locais…. Isso vocês também estão de Parabéns"
abr. de 2022,5,"Hotel maravilhoso
Voltarei mais vezes",Muito bom atendimento maravilhoso recepção ótima  Concerteza indicarei aos meus amigos ótimo lugar para um passei em família ou a dois quartos maravilhosos piscina sem palavras para descrever amei os atendentes do hotel
abr. de 2022,5,Hotel muito bem localizado,"Hotel muito bem localizado e com acomodações de primeira.  Café da manhã com boas opções e excelente estrutura para quem viaja a trabalho.  O único ponto negativo que coloco é o valor de R$ 25,00 de estacionamento.  Preço salgado ao comparar pela região onde existe até a facilidade de deixar o carro na rua."
fev. de 2022,5,Viagem com bebê,"Nossa terceira vez no hotel e sempre gostamos muito, teve algumas mudanças de gestão e preparam bem o hotel, reformas, bom serviço de quarto e alimentação. O hotel estava lotado, muito cheio, acho que estava praticamente na ocupação máxima, café da manhã lotado, o Wi-Fi é ruim, precisa melhorar muito, várias vezes não pegava e o acesso é burocrático, talvez porque o hotel estava lotado a dificuldade de acesso, e tinha muito barulho, dos quartos e nos corredores. Mas sempre gosto muito do hotel, a cama é a melhor! É muito aconchegante. Recebe bem famílias com crianças, bebês"
jan. de 2022,3,Hotel razoável,"- Ótima localizaçao,  - A cama é boa,.,  - Cafe da manhã não é bom,  -Chuveiro não é bom,  _ Atendimento na cafeteria não é bom, é demorado. Pedimos um sanduiche com batata vieram muito encharcadas,  - o atendimento na recepção é muito bom, são muito educados."
jan. de 2022,1,Longe de ser um 4 estrelas,"Chegamos a 3h da manhã, os lençóis da cama estavam usados, somente esticados sobre a cama e estavam sujos. Tive que pedir que trocassem pela manhã e a recepção não gostou nenhum pouco. 2 anos de COVID e aparentemente o hotel não se adequou a padrões de higiene básicos!!!! Mesmo o quarto sendo se casal,só tinha uma manta fedorenta de solteiro para o uso e tivemos que pedir 3 ( isso mesmo TRÊS vezes) na recepção para levarem no quarto uma de casal. As toalhas são velhas e amareladas, assim como toda a estrutura do quarto que nem box para o banheiro tinha, molhando tudo. O cheiro de esgoto que sobe do ralo é nauseante, tem que usar a pia e tampar. No domingo às 8h da manhã teve um evento muito barulhento no salão bem abaixo do nosso quarto, atrapalhando bastante o sono (pra quem chegou de madrugada não foi nada agradável) , já ser recebido com um evento. O ponto alto foi no último dia que tivemos que fazer check-out e um novo check-in, por erro da Azul Viagens e nos alocaram em um quarto do lado oposto ao que estávamos e a recepcionista só deu de ombros que não podia fazer nada, que era aquilo que tinham pra nós oferecer . O despreparo da recepção é assustador, onde nem o nome do gerente a recepcionista quis nos falar ou muito menos chamar o responsável naquele momento... Se puderem fugir desse hotel, fujam!"
dez. de 2021,3,Apenas um dia,"Recepção educada e ágil, quartos limpos, cama com colchão muito mole. Não tem muito luxo. Café da manhã deixa a desejar.  Ficamos em 4 no quarto, 2 adultos e 2 crianças. Apesar de serem 2 camas de casal elas são bem pequenas, com colchões moles de mais, um mexe de um lado e sacode o outro."
dez. de 2021,5,Confortável e bem localizado,"Localização excelente (fica numa avenida paralela a orla de boa viagem), quarto confortável, recepção bem agradável. Possui manobrista para quem paga o estacionamento.  Café da manhã com poucas opções. Nesse quesito pode melhorar.  No geral recomendo."
dez. de 2021,1,Hospedagem péssima!,Enxoval antigo e de péssima qualidade. Torneira e chuveiro pingando. Colchão velho e ruim e quarto com cheiro de mofo! Falta manutenção! Hospedagem ruim! Não configuraram o quarto de acordo com a minha família. Não voltaria!!!
dez. de 2021,4,"Muito agradável, adoramos o café da manhã","Só tivemos um pouco de dificuldade com o banheiro porque a prateleira de colocar sabonete fica embaixo do chuveiro, e molha todos os sabonetes. Também posso citar que não tem toalha disponível na área da piscina, então tive que sair molhada pelo elevador e corredores."
dez. de 2021,5,ÓTIMA OPÇÃO,"Boas acomodações e bom atendimento. Café da manhã muito bem servido. Tudo muito limpo e organizado. Rooftop aconchegante. A localização também é boa, fica bem perto da Praia de Boa Viagem. Voltaria!!!"
dez. de 2021,3,Mais o menos - não indicaria pata minha sogra,"Rooftop lindo, sauna ótima, quarto tmb muito bom, piscina tive muito cloro, o terraço em cima não tive atendimento legal, liguei muitas vezes, ninguém atendeu, tinha que descer varias vezes, a estrutura do hotel e legal, mas o atendimento e lento. Não seria um hotel que ia querer indicar para minha sogra. Se vc não liga do atendimento, estrutura do hotel e localização bem boa. Não tive número de telefone no internet para ligar, o número indicado va para Rio. Na Recepcao o atendimento foi bom."
dez. de 2021,4,Café da manhã com muitas opções,"O café da manhã foi o item que mais chamou atenção tanto para mim quanto para as minhas amigas, pois há grande variedade!! Os quartos são limpos, tem até uma pequena cafeteira, o que para nós era bastante útil, sinal da internet era bom, o prédio estava bastante movimentado no dia, mas não nos incomodou! Funcionários atenciosos!"
dez. de 2021,5,Acima da média,"Café da manhã maravilhoso! Check in e liberação do quarto sem demora. O quarto tinha cheiro forte de água sanitária (intoxicante) mas melhorou ao abrirmos a janela e deixar arejar. Pedimos que a governança não utilizasse mais aquele produto para a limpeza e fomos atendidas. A cerveja da piscina era servida ""quente"", precisa melhorar! Utilizamos piscina e sauna, gostamos muito - o único problema é ter que passar de biquini em frente as salas de convenções com diversas pessoas ao redor. Hotel tem bom custo X benefício. Próximo a diversos locais bacanas. Praia boa e vários pontos com Bike do Itau para se locomover - é uma delicia pedalar na orla. Funcionários extremamente educados. Só tivemos problema um dia quando fizemos um pedido no restaurante e ao dar o tempo programado disseram que não tinham feito e não iam fazer devido ao atendimento a um grupo grande que ali estariam, e ainda disseram: se quiser te indico uma pizzaria próxima. Enfim, já foi relatado e espero que próximos hospedes não passem por isso. Indico e recomendo esse hotel."
dez. de 2021,4,Hospedagem no Kastel Manibu Recife.,"Ótimo atendimento e quartos confortáveis.  Boa localização próximo a praia,regiões turísticas e comerciais de Recife  Café da manhã satisfatório.  Por se tratar de um hotel com salas para convencões há um fluxo intenso e confuso em áreas comuns."
dez. de 2021,5,Um dos melhores hotéis que já fui!,"Comida excelente, atendimento repleto de simpatia e proatividade por parte dos funcionários, localização perfeita, tudo muito limpo e impecável. Indico mil vezes, fora o preço mega honesto e justo, podem ir de olhos fechados!!!"
nov. de 2021,5,Elogio,"O hotel é maravilhoso, o café da manhã e o restaurante são maravilhosos (organização e culinária). Ambiente super propício para diversas finalidades.    A atenção maior deste texto é para o Deivison que é grande profissional, e que despertou nossa atenção quanto a sua proatividade e educação. Sua dedicação, seu comprometimento e sua responsabilidade foram fundamentais para melhorar não só o ambiente como os resultados da empresa!”. Ele sozinho conseguia fazer os atendimentos e os pedidos (sem erros) com carisma e sorriso. Mesmo sozinho no ambiente do restaurante, e cheio de clientes, nunca estava nervoso, triste, irritado ou algo parecido.    A empresa precisa valorizar esse profissional, pois dará grandes resultados. Tem perfil pra ser líder de equipe, e assim consagrar a missão e valores do hotel.    At.te,  José Junior Ferrari"
