Data da opinião,Nota,Título,Conteúdo
26 de dez.,5,Natal do Village,"Muito bom. Excelente local, lugar agradável. Nota 10. Acomodações boas, comidas, lugar de paz. Super indico, valerá muito a pena ir. Já estamos programando nosso retorno. As festividades são excelentes!"
ago. de 2022,5,"Área de lazer maravilhosa, monitores, atendentes maravilhosos","Os Quartos deixam um pouco a desejar, ficamos em um quarto standart, acho que poderia ser uma acomodação mais nova, reformar, os pisos acabam dando a impressão de um quarto sujo, antigo. Ótima Localização, área de lazer maravilhosa, piscinas bem limpas, ótima recreação, hidroginástica de manhã mto boa com o Chocolate Parte de Gastronomia maravilhosa, as comidas, petiscos, porções são sensacionais, o valor é mais salgado, mas acredito que esta de acordo com o nivel da gastronomia do Hotel Atendentes, garçons e garçonetes, ótimo atendimento, tudo sempre muito rápido. Sem dúvidas iremos voltar"
26 de dez.,5,Diversão em família,"Hotel com infraestrutura excelente para família. Ótimas piscinas, comida deliciosa, atendimento gentil dos funcionários e um parquinho com recreação do jeitinho que as crianças gostam. A copa baby ficou um pouco a desejar, tem o espaço físico porém o que você precisa como leite ou frutas é necessário pedir no restaurante e é cobrado à parte. No mais, tudo muito bom."
25 de dez.,5,Excelência Village,"Fomos muito bem recebidos, uma viagem inesquecível!! Preciso deixar registrado a fineza no trato e a disponibilidade da Aline, do relacionamento, que cuidadosamente nos recebe, diariamente, para o café e se preocupa em perguntar se está tudo certo, se tem algo que possa ser feito para melhor nos servir, Aline você é encantadora. Do primeiro ao último dia vivemos uma sucessão de boas surpresas, tudo é lindo, tudo funciona, tudo exala amor e aconchego! A decoração é um luxo o bom gosto reina até nos mínimos detalhes. Parabéns, família Village, estou indo embora contando os dias para poder voltar trazendo mais familiares e amigos!!! E ainda tem o animador Chocolate que torna tudo mais divertido e não engorda....kkk"
24 de dez.,5,Lugar ótimo para descansar!,"Foi uma delícia a hospedagem, queriamos até ficar mais rs. Decoração bem regional e de muito bom gosto, comida bem saborosa e com várias opções de pratos e de sobremesas. Todos os funcionários muito atenciosos, como a camareira Líbia e o garçom Rodrigo que foram muito gentis e simpáticos comigo e com minha esposa."
26 de dez.,5,Natal do Village,"Muito bom. Excelente local, lugar agradável. Nota 10. Acomodações boas, comidas, lugar de paz. Super indico, valerá muito a pena ir. Já estamos programando nosso retorno. As festividades são excelentes!"
ago. de 2022,5,"Área de lazer maravilhosa, monitores, atendentes maravilhosos","Os Quartos deixam um pouco a desejar, ficamos em um quarto standart, acho que poderia ser uma acomodação mais nova, reformar, os pisos acabam dando a impressão de um quarto sujo, antigo. Ótima Localização, área de lazer maravilhosa, piscinas bem limpas, ótima recreação, hidroginástica de manhã mto boa com o Chocolate Parte de Gastronomia maravilhosa, as comidas, petiscos, porções são sensacionais, o valor é mais salgado, mas acredito que esta de acordo com o nivel da gastronomia do Hotel Atendentes, garçons e garçonetes, ótimo atendimento, tudo sempre muito rápido. Sem dúvidas iremos voltar"
26 de dez.,5,Diversão em família,"Hotel com infraestrutura excelente para família. Ótimas piscinas, comida deliciosa, atendimento gentil dos funcionários e um parquinho com recreação do jeitinho que as crianças gostam. A copa baby ficou um pouco a desejar, tem o espaço físico porém o que você precisa como leite ou frutas é necessário pedir no restaurante e é cobrado à parte. No mais, tudo muito bom."
25 de dez.,5,Excelência Village,"Fomos muito bem recebidos, uma viagem inesquecível!! Preciso deixar registrado a fineza no trato e a disponibilidade da Aline, do relacionamento, que cuidadosamente nos recebe, diariamente, para o café e se preocupa em perguntar se está tudo certo, se tem algo que possa ser feito para melhor nos servir, Aline você é encantadora. Do primeiro ao último dia vivemos uma sucessão de boas surpresas, tudo é lindo, tudo funciona, tudo exala amor e aconchego! A decoração é um luxo o bom gosto reina até nos mínimos detalhes. Parabéns, família Village, estou indo embora contando os dias para poder voltar trazendo mais familiares e amigos!!! E ainda tem o animador Chocolate que torna tudo mais divertido e não engorda....kkk"
24 de dez.,5,Lugar ótimo para descansar!,"Foi uma delícia a hospedagem, queriamos até ficar mais rs. Decoração bem regional e de muito bom gosto, comida bem saborosa e com várias opções de pratos e de sobremesas. Todos os funcionários muito atenciosos, como a camareira Líbia e o garçom Rodrigo que foram muito gentis e simpáticos comigo e com minha esposa."
