Data da opinião,Nota,Título,Conteúdo
24 de dez.,5,Hotel solar,"Hotel excelente,limpeza impecável,todos muitos educados e prestativos,sempre prontos para lhe ajudar,café da manhã saboroso e as refeições (almoço e a janta )semper pratos variados um agradecimento especial para as colaboradoras Aquila, joecy e o Sr Edimilson"
24 de dez.,5,Hotel excelente!!,"Gostei muito de ficar no Hotel Solar Porto de Galinhas, estrutura excelente, café da manhã muito bom, sem falar que você fica com o pé na praia. O mar é bem agitado então é preciso ter muito cuidado."
17 de dez.,5,Perfeito,"Lugar maravilhoso. Acolhedor, relaxante, comida boa, músicas ao vivo, ótimas recreações para crianças. Quartos espaçosos, aconchegantes e climatizados, com vista para o mar. Limpeza impecável e equipe de garçons prestativos. Ótimo para passeio em família."
16 de dez.,5,Saudades,"Essa é a quinta vez que eu venho e sempre sou muito bem recebida, desde os funcionários que cuidam do jardim à gerência, todo são muito prestativos e carinhosos. A alimentação e todos os serviços são excelentes."
14 de dez.,5,Vale o quanto custa!,"Pesquisei MUITO antes de decidir onde me hospedar em Porto de Galinhas com meu marido e nosso filho. Gente, foi um dos melhores investimentos que fiz esse ano. Não é barato, mas compensa cada real investido. O hotel é Super limpo, banheiros das áreas de convivência sempre limpos e cheirosos, piscina maravilhosa, acesso à praia com espreguiçadeira e bar na praia, local muito agradável, música ao vivo todas as noites, os funcionários solícitos e muito educados, quartos funcionais, recreação para adultos e crianças e para esse ponto eu deixarei um agradecimento em especial: Informamos as recreadoras que nosso filho é autista e logo elas tornaram a estadia do nosso filho a mais divertida possível! Incluíram ele em todas as brincadeiras fazendo ele ser muito acolhido por todas as outras crianças! Várias oficinas, jogos aquáticos e no gramado, passeio na praia, tudo muito bem supervisionado! Não tem nada mais gratificante do que desfrutar de um ambiente acolhedor e principalmente inclusivo não só para nós, mas para nosso filho principalmente, isso fez muita diferença. Escolhemos a opção de pensão completa e aviso que SUPER COMPENSA para aqueles que, assim como nós, não queria sair do hotel para lugar nenhum! Café da manhã muito bem servido, podendo se servir a vontade das 7 às 10h, almoço das 12h as 15h com deliciosas opções com direito a entrada, prato principal e sobremesa (da pra petiscar a entrada e só solicitar os pratos quando realmente forem almoçar) respeitando o limite de horário; o Buffet do jantar das 19h às 22h também não deixa a desejar, com muitas opções de carnes, comida caseira e regional, sobremesas deliciosas e sopas, podendo se servir a vontade durante o horário de funcionamento do jantar. Só as bebidas que são por fora dessa opção mas ainda assim compensa MUITO. Falo inclusive que não compensa financeiramente pegar um hotel ALL inclusive! Se você pegar essa opção de pensão completa e pagar as bebidas, drinks e petiscos por fora, você economiza muito e aproveita tão bem quanto! Sério… se estão com dúvidas, não tenham! Pois eu voltarei assim que possível!"
12 de dez.,4,Música,"Tudo muito bom, porém, o que deixa a desejar é o som nas noites de segunda-feira, só tocarem um estilo musical, agradando a só um público. Variando fica bem melhor.  O estilo Pop-Rock, é muito bom, mas deve haver variações entre outros gostos musicais."
7 de dez.,5,Comemoração de 29 anos de casados no Hotel Solar.,"Hotel maravilhoso, refeições,ficamos no quarto 305,queremos agradecer a todos,em especial Carol e Anderson da recepção,garçons,William,Wellida que deixou nosso quarto impecável,cozinha Elvira e Elisângela. Nossos agradecimentos a todos que trabalham no hotel estão de parabéns pelo atendimento.Com certeza em breve voltatemos.Att: Antônio e Márcia."
6 de dez.,5,"Estadia de 4 dias em Hotel Solar Porto de Galinhas, experiencia de casal.","Lugar com uma energia incrível, estava com meu esposo em viagem de aniversario de casamento, fomos bem recepcionados. Quarto super limpo, com brindes disponíveis. Ficamos no térreo onde todo o banheiro é adaptado para idosos. Todos os dias tem atividades (recreação, música ao vivo, dança, jogo ""sinuca, etc""...), muito interessante para quem leva criança para viagem, pois tem funcionários a disposição para criar atividades com os pequeninos. Muito legal e divertido ficar na piscina com a equipe de recreação, com coreografias e brincadeiras. Funcionários cordiais e prestativos, praia privativa com serviço disponível de bar na areia. Chalés onde é possível assistir o nascer do sol e admirar a paisagem. Serviço de quarto impecável e cuidadoso (fizeram um elefante muito fofo com as toalhas, cuidado especial da camareira Laudicéa), tem canais disponíveis para assistir. Com relação ao serviço de cozinha, o café da manhã era bem servido e com uma variedade bem grande, você poderia se alimentar dentro do local onde era servido o Buffet ou ao ar livre, o serviço de tapioca feita na hora é muuuuito bom, nos apaixonamos pela tapioca de coco com leite condensado. Nosso pacote incluiu o jantar como cortesia, e era impecável, tanto pelas opções quanto pelo sabor. Enfim, super indico este lugar! Único ponto que posso considerar com relação a localização é que fica a 10 min do centrinho de Porto de Galinhas, então em média gastávamos 9 reais com Uber por viagem e em horário de pico chegamos a pagar 20 reais. Gente, valeu a experiência e já estamos com saudade. Iremos retornar com o restante da família."
5 de dez.,3,Praias com água morna relaxante!,"Localização do hotel excelente, na beira de uma ótima praia, mas o café da manhã e jantar da meia pensão têm muito o que melhorar (nota 3, de 1 a 10). O atendimento do bar da piscina também tem muito o que melhorar!"
5 de dez.,5,Hotel muito bom,"Hotel agradável, comida boa, café da manhã com tapiocas deliciosas, e ótimo acesso para a praia. Mas o que me deixou mais satisfeita foi o atendimento. Todos os funcionários são extremamente educados e solícitos! Com certeza isso fez toda a diferença na nossa estadia."
