Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,"Excelente , atendimento de ótima qualidade . Funcionários muito bem treinados . E uma vista linda pra praia de BV","Atendimento de ótima qualidade , excelente ! Café da manhã muito bom , funcionários bem educados e bastante atenciosos . Uma boa área de laser pra adultos na cobertura. Única coisa que falta é uma área de lazer infantil . O restante está de altíssima qualidade! Parabéns 🎉!"
uma avaliação Ontem,5,Cafe da manha no restaurante mirage,"Muito bom atendimento, atendentes educados, Lucio gente fina!!! Comida boa tbm, a suite tem vista maravilhosa e de respeito! Obrigada a todos por tornar nossa estadia melhor, fizeram toda diferenca ❤️"
dez. de 2022,5,Hotel Maravilhoso…ótimo quarto adaptado.,"Ótimo hotel, ótima localização, quarto adaptado amplo…atendentes super prestativos, começando pela recepção com o Sebastião, o Sr. Genario com as malas, Dalva com sua gentileza em atender o que pedi e as pessoas da recepção do café da manhã, Pedro (super simpático e atencioso), Driuly, Clidma (da tapioca maravilhosa) e a Ana Claudia…foi tudo maravilhoso, passei meu aniversário no hotel e nesse dia até ganhei bolo e parabéns…nunca vou esquecer esse carinho. Tb sempre tinha alguém para me ajudar a sair do carro e pegar minha cadeira de rodas e um deles é o Wilkson…não lembro o nome de todos, mas agradeço de coração por tudo e todo cuidado."
dez. de 2022,5,"Um especial foi o atendimento de Lúcio no café da manhã do segundo andar,muito atento e rápido na entrega dos pedidos.",Muito bom o atendimento de todos os funcionários começando pela recepção mas não se restringindo a isso.O quarto é confortável com televisão com acesso a Netflix e outros.Recebemos vários mimos durante a hospedagem deixando uma impressão muito boa.
dez. de 2022,5,Piscina do Hotel Atlante Plaza,"Equipe gentil, eficiente e atenciosa. Destaque para os funcionários Pedro, Alex, Paulo, Antônio e o outro senhor de qual não me lembro o nome mas era muito prestativo. Ambiente agradável e limpo. Pedimos drinks e gurjão de peixe que estava delicioso."
dez. de 2022,5,Café da manhã,"Dividindo com vocês nossa experiência no café da manhã no Mirage do Atlante Plaza ... simplesmente FANTÁSTICO! Menu personalizado, atendimento primoroso com sofisticação e muita cortesia. Destaque para Amanda e Lúcio fazendo a Diferença! Conheçam e certamente irão adorar."
dez. de 2022,5,Ótimo hotel em Recife,"Hotel muito bom. Limpo, funcionários prestativos e muito educados. Café da manhã completo e delicioso. Quartos confortáveis. Elevador panorâmico é incrível. À noite, é possível relaxar no bar ouvindo MPB tocada no piano ao vivo. O único problema é não ter restaurantes próximos."
dez. de 2022,4,Um lugar no paraíso,"Na minha opinião o melhor do hotel foi o atendimento, todos são muito receptivos e simpáticos, agradecimentos especiais à camareira Elisângela, e ao pessoal do Mirage: Isabel, Junio, Edson, Ana, Wolliver e Ellen, que tornaram a estadia incrível. O quarto tinha uma vista maravilhosa e estava sempre limpo e arrumado. Os canais da TV são suficientes para entreter, o wifi funciona muito bem, a piscina e o bar no rooftop são incríveis e tem uma vista espetacular. E a comida n o geral era sensacional. Só duas coisas me incomodaram, como feedback de melhoria: verificar melhor as tomadas, pois uma tomada do banheiro estava totalmente solta, e por algum motivo tive um dia onde fiquei ouvindo barulhos vindo do quarto do cima a madrugada inteira, mal consegui dormir. Tirando isso o lugar é…"
dez. de 2022,5,O restaurante Mirage foi uma experiência à parte que merece todo o reconhecimento,"Atendimento incrível a comida do Mirage é espetacular. Bônus para o atendimento da Amanda (restaurante Mirage), que foi gentil e eficiente. O restaurante é confortável com uma decoração muito apropriada e alinhada com a proposta do hotel. A equipe é bem treinada e pronta para atender qualquer tipo de público."
dez. de 2022,5,Adorável,O hotel é realmente incrível! Melhor vista de Recife! O restaurante Mirage é fenomenal!!! Lúcio e Isabel são muito atenciosos e sabem indicar comida boa!!! Recomendo de olhos fechados!!! O SPA tbm é demais de bom!!!
