Data da opinião,Nota,Título,Conteúdo
27 de dez.,5,Hotel ibis Hangar,"Hotel com ótima acomodações,funcionários bem atenciosos, o que me proporcionou uma ótima estadia . Gostei do café da manhã bem baiano com cuscuz , mingau e uma tapioca bem saborosa , com certeza vou voltar !"
26 de dez.,5,Fritação Romântica com pit-stop no Ibis,"Vim pra Salvador porque daqui partirei pro UP (Universo Paralello), no sul da Bahia. Fiz um pit-stop no Ibis pra descansar e esperar o horário do traslado. Para a minha surpresa apesar dos preços acessíveis, o serviço e o atendimento são de primeira, ao contrário do que acontece em muitos lugares. Dona Zuleica da Ibis Kitchen me atendeu super bem e dentro do tempo que precisava para arrumar as minhas coisas e partir para a minha viagem de fritação no sul da Bahia junto com meu namorado Felipe. Recomendo fortemente o salmão do restaurante do hotel, que vem com dois acompanhamentos - eu escolhi purê com legumes. Impecável. Peça um mojito de entrada pra deixar ainda mais perfeito. Boa viagem a todos!"
26 de dez.,5,Viagem a Salvador,"Comida muita gostosa e atendimento muito bom. Indico o risoto de camarão, perfeito. A Zuleica é super atenciosa. A localização desse hotel é perfeita pra quem chega a Salvador e vai pegar a estrada logo cedinho, bem perto do aeroporto…………………"
22 de dez.,5,Tripulante e para nos o café da manhã e muito importante é aqui é nota 10,"Profissionais muito eficientes e gentis.  Gostaria de destacar a colaborado Marta e sua doçura , profissionalismo.  Hoje em dia muito raro.  Ela trabalhou no café na parte de tapiocas e omeletes.  Você pode ver que ela trabalha alegre e com comprometimento.  A melhor tapioca .  Olha que sou tripulante e viajo muito.  Boas festas"
21 de dez.,5,Moqueca da Bahia,Comida excepcional  Dona Zuleica atendimento personalizado de primeira linha  Prato saiu com tempo ideal  Colorido como deve ser a moqueca  Moqueca com sabor da Bahia  Sabor inconfundível  Perfeito  Eu recomendo
21 de dez.,5,"Atendimento excepcional, cozinha de muita qualidade.","Padrão justo da hospedagem Íbis. No entanto, este hotel tem um diferencial: a cozinha. Uma das melhores moquecas que já comi. Destaque ao atendimento da dona Zuleica!  Atenciosa, bem humorada. Faz a refeição se tornar um evento."
19 de dez.,5,Avaliação Zuleica,"Colaboradora muito prestativa simpática e atenciosa, se apresentou pelo nome esclareceu algumas dúvidas, nós atendeu muito bem por sinal, a comida servida também muito boa, e todo serviço prestado também de ótima qualidade."
19 de dez.,5,Atendimento no restaurante.,Atendimento excelente Zuleica!! Comida de boa qualidade e preço Justo. A atendente Zuleica nós ajudou a escolher o prato mais indicado. O Restaurante tem ambiente agradável e cadeiras confortáveis. Recomendo.
19 de dez.,5,Experiência ótima,"Desde a chegada até a saída , todos muito atenciosos. Limpeza nos quartos, jantar ótimo.  Pedimos um filé de tilápia e um salmão muito bommmmm. Sempre muito bom se hospedar no Íbis. A atendendo do restaurante Zuleica muito atenciosa e muito feliz!"
15 de dez.,5,Elogio à Zuleica,"A Zuleica foi super atenciosa e educada no atendimento hoje 15/12/22.  Muito gentil, prestativa e sorridente.  Gostei muito de ser atendida por ela no restaurante.  Parabéns Zuleica!!! Muito sucesso pra você!!  Continue assim!"
14 de dez.,5,Atendimento nota 10,"Ótimo atendimento no restaurante  Sra Zuleica  Simpatia e simplicidade cativante, pessoa que se dispõe a atender super bem o cliente  Por mais Zuleicas nesse nosso Brasil!!! Gestos simples que fazem a diferença!"
11 de dez.,5,Jantar,"Ótimo atendimento, rapidez, simpatia, gentileza. Parabéns pela recepção, comida muito saborosa. Parabéns pelo trabalho da atendente Zuleica. Restaurante do hotel nota dez e atendimento também. Show de bola."
