Data da opinião,Nota,Título,Conteúdo
24 de dez.,5,Férias em contato com a natureza e o mar da Bahia,"Estivemos no Eco Resort entre os dias 15 a 23 de dezembro pela segunda vez. Mais uma vez uma experiência maravilhosa. Começamos a ser bem tratados já na Balsa que faz a travessia entre Porto Seguro e Arraial D´ajuda. Fomos recebidos pela Fabiane, uma pessoa muito agradável, que nos deu toda a orientação. A limpeza tanto do hotel como do nosso quarto foi muito bem feita, inclusive no caso do meu quarto (Suíte Familiar) eles todas as noites trocavam as toalhas novamente, nunca tinha visto este serviço em outro resort no Brasil. A alimentação, apesar de não ser muito variada, eram muito bem feitas. O ambiente do Resort, com sua vegetação, pássaros e micos são um show a parte, realmente muito lindo. As piscinas eram bem limpas e de um tamanho compatível com o tamanho do Resort. O…"
20 de dez.,5,Maravilhoso,"Lugar incrível e recepção inigualável. Quando chegamos de balsa, Fabiane nos recepcionou com um lindo sorriso e, quando descobrimos que o parque só funcionaria naquele dia, ela nos auxiliou com tudo para que pudéssemos aproveitar a experiência e foi extremamente eficiente. O pessoal da monitoria também é muito atencioso e carinhoso com cada criança, em especial os tios Todynho e Mel. Recepção sempre nos atendeu prontamente. Apenas faço ressalva quanto à limpeza, pois o travesseiro da minha acomodação estava com mau cheiro, solicitei a troca por 2 vezes e nada fizeram. No mais, amamos tudo. Pretendo voltar."
19 de dez.,5,Viagem em família,"Alta gastronomia! Almoço e jantar maravilhosos! Fui com a minha família pela primeira vez nesse hotel e adoramos tudo! Excelente custo benefício! Profissionais simpáticos e atenciosos com os hóspedes, desde a chegada quando fomos recepcionados pela Milena e no check in e check out com o Cláudio que foi muito solícito. Quero deixar um louvor para a Patrícia gerente de hóspedes que nós auxiliou em todos os momentos! O professor de tênis Airon foi muito solícito e de uma simpatia ao extremo... Hotel muito limpo e bem localizado, ótima área de lazer com tudo funcionando perfeitamente, quarto grande, arejado,ar condicionado funcionando perfeitamente e a limpeza feita pela Val não deixa nada a desejar. Voltarei mais vezes...."
17 de dez.,5,Resort top.,"Experiência excelente! Belas paisagens! Atendimento cordial e muito dedicado! Estrutura adequada! Gastronomia incrível, tanto no restaurante self service quanto no à lá carte! Serviço de lazer e entretenimento com as crianças impecável! Nossos filhos adoraram! Recomendo! Voltaríamos!"
16 de dez.,3,Encontro da Terceira Idade Bancorbrás,"O hotel é muito bom, comida ótima, staff muito bom. Boa cama e bom chuveiro. O que não gostei foi que o hotel não tem praia boa pois o rio ao lado invade a praia de tombo e enche de sujeira o mar em frente. Havia também muitas algas na praia ao lado."
16 de dez.,5,Excelente,"Muito boa experiência. Segunda visita. Muitas atividades incluídas, especialmente o tênis e beach tênis com o Tyron. Funcionários sempre educados. Pessoal do clubinho muito prestativo! Comida muito boa! Muita variedade, embora tenha sentido falta comida japonesa regularmente no buffet.  Pena que o aumento dos valores das diárias sugeridos para 2023 estejam proibitivos."
13 de dez.,5,Excelente para viajar com a família,"Nossa experiência foi incrível! Ficamos em um quarto amplo, bem arejado, com vista para o jardim e silencioso. A localização também é excelente, 12 minutos de carro do centro de Arraial (o hotel oferece transporte em determinados horários ou você pode ir de taxi quando quiser, pagando R$60 ida e volta) e 3 minutos de balsa de Porto Seguro (a balsa do hotel sai de hora em hora para Porto). O café da manhã é bem variado e o menu do almoço e do jantar têm sempre muito peixe, que é um prato cheio para quem gosta! Rsrsrs. A recreação e o espaço infantil são encantadores, todos conheciam meus filhos pelos nomes e brincavam com eles sempre que passávamos. Com certeza voltaremos em breve!"
13 de dez.,5,Tudo maravilhoso,"Ficamos 7 dias nesse resort maravilhoso com estrutura perfeita e aconchegante, tivemos diversas experiências em outros resorts mas com certeza esse foi o melhor , a equipe de recreação está de parabéns e ganha um destaque nessa viagem, o tio caramelo sempre alegre e divertido , tia chiquinha muito maluquinha e tia mel, como o próprio nome diz um doce de pessoa ."
11 de dez.,2,Experiência indesejável,"Baratas no deck da piscina, quarto apertado, pessoas da recreação despreparados para lidar com crianças. Serviço de praia horrível, pouco atendimento na praia, cerveja quente e tudo caro pelo contexto. Café da manhã parece uma peixaria. Este é o resumo. Nunca mais piso num hotel amador como este."
9 de dez.,5,passeio em família,"nossa segunda vez no resort e como sempre superando as expectativas. comida maravilhosa e com muita variedade.  ponto especial para equipe de recreação, sempre com sorriso no rosto .O tio caramelo e tio pereira sempre animando à galera adulta com certeza retornaremos em breve"
