Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,Férias Perfeita,"Não sou de AVALIAR lugar nenhum mais esse resort faço questão. Todo ano eu e meu marido vamos para porto seguro e sempre ficamos em 2 resort, e um deles sem dúvidas e no coroa q sempre q vamos estar melhor e se tornando um dos melhores de porto seguro sem dúvidas. Sempre mto limpo Tanto nos quartos Tanto nas áreas comuns, funcionários simpáticos e educados que trabalham com alegria, coisa q n se ver em todo lugar, pois acabei de sair de outro resort em porto seguro q tem mto q aprender cm vcs pois os funcionários la trabalham na força do ódio. Enfim coroa vermelha parabéns pelo ótimo serviço, tanto nas refeições cm mtas variedades e sempre tudo fresco, nos lanches perfeito. No petisco sempre variado. Tem um funcionário da limpeza da praia não me recordo o nome dele é um moreno, super simpático, conversa com os hóspedes nos fez rir mto adorei ele, nunca vi uma pessoa Tão feliz trabalhando, um profissional desse n se acha em qualquer lugar. Ansiosos para voltar ano q vem."
14 de dez.,3,Atendimento muito bom,"Os funcionários são muito solícitos. O hotel está sempre limpo. Inclusive nas horas da refeição, eles estão organizando o salão e limpando o buffet.  Limpeza impecável.  Um bom lugar para comer o tempo hahaha  Mas com pouca variedade, o cardápio é bem repetitivo. Você acaba enjoando fácil.  Agora o Wi-Fi é Horriiiiiiivel, se você precisar trabalhar durante a estadia vai passar raiva.  Uma coisa que eu acho que poderiam mudar é as noites temáticas. No geral a comida é quase a mesma, mudando o nome dos pratos 😏"
2 de dez.,5,"Deixou saudades,ano que vem voltaremos!","Nós simplesmente amamos o Hotel, tudo muito bom,desde as camareiras,como os atendentes,todos sempre muito simpáticos,fomos muito bem recebidos,sem deixar de mencionar a comida,a recreação, minha neta amou,estava todos os dias! O Hotel é muito limpo também! Enfim,é nota mil!"
nov. de 2022,5,EU RETORNAREI,"O LUGAR LINDO TUDO MARAVILHOSO O CAFÉ DA MANHÃ, DA TARDE, O ALMOÇO JANTAR DELICIOSO, OS TIRA GOSTO MUITO BOM OS DRINKS A CERVEJA PODE MELHORAR, O PESSOAL MUITO EDUCADO SEMPRE ATENCIOSOS RECOMENDAREI SIM ."
nov. de 2022,5,Foram 5 dias de muitos comes e bebes e muitas alegrias com o hotel e os colaboradores!!,"Excelente hotel!! Comidas muito boas, bebidas sempre geladas, todos os funcionários simpáticos e prontos para ajudar, pessoal do entretenimento todos animados!! Clube de praia também excelente, só atravessar a avenida e tem um funcionário que ajuda a parar os veículos para os pedestres passarem!!! TUDO muuuuito Bom!! Voltaria fácil!!!!"
nov. de 2022,4,O atendimento é ótimo,"A limpeza é impecável! Tudo muito limpo!  Todos os funcionários muito educados!  Gastronomia variada, bar da praia muito bom.  Ótima localização!  Ambiente muito limpo e aconchegante!  Sempre que possível voltaremos!"
nov. de 2022,5,Férias,"Excelente hotel, quartos amplos, funcionários prestativos, educados, sempre alegres, animação total, fique 5 dias e foi td perfeito, alimentação sensacional, drinks, eventos no hotel perfeito, musica ao vivo, Recomendo a todos irem com a familia, com bar do hotel na praia muito pratico, td show."
nov. de 2022,3,Férias,"Resort com área ampla e bonita, funcionários educados, local limpo e variedade de bebida justa pelo preço. Cristicas: Área coberta da piscina e clube da praia pequenos, não serve água de coco no hotel, horário do check in muito tarde, sem banheiro infantil na área da piscina."
nov. de 2022,5,Melhor viagem,"Estive no hotel do dia 02/11 até 06/11 , e sem dúvidas foi uma das melhores viagens que já fiz, começo elogiando muito o atendimento e a simpatia que TODOS os funcionários dali oferecem, o hotel oferece uma variedade de comidas, as bebidas além de se serm muito caprichadas, estão sempre muito gelada e bem servidas (Recomendo pedirem a ""Alexander""), com certeza voltarei!"
nov. de 2022,5,Altamente recomendado,"Amamos nossa experiência no Coroa Vermelha Beach. Todos os membros da equipe prestaram um serviço de alto padrão. Destaco a presteza da equipe quando precisei mudar o meu pai de quarto (por causa da dificuldade de mobilidade dele) e fui prontamente atendida.    As instalações do hotel, comida, entretenimento e comodidades foram incríveis.    Eu super recomendo uma estadia no Coroa Vermelha Beach All Inclusive."
nov. de 2022,5,Perfeição Define,"Simplesmente me faltam palavras para elogiar os atendimentos de todos os funcionários, independente da função, a comida, a variedade. Sou ovolactovegetariana e nao tenho nada a reclamar, pelo contrário, como muitíssimo bem em todos os momentos. A feijoada de sábado é servida na praia, achei fantástico.  Eu simplesmente quero voltar milhares de vezes. Acredito que eu e meu esposo éramos os únicos sem filhos no local, rs. É um hotel extremamente familiar, com muita atração pra crianças. Tinham muitas famílias com bebês bem novinhos também, fica bem claro que a estrutura atende muito bem. Os animadores são divertidos e com uma energia contagiante. Nada nada a reclamar. 0 pontos negativos.  Estão de parabéns. Limpeza impecável. Eles respondem no wpp com eficiência, tiram todas as dúvidas, explicam muito bem."
