Data da opinião,Nota,Título,Conteúdo
12 de dez.,4,Bom custo benefício,"Hotel é bom, restaurante excelente, bom atendimento pelos funcionários na área da piscina e bares. Quarto amplo e confortável. Somente a Internet deixou a desejar. Wi fi é ruim, principalmente nos quartos. Localização boa, com acesso direto à praia. Gostei bastante do hotel."
nov. de 2022,5,Um resort com tudo de bom,Já é a segunda vez que vínhamos a esse resort maravilhoso quartos perfeitos comida deliciosa área de lazer top com muitas atividades todos os garçons da piscina e restaurante ótimos especialmente a emilie do restaurante nos atendeu muito bem
nov. de 2022,5,Dúvida,"Olá boa tarde. Estou indo em dezembro passar uma semana com a minha família e gostaria de saber, indo pela Montreal, o que está incluso na hospedagem? Dentro do site da montreal não tem essa informação disponível."
nov. de 2022,5,A perfeição,"O local é espetacular, pé na areia a arquitetura é linda e antiga mas a manutenção a deixa tudo muito perfeito. A piscina é limpa e grande a comida ótima. Neste resort é possível conhecer a história do cacau com uma mini fazenda construida com maestria. Lazer não falta."
nov. de 2022,5,excelente custo benefício,"O resort é perfeito, principalmente na avaliação custo benefício. Excelente localização, pé na areia, serviço de praia, bar molhado, restaurante com pratos variados, recreação com monitores para crianças, excelentes quartos. Recomendo."
12 de dez.,4,Bom custo benefício,"Hotel é bom, restaurante excelente, bom atendimento pelos funcionários na área da piscina e bares. Quarto amplo e confortável. Somente a Internet deixou a desejar. Wi fi é ruim, principalmente nos quartos. Localização boa, com acesso direto à praia. Gostei bastante do hotel."
nov. de 2022,5,Um resort com tudo de bom,Já é a segunda vez que vínhamos a esse resort maravilhoso quartos perfeitos comida deliciosa área de lazer top com muitas atividades todos os garçons da piscina e restaurante ótimos especialmente a emilie do restaurante nos atendeu muito bem
nov. de 2022,5,Dúvida,"Olá boa tarde. Estou indo em dezembro passar uma semana com a minha família e gostaria de saber, indo pela Montreal, o que está incluso na hospedagem? Dentro do site da montreal não tem essa informação disponível."
nov. de 2022,5,A perfeição,"O local é espetacular, pé na areia a arquitetura é linda e antiga mas a manutenção a deixa tudo muito perfeito. A piscina é limpa e grande a comida ótima. Neste resort é possível conhecer a história do cacau com uma mini fazenda construida com maestria. Lazer não falta."
nov. de 2022,5,excelente custo benefício,"O resort é perfeito, principalmente na avaliação custo benefício. Excelente localização, pé na areia, serviço de praia, bar molhado, restaurante com pratos variados, recreação com monitores para crianças, excelentes quartos. Recomendo."
nov. de 2022,4,Bom custo benefício,"Estive recentemente no Resort e gostei bastante. Local próximo ao aeroporto de Ilhéus e do centro da cidade, possui uma área externa muito bem preservada e bonita. Têm serviços de massagem, quadras esportivas, academia, espaço kids, loja de artesanato, de chocolate, entre outros. Aos que vão com crianças, o Resort oferece recreação durante o dia e a noite. Piscina ampla e bem cuidada, praia de acesso limpa e conservada. Tanto no restaurante e no lounge próximo à praia oferecem comidas deliciosas. Café da manhã farto, sempre com utensílios e a comida abastecidos. Todos funcionários que tive contato são atenciosos e prestativos. O que não gostei foi o quarto que ficamos (quarto 91), possuía sinais de infiltração, pouco arejado e fácil ouvir ruídos de outros quartos e do corredor. Possuía ar condicionado, porém após alguns minutos ligado caía água da máquina suficiente para molhar o chão, então era obrigado a desligar."
out. de 2022,5,Ferias e lazer,"Foram dias incríveis, adoramos o hotel bem localizo pé na areia, café da manhã farto e delicioso, tapioca e omeletes feitos na hora, atendimento excelente, nada a reclamar só agradecer, lazer adulto e infantil muito bom toda equipe de lazer estão de parabéns, praias limpas e bem cuidadas, cabana a beira mar, agradecer ao Tierry, Amália, Eder, Dan, Cabrito. Obrigado Jardim Atlântico."
out. de 2022,5,Descansar,Pela quinta vez estivemos nesse Paraíso q é o Resort Beach Jardim Atlântico!!! Costumamos brincar q voltamos sempre para ver se achamos algum defeito mas cada volta é um flash de tão receptivo.... fazemos tantas amizades com os funcionários q retornamos para rever essa galera q nos recebe tão bem. Deixamos aqui nossa Gratidão aos rapazes da Portaria...Pessoal da Recepção (q depois da Reforma ficou magnífica)...os rapazes q transportam nossas malas...Camareiras ( Sara a Chefe ...Leila e Rose q cuidaram de nossos qtos)....Todo pessoal do Restaurante (não vou citar nomes porque são muitos e todos nos tratam com muito carinho ❤️)...O Leonardo e sua equipe q cuidam das piscinas são excelentes...nunca vi turma de Recreação tão preparada como essa: Tia Lili Tio Eder Tio Cabrito Tia Cacau Tia Pudim etc...(desculpa esqueci os outros nomes)  Super recomendamos esse Resort e deixamos nosso Forte Abraço para todos inclusive para Gestora do RH e para as meninas dos passeios Rithiele e Joana...Juliana Equipe de reservas.  Ahhh! Até a próxima!!! Com certeza retornaremos!!!  Áurea Lúcia e Wilson ( o bigodinho)  Rose e Francisco (o Bigode)  16.10.2022 a 26.10.2022
out. de 2022,5,Nós realizamos uma avaliação com relação a nossas férias inesquecível no Resort. Nós gostamos muito.Todo pessoal de para,"Maravilhoso café 😋  Tio cabrito é o melhor professor de integração que já conheci.  O Resort está de parabéns!!  A hospedagem foi excelente, o atendimento perfeita. A limpeza do espaço excelente muito ☺️"
out. de 2022,5,Ritz suítes,"Passando para agradecer a toda equipe deste hotel, são funcionários especiais ,fomos muito bem recebido.O atendimento nota mil ,limpeza impecável, café da manhã feito com muito carinho, fica aqui um abraço mais que especial da Turma do Paulo Henrique Moreno de Minas gerais"
out. de 2022,5,Tudo ótimo 😁,"Tudo ótimo, a comida o atendimento a localização. Agradeço especialmente a tia Lili e a Tia cacau pelo cuidado e entretenimento para com minha filha, em especial por que ajudaram na comemoração do aniversário dela.    Tudo perfeito, muito obrigado!"
out. de 2022,5,Experiência no hotel,O lugar é fantástico!! De frente pra praia milionários . Saindo da piscina você caminha em torno de 50 passos e está no mar. Gostaria de fazer um agradecimento especial ao atendimento da noite personificado pelo Júnior Luís que conduz com maestria sua equipe
out. de 2022,5,Lugar incrível e acolhedor!,"Espetacular! Ótimas instalações e pessoal bastante gentil e atencioso!  Entre os vários funcionários, destaco o bom atendimento de: Caio, Rafael, Jeferson, Aratana, Juliana, Paty, Amália, Maiane, Lili, Saulo e Aluísio.  Lugar agradável e com ótima localização!"
