Data da opinião,Nota,Título,Conteúdo
13 de dez.,4,Ótimo,"Otima! Magnífica estrutura., tem tudo para se ter um bom estar no local, sem precisar sair do risorte, a rede disponibiliza toda estrutura que um turista vem buscar diversão momentos, agradabilíssimo e momentos prazerosos para toda família."
10 de dez.,2,"Péssima experiência, não recomendo!","O quarto estava sujo, banheiro precisando de manutenção, atendimento péssimo e café da manhã ruim. Passamos 2 diárias no hotel, o quarto estava sujo e continuou assim até nossa saída, mesmo pedindo para limparem, não fomos atendidos, não fizeram nem a limpeza diária….. os pratos usados no jantar da sexta, com restos de comida, permaneceram no quarto até a nossa saída no domingo, um absurdo. Ao tentar falar com o gerente, a funcionária da recepção recusou-se a chamar a menos que relatássemos primeiro para ela qual o motivo, enfim, uma péssima experiência."
10 de dez.,4,Muito bom hotel.,"Hotel bem localizado, e prédio muito bonito. Tem um frigobar, piscina e boas opções para café da manhã. Quarto bem grande e espaçoso, com bela vista para o mar, e o banheiro também é grande, com um custo benefício bom. Camas confortáveis e televisão boa."
nov. de 2022,4,BEM LOCALIZADO!,"A localização é ótima para que quer ficar na orla de Salvador. O hotel, apesar de antigo, oferece boas instalações e possui funcionários atenciosos e bem treinados, com destaque para o Edson, muito simpático e solícito. O café da manhã é bom e bastante variado e o restaurante também presta um bom atendimento. Recomento!"
nov. de 2022,5,Vista espetacular do quarto,"Hotel muito bom com a localização é vista excelente. O quarto tem uma vista para o mar perfeita, e o quarto é muito espaçoso para uma família. A limpeza é impecável, a piscina é pequena mais compensa é vista que é espetacular. A equipe do hotel muito educada e prestativa."
out. de 2022,3,Estadia ok!,"Hotel antigo, quarto MUITO antigo e banheiro sem ventilação alguma, cama barulhenta e colchão muito mole, cada virada era um NHEC NHEC! Hotel antigo e necessita de reformas! Café da manhã ok, porem tumultuado, se você quiser tapuoca ou omelete, tem que enfrentar uma fila desnecessaria, poderia ser evitada se tivesse mais 1 pessoa para fazer e servir! Piscina com uma vista linda! Jantar muito ok!"
out. de 2022,5,Vista maravilhosa para o mar,"O hotel está muito bem localizado, perto do farol da Barra, aonde é possível ir caminhando. A equipe é muito cordial e simpática. A vista para o mar do quarto e do restaurante do café da manhã é de tirar o fôlego. Muito limpo e aconchegante. Recomendo uma olhadinha nos pisos do Box do banheiro, parecem ter alguns soltos, mas nada que atrapalhe ou prejudique a estadia. Adoramos o lugar."
set. de 2022,5,Excelente hotel.,Hotel com boa conservação. Café da manhã variado com estação de tapioca e ovos. Funcionários simpáticos e atenciosos. Próximo ao Farol da Barra. Fomos caminhando. Linda vista dos quartos para o mar . A piscina poderia ser aquecida no inverno
ago. de 2022,5,Meu hotel em Salvador,"Esse hotel conta com todos os meus elogios. Localização maravilhosa, piscina com vista para o mar, quartos grandes e confortáveis, café da manhã divino e com muita variedade. Indico quarto vista para o mar. Meu lugar em Salvador. Recomendo."
ago. de 2022,5,Nome que faz jus ao serviço.,"Hotel que vale muito a pena. Localização muito boa. Quarto é amplo, bem decorado, limpo e cheiroso. Roupa de cama e enxoval de qualidade. Banheiro amplo e funcional, em que pese a necessidade de alguma manutenção pontual (ducha higiênica, por exemplo, e a iluminação pode ser melhorada), mas nada que possa estragar a hospedagem e experiência. Piscina linda e com vista maravilhosa. Café da manhã muito bom, com várias opções para o desjejum. Staff com atendimento cordial, profissional e muito hospitaleiro. Em um retorno à cidade, certamente a primeira opção."
ago. de 2022,3,Hotel com foco turístico que peca na gentileza.,"Hotel limpo, frequentando grande parte por turistas, localizado no bairro de Ondina. O que me deixou decepcionado foi a falta de cortesia, não sei se é ausência de atenção ou realmente intencional. Uma simples situação já demonstra isso, cheguei no hotel próximo às 11h e fui informado que o check-in se inicia as 15h, entendo perfeitamente que essa é a regra do estabelecimento. Informaram que deixaria o nome numa lista de espera e que era pra aguardar uns minutos. Saí para almoçar e retornei em torno das 13:30h, disseram que não havia quarto disponível ainda. Em torno de 1 hora depois chegou um casal estrangeiro que prontamente conseguiu um quarto e ao questionar a recepção a justificativa foi que ""a categoria de quarto era diferente."". Enfim, consegui pegar a chave do quarto as 14:45h.    Novamente entendo que não é obrigação alguma do hotel fazer check-in antecipado, mas senti uma extrema falta de vontade em realiza-lo, sao atitudes pequenas que encantam o cliente, cortesias simples que demonstram o motivo do hotel existir: o hospede.    Essa foi minha experiência no hotel, não encantou."
ago. de 2022,5,Ótima experiência,"Muito bem localizado, equipe super atenciosa e uma vista incrível para o mar. Restaurante com pratos muito bons e preços justos. Café da manhã bem servido. Só tivemos experiências boas em nossa estadia, em salvador. Inclusive, como fica perto da barra, fizemos pudemos caminhar pela orla."
jul. de 2022,3,"Excelente acomodação e vista na suite superior, porém faltou um pouco de atenção.","A suíte superior é muito espaçosa, confortável e limpa, com uma vista de tirar o fôlego, restaurante muito gostoso e honesto, e café da manhã formidável. O ar condicionado do quarto é que era bem barulhento, sem opção de escolher a temperatura. Porém o maior desconforto que faz com que eu tenha que avaliar negativamente foi o inconveniente do ralo do chuveiro entupido. Avisei no primeiro dia, porém ninguém foi verificar e dar uma alternativa. Então os banhos de 4 pessoas tiveram que ser rápidos para a água não transbordar pela suíte, e mesmo assim com a água pelas canelas. No checkout reiterei sobre o problema e tive que me contentar com um ""sinto muito""."
jul. de 2022,4,Linda vista,O hotel é bem localizado. O quarto é amplo e confortável. Café da manhã bem servido e variado. Tem um bar e servido de jantar a partir das 19h. O restaurante também oferece servido de transfer sem custo pro restaurante Barra Vento. E um drink de brinde. O único problema é o chuveiro que não esquenta.
jul. de 2022,3,Férias de Julho -16 a 21/07/2022,O hotel possui excelente localização. Funcionários gentis e atenciosos. Restaurante com pratos excelentes e preço justo. Peca na iluminação do quarto e partes internas do hotel. Café da manhã muito fraco e repetitivo.
jul. de 2022,3,Não foi o que esperávamos da Rede Vila Galé,"Ficamos hospedadas num grupo de quatro amigas, sendo duas suítes (5 dias / 4 noites).  O Hotel é bonito e amplo. A área da piscina é muito linda e limpa, assim como o restaurante.  O café da manhã é ótimo, mas o horário é muito restrito pra quem faz passeios que começam muito cedo (oferecem um café muito básico até às 7h e somente a partir disso, o café completo).  A limpeza e serviço de quarto deixaram a desejar (troca de toalhas lamentável).  O melhor funcionário sem dúvida o Sr Edson, nos ajudou em tudo, super educado, pró ativo e cortês.  O restaurante tem um ótimo cardápio a la carte, mas infelizmente só conseguimos utilizar uma noite, pois nas demais fizeram serviço de buffet, cujas opções e preço nas se justificavam (principalmente a noite!), precisam rever. O atendimento da equipe do restaurante tb deixa a desejar (mal humorados e sem paciência).  A localização é boa pra quem está de carro, fica num ótimo bairro, mas longe de tudo."
jun. de 2022,5,Ótima opção.,"Estivemos no hotel por três noites. Quarto grande, muito bom e áreas do hotel também muito bonitas. Café da manhã ótimo! Localização bem tranquila também. Único ponto negativo foi o atendimento de um dos recepcionistas que era bem seco. De resto tudo ótimo! Voltaríamos!"
jun. de 2022,3,Não foi o que esperávamos,"o hotel é excelente, mas tive uma péssima experiência. sou guia de Turismo e fui a passeio com familia e amigos. No apartamento estava eu meu esposo e minha filha, aonde havia duas camas de casal a famosa cama de viúva que mal cabia eu e me esposo, ficamos uma semana de ferias, no segundo dia fui a recepção e reclamei que a cama cheirava xixi e que estava inviável dormir naquele cheiro. resumindo foram 3 dias reclamando e nada fizeram pensa o descaso dos recepcionista. No quarto dia desci a recepção e pedi para falar com a gerência pq o descaso era grande e a estadia nao foi barato pela qualidade que estavam nos oferecendo, ai para amenizar a situação nos passaram para uma suite no sétimo andar apto 702 aonde finalmente podemos aproveitar a estadia. O café da manha e jantar era maravilhoso, teve três funcionários que se destacaram lamentável que não nos lembramos o nome deles. a moça da agência o mensageiro um senhor moreno alto, a moça que era responsável por fazer tapioca no cafe da manha eles foram incríveis. era nossa terceira viagem a Salvador mas esta parte foi frustante. espero que outros nao passem por isso."
mai. de 2022,5,Excelente hotel!!,"Excelentes, hotel e localização, mas recomendo o quarto mais amplo, cujo ""puxadinho"" tem mesa e sofás, que dá para almoçar e jantar, confortavelmente. Só alerto, a quantidade radares nos arredores do hotel."
abr. de 2022,2,Frustante,Estamos a negócios pra levar grupos nosso quarto reclamamos três dias e nunca eles resolviam  No terceiro dia que nós colocaram em um quarto melhor mas a experiência já havia acontecido foi algo bem frustante café da manhã salão pequeno não acomoda muita gente tipo grupo e a reposição péssima muito lenta né recordo que tinha croassant duro e queimado reclamei a moça me disse fui a cozinha e já vão trocar fiquei esperando e nada então não volto mais nesse hotel e uma pena !
mar. de 2022,5,Conhecendo Salvador!,"Bom, passamos no hotel três diárias e fomos muito bem atendidos, de entrada destaco o Sr. Edvaldo recepcionista que nós recebeu super bem, e nós passou bastante informações sobre o hotel e a região. Cearense e acolhedor e adora acolhimento, obrigado Edvaldo.  O hotel é muito bonito, bem localizado, quarto bem aconchegante, destaco o 1 andar com sua bela varanda, que nós da direito a uma ótima vista da praia. Café da manhã muito bom! Buffet bem apresentado e limpo. No geral adoramos nossa estadia.  Dica, por fora do hotel a belos percursos que nós disponibilizam acesso a praia, são trilhas muito bonitas, porém necessita de uma atenção ali, no reparo, por placas de avisos para que possamos sentirmos mais seguros ao se deslocar até a praia.  No geral, adoramos!"
mar. de 2022,3,Estrutura,"Hotel é em um área muito boa, porém deixa muito a desejar. Os quartos tem pouca iluminação, o ar condicionado e uma central única que distribuída para todo o hotel, sendo que dentro do quarto não resfria e ficando uma temperatura desconfortável, a rede de TV não tem internet e também não funciona a TC a cabo em alguns apartamentos."
mar. de 2022,4,Bem tranquilo.,O Hotel fica em uma àrea muito boa proximo ao Barra Shopping e o Farol da barra.  O café da manhã bom e os funcionários são bem solicito tem um ponto de taxi em frente ao hotel e tb tem uma agencia que agenda os passeios no lobby City tour Pelourinho e cidade baixa muito bom  No Geral um bom hotel voltaria com certeza.
mar. de 2022,3,Razoável,"O hotel é bom, mas está precisando de manutenção. Os quartos e banheiros são amplos, porém estão velhos. A cortina, mesmo com o blackout, continua deixando o quarto muito claro de manhã. O ar condicionado é central, portanto, não se pode controlar a temperatura que deseja no quarto, sendo possível somente controlar a intensidade da refrigeração! Para mim, isso foi um grande problema, visto que, mesmo no “low”, o quarto ficava frio demais, porém, com o ar desligado, o ambiente ficava abafado. A limpeza também deixa a desejar, o banheiro estava sujo quando chegamos e o chão não foi bem varrido durante a estadia. A localização é boa e o Wi-Fi também! O café da manhã apresenta uma variedade de opções impressionante, todavia, muitos hóspedes não respeitam os protocolos adotados em relação à prevenção do COVID e a equipe do hotel parece não se importar, o que me deixou um pouco desconfortável no restaurante. No geral, por ser um Vila Gale, fiquei um pouco decepcionado."
