Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Continua sendo excelente. Continues to be excellent,"Ficamos 6 noites, somos uma casal e 2 crianças (9 e 7). O local é perfeito para o descanso e lazer, há recreação para as crianças o dia todo, a praia é linda e a piscina convidativa. O cardápio do restaurante é excelente, tudo que pedimos foi muito bom. Inauguraram um novo bar na praia, lindíssimo. Só elogios, mesmo. Essa foi nossa 3ª vez e sem dúvidas iremos novamente. Além de tudo isso, fizemos um passeio com o Alemão para Boipeba (agende credenciado independente do hotel) que tornou essa visita ainda mais especial. Vale cada centavo.    We stayed 6 nights, we are a couple and 2 children (9 and 7). The location is perfect for rest and leisure, there is recreation for children all day long, the beach is beautiful and the pool inviting. The restaurant menu is excellent, everything we ordered was very good. They opened a new bar on the beach, beautiful. Only praise, really. This was our 3rd time and we will definitely go again. In addition to all this, we took a tour with Alemão to Boipeba (accredited agent independent of the hotel) which made this visit even more special. Worth every penny."
26 de dez.,5,Férias,"Muito bom hotel, com estrutura ótima e excelente equipe de Serviços em todas as áreas.    O hotel permite um guia local operar passeios na recepção de oraia que é fantástico, o Alemão. Gente muito boa com opções de passeios incríveis a lugares exuberantes. Parabéns ao hotel por essa parceria."
21 de dez.,5,Férias em família,"Simplesmente perfeito! A estrutura é fantástica… os apartamentos são espaçosos, o banheiro grande com tudo que você imagina… até shampoo e condicionador em grande quantidade para o hóspede. Disponibilizam um varal de pé (o que é super útil para secar roupas molhadas. As áreas comuns são impecáveis, limpas, organizadas. A piscina maravilhosa. Super indico para quem tem criança… durante todo o dia tem programação com monitores… é perfeito! O atendimento tanto na piscina quanto no restaurante são maravilhosos. Café da manhã super variado, TOP!  O resort fica distante do centrinho, mas há transporte gratuito em diversos horários."
20 de dez.,4,"Praia paradisíaca, hotel bacana mas tem que melhorar","O hotel é pé na areia, com amplo espaço em meio a jardins e piscina. Bangalô amplo e limpo. Alimentação: os pratos não surpreenderam, mas o principal é que sempre chegam mornos ou frios; café da manhã com vários produtos mas sem higiene, inexisistindo gerência que verifique a limpeza regular dos recipientes de repouso de talheres ou das tampas destes recipientes pegos por centenas se pessoas durante horas (ninguém passa um álcool 70, ou dá qualquer limpezinha…), as colheres para pegar as coisas ficam mergulhadas juntas numa água suja de restos de alimentos que se acumulam; não há uma preocupação com temperaturas altas e exposição de alimentos com proteínas num apoio que pega um sol escaldante, dando a impressão de que não há realmente um profissional qualificado (nutricionista, gerente) para cuidar dessa parte sanitária. Se há, não está cumprindo um papel responsável. No jantar, duas vezes esqueceram nosso pedido. Um deles cancelamos e voltamos para o quarto e o outro, após 50 minutos de espera, fizeram às pressas após pedirmos para ver o que estava acontecendo; solicitamos o gerente para bater um papo sobre a situação e então vimos que o problema estava aí: a resposta foi de que não há gerente à noite. Falta coordenação, liderança e gestão no restaurante. O mais importante é que a 4ª praia é paradisíaca, de um azul turquesa estonteante e o hotel acolhe bem no geral. Recreadores dedicados, Livia da massagem recomendadíssima e suporte na praia sem queixas. Não há academia, então se chover não dá pra contar com essa opção. Legal se o hotel melhorar nesses aspectos, porque é uma aventura chegar até o local."
6 de dez.,5,Um hotel surpreendente,"Um hotel incrível. Não é gigante, mas atendeu demais as expectativas. Comida muito boa, serviço maravilhoso. Garçons educados, exceto o Plinio que foi super mal humorado e grosseiro. Todos os outros foram mil.  Voltaria mil vezes! Quarto confortável, programação infantil ok. Dou nota máxima!"
nov. de 2022,5,Férias em Morro de SP,"Hotel com estrutura excelente, funcionários muito atenciosos, limpeza impecável, grande variedade de comida e bebidas, muitas opções de laser, transporte de hora em hora para o centro de morro. Local muito bonito para quem quer desligar da rotina."
nov. de 2022,4,Precisa melhorar todo sistema de alimentação.,"Depois de um longo translado até Morro, vc finalmente chega em um oásis, com muita natureza e tranquilidade.    O hotel é ótimo, quartos amplos com varanda e rede. Área de lazer ótima com piscina e serviço de praia, além de várias quadras de esporte.    O hotel fica na 4 praia, mas tem translado gratuito até a vila.    Ponto negativo foi a alimentação. Apesar do preço justo, a qualidade deixa a desejar. Pedi os pratos de especialidade da Bahia, mas foram péssimos. Café da manhã muito antiquado e pouco profissional. Por exemplo, mas colheres para se servir ficam em um pote com água. Muito antihigiênico.    O hotel quer ser sofisticado, mas precisa melhorar muito alimentação. Não condiz com a estrutura restante do hotel."
nov. de 2022,5,Ir depois de feriado é bom demais!,"Alem do conforto, a propria localização na 4a praia abrindo opções para diversos passeios, do caminhar, bicicleta, charrete, e lancha enriquecem a experiência, corroborada pelo atendimento de excelência fazem a bela diferença e alegria."
nov. de 2022,4,"Boa estrutura e facilidades, comida razoável","Boa estrutura com facilidades de um resort a um preço razoável. Oferecem transfer gratuito para a vila em vários horários diariamente. Ótimo no quesito limpeza e organização. Café da manhã com muita quantidade mas qualidade razoável. Os pratos do restaurantes caros pela qualidade,."
nov. de 2022,5,Paz,"Se você procura por um lugar tranquilo, em meio a natureza, em uma das praias mais bonitas de Morro de São Paulo, então o lugar é nesse hotel. Uma bela infraestrutura, com um ajardinamento muito bonito. Ficamos um um bangalô longe da área social e foi ótimo, pois as noites foram de um sono revigorante!  A equipe do hotel merece nosso agradecimento especial, pois foram muito solícitos e acolhedores. Nos sentimos em casa. Restaurante do hotel com comidas muito boas e com preço justo.  Tem recreação muito interessada em fazer as crianças e adultos felizes❤    Adoramos nossa estada!"
nov. de 2022,5,Experiência Sensacional,"Patachocas não decepciona do início ao fim!! Tem ônibus para chegar até lá de hora em hora. Quem vai com criança é sensacional, pois tem muitas atividades com monitores, e para adultos tbm!! O Chef de cozinha - Bira - é excepcional… Que comida saborosa e preço justo! Funcionários muito educados e sempre dispostos a ajudar. Recomendo muito e já penso em voltar!!"
nov. de 2022,5,Excelente em tudo!!!,"Hotel fantástico!!  Fui na minha Lua de Mel e me surpreendi. Quartos grandes, limpeza dos quartos e áreas comuns impecáveis. Atendimento nota 1000 do Maitre do restaurante Sr. Afonso e dos recepcionistas Pedro e Mateus, PARABÉNS!  Mesmo o hotel ficando um pouco distante da Vila, isso não é problema, pois eles tem transfer e são extremamente pontuais qto aos horários.  Com toda certeza super indico!!!!"
nov. de 2022,5,Sensacional.,"Sensacional do atendimento à limpeza, da decoração ao restaurante, da paz ao conforto. Apesar da distancia da vila a disponibilidade do transfer e a pontualidade são impressionantes. Voce tem acesso fácil e rapido. A variedade do cardápio bem como a cordialidade de todos nos encantou."
out. de 2022,5,Resort Patachocas,"Viajamos em família e quando chegamos ao local nos surpreendemos com a recepção, todos muitos cordiais e atenciosos!  A nossa hospedagem foi incrível…  Comida maravilhosa, saborosa, atendimento super rápido, tudo preparado com muito capricho e qualidade.  Quartos, banheiros, roupas de cama, tudo impecável! Muito bem higienizado, cheiroso, confortável!!!  Aos monitores obrigada pelo carinho e atenção com nossas crianças!!!  Café da manhã excepcional!!! Atendimento nota 1000!!!  Parabéns a todos os funcionários do hotel, pelo tratamento e cuidado com que nos receberam!!!"
