Data da opinião,Nota,Título,Conteúdo
25 de dez.,5,Casa Di Vina,"Avaliações que eu li antes de ir para o hotel quase me fizeram desistir da reserva, por sorte ou não sei porquê, resolvi arriscar. O hotel que encontrei, nada tem a ver com inúmeras avaliações negativas que encontrei por aqui. Assim, deixo abaixo minhas impressões:  Localização/ Segurança  O hotel Casa di Vina, fica na bela praia de Itapoã, famosa pela música de Vinícius de Morais (o Vina), que morou no local onde é o hotel hoje. Sua casa foi transformada em um pequeno museu e há outras dependências ao seu redor para acomodar hóspedes.  PRAIAA praia em frente ao hotel conta com vários quiosques que servem os mais variados tipos de porções e bebidas. É possível passar o dia na praia regado a uma boa água de coco geladinha e comento alguns tira-gostos.Me chamou a atenção, e isso em toda a orla da mesma praia, que muitos quiosques pequenos não têm a infraestrutura necessária para cozinhar, porém todas têm ligação com algum restaurante das proximidades e as porções chegam quentinhas à sua barraca na praia. Não tive tempo de verificar condições sanitárias, o que me causou um certo incômodo, mas comi camarão quase todos os dias e não tive nenhum problema de intoxicação.  SEGURANÇA  De fato, a praia de Itapoã tem problemas de segurança e os próprios funcionários do hotel podem dar referências do que é mais ou menos seguro fazer. Não tivemos problema nenhum. Fomos à praia várias vezes a pé, outras até de ônibus para trechos mais distantes. A dica é não sair mais à noitinha.  Peguei ônibus várias vezes e o ponto fica em frente ao hotel, garantindo facilidade e praticidade no transporte.  A&B  Vi comentários bastante negativos sobre a comida, inclusive com grande ênfase às questões sanitárias, mas saí do hotel com a impressão de que o lugar descrito por outros viajantes não é o mesmo em que fiquei. Um restaurante muito bem organizado, com funcionários atenciosos, competentes e cordiais. Todas as regras sanitárias obedecidas, desde a cozinha toda protegida por telas, como manda a defesa sanitária, até o salão onde são servidas as refeições. Funcionários devidamente uniformizados (inclusive tocas e calçados),trabalham tanto na cozinha, que tem parte da parede feita em vidro, para que qualquer hóspede possa acompanhar as ""cozinhanças"", garantindo a transparência dos processos.(fotos em anexo)  De manhã cedinho já começa a ser servido um farto café, que oferece desde frutas da época até ovos mexidos ou fritos, vários tipos de pães, bananas da terra, linguiça, bolos e tortas, bolinhos de tapioca, café, sucos e leite. Guardanapos de primeira. Talheres excelentes. Um verdadeiro café internacional. Impossível não gostar (fotos em anexo).  Para almoço e jantar o menu a la carte é enxuto, como deveria ser, mas oferece opções para todos os gostos.  Serviço de quarto eficiente e rápido. Em um dia cansativo de minha estadia, com o estômago meio sensível por causa de um passeio de barco, resolvi tentar, apesar do calor, uma de canja de galinha. Recebi uma sopeira com a deliciosa canja, bem servida, pãezinhos para acompanhar e pratos e talheres para duas pessoas. Aquilo foi como receber o colo da minha mãe após um dia exaustivo! Saborosa, quentinha, com ingredientes frescos, o prato, inesperadamente me conquistou! (Fotos) Obrigada chef pelo seu carinho, que chegou ao meu quarto em forma de canja! Assim, só me resta reforçar aqui, que este não é um serviço de hotelzinho. O Casa de Vina oferece serviço de hotelaria de primeira.  Manutenção  Algumas ponderações nesse aspecto. Começo pela piscina. Não observei, em nenhum momento de minha estadia, que foi de seis noites, uma pessoa designada a fazer a manutenção da piscina, o que pode ter acontecido por dois motivos: não foi feita, ou, a piscina tem água ionizada. Fato é que, a água esteve o tempo todo turva, causando um certo desconforto para quem usava.  Há pequenos problemas aqui e ali. O apartamento em que fiquei apresentava manchas de manutenções passadas nos rodapés dos cantos de algumas paredes, mas nada que ficasse desconfortável para o uso.  Apartamento com limpeza muito bem feita, sem odores, ar condicionado funcionando, toalhas de banho maravilhosas (até tentei comprar algumas... mas não estavam à venda :(  . (não é hotelaria de amadores!).   As camareiras foram sempre atenciosas e a limpeza dos quartos, feita à perfeição.  Para não deixar em aberto. Dois dias antes do meu check out, pude observar vários funcionários iniciando trabalhos de manutenção como a pintura na área externa da recepção. Concluo assim, que o olhar para a manutenção existe sim! Talvez uma sugestão seria de dar um pouco mais de atenção à piscina mesmo, visto que é um cartão de visita para os hóspedes.    Conclusão  De maneira geral, o hotel é lindo! Tudo funciona bem, pessoas sempre sorridentes, um ótimo chef de cozinha, garçons, recepcionistas. Fiquei muito confortável, dormi bem e comi bem. O hotel Casa di Vina superou todas as minhas expectativas e saí de lá com o coração apertado com vontade de passar mais tempo. Voltarei!!Voltarei em breve, pois tudo o que o hotel me ofereceu só me deixou com um enorme gostinho de quero mais!  Obrigada Cada di Vina!!"
mai. de 2021,5,Experiência inesquecível,"O hotel é charmoso e agradável. Fiquei numa suíte na casa de Vinicius de Moraes... uma experiência inesquecível. Conforto, história e memórias do nosso amado poeta... tudo muito bom! Ducha deliciosa, café da manhã caprichado no restaurante Casa di Vina, funcionários gentis e atenciosos... excelente estadia!"
20 de dez.,5,Comida e ambiente encantadore,"O hotel é muito gostoso, aconchegante e limpo.  Os quartos são pequenos, mas acolhedores.    O restaurante é maravilhoso! Comida muito gostosa, bem servida e o ambiente é muito bom.  O serviço é bom, atenciosos, cordiais e amistosos.    Fica na casa que foi de Vinícius de Moraes e tem muitas escritas e letras de suas músicas pelo ambiente."
6 de dez.,4,Delícia para fãs de Vinícius de Moraes,"Hotel temático Vinícius de Moraes e Gessy Gesse. Um delícia para fãs de Vinícius. As áreas comuns como piscina, jardins, só tocam música popular brasileira. Esse é o ponto alto do hotel. Se puder se hospedar no quarto dos próprios Vinícius e Gessy, vale a pena. Eu não consegui, mas pude entrar no quarto e me encantei. Tem mais quartos nessa casa que é anexa ao hotel. Essa área parece ser mais sossegada. Meu quarto tinha vista pro mar mas há muitos coqueiros na frente e a areia é mais alta que o mar. O hotel tem um ótimo restaurante e uma pizzaria incrível! Café da manhã ok. Quarto ok. Cama boa, travesseiros nem tanto (plumas???) Espaço para roupas em arara com estante. Tem frigobar. Não tem isolamento acústico. Não tive sorte com o vizinho."
out. de 2022,3,Estadia,"O hotel é agradável, porém antigo, bem diferente do que se imagina quando se lê hotel Boutique. Acho que precisa renovar nas ante coisa. O atendimento da recepção é maravilhoso, porém na piscina muitas vezes má vontade. Academia péssima, acho melhor não ter do que apresentar daquela maneira."
out. de 2022,5,Uma experiência!,"É uma experiência    Conhecemos o hotel há mais de 10 anos, e sempre é uma experiência deliciosa. Além da energia do Vinicius que existe no local, o atendimento é perfeito de todos os funcionários, mas destaco a recepção com o Toni, até a camareira, com a Ivonete que nos atendeu muito bem. Quarto limpo, café da manhã ótimo…enfim, nossa casa."
ago. de 2022,5,Maravilhoso!!!,"Lugar maravilhoso onde fui pedida em casamento! Marcou a minha vida!    Atendimento acima do esperado, funcionários simpáticos,lugar tranquilo, limpeza dos quartos bem feita e comida maravilhosa!    Apenas lembranças boas desse lugar!"
ago. de 2022,2,Não se intitula Hotel Boutique!,"Pesquisamos via site do hotel referente as suas características, porém em parte acabamos decepcionados.    Alguns pontos do desagrado.    - Café da manhã fornecido o resto do café do dia anterior.    - Higienização dos quartos não há reposição de shampoo, condicionador e sabonetes.    - Os quartos não são tão diferenciados como a propaganda. Apresenta bastante odor de mofo, local sem uma ventilação adequada, ar condicionado precisando de manutenção.    Bastante ponto a ser melhorado para se intitular como Boutique!"
ago. de 2022,5,Excelente,"Tudo perfeito, suíte excelente, com vista maravilhosa para o mar, muito capricho na limpeza, as meninas são ótimas, as instalações são de ótimo padrão, piscina com atendimento diferenciado, Sr. Augusto foi o diferencial com sua recepção calorosa e acolhedora, a Ana, a Maria e toada a equipe no café e restaurante fazem você se sentir em casa, na recepção o Juvan e o time todo também deram show no atendimento, para quem quer passar pela experiência de se sentir acolhido e ser muito bem tratado, esta é a hospedagem certa!!"
jul. de 2022,2,Longe de ser Boutique Hotel!,"Pesquisamos no site e tivemos ótima impressão do Hotel. Ledo engano! Precisamos trocar de quarto 3 vezes. O primeiro era quase que insalubre (cheiro horrível), o segundo tinha mofo no banheiro e era minúsculo. Ficamos no terceiro quarto, pois já estávamos cansados. O banheiro era bom, porém, tinha uma barata morta em cima da pia!  Não podemos reclamar do atendimento! O Sr Flores foi muito gentil e prestativo, porém, as instalações não o permitiram fazer muito por nós.  Imaginamos que o Hotel Boutique se limita aos quartos da Casa de Vinicius, onde fica o restaurante. O edifício ao lado, onde está o maior número de quartos (onde ficamos) está precisando de urgente reforma.  As roupas de cama foram outra decepção, como demonstra a foto.  O café da manhã, no restaurante que fica na casa onde Vinicius morou, foi a melhor parte. Mais uma vez, funcionários muito prestativos!  Certamente não voltaremos!"
