Data da opinião,Nota,Título,Conteúdo
27 de dez.,5,Paz e tranquilidade,"Hotel espetacular, para quem busca muita paz e tranquilidade ,atendimento excelente da equipe , tudo muito limpo e organizado, a atenção de D Rebeca aos hóspedes , a cozinha perfeita , café da manhã excelente, ótima localização."
21 de dez.,5,Impecáveis no serviço.,"Atendimento perfeito! Melhor hospedagem, limpeza, atendimento, café e disponibilidade. Em especial para o atendimento de Sr. moura, Luana, Eva e Márcia. Vamos voltar em breve com certeza, se Deus quiser!"
14 de dez.,4,"Hotel lindo, bem cuidado, com dependências bem cuidadas","Hotel bem cuidado, quartos espaçosos com jardim privativo. Dependências do hotel com decoração cuidadosa, piscina (e hidromassagem) muito boa, jardim bonito. O que precisa melhorar: café da manhã com várias opções, mas nada inclusivo (para pessoas com intolerância). Issonprecisa melhorar"
6 de dez.,5,O melhor dos hotéis da Chapada Diamantina,"Não temos dúvidas na hora de reservar um hotel na Chapada Diamantina. O Hotel de Lençóis é especial seja pelas instalações, seja pela integração destas com boas práticas ambientais, ou ainda pelo atendimento atencioso e eficiente. O lugar é lindo…nós simplesmente amamos nos hospedar neste hotel!"
4 de dez.,5,Melhor Hotel de Lençóis,"Esta foi a nossa segunda vez no Hotel. Um lugar incrível e muito bem cuidado, com uma mini floresta exuberante, muitos pássaros e paz. Para quem procura sossego é ideal. Próximo do centro, se faz tudo a pé. O restaurante é ótimo, só recomendo incluirem algumas opções vegetarianas no cardápio (embora sejam flexíveis para alterar pratos do cardápio). A equipe é muito bem treinada, simpática e educada. Nos sentimos em casa. Voltaremos novamente."
4 de dez.,5,Incrível,"Lugar incrível, aconchegante, equipe de trabalho bem solicita, enfim, uma experiência incrível! ♥️ Gostei muito de estar aí, desejo e espero voltar em breve. Piscina quente sob reserva de horário."
nov. de 2022,5,Férias 2022,"Um hotel que recomendo a todos que forem a Lençóis, excelente atendimento dos funcionários, local com bastante verde, uma excelente estrutura e boa localização.  Deixo aqui um parabéns a todos os funcionários pelo excelente atendimento."
nov. de 2022,5,Excelente,"Hotel excelente! Ótima localização, perto do centro. Decoração e paisagismo belíssimos! Quarto amplo e confortável. Equipe ótima! Ponto alto foi o café da manhã, farto e tudo delicioso, com sabor de comida caseira e feita com carinho.Também jantamos no restaurante e adoramos!"
nov. de 2022,5,Espetacular,Sensacional tudo perfeito! Funcionários instalações natureza exuberante café da manhã quarto nota 10! Decoração de muito bom gosto e inigualável em tudo que já vi junto e integrado com a natureza………………………………………………………………………………………….
out. de 2022,5,Perfeito,"Hotel lindo e aconchegante, com diversos ambientes e muita área verde. Funcionários extremamente atenciosos. Limpeza excelente. Quarto e banheiro ótimos. Café da manhã maravilhoso. Tudo perfeito. Espetacular."
out. de 2022,5,Maravilhoso!,"O hotel é lindo em cada mínimo detalhe. Natureza e aconchego por todos os lados. Estávamos com crianças, inclusive uma bb de 7 meses, e tivemos todo o carinho e atenção da equipe sempre muito prestativa. Amei!!! Ponto alto p piscina de hidromassagem aquecida. Perfeita p ser usada após uma trilha! 😎🥰"
out. de 2022,5,Maravilhoso! Perfeito,"Maravilhoso.repleto de plantas, pássaros, natureza linda!!! O quarto perfeito, rustico, com varanda com plantas. Banheiro maravilhoso, perfeito.  Super recomendo. Funcionarios super disponíveis, sabem muito sobre o local, sobre os pássaros, sobre beija flores, sabiás laranjeiras! O hotel tem biblioteca super interessante! Tem piscina incrível, academia. O hotel já eh um passeio por si só. Restaurante, roda d'água, dentro do hotel maravilhoso preços na média da cidade. Muitas obras de arte espalhadas, um museu da história local. Incrível!"
out. de 2022,5,Experiência maravilhosa,"Primeira vez em Lençóis e tivemos uma experiência maravilhosa. Hotel muito bem conservado , confortável, atendimento de primeira e café da manhã delicioso e bem diversificado. Com certeza retornaremos a Lençóis e o hotel de Lençóis será novamente nossa escolha."
set. de 2022,5,Hotel excelente,"Estivemos por 5 dias no hotel e tudo foi maravilhoso.  Equipe prestativa, educada e gentil, instalações muito boas e confortáveis, restaurante ótimo.  Área comum excelente tb.  Nota 10!  Voltaremos com certeza."
set. de 2022,5,Excelente hotel,O Hotel de Lençóis é excelente. Não deixe de passar pelo menos uma noite com eles para se encantar com o hotel. Vale a pena ficar mais dias para curtir a infraestrutura e o café da manhã. O restaurante tem boa comida e bebidas geladas. O atendimento é um diferencial da acomodação.
ago. de 2022,5,O melhor de lençóis,"Ótimo maravilhoso!!! Muito aconchegante, quartos limpos e atendimento perfeito. Voltei novamente com certeza. O restaurante do hotel muito bom também, tem uma adega com muito opção de vinho e champanhe."
ago. de 2022,5,Perfeição,"Hotel oferece tudo que propõe. Ambiente incrivelmente lindo, agradável, quarto enorme e aconchegante. Staff solicito, simpático. Tudo que pedimos foi prontamente atendido. Nenhuma reclamação. Voltaremos em breve!"
ago. de 2022,5,Viagem,"Tudo perfeito! Café da manhã excelente e muito saboroso. Funcionários extremamente educados, educados, atenciosos e prestativos.  Voltarei com toda certeza e super indico a quem queira ir. Sem falar que espaço é lindo."
jul. de 2022,5,Ótima estada,"O hotel é ótimo, bem localizado, fomos muito bem atendidos. Os quarto standard são diminutos, mas têm uma ""varanda"" bastante útil para quem volta das inúmeras trilhas da região (só falta mesmo alguns suportes onde possam ser deixadas as peças de roupa e os calçados que, porventura, tenham molhado). O banheiro é ótimo, bem espaçoso, com chuveiro ótimo.  O café da manhã é variado, oferecido em uma área bem agradável, onde somos usualmente ""visitados"" pelos pássaros e micos, já que o hotel é localizado ao lado de área de mata (mas não há insetos nos quartos)."
