Data da opinião,Nota,Título,Conteúdo
27 de dez.,1,NÃO RECOMENDO.,"Hotel extremamente defasado. Quando fomos estava lotado nós colocaram em um quarto péssimo, mofado, em péssimas condições. Quando fomos reclamar não conseguiram nós informaram que não era possível fazer nada. Total descaso. Não recomendo para ninguém."
8 de dez.,3,Falta de respeito com os hóspedes que querem descansar mais não conseguem por causa do som muito alto na piscina,"O quarto que fiquei não é ruim, cama e travesseiros macios e a roupa de cama é trocada todo dia. O ÚNICO PROBLEMA É O SOM ALTO DE MAIS NA PISCINA, NÃO TEM EXPLICAÇÃO UM SOM TÃO ALTO ATÉ AS 22:00, VC NAO CONSEGUE ASSISTIR UMA TV SEM AUMENTAR O VOLUME E FECHAR A PORTA DA SACADA E A JANELA DO BANHEIRO E MESMO ASSIM O SOM AINDA INCOMODA MUITO. Tirando isso o hotel em si não e ruim, café da manhã generoso e uma vantagem ser no centro próximo da passarela do álcool."
5 de dez.,1,NÃO RECOMENDO ESTE HOTEL!!!,"hotel com muitos quartos nenhum conforto, cheira mofo, banheiro encardido, pia do banheiro entupida, café da manha péssimo, chuveiro não esquenta, muito ruim!!!!  limpeza do banheiro da piscina horrível, agua suja. NÃO RECOMENDO...."
nov. de 2022,2,Não recomendo o hotel,"Hotel com muitos quartos e pouco conforto. Quartos sujos, banheiro sujo, água do banheiro com cheiro e gosto… último dia nosso hospedados lá, não tinha água quente para tomar banho. Algumas baratas. Café da manhã bem fraco. Microondas muito sujo. Não recomendo o local."
nov. de 2022,3,funcionários o hotel é maravilhoso,"Gostaria de agradecer a todos os funcionários pela atendimento, adorei a área de lazer a piscina bem quentinha ao pessoal da recepção e ao mensageiro por me auxiliar no check out, voltarei em breve.."
ago. de 2022,5,Satisfeita,"Gostei muito de me hospedar nesse hotel, sua estrutura é antiga, mas tem vários pontos positivos, espaço kids para as crianças, um bar que serve refeições muito saborosas, café da manhã muito bom e variado, funcionários atenciosos, educados (quase todos) principalmente os recepcionistas.  Voltaria com certeza."
ago. de 2022,5,Boa acomodação e boa localização,"Hotel muito bom para a família, com piscinas, excelente café da manhã. Com internet Wifi, excelente receptividade. Ao lado da praia. Realizei uma hospedagem a trabalho, porém gostei e pretendo voltar com a família em breve."
ago. de 2022,5,Hotel shangrila,"Hotel acolhedor, equipe educada e prestativa, café da manhã maravilhoso com comidas que a gente só encontra aqui. Duas piscinas ótimas. Próximo de mercados,restaurantes e shoppings. Tudo muito acessível."
ago. de 2022,5,Férias,"Amei, hotel excelente para família , recomendo indico para todos um ótimo hotel café da manhã maravilhoso, ótimas acomodações comida é uma delícia. Com certeza retornarei  Ótima localização próximo à passarela do álcool"
ago. de 2022,5,Ótimo hotel,"Hotel muito bom, confortável e com funcionários maravilhosos. Tudo muito organizado e limpo. Cadê da manhã muito bom, às quintas-feiras tem tapioca feita na hora. Tem 2 piscinas ótimas, sauna e área de lazer."
jul. de 2022,3,Só tem uma ótima localização,"Fiquei 7 dias hospedada no hotel. O café da manhã é bem razoável, sempre faltando talheres e copos. A única vez que foi bom, foi quando a senhora veio fazer tapioca. Em relação ao banheiro, péssimo. O chuveiro era bom e as camas tb. A arrumação do quarto, a pessoa arrumava as camas e retirava o lixo, não limparam o banheiro e nem o vaso sanitário. Já a localização é excelente, a passarela do álcool é uma 15 minutos do hotel."
jul. de 2022,4,Muito bom hotel,"Gostei bastante, quartos limpos, café da manhã com várias opções, ambiente agradável e aconchegante, estacionamento, bem no centro, perto de restaurantes, lojas e da passarela do álcool, super recomendo!"
jul. de 2022,5,Excelente,"Super recomendo o Hotel funcionários sempre disposto a ajudar e orientar,estabelecimento muito bem cuidado piscina estava sempre limpas . Meu parabéns ao Gerente Diego super simpático e extremamente profissional!"
jul. de 2022,5,Top dos top!!,"Excelente hotel, equipe maravilhosa, café da manhã top, próximo a passarela do álcool, bem no centro de Porto Seguro, indicações de transfer para Arraial e Trancoso, enfim super recomendo a estadia aqui!!"
jul. de 2022,2,Não recomendo,"Banheiro com retorno, o cheiro ruim é constante.  Falta manutenção em quase todos os espaços. Pias do banheiro deterioradas, maçanetas que travam, luz da sanca não liga, painel de madeira danificado, frigobar enferrujado.  Falta limpeza nos banheiros, rejunte mofado do chão ao teto, piso totalmente encardido, falta revestimento na moldura da janela, exaustores não funcionam.  Painel da cama empoeirado, cama box conjugada dura.  Chuveiro só esquenta quando quer.  Pebolim faltando barras/bonecos.  A única coisa que não posso reclamar é a educação e cordialidade dos funcionários, mas isso não abona todas as faltas do espaço. Mudei de quarto.e percebi que os problemas são crônicos do lugar, é falta de gestão geral. O que mais me decepcionou foi o encardido do banheiro, os vasos, o chão do box, todo o mofo/bolor nós cantos e rejuntes.  O café da manhã é bom, nada surpreendente.  Não recomendo o hotel, a pontuação dele aqui e no site vizinho não condizem com a realidade que encontrei."
jun. de 2022,5,Excelente,"Hotel muito,próximo de tudo,atendimento muito impecável,funcionários todos nota 10.  Espero voltar em breve novamente.  Comida do restaurante do hotel muito boa.  Piscina muita gostosa,tem também show na piscina muito bom.  Agradeço a todos do hotel.  Obs. Colocar mais secadores potente ."
mai. de 2022,5,Excelente Localização,"Hotel muito bem localizado no centro de Porto de Seguro próximo ao Shopping e a passarela do álcool.  Todos os funcionários super educados, atenciosos e prestativos.  Limpeza do quarto boa, realizada pela funcionária Ana.  Ótimo café da manhã com muitas variedades e para todos os gostos.  Piscina limpa e em boa conservação.  Super Recomendo o Hotel à todos. E com certeza na próxima vinda à Porto Seguro me hospedarei no Hotel."
mai. de 2022,2,Experiência ruim,"Hotel muito bem localizado na região central, entretanto o quarto tinha um cheiro horrível, não havia cobertores, banheiro não estava limpo (vaso sujo), box quebrado, não tinha toalhas. Reclamei na recepção e mudamos de quarto 2 vezes, e os quartos que estavam a mesma coisa que o anterior, nas mesmas condições. Quando chove as calhas do hotel direcionam a água para a piscina, ficando toda suja. Infelizmente devido a essas características tive que trocar de hotel e não obtive reembolso. (Estou relatando o básico).    As fotos enganam! Quem tiver algum tipo de alergia, passe longe desse hotel!"
mai. de 2022,5,Ótima localização,"Hotel com ótima localização, perto do centro e das variadas lojas e comércios, funcionários mto simpáticos e solicitos quando precisamos de informações, quarto aconchegante e um maravilhoso café da manhã e o suco de laranja do bar da piscina MTO BOM!!! Voltaremos com ctz :)"
mai. de 2022,5,"Hotel super aconchegante
!!","Ao chegar no hotel, fomos muitos bem recepcionados pelo Marcos e o neuber, muito carismáticos e persuasivos. Amamos à acomodação do hotel ficamos no 252. Quarto limpo, banheiro ok. Café da manhã ótimo com muitas variedades. E uma tapioca maravilhosa toda quinta. Com certeza voltaremos nesse hotel breve.."
abr. de 2022,5,Localização excelente!,"Hotel muito bem localizado na região central, perto o suficiente pra ir a pé a balsa para arraial, noite de Porto Seguro, restaurantes, shoppings, lojinha, etc., mas distante o suficiente para garantir uma estadia sem sossegada da noite agitada de Porto Seguro.  A maioria das agências de turismo buscam e deixam na porta do hotel de tão bem localizado!  Atendentes muito simpáticos e educados!  Quarto limpo, confortável e aconchegante!  Café da manhã bem servido e com variedade de opções!  Super recomendado!"
abr. de 2022,5,Centro de tudo !,"Localização perfeita dentro da cidade, atendimento excepcional, quartos aconchegantes e com colaboladores atenciosos e prestativos. Tudo perfeito para uma viagem a dois. Agradecemos o atendimento de todos. Muito Obrigado !"
abr. de 2022,5,Férias,"Tudo excelente. Do atendimento à acomodações, refeições, etc. Recomendo 100%. Perto de tudo, comércios, restaurantes, mercados, passeios, passarela do álcool, centro histórico, muito bem localizado em Porto Seguro."
abr. de 2022,5,Recomendo ótimo custo beneficio,"Hotel bastante animado, ótima localização é maravilhoso atendimento. Destaque para a recepção bastante acolhedora e sempre pronta para solucionar as demandas. O horário do voo era mais tarde e foi nos oferecido um quarto para aguardemos o voo sem custo. Recomendo com certeza. Super recomendo."
abr. de 2022,5,Ótimo hotel,"Gostei muito da receptividade dos funcionários, limpeza do quarto, café da manhã, piscina, localidade de fácil acesso para a passarela do álcool e balsa. Pretendo voltar para Porto Seguro e com certeza ficarei hospedada com eles."
abr. de 2022,5,Super recomendo,"Estou no hotel desde quinta feira, todos os funcionários muito educados e bem prestativos,o quarto que me hospedei ele é bem confortável suprindo a necessidade, amei o café da manhã,piscinas,gostei de tudo em geral do hotel"
abr. de 2022,5,Excursão,"Otimo Atendimento e ambiente muito agradável.  O recepcionista Nelber estar de parabéns, Amei.  Outras vezes que eu for em Porto Seguro, faço questão de ficar nesse hotel.  O café da manhã tbm é exelente"
abr. de 2022,4,Aconchegante,"O hotel fica perto da Passarela do Álcool e é de fácil acesso.. Localização muito boa. Quarto simples, mas aconchegante. Hotel com uma estrutura boa. Café da manhã gostoso, com opções variadas e funcionários simpáticos."
abr. de 2022,3,Avaliação,"O serviço de Internet e tv do hotel São muito ruim ruins eles caem a toda hora. Os funcionários são bem atenciosos e sempre nos atendem bem. Café da manhã excelente. No dia que chegamos ficamos em um quarto ruim, mas pedimos para trocar e o pessoal do hotel imediatamente nos mudou de quarto nos colocando em um quarto bacana. Em geral é bom o hotel. Tirando a Internet e o serviço de TVs."
mar. de 2022,5,Ótimo Hotel,"Ótimo atendimento e localização. Funcionários todos maravilhosos e atenciosos. Limpeza ok todos os dias tudo limpinho e organizado até demais, hotel para família com crianças, mais uma vez atendimento maravilhoso."
mar. de 2022,5,Ótimo hotel experiência incrível,"Hotel bem localizado, próximo a balsa para arraia d ajuda limpeza de quartos bem caprichada, bom atendimento da recepção, café da manhã excelente com bastante variedades, estacionamento bem na frente do hotel.............  .........."
mar. de 2022,5,Tudo muito bom!,"O café da manhã é muito farto e tem todo tipo de comida, tudo muito gostoso. a cama e lençol td confortavel e limpinho! E o atendimento tambem tudo yma maravilha… A dormida é excelente! Adoramos a cama.  Super indico o hotel"
mar. de 2022,1,Semana em família,"Fiquei dois dias sem conseguir dormir devido o ar condicionado não funcionar, e o pessoal do hotel informar que não tinha autorização para trocar meu quarto. Trocaram de quarto no terceiro dia de um total de 5 diárias.  A água no primeiro dia com cheiro de ovo podre."
mar. de 2022,5,Super recomendo o hotel Shangrillá - Porto Seguro,"Ficamos hospedados no Shangrillá nesse carnaval e adoramos. O hotel é super bem localizado, perto da passarela do álcool, comércio, restaurantes e da balsa que faz a travessia para Arraial D'ajuda. Café da manhã com bastante opções, piscinas deliciosas e uma equipe muito simpática. Tudo limpinho!"
fev. de 2022,5,Recomendo,"Hotel com boa localização do centro, café da manhã excelente, bem perto da passarela do álcool, perto de restaurantes. Área de lazer muito boa, quartos com ar condicionado, muito bom.... Atendimento ótimo.  Recomendamos."
fev. de 2022,5,Hospedagem maravilhosa amei,"Viemos eu e minha esposa de lua de mel, fomos muito bem atendidos na portaria do hotel, se eu não me engano fui recebido pelo recepcionista Marcos, excelentíssimo atendimento. Tivemos uma arrumação especial no apartamento tudo lindo demais, graças ao gerente Diego que tive a honra de conhecer, nos forneceu uma ótima estadia de qualidade."
