Data da opinião,Nota,Título,Conteúdo
26 de dez.,5,Um sonho na Bahia,"Experiência maravilhosa com a família! Tivemos o que realmente se espera de férias na Bahia com bom atendimento em todos os sentidos. Funcionários extremamente jeitosos, serviços de copa para as crianças com alimentação fresquinha e personalizada diariamente. Piscinas limpas com bastante opções para as crianças, comida maravilhosa com muitas opções."
jul. de 2022,5,Aniversário,"Viemos ao tivoli passar meu aniversario de 40 anos, a estrutura já conhecia de fotos, mas fui encantada pelos dias , enviaram bolo de aniversário , no pic nic contratodo tinha fotógrafos, os atendentes super solícitos, a comida muito boa, atividades extras de excelente qualidade!  Super indico!!! E não posso deixar de falar spa… uma sensação de bem estar!!!!"
25 de dez.,5,Férias,"Muito bom o hotel! Recomendo para famílias e para todos virem conhecer! A gastronomia é sem sombras de dúvidas o melhor da praia do Forte. Porém, o diferencial é o cuidado que todos os funcionários tem com os hóspedes, além da área de esportes que é muito boa, tais como Volei de Praia, Beach Tennis e Tenis de Mesa. Gostaria de elogiar os seguintes funcionários: Emerson (dumbo), Quelli e Aline."
25 de dez.,5,Tudo nota 10.,"Ótimas pessoas para nos ajudar. Ótimo experiência , nota 10 para este time de recreação.  Ronald garçom do dendê bar tem um atendimento diferenciado.  O time do restaurante Goa são extraordinários , serviço de hospedagem excelente."
25 de dez.,5,Ótima experiência,"Nos hospedamos durante um fim de semana, ficamos em uma suite super confortável e bem espaçosa para uma família de 3 pessoas com super vista para o mar e um gramado.  As piscinas são excelentes pra passar o dia todo relaxando.  A alimentação é serviço buffet.  Ótima opção pra famílias."
18 de dez.,5,Experiência inesquecível!,"O hotel facilmente nos auxiliou com a locação de uma van para transfer.  No aeroporto, contamos com uma sala de apoio do próprio hotel, que muito nos auxiliou depois de um longo voo - principalmente com criança.  A estrutura do hotel é simplesmente sensacional: os apartamentos são bem equipados, com amenities de ótima qualidade, cama e enxoval muito confortaveis, vista de tirar o fôlego, internet perfeita em todos os lugares. Exímia limpeza.  Copa para apoio às crianças igualmente excelente.  Culinária perfeita, com muitas opções de restaurantes, com imensas variedades gastronomicas locais, brasileiras, internacionais. Dica: bolinho de tapioca com sorvete (não me recordo o nome - colegial talvez) e o menu de comida japonesa, meu favorito! Ah, qualquer caiprinha será fenomenal.  Academia com equipamentos de última geração em um ambiente muito agradável.  SPA Anantara - minha recomendação é o tratamento Anantara Signature, e depois vc pode aproveitar o espaço com saunas e piscinas super relaxantes.  Para a area kids, minha sobrinha de 4 anos ficou à vontade com os monitores e nos sentimos muito seguros com eles e com a estrutura.  Recomendaram-nos o passeio de lancha para ver as baleias, e foi outstanding! Vimos golfinhos e baleias!  O hotel é bem próximo à cidade e conhecemos o projeto Tamar. O Hotel oferece este passeio com transfer e o instrutor inclusos - é muito interessante, não deixe de ir! Dica: na praia atrás do Projeto pudemos ver muitos peixes, já estão acostumados e se aproximam dos banhistas. Outra dica: levamos banana e os peixes adoraram, vieram aos montes - vá com calçado especial aquático para poder pisar nas rochas.  Contamos também com um recurso bem interessante: o hotel nos envia mensagens via Whatsapp sobre a programação adulto e infantil do dia - é muito útil. Shows com ótimas atrações.  Amei a boulangerie no lobby!  Hotel com excelente custo-beneficio, pois além da estrutura, gastronomia, o serviço é muito atencioso e realmente personalizado!  Minha sobrinha até hoje diz que ""é a casa dela na Bahia!"" priceless!!!!"
18 de dez.,5,Férias,"Estadia maravilhosa, o hotel continua super bem cuidado e gostaria de destacar a educação e atenção no atendimento aos clientes do Sr Antônio e Ana Paula durante os jantares. Obrigado e continuaremos indicando para os amigos."
15 de dez.,5,Avaliação Hotel Tivoli,Excelente estrutura de praia e piscina. Culinária maravilhosa. Atividades de entretenimento durante todo o dia (Cleiton e Rosely super animados agitam a noite do hotel). Estadia muito boa! Amamos muito!!
15 de dez.,5,"Excelente hotel, mas faltam opções para adolescentes","O hotel é enorme, tem ótimo atendimento e uma oferta super diversa de pratos durante as refeições. A praia é linda, vê-se tartarugas dos guarda-sois em frente ao mar. É um ambiente gostoso. Além disso, a vila de Praia do Forte é um charme.  O hotel tem música boa nas piscinas (que poderiam atender mais gente, pois faltam guarda-sois nessas áreas), sem bagunça nem monitor gritando. Gostamos tanto de lá que fomos 2 vezes em menos de 2 meses (a primeira delas só o casal e na segunda, levamos as filhas). Sobre esta segunda visita, minha sugestão é que o hotel ofereça mais opções de atividades para famílias fazerem juntas. Nós viajamos com as nossas filhas de 9 e 13 anos e a ideia era passarmos tempo juntos. Quando estivemos lá, o hotel só tínha programação de monitoria para a mais nova. Em primeiro lugar, não gostaríamos que só ela ficasse separada do resto de nós. Em segundo, queríamos passar os dias realmente juntos os quatro, e para isso, além das atividades náuticas que fizemos (caiaque, stand-up, banana boat), não havia muito mais opções, principalmente no horário depois do jantar. Há uma sala de jogos ao lado do restaurante, mas é antiga e só tem uma mesa de pebolim (que estava quebrada), uma de sinuca e uma de pingue-pongue. Os shows noturnos eram focados em adultos e não tinham nenhuma graça para crianças grandes ou adolescentes. Senti falta de algo que fosse interativo para famílias.  Acho que para famílias com crianças pequenas deve ser maravilhoso, pois o clubinho infantil é muito bem equipado. Mas para outras faixas etárias, sentimos falta de entretenimento para além dos esportes. Aliás, a falta de foco nos filhos maiores é um problema da maioria dos resorts do Brasil."
15 de dez.,5,Praia Paradisíaca,A praia è incrível e as crianças amam muito! As instalações do hotel são maravilhosas! Amamos e vamos voltar com certeza! Os funcionários são muito atenciosos e gentis! O jantar e o café da manhã são impecáveis. A Dona Selma no jantar é ótima na escola dos vinhos!
14 de dez.,5,Resort excepcional na Bahia,"Está é a segunda vez em que me hospedo no Tivoli Praia do Forte e sem dúvida é um dos melhores hotéis em que já me hospedei no Brasil. Apesar de ser consideravelmente mais caro que o principal concorrente da região, o hotel é muito bonito, as acomodações são confortaveis, a beleza natural é fantástica, a infra estrutura para diversão é muito completas com ótimas piscina e a equipe toda é muito bem treinada e simpática. Sobre comida, o regime de meia pensão funciona muito bem, o café da manhã é bem farto e variado, assim como o jantar. Para quem vai com criança, tem um serviço de copa exclusivo para elas, com disponibilidade de cardápio de almoço e jantar sem custo adicional, além de frutas e outras coisas (achamos ótimo). Por fim, gostaria de fazer um elogio especial à dois funcionários do restaurante GOA que trabalham no jantar: Antônio e Ana Paula. Eles excederam nossas expectativas sendo muito eficientes, simpáticos e solícitos, conosco e com nosso bebê. Na primeira estadia, Antônio já havia nos cativado bastante e esse ano tivemos a sorte de reencontrá-lo. Esperamos que repetir a dose ano que vem!"
14 de dez.,5,Excelente hotel,"Localização, alimentação, atividades e principalmente a equipe como um todo…. Garçons e Recreador Cleiton e Eduardo do esporte e lazer - e equipe sao sensacionais. Vale muito a pena - recomendo a todos."
14 de dez.,5,ECO Tivoli,"Acomodações incríveis, uma ótima equipe sempre disposta a ajudar e tornar a sua viagem ainda melhor, uma praia maravilhosa à disposição. Altamente recomendado, voltarei sempre que possível para esse paraíso"
13 de dez.,5,Férias me família,"Nota máxima! Estivemos ak a 1 ano e pouco traz e foi ótimo, tanto q voltamos.. em destaque ao atendimento dos trabalhadores q são ótimos. Principalmente a Rosely, Cleiton, Renata e a Quelli… são super atenciosos.. amamos demais. Obrigada ☺️"
13 de dez.,5,Viagem em família,"O que mais me encanta neste hotel é a atenção e carinho dos funcionários, o pessoal da recreação, em especial, a Rosely da noite, Cleiton, o grupo de balé, a Queli. Amigos que fiz , como a Selma, a Fernanda, Mayara, a Adriana, A Joscilene, Wagner, Valdemir, o Roberto, o Sr. Rodrigues, o Armando, O Valdir, o Joao, Cleiton, Marcelo e tantos outros funcionários. Estes são os que se tornaram meu amigos e por eles que voltamos tantas vezes neste ecoresort!! O contato com a natureza, o respeito a flora e fauna são exemplares!"
12 de dez.,5,Maravilho,Hotel maravilhoso! Ótimo atendimento e culinária ! Rosely se destaca com as atividades de interação a noite e o Ronald é ótimo garçom ! Recomendo a visita nesse resort ! Muitas opções de lazer e praia  Linda
12 de dez.,5,Tivoli Ecoresort_Maravilha 2022,"Como sempre fabuloso…desde 2004 que venho para esse hotel…nona vez…palavras para quê!!!  Todos os funcionários 5 estrelas…área esportiva PAPADA TOP…como sempre meu amigo, Rose querida, Kelly, Dumbo, na restauração Pedro esse Portuga sempre a considerar, obrigado, Bell como sempre maravilhosa, Tais, Kelly, D.a Ana, Selma…muito Bom.  Renovação do hotel è show…SPA TOP…  Fabuloso…  Obrigado mais uma vez"
12 de dez.,5,Resort FANTASTICO.,Pela 5a vez me hospedo nesse fantástico resort que está ainda melhor. Gastronomia especial no café da manhã e jantar sempre com camarão e ainda lagosta. Destaque para as sobremesas do buffet: Torta de cupuaçu Piscinas lindas e como já disse em outras vezes a minha preferida e a de borda infinita. Spa sensacional com jacuzzi aquecida Funcionários atenciosos. Espero voltar em breve
5 de dez.,5,SENSACIONAL,"Um lugar encantador com todo conforto, beleza e estrutura para lazer ou negócios. Sempre é muito gratificante voltar a esse resort, que é o melhor da Bahia. A cordialidade encanta quem se hospeda. Nota 10!"
4 de dez.,5,Melhor resort do nordeste para família,"Fomos em família, com bebês e crianças pequenas. Impressionou como o hotel está preparado para receber crianças de todas as idades. Para os bebês, as copas babys são fantásticas, bem como são dignas de elogios a eficiência e simpatia das babás disponibilizadas pelo hotel. Para os mais crescidos, as atividades de recreação são ótimas. Destaque para as aulas de arte e o professor super atencioso. A gastronomia do hotel também é outro ponto forte (muito melhor que a oferecida por outros resorts da região). A natureza (e os animais, tais como pássaros, macacos, lagartos, etc) tornam a estadia ainda melhor. Como dica, se não quiser andar muito, a sugestão é ficar no quarto de numeração até 400. A partir daí, embora não seja nada longe, mas já é uma caminhada maior."
