Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,1,Nao recomendo,"Cheguei ao hotel hoje e desde o início uma sequência de erros ocorreu.  Primeiro cheguei as 15h no horário de início da reserva e nao havia quarto disponível, estava com criança cansada da viagem precisando descansar e tive que aguardar muito para entrar no quarto.  Segundo, ao chegar no quarto encontro uma cama e um berço, sendo que solicitei na reserva duas camas pois minha criança não cabe mais em berço.  Terceiro, liguei na recepção pra solicitar a troca do berço por cama e a pessoa foi extremamente grosseira. Disse que o hotel está cheio e nao seria possível.  Quarto, fui ao bar fazer um lanche e nao tem refrigerante na máquina. Peço pro garçom e ficam me mandando de um pra outro e não consigo meu refrigerante.  Paguei mais de 12 mil pela estadia e logo no primeiro dia já esse tanto de falhas. Este é de longe o pior all inclusive que já visitei.  Agora vou ter que colocar meu filho na cama comigo e o pai pois ele nao cabe no berço e nenhum dos 3 vai conseguir dormir direito a noite.  Não voltaria aqui e não recomendo pra ninguém!"
28 de dez.,5,Jantar em família,"A Eduarda que nos atendeu é extremamente querida, atenciosa. Todos comemos muito bem, pratos diferentes, sobremesas diferentes e muito boas. No início ao entrar no restaurante estava imenso frio, demasiado ar condicionado mas depois de termos pedido foi resolvido e a temperatura ficou excelente. Restaurante muito especial"
28 de dez.,5,Atendimento exemplar,"Nossa noite no restaurante Português foi inesquecível. A comida estava maravilhosa, azeite de produção da casa magnífico. E, não posso deixar de ressaltar o atendimento da querida Silvaneide, muito prestativa, gentil e simpática. Amamos nossa noite!"
28 de dez.,5,Restaurante Inevitável,"Restaurante incrível, ótimas opções de pratos em um ambiente muito bacana.  Destaque para o excelente atendimento da Bárbara, que nos deu muita atenção e agilidade, estávamos com uma bebe e tudo foi muito fluido."
28 de dez.,2,"Tudo incluído, menos a qualidade","Não é nada fácil oferecer um serviço 'all inclusive' para mais de mil hóspedes, ainda mais a preços relativamente baixos. O Vila Galé merece os créditos pelo arrojo, ao se propor este enorme desafio de gestão hoteleira, que pode agradar o hóspede mais impressionado com a quantidade. Mas, para quem está atrás de qualidade, infelizmente o hotel deixa a desejar.    É compreensível, dentro desta proposta, a necessidade de se reduzir os custos, mas isto, junto com a tentativa de passar uma falsa atmosfera de luxo e sofisticação, acaba gerando problemas.    O item mais prejudicado é, sem dúvida, a alimentação: ingredientes de baixa qualidade e preparo desleixado. Os churrascos eram secos e pelancudos, as saladas sofriam com o calor e logo deixavam de estar frescas, os mesmos pães eram oferecidos por dias seguidos, as comidas quentes esfriavam, os sorvetes derretiam... Seria melhor reduzir as opções à metade, eliminado os pratos pretensamente sofisticados e mantendo as opções mais básicas; assim, poderiam simplificar muito a logística das cozinhas e com o dinheiro e tempo que sobraria desta mudança, investir mais na qualidade dos pratos populares. Todos sairiam ganhando.    O segundo item mais prejudicado é o serviço: os funcionários estavam claramente sobrecarregados e estressados no período de quase 100% de lotação em que estivemos hospedados lá, o que acaba refletindo na manutenção geral das instalações e na presteza dos serviços. Num dos dois apartamentos que ocupamos, o chuveiro estava entupido, quase não saía água, foram necessários dois dias para que afinal atendessem aos nossos apelos para consertá-lo. Os mesmo dois dias tivemos que aguardar para conseguir um terceiro jogo de toalhas num dos apartamentos, que tinha um hóspede adicional. O spa não tinha mais horários disponíveis para as massagens; restou-nos a opção das saunas (cujo uso – ao contrário de outros resorts e curiosamente para um 'all inclusive' – é cobrado à parte) estavam frias, tanto a seca quanto a vapor, a masculina e a feminina.    Para não dizer que não falei das flores, parabéns para a grande piscina, bem mantida e agradável; para os barmen, que preparavam boas caipirinhas de saque e frutas, para a atenciosa senhora da estação dos omeletes, que fazia praticamente a única comida realmente quente que a gente podia comer, e para a bela praia em que hotel está localizado."
28 de dez.,5,Melhores animadores do Vila Galé Marés.,"Experiência no Vila Galé vem sendo maravilhosa, foi melhor ainda quando meu pai conheceu o animador Tio Brinquedo, que por onde promete, ele cumpre. Nas atividades da piscina ele prometeu que meu pai ficaria com o preparo físico do CR7. Dito e feito, meu pai está arrasando no Resort 🔥"
28 de dez.,5,O melhor resort da vidaaaaa,"Minha experiência no Vila Galé está sendo sensacional, desde o atendimento da recepção, dos recreativistas, dos garçons, de todos os colaboradores.    A comida então?? Meu deus, tu não sabe nem o que escolher de tanta opção…  Aaaa e nao poderia deixar de mencionar sobre as bebidas, cada drink melhor que o outro, chopp bem geladinho.    Experiência nota milllll"
28 de dez.,5,Melhores animadores do vila Galé!,"Estou simplesmente encantada com o trabalho desses profissionais, muito educados, animados, responsáveis, dedicados, estão de parabéns, fico admirando à disposição, Ufa, não daria conta! Muito feliz com vcs, sou de Goiás e levo como exemplo essa alegria! 👏🏼👏🏼👏🏼"
28 de dez.,5,Vila Galé Mares,"5 estrelas. A equipa da piscina é muito animada. A interação com os visitantes é excepcional. Todo o hotel proporciona um serviço de excelencia. Recomendo e voltarei. É ideal para ferias com amigos, familia e viagens de negócios. A comida tem todo o sabor baiano. Bar com bebidas muito gostosas."
28 de dez.,5,Melhores animadores do Vila Galé,Equipe de animação nota 1000. As melhores programações para as crianças e os adultos se divertirem. Vale a pena participar das atividades que eles preparam com carinho e ensaiam com dedicação. Parabéns!
28 de dez.,5,Elogio!,Excelente atendimento no restaurante pelo funcionário Eliseu. Parabéns pelo presteza e cortesia!! Sempre preocupado em agradar e que não nos falte nada par a nossa refeição. Muito obrigada!!  O hotel sempre de parabéns pelo serviço!!
28 de dez.,5,Nota 10,"Impossível ser um resort desse porte, entregando alegria, animação e descontração se não fosse uma equipe profissional bem treinada e disposta como tem aqui no vila gale mares! Sem excessão, desde a limpeza, recepção, cozinha e todos os tios da recreação fazem desse grande complexo de lazer ser um dos melhores que já visitei em todo mundo! Dá-lhe tio Brinquedo, Scooby, Chokito, Bombom, Sapo, Cristal e todos os outros! Com certeza estarei aqui novamente!    Atenciosamente, Francês!"
28 de dez.,5,Resort Top!!,"Lugar sensasional! Comida boa, sombra e água fresca! Equipe de animação top!!  Estadia maravilhosa. Nada para reclamar.  Quartos limpos, estrutura impecável.    Viagem de 4 noites, prazo bom. Nem muito, nem pouco tempo."
28 de dez.,1,Quarto nojento,"O quarto estava absolutamente infestado com formigas voadoras e com uma osga.  A recepcao foi informada e nada fez para resolver o problema.  Resultado ... tivemos de mudar de hotel.  A comida é de má qualidade.  A piscina e a praia sao boas.  Uma pena um hotel com esta infraestrutura nao ser cuidado, nem as pessoas que o dirigem serem zelosas no seu trabalho."
27 de dez.,5,Restaurante Inevitável - atendimento Eduarda,Excelente experiência gastronômica e atendimento ímpar! Eduarda prestou um excelente atendimento! Super atenciosa e prestativa!Amamos o restaurante e atendimento prestado! Super recomendo! Tudo maravilhoso!
27 de dez.,5,Restaurante Inevitável -Eduarda.,"O atendimento da Eduarda fez toda a diferença. Sempre muito solicita e com um atendimento impecável.    A comida realmente é muito gostosa e bem servida, todo on menu sem exceção.    As entradas e o prato principal e o grande atrativo.    Com certeza o melhor restaurante do hotel. O ambiente é aconchegante."
27 de dez.,5,Recreação top,A recreação para os pequenos é incrível! Nossos filhos de 4 e 5 anos estão amando!!…. As aulas de hidroaxé são top também! Tia Choquito Tia piu piu ❤️ Drinks no bar molhado feitos pelos Gabriel perfeitos e a atendente Alana fazem a diferença! A Gerente Soraya muito gentil e atenciosa! Enfim.. parabéns! A massagem no spa também foi top!
27 de dez.,2,FRACO,"O restaurante principal é muito bagunçado ( aquela muvuca, acho que é inevitável num resort que recebe mais de 1000 hóspedes), A comida é de razoável a ruim ( o cardápio do restaurante italiano diz que vai servir um Risoto de arroz arbóreo de Aspargos .e você recebe arroz comum com queijo SEM aspargos. A sauna do spa é FRIA ( a piscina aquecida é boa, mas vc tem que pagar a parte). O restaurante funciona até as 22:00 mas muitas comidas que acabam não são mais respostas após as 21:30 (No churrasco da piscina o frango parece ter uma fornada só, se vc ""chegou tarde""pode tentar comer a carne dura) . O ar condicionado do quarto é barulhento, os colchões são velhos e a caldeira não dá conta de fornecer agua quente no horário de pico. tomamos vários banhos frios. Fomos ao aluguel de bicicleta, mas estava fechado no domingo dia 25 ( num resort?) . Música alta o tempo todo na piscina, não é do meu gosto ( mas sei que muita gente gosta). Os funcionários estavam exaustos no feriado de natal. por isso relevamos o mau humor de muitos deles. Agendar os restaurantes temáticos, massagem e uma simples sauna é quase impossível. E não há uma lista de espera ( sendo que informaram que há varias desistências). A chave desmagnetiza com frequência e andar atá a recepção não é nada fácil a depender do quarto em que vc estiver ( se for com idosos, recomendo buscar um quarto próximo à sede). O lugar é muito bonito, a área da piscina e gramado de frente a praia são muito agradáveis."
27 de dez.,5,Os melhores animadores do Vila Galé Marés/BA.,"A equipe de animadores do Vila Galé Marés ( Tia Polegar, Tia Bom Bom, Tio Brinquedo, Tio Chokito, Tio Espeto, Tio Scooby) garantem alto astral e divertimentos pra todos.  Os Bares entregam bebidas excelentes e as comidas dos restaurantes são de qualidade ímpar."
27 de dez.,5,Melhores animadores vila galé Mares,"Animação incrivel, com monitores super divertidos e animados! entretenimento para todas as idades e gostos! Comida muito boa!!  Instalações ótimas!  Piscina extremamente gostosa e enorme!!  Vale muito a pena!"
26 de dez.,5,Massa fina,Muito bom .  Letícia ótima atendente .  Comida mto boa qualidade .  Comida veio rápido e bebidas Tbm.  Espaço agradável.  Sobremesas muitos boas Tbm .  Ambiente limpo .  Pessoas atenciosas.  Pizza ótima qualidade
26 de dez.,5,maravilhoso,"muitas variedades de sabores e opções para todos os tipos. Uma ótima experiência, voltaria mais vezes. As pizzas são ótimas e bem agradáveis. O ambiente é calmo e acolhedor, e os funcionários são incríveis."
26 de dez.,5,Jantar no restaurante Massa Fina,"Atendimento da Letícia Ribeiro sensacional, a supervisora Tatiane muito solicita e atenciosa, comida saborosa e lugar muito aconchegante. Viemos com criança e adolescente, foi unanimidade. Recomendamos."
26 de dez.,5,Grata surpresa,Desde a chegada só tivermos boas surpresas. Havia lido sobre a qualidade dos alimentos que deixava a desejar e sobre a temperatura da cerveja e tive a grata surpresa de SER EXATAMENTE O CONTRÁRIO. comida deliciosa e cervejinha gelada!!! Estamos amando e curtindo muito com nosso pequeno!! Além da diversão ser garantida com o pessoal da recreação!! Grata surpresa!!!
26 de dez.,5,Melhores animadores do vila gale mares,"Os animadores são muito bons, animam demais! Músicas boas, dança legal e muito divertida. O hotel tem praia boa, piscinas boas e comida também bastante boa! Gostamos muito, apesar de ser nosso primeiro dia aqui."
26 de dez.,5,Equipe de animação maravilhosa,"Super recomendo.. equipe maravilhosa... Parabéns ao tio Scooby,tio palito e tio brinquedo.  Parabéns pras minhas meninas...tia Cristal maravilhosa,tia Minie...tia Piu Piu...equipe top ..super comendo.tia amora linda... Parabéns a toda equipe."
26 de dez.,5,Melhores animadores do Vila Galé Mares,"Durante todo a nossa estadia no vila gale mares os animadores foram espetaculares, o diferencial do local, envolvida todo o público em seus entretecimentos, levantava os hóspedes com animação, alegria geral estampado no rosto, somos gratos a cada um deles por dias maravilhosos 👏🏻"
26 de dez.,5,Festa de Natal no Vila Gale Mares,"Vila Gale Maré é mesmo sensacional! Praia linda, serviço muito bom, equipe de animação muito criativa e presente. A área gramada em frente à Praia Grande e super fresca! Sem dúvida vale a pena vir. Já estive com minha família por três vezes e sempre volto. A festa de Natal foi muito bonita, decoração nota 10."
26 de dez.,5,Muito boa a experiência,Animadores estão de nota 10.  A carne poderia esta mais saborosa (churrasco) se nao fosse aceso com óleo.    Esta sendo uma experiência muito boa! Tudo muito lindo e gostoso!  Com certeza voltarei mais vezes!
