Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Pousada maravilhosa,"Maravilhosa, como é a cidade de Monte Verde. A localização da Pousada Mirante da Colyna é excepcional, pois tem uma vista linda, pois fica numa encosta e, mesmo assim, fica perto da cidade. São cerca de 600 metros da rua principal.  É muito bem estruturada, os chalés têm o tamanho ideal para um casal, com banheira de hidro grande, para duas pessoas. Lareira no quarto, aquecimento central e ar-condicionado quente e frio, ou seja, a infraestrutura para conforto é ótima. Grande variedade para atividades, quadra de tênis, piscina aquecida, com sauna. Salão de jogos. Sala de cinema, SPA muito bem montado com vista linda. Sala de ginástica também muito bem montada, com aparelhos que proporcionam malhação legal. O restaurante é lindo, fica bem no alto, portanto a vista é magnífica e é muito bem montado. O café da manhã ótimo, com opções para todos os gostos e preferências. Os funcionários, além de muito bem treinados, são incrivelmente atenciosos, fazem tudo para que o hóspede se sinta bem. Os jardins são lindos, muito bem cuidados, é uma parte da estadia andar vendo os canteiros e vasos plantados pelo hotel. Ainda há uma trilha ecológica, que não é tão extensa (500 metros). A única observação é a de que tanto madeira para lareira como os acendores, depois de usados os que estão no quarto, são cobrados."
uma avaliação Ontem,5,Sossego com boas instalações e bom atendimento,"Ficamos no chalé mirante que é bem amplo e muito confortável além de ter linda vista. O novo restaurante recém inaugurado é muito bom e também tem ótima vista. Fica a desejar a piscina e academia ,bem acanhadas. O café da manhã é muito especial pois os ingredientes são bem diferenciados . O hotel está em expansão e breve terá novas acomodações além de piscina maior e restaurante giratório. Fica bem perto da rua principal ( 5 min de carro)"
uma avaliação Ontem,5,Experiência incrível!,"Lugar mágico! Nosso chalé era divino, com uma vista espetacular, sala com poltronas confortáveis, dois chuveiros, lareira, cama grande e confortável e uma banheira grande de hidromassagem com vista para a Mata. O restaurante tinha opções deliciosas para comer, foi tudo incrível e o spa tem massagens maravilhosas! Super recomendo!"
26 de dez.,5,Simplesmente maravilhosa,"Pousada incrível, com café da manhã incrível, uma vista incrível, área de piscina aquecida incrível, atendimento de todos os colaboradores incrível.  Não há o que questionar, somente elogios.  E para melhorar, ainda estão realizando reformas para melhor atender os hóspedes que promete ser ainda mais incrível.  Parabéns aos envolvidos."
25 de dez.,5,Perfeito!,"Estrutura excepcional, num lugar maravilhoso, de tirar o fôlego!  Desde o chalé até o restaurante e demais itens oferecidos pela pousada, tudo muito organizado e bem cuidado, com excelente atendimento prestado pelos funcionários.  Sem dúvida voltaremos!"
24 de dez.,5,Pousada mega charmosa,"Lugar lindooo !!!! Os serviços bastante completos. Os funcionários são muito gentis e educados. O café da manhã maravilhoso, fora a música ao vivo. As demais refeições podem ser servidas no quarto. Ressalto o cuidado com o local, sempre estão limpando e organizando tudo. Enfim uma experiência incrível."
23 de dez.,5,Experiência incrível,"Passamos nosso aniversário de casamento  .foi tudo incrível desde a recepção, spa,café da manhã a cuidado em todos os mínimos detalhes ficamos no apto samandhi. Valeu a experiência. Voltaremos com toda certeza"
22 de dez.,5,Lua de Mel Inesquecível no Apartamento Samandhi,"Cama gigantesca e confortável, apartamento limpo e com uma hidro maravilhosa! Recomendo muito a experiência do Apartamento Samandhi! O café da manhã então, é uma experiência à parte, com uma variedade imensa de opções deliciosas!"
21 de dez.,5,Vista para as montanhas,"Lugar espetacular! Atendimento, acomodações e gastronomia incríveis! Restaurante com vista maravilhosa, perfeito para uma viagem em casal  Ambiente super aconchegante e romântico  Uma ótima opção para recarregar as energias."
21 de dez.,5,Excelente,Excelente acomodação. Tudo muito bem arrumado e romântico. Ótimo para uma viagem a dois. Com certeza o melhor de Monte Verde.  Os quartos são muito bons. Tudo novo e impecável.  O café da manhã também é excelente com muitas variedades e um ambiente lindo.
19 de dez.,5,Pousada spa mirante da colyna,"Atendimento dos funcionários super atenciosos e simpáticos, chalé excelente!!  Acomodações de excelente qualidade com móveis e aparelhos em ótimo estado de funcionamento  Restaurante recém inaugurado com vista linda para a serra"
18 de dez.,5,Perfeito!,"Tudo perfeito! Acomodação espaçosa limpa e aconchegante, vista linda, piscina limpinha e aquecida, restaurante moderno e a comida deliciosa, recepcionistas acolhedores, varias opções de lazer, tudo perfeitooo!"
18 de dez.,5,Espetacular e relaxante!,"Eu e minha esposa ficamos no Chalé Mirante (21), quarta e visita maravilhosa.  O hotel é bem aconchegante e cuidado, rico em detalhes. Os funcionários são atenciosos e bem reservados. A vista do nosso quarto é espetacular.  Recomendo para quem quer passar uns dias relaxante e recarregar as baterias."
15 de dez.,5,Recomendo,É a segunda vez que nos hospedamos e novamente foi uma otima estadia no chale mirante e sua estrutura. O atendimento de todos os funcionários foi excelente! O cafe da manhã tem muitas opções e tudo que solicitamos no restaurante também estava ótimo.
14 de dez.,5,Mirante da colyna,"Lugar maravilhoso, o café da manhã é excelente,tudo bem cuidado,vista para montanhas,o quarto muito bem limpo e arrumado,adorei o novo restaurante com vista panorâmica para a serra, e excelente cardápio.  Super recomendo."
11 de dez.,5,Simplesmente perfeito!,"O lugar é perfeito. Ficamos no chalé mirante, que além de ter uma lareira no quarto (ótimo para as noites frias) e uma banheiro dupla, tem uma vista surpreendente das montanhas, com pássaros visitando a todo momento. Acordar vendo essa vista e dormir vendo o céu estrelado (com direito a estrelas cadentes), são as memórias que levaremos conosco. Além disso, o café da manhã é farto e gostoso, os pratos para jantar deliciosos e o atendimento/limpeza impecável. Voltaremos com certeza!"
4 de dez.,5,final de semana no Mirante da Colyna.,"Estivemos no Spa Mirante da Colyna para comemorarmos nossa aniversário de casamento e ficamos muito satisfeitos com o atendimento.  são muito hospitaleiros e atenciosos.  O Chalé super limpo e aconchegante.  Lugar tranquilo é muito agradável, voltaremos mais vezes com toda certeza."
3 de dez.,5,Realmente um mirante em cada lugar!!,"Fomos hoje visitar o Mirante da Colyna!! Já estávamos hospedados em outro hotel do mesmo proprietário. Fomos super bem recebidos pela Dani, que, super simpática, de ótimo astral e super interessada, nos apresentou todo o hotel. Visitamos o Spa, o restaurante, um apartamento Samadhi, que nos deixou encantados, elegante e aconchegante, muito bem decorado e com uma linda vista!! Valeu a pena a visita!! Grato à Dani, que tb nos deixou encantados com o seu jeito e atenção!! Ótimo lugar!!"
2 de dez.,5,Excelente!,"Estrutura do hotel ótima!  Funcionários excelentes, com destaque especial para equipe da recepção, muito solícitos e simpáticos.  Chalé super aconchegante, confortável e tudo muito limpo.  Vista maravilhosa!  Vale muito a pena!"
nov. de 2022,5,Lua de mel perfeita,Local maravilhoso extremamente relaxante contato direto com a natureza acomodações extremamente luxuosas atendimento exemplar funcionário superintenciosos um lugar inesquecível para se aproveitar Voltarei em breve
nov. de 2022,5,Top,Hotel maravilhoso  Limpeza ótima  Comida ótima  Chuveiro  Ótimo  Cama ótima  Massagem ótima  Lugar ideal para casal  Em  Monte Verde  Melhor hotel  Com certeza  Super indico  Com certeza vamos voltar mais vezes
nov. de 2022,5,Final de semana,"A banheira com vista para as montanhas é um diferencial dentro do ambiente. Reposição de lenhas para a lareira está incluso na diária.  O spa de massagens proporciona um ambiente aconchegante, com degustação de fondue."
nov. de 2022,5,Fantástico,"Lugar lindo e acomodação maravilhosa. Super recomendo para casais que buscam um lugar tranquilo e ao mesmo tempo sofitiscado. Os atendentes são ótimos, super solícitos. Café da manhã espetacular. Enfim, definitivamente voltarei!!!"
nov. de 2022,5,Aniversario,"A recepção do hotel é perfeita, fomos muito bem recepcionados pela Daniela, quarto completo , com uma vista incrível, super limpo , chão aquecido, a área externa do hotel muito bem cuidada, linda , cheia de flores, o restaurante é um mirante com uma vista linda também, enfim, tudo perfeito."
nov. de 2022,5,Comemoração de aniversário de casamento,"Adorei o hotel, o SPA é delicioso, recomendo para um fim de semana de descanso total.  Atendimento muito bom, todos atenciosos e prestativos. Monte Verde é um subdistrito em desenvolvimento, está cada ano mais bonito, visitamos todo ano! Destino obrigatório para casais românticos ou famílias que querem descansar."
nov. de 2022,5,Lugar perfeito,"Lugar maravilhoso!! Vale cada centavo!  O restaurante do hotel é uma atração a parte simplesmente maravilhoso! Ficamos no quarto casa do campo. Cama confortável grande,travesseiros muito bons, chuveiros(são 2) maravilhoso! Banheira perfeita cabe o casal .  Sem defeitos."
nov. de 2022,5,Experiência incrível,"A experiência é incrível, o quarto que ficamos é maravilhoso (apartamento Shamadhi), a vista é lindíssima, ambiente acolhedor. A equipe é muito simpática e solicita. O ponto alto foi o novo restaurante do café da manhã, vista maravilhosa e comida deliciosa."
