Data da opinião,Nota,Título,Conteúdo
26 de dez.,5,Excelente pousada,"Ótimo atendimento, as recepcionistas são uns amores. Quarto super confortável. Área de lazer maravilhosa, piscina e hidromassagem quentinhas. Café da manhã super gostoso, estão de parabéns... Com certeza voltarei."
26 de dez.,5,Viagem natal,"Pousada muito aconchegante, hidromassagem, muita limpeza, bem próximo ao centro e toda calçada seu acesso, café da manhã e café da tarde, tudo muito gostoso.  Super indico.  Venham fazer uma reserva e descansar"
26 de dez.,5,Natal,"Adoramos a acomodação, atendimento e café da manhã simples mas bem variado e muito gostoso. Pois Ina aquecida, frigobar, Jacusi, tv a cabo, com vários canais, internet grátis.  Funcionários, muito simpáticos e atenciosos."
26 de dez.,5,Natal,"Ótimo café da manhã, limpeza do quarto, atendimento de primeira, simpatia de todos os funcionários. Recomendo. Local bonito, fácil acesso a cidade. Piscina aquecida, hidromassagem aquecida, excelente p relaxar."
22 de dez.,5,Viagem de casal,"Amamos tudo, do início ao fim!! Os funcionários nos receberam muito bem e fizeram a nossa estadia muito aconchegante e agradável!! Não podemos deixar de comentar do café da manhã maravilhoso!! Obrigada pousada águia dourada 😍❤️"
21 de dez.,5,Lua de mel,"Uma excelente lugar para passar sua lua de mel. Quarto com banheira e teto solar é excelente.  Atendimento excelente, profissionais muito educados e solícitos. Recomendo para casais que querem um período sossegado e romântico."
21 de dez.,1,Não recomendo. Falta de agua quente e organização nos serviços,"Chegamos na pousada no dia 17/12/2022, tudo normal na primeira noite. No dia seguinte domingo fui tomar banho e o chuveiro não esquentava, foi solicitado a manutenção que disseram que as 09:30 estava resolvido. No sábado a tarde tínhamos reservado o horário das 10:00 para o ôfuro, chegando lá não estava nem ligado muito menos aquecido. Retornando para o quarto as 11:20, e o chuveiro não estava esquentando ao contrario do que tinha informado as 09:30. E somente as 11:30, ele nos informaram que a pousada estava com um problema geral, redução de funcionários, tínhamos um compromisso por volta de 12:00. Muita falta de clareza e empatia com a real situação.  Disse que queria ser ressarcida, e que cobrassem apenas a primeira diária, que foi feito. Saímos as pressas para tentar encontrar outra pousada, com a garantia que mandariam o estorno no cartão de credito."
19 de dez.,5,Pousada Águia Dourada.,"Como das outras 3 vezes excelente. Principal características:  Custo/ benefício: tudo que necessitamos por um preço que podemos pagar.  Localização: longe do barulho, perto do centro, ruas pavimentadas que permitem acesso de todos os veículos inclusive o mais baixos. Duas formas de acesso: logo após o portal e através da rua central.    Ótimos funcionários, prestativos, bem humorados, a gente nota que querem que nós sintamos em casa.  Apartamentos e chalés confortáveis com frigobar, tv, dvd com filmes da videoteca, lareira, chuveiro excelente e higiene nota 1000.  Possui hidromassagem, plantas na decoração, garagem coberta.  Café da manhã:  Pão de ervas    Pão de mandioca    Pão de cenoura  Panetone  Água saborizada  Strudel  Bolo de milho  Torta de atum  Iogurte  Vitamina  Ovos mexidos  Pão de queijo comum e recheado com requeijão  Mini salgados  Queijo quente  Doce de leite  Doce de sidra  Queijos variados  Sendo importante frisar que os pães e bolos são feitos pelas cozinheiras da pousada.  Eu e minha esposa, minha filha de São Paulo e a da Itália sempre se hospedam na Pousada das Águias.  Recomendo, é o Messi dos hotéis de Monte Verde. Eficaz e cumpre o que promete."
18 de dez.,3,"Estadia Excelente, tratamento com cliente de anos nem tanto","Somos clientes ha mais de 10 anos e, por essa razão, nos foi oferecido um desconto no momento do checkin, o qual ficamos muito felizes pelo reconhecimento (caso o pagamento fosse feito em dinheiro) COmo nao tinhamos o valor no momento, oferecemos realizar o PIX na hora, porem, o atendente disse q nao seria possivel, mesmo sabendo que PIX nao ha taxas ou cobranças extras para a pousada. EM resumo, o desconto que nos foi oferecido foi entao recusado, sem nenhuma explicacao coerente.    Apesar do ocorrido, a estadia foi excelente como sempre."
18 de dez.,5,Recomendo,"Excelente local, quarto maravilhoso, e funcionários super educados e receptivos! Instalações exatamente como nas fotos, Nos sentimos maravilhosamente bem, viagem romântica que atendeu nossas expectativas ! Voltarei novamente!"
