Data da opinião,Nota,Título,Conteúdo
27 de dez.,5,Ótima estadia.,"Ótima localização, o hotel fica na avenida do Contorno próximo dos principais bairros de BH. Quartos muito limpos, velocidade da Internet wifi muito boa, funcionários atenciosos, café da manhã excelente. O estacionamento é terceirizado e cobrado a parte."
set. de 2022,5,Excelente hotel,"Hotel e acomodações super limpas, cama confortável e vista maravilhosa. Possui lavanderia de auto serviço disponível em alguns andares e cozinhas disponível para o hóspede, onde você pode preparar sua comida fora do apartamento. Café da manhã com equipe muito gentil."
25 de dez.,5,Mercure Lurdes BH,"Excelente trabalho da recepção. Cordial e eficiente os funcionarios Paulo e Guilherme.  Quartos muito bons.  Limpos e boa cama.  Muito boa localização do hotel, perto do BH Shopping e de bons restaurantes.  Com certeza retornarei."
23 de dez.,5,Excelente experiência,"O atendimento é ótimo, as pessoas que trabalham aqui são muito simpáticas. O café da manhã é ótimo, e o restaurante também. O serviço interno de refeição no quarto é super rápido, sem perder a qualidade."
18 de dez.,5,Best Hotel of Belo Horizonte,"Always I’m coming to Belo Horizonte I choose this hotel, not for a case. Very will localized, near by several good restaurants. More the that, the kindness. They make you really fell special, well treated.    Sempre que venho a Belo Horizonte escolho este hotel, não por acaso. Muito bem localizado, perto de vários bons restaurantes. Mais do que isso, a simpatia das pessoas daqui. Eles fazem você realmente se sentir especial, bem tratado."
17 de dez.,5,ótimo!,"tudo excelente! ótimo restaurante japonês. Banheiro impecável, educação da equipe, vista linda nos andares mais altos, ótima localização. Segurança e estacionamento. Acústica boa para descansar sem ruídos vizinhos."
17 de dez.,5,Estou maravilhada com a hóspede e atendimento da recepção,"Excelente atendimento da recepção, agradeço especialmente ao Donald que se mostrou muito solicito e nos prestou um atendimento extremamente humanizado!!! O hotel também é muito bonito e aconchegante, indico de olhos fechados 🙏🏻💖"
12 de dez.,5,Gratidão,Quero agradecer a Lucimar pelo carinho e cuidado com o quarto em que eu fiquei hospedado. Seu serviço é MUITO importante. Espero que você seja cada vez mais feliz e que Deus te recompense sempre por cuidar tão bem das pessoas. Feliz 2023! Se cuida! 😘🙏🏽
8 de dez.,5,Minha casa fora de casa,"Excelência no atendimento, tendo os colaboradores da recepção, mensageiros, segurança, governança e limpeza terem receptividade e atenção a todos deixando os clientes com conforto e nos fazendo sentir em casa fora de casa.  Patrícia, Teresa, Marina, Leonardo, Rafael, Breno, Vanderli,Equipe da Segurança, Equipe da Governança, todos merecem os parabéns."
1 de dez.,5,Avaliação das Camareiras,"Amei as camareiras principalmente a Dona Lucimar, amei a experiência a comida é muito boa, atendimento e limpeza perfeitos, com certeza um dia vou voltar ao Mercure com muitas boas lembranças, todos são muitos gentis!"
nov. de 2022,5,Comodidade e estrutura,"Ambiente prático mas agradável na recepção, atendimento cordial. Quarto limpo e confortável para descanso, ótimo chuveiro e muito boa estrutura do banheiro. Gosto muito do centro de eventos desse hotel, é um dos mais completos da cidade. Até a próxima, Mercure Lourdes!"
nov. de 2022,5,Sua casa fora de casa,"Os apartamentos são impecáveis na limpeza, organização e cuidados com a saúde.  A equipe de seguranças sempre atentas e educadas para ajudar.  A equipe de recepção, Patrícia, Teresa, Leonardo, Raphael, Bruno, Vanderlei e demais sempre cordiais e atenciosos a ajudar e dar todo o apoio para você se sentir em casa fora de casa.  Parabéns e muito obrigado a todos."
nov. de 2022,5,Experiência única....,"A Rede Mercure dispensa quaisquer comentários. Excelentes profissionais em todos os setores que sempre estão aptos em atender as necessidades do cliente. Gostaria de ressaltar com uma grande admiração a profissional D. Rejane com sua simplicidade, simpatia e a vontade que o cliente esteja na sua extensão da sua casa e não em um hotel. Super atenciosa e cuida com carrinho do nosso aposento. A Gerencia / Supervisão eu digo que essa profissional faz além e com amor e dedicação. PARABÉNS..."
nov. de 2022,5,Ótima localização!,"Tive uma ótima hospedagem! Quarto bem decorado e limpo, os funcionários são atenciosos e bem educados! A localização do hotel ajuda bastante, próximo a shoppings e restaurantes. Não posso deixar de falar sobre o café da manhã que é uma delícia, e a variedade de serviços oferecidos pelo hotel facilitam a estadia."
nov. de 2022,5,Otima experiencia,"Me hospedei com a minha família, foi uma ótima experiência. O quarto foi adequado dispondo de cama, mesa e banho de primeira linha, incluindo shampoo e condicionador disponível.  Durante a noite, tivemos um contratempo com o aparelho de ar condicionado e as duas vezes o Pablo Rocha e sua equipe, prontamente nos atendeu e foram extremamente solícitos e muito educados.  O café da manhã dispunha de buffet livre com varias opções de comidas e bebidas, inclusive fit.  Tivemos uma ótima experiência e estamos ansiosos para voltar."
nov. de 2022,5,Excelente local para um descanso de casal,"Quarto aconchegante, um bom café da manhã , precisei de ajuda da equipe de manutenção e o Sr. Pablo me atendeu de forma atenciosa. Com certeza eu e meu esposo voltaremos a nos hospedar no Mecuri Hotel."
nov. de 2022,5,A MELHOR EXPERIENCIA DA VIDA,"Os travesseiros são macios, o quarto super limpo, cheiroso e aconchegante. Jantar e café da manhã impecáveis, atendimento reservas e recepção maravilhoso. Super indico, experiência única e maravilhosa."
