Data da opinião,Nota,Título,Conteúdo
22 de dez.,5,Ótima experiência,"Pra quem gosta de praticidade é o melhor hotel, eu só precisava de um lugar como base e confortável pra dormir depois de um dia de passeio pela capital, o Ibis atendeu às minhas necessidades, foi o mais em conta que eu achei comparado aos outros.  Uma coisa que poderia ter era o estacionamento gratuito, de resto só sucesso."
21 de dez.,1,"Pior experiência. Sujo, funcionários grossos, sem garagem, café da manhã ridículo sem opções e preço absurdo. Fujam daqu","Não oferece garagem, café da manhã fraquíssimo e caro, funcionários grossos, quarto horrível e sujo. O preço é absurdo pelo que oferece. Já me hospedei em espeluncas melhores que essa. Fujam do ibis budget de BH. Pior experiência com hotel"
18 de dez.,3,Legalização perfeita,"Café da manhã com muita variedade, tudo muito saboroso.    Limpeza impecável.    Roupas de cama muito confortável.    Funcionários super atenciosos.    Localização excelente.    Porém quarto e banheiro muito pequeno e apertado."
set. de 2022,4,Bem localizado,"Hotel bem localizado. Perto da Feira de artesanato, Mercado municipal e Barro Preto. Quarto básico, pequeno, cama confortável, tudo limpo, mas não tem frigobar. Café da manhã bom e variado. Estacionamento é cobrado à parte."
ago. de 2022,3,Razoável,"Fila muito grande na hora do check in, poucos funcionários pra atender.  Café da manhã demora pra repor os itens e funcionários fazendo muito barulho na hora de recolher os pratos e talheres usados. Quartos com lençol todo amarrotado e cheiro não muito agradável, parecendo que estavam usados."
jul. de 2022,3,Só pra dormir desmo,"Ficamos em família de 4 num quarto com cama casal, beliche e sofá cama. É minúsculo, mas foi ok. Acho que o ideal nele é só pra dormir mesmo e se possível só 1 noite, como fizemos. Mas, banheiro e ar condicionado ok. Tem muitos hóspedes, os elevadores demoram um pouco no horário de fluxo. Pelo preço, até que foi bom."
jul. de 2022,1,Péssimo atendimento!,Péssimo check in. Compramos pela Decolar e ao chegar no hotel disseram que não tinha vaga. Demorou demais para resolverem este problema. Estávamos com 5 crianças e um pet. Para finalizar o péssimo serviço não tinha nem coberto para oferecer. Não recomendo!!!
jul. de 2022,3,Incomodo da camareira/governanta no quarto,"O check out era as 12 horas, mas a camareira/governanta bateu na porta por duas vezes. Uma por volta das 9 e outro por volta das 10:30. Iria viajar e estava dormindo para descansar, mas fomos interrompidos por duas vezes."
jul. de 2022,2,DECEPCIONANTE,"fiz uma reserva pela central accor, com café da manhã para tres pessoas e indiquei meu código de investidor accor. como não recebi um e-mail de confirmação enviei um pedido de confirmação para o hotel ibis para saber se minha reserva estava confirmada. recebi a resposta da sra mariana que esta tudo ok. no check in a atendente informou que não constava os cafés da manhã, contei o ocorrido de forma educada mas infelizmente a moça foi bastante rispida comigo e com minha esposa afirmando que existia mesmo a confirmação da mariana, mas não constava café da manhã. se é esse o padrão de atendimento accor, então está bem baixo, eu como investidor espero mais que isso, hotel econômico não pode ser sinônimo de falhas e atendimento descortês."
jul. de 2022,3,Poucos funcionários grandes filas,"Hotel simples padrão  ibis budget com pouquíssimos funcionários capazes de fazer o atendimento de check in.  Cheguei a ficar 55 minutos para conseguir fazer o checkin , tendo apenas um funcionário na recepção , o qual se desdobrou para atender a fila de cerca de 10 pessoas . Em síntese , descaso da rede Accor para o atendimento aos hotéis mais simples, cena que se repete em toda a rede Ibis e Inis/Budget em Bh"
jun. de 2022,3,REGULAR,"não tinha frigobar e tinha que acertar bebidas toda hora, sem comentários e pontuação da all accor live limitless está horrivél, pontuei nesta hospedagem 15 pontos no programa, voces estão de brincadeira!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
jun. de 2022,3,Honesta,"O que mais ficou a desejar foi quanto a limpeza, paredes do banheiro com sujeiras bem a vista , pia entupida e pedi na recepção para arrumarem e não fui atendida , pedi troca de roupa de cama e não fui atendida, tive que solicitar na recepção e trocar eu mesma"
