Data da opinião,Nota,Título,Conteúdo
9 de dez.,4,Viajando por Belo Horizonte,"Hotel padrão Íbis , com café da manhã razoável em relação ao preço, muito bem localizado, perto de tudo que você imaginar, super recomendo, e ainda tem estacionamento para os hóspedes. O atendimento foi muito bom e o Wi-Fi também. Recomendo a todos, custo benefício excelente"
nov. de 2022,4,Padrão ibis,"Quartos padrão Ibis. Bom café da manhã. Ha vários bares nas proximidades. Na frente do hotel há um restaurante/bar hj Tatiana da recepção oferece um atendimento acima da média ! É simpática, atenciosa e operacional. Possui estacionamento pago (30,00 a diária)."
nov. de 2022,4,"Super bem localizado, com o padrão bom, bonito e barato da rede IBIS","Como sempre digo, Mc Donalds e IBIS no mundo inteiro você pode frequentar sem medo, já que o padrão vai ser sempre igual, sem surpresas negativas. Você sabe que sempre vai encontrar um hotel com um quarto simples exatamente no mesmo padrão e tamanho, com atendimento muito atencioso e preço justo. O café da manhã é opcional, mas se optar, as variedades oferecidas são tantas que valem por um almoço. Como sempre, recomendo quartos nos andares altos e longe da rua para ter mais silêncio."
out. de 2022,2,Checkin Horroroso,"Checkin simplesmente HORROROSO! Após viajar por 7 horas, chego na recepção do hotel e ainda preciso esperar QUARENTA MINUTOS para conseguir ser atendido. Isso porque só haviam 4 pessoas na fila para fazer checkin. Inacreditável… não voltarei nunca mais. Péssimo."
out. de 2022,5,Bem localizado,"Houve problema com ar condicionado, temperatura externa não estava elevada por isso não interferiu na avaliação da estadia. Atendimento recepcionista e café da manhã ímpar, ficamos bastante satisfeitos. Parabéns!"
out. de 2022,5,Excelente custo beneficio.,"Staff muito cortês.  Tive um problema com o frigobar (não ligava) e foi resolvido rapidamente.  Ducha forte e quente.  Ar condicionado forte.  Localização excelente, perto de shopping, cafés, bares.  Melhor ponto de Belo Horizonte."
out. de 2022,1,TRATAMENTO TOTALMENTE INADEQUADO,"Tudo estava bem até que precisei estender a minha reserva. A partir daí eu fui tratado como um qualquer.Me obrigaram a apresentar um cartão de crédito meu para aguardar a aprovação da empresa responsável pela minha viagem a Belo Horizonte. A situação ficou tão delicada que fui impedido de consumir uma pizza e uma coca cola, além de ter a minha chave bloqueada com todos os meus pertences dentro do quarto. A situação só foi contornada porque a minha família intercedeu e pagou a conta. Mesmo com tudo pago, fui constrangido na frente de outros hóspedes, quando quis subir ao quarto para escovar os dentes e pegar a minha bagagem.  Lamentável.  Não recomendarei a ninguém."
out. de 2022,5,EXCELENTE,Checkin Rapido. Hotel bel localizado. Muito limpo e agradável. A TV poderia estar melhor sintonizada e com mais Canais. Mas não tem problema. Sempre muito bem tratado no Ibis. Excelente Hotel. Sou Cliente Ibis há mais de 15 anos e sempre serei!!!!
ago. de 2022,5,Excelente localização,"Hotel com localização excelente, no coração da Savassi. Com shopping, mercado, farmácia, barzinhos, restaurantes e casa de shows tudo acessível. Ótimo custo benefício! O estacionamento é pago a parte mas tb é super acessível. Café da manhã bem completo para padrão Ibis."
ago. de 2022,4,"Hotel bom para viagens a trabalho, café da manhã bom, cama, chuveiros bons.","Fiquei no hotel no final de Julho, 4 dias, não tive problemas com a hospedagem, localização boa, com bons restaurantes, supermercados e farmácias próximos. Cama confortável, chuveiro bom, e quarto silencioso.  Ficaria novamente."
jul. de 2022,1,Péssimo atendimento e experiência,"Péssimo atendimento, poucos funcionários na recepção, não atendem o telefone, funcionários despreparados para atendimento ao público. Também tive problema algumas vezes com o cartão que não funcionava para passar no elevador e liberação do quarto. Ou seja, experiência negativa, não recomendo!!!"
jul. de 2022,2,Péssimo,Não tinha UMA água no quarto.  Tentei ligar na recepção pra pedir e o telefone não funcionava. Tive que tomar meus remédios com água da pia depois de um dia inteiro de trabalho.    Só não dou nota zero pq o chuveiro era quente tipo pegando fogo e eu gosto assim.
jul. de 2022,4,Cordialidade,"os funcionários sempre cordiais e atenciosos .  Qualidade dos produtos do restaurante deixam a desejar , colocaria para atender onde é servido o café pois o balcão do bar tem pouco espaço  Qualidade do sono - razoável pois as paredes não retém o barulho dos aptos vizinhos"
