Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Ótimo Hotel e sua localização,"O Hotel está numa boa localização do bairro Savassi em BH, próximo a shopping, bancos, locadora de carro, restaurantes, lanchonetes e etc. Quartos limpos e achei interessante que no quarto tem uma tábua e ferro de passar roupa (Difícil de achar esta cortesia em outros hotéis). O café é EXTRAORDINÁRIO, já fui em muitos hotéis pelo Brasil e não achei um café melhor que esse, tanto em quantidade, como qualidade e variedades. Estão de parabéns."
out. de 2022,4,Ótimos dias com a família neste hotel,"Quartos ótimos, atendimento muito bom também! Café da manhã muito bom, com opções bem tradicionais de MG! Restaurante ótimo com preço justo, com muitas opções. Estacionamento terceirizado (axei um pouco caro). Localização de fácil acesso e com vias rápidas para acesso a diversos pontos turísticos."
out. de 2022,5,Excelente opção de hospedagem em BH,"Pude experimentar todo o potencial do hotel, limpeza, suas instalações e a cortesia de seu pessoal. Achei simplesmente incrível poder estar ali hospedado. Chamo a atenção pela empatia e proatividade da recepção. Super recomendo, vale muito a pena!"
out. de 2022,5,Excelente hotel,Excelente estrutura. Quartos com isolamento acústico e todas as camas king (não há camas de solteiro). Quarto completo inclusive com tábua e ferro de passar roupas. Localização privilegiada. Excelente café da manhã. Atendimento bilíngue dedicado.
ago. de 2022,5,Muito bom,"Bem localizado, fácil de chegar pra quem vem pela BR-040. Fica a uma distância bem curta, a pé, do Pátio Savassi. Dá pra ir caminhando também para a Praça da Liberdade (de 10 a 15min). Hotel muito bom, bom quarto, boa estrutura, chuveiro potente, café da manhã farto e com muitas opções. Estacionamento cobrado à parte é caro (40 reais/dia)."
ago. de 2022,5,"Localização perfeita, camas grandes!","Sempre que vou a Belo Horizonte fico neste hotel.  Bem localizado, tem vários restaurantes bem próximos a ele.  As camas são muito grandes e abraçam a gente, de tão confortáveis.  O café da manhã é muito bom também, eles fazem tapioca e ovos na hora.  Super recomendado."
ago. de 2022,5,Hotel muito bom,"Hotel muito bom, confortável e bem localizado. Café da manhã muito farto e com bastante variedade. Tudo muito fresquinho e gostoso. Atendimento muito bom. Os quartos são confortáveis e limpos. Possui estacionamento conveniado à parte. Próximo à vários pontos turísticos. Fomos à pé ao Mercado Central, Praça da Liberdade e Museu das Minas e do Metal. Próximo à um shopping e vários restaurantes."
jun. de 2022,4,"Tudo perfeito, salvo o ar condicionado","Hotel limpo, atendimento hiper polido por parte dos funcionários e quarto espaçoso para casal com 2 filhos já grandes.    Café da manhã perfeito, tudo muito gostoso e farto.    Somente não dei 5 estrelas pq o ar condicionado do quarto não funcionava sequer para ventilar, imagine gelar e a camareira todo dia colocava somente 3 toalhas, sendo que éramos 4 no quarto, mas volto a me hospedar na cidade nesse hotel com toda certeza, só conferindo o ar assim que ingressar no quarto rs"
mai. de 2022,5,Boa escolha,"Hotel muito bom e com ótima localização, atendimento excelente, café da manhã com variedades, área de lazer excelente com fácil acesso á academia, possui salas de reuniões amplas e quarto bem equipado."
abr. de 2022,5,Excelente!,"Com certeza é um dos melhores hotéis que já fiquei em BH.    Check in e check out práticos.    A localização é fantástica. O hotel é lindo e impecável.    A piscina é suficiente, limpa, assim como a jacuzzi.    Os quartos são enormes, as camas extremamente confortáveis e limpas. O banheiro também é enorme. As toalhas são ótimas e grandonas.    O café da manhã é bem gostoso.Os funcionários apenas demoram para retirar os restos dos hóspedes, bem como as luvas utilizadas.    Já fiquei lá duas vezes.  Um pequeno contratempo na última vez, que foi prontamente acompanhado pela gerente Jaqueline. Inclusive, parabéns pela gerência."
