Data da opinião,Nota,Título,Conteúdo
28 de dez.,5,Excelente,"Toda a equipe muito atenciosa. Café da manhã muito bom. Excelentes serviços nos quartos. Como um único comentário, a sauna ficaria ainda melhor caso houvesse essência de eucalipto durante o uso da mesma."
set. de 2021,5,Pousada seguindo todos os protocolos de segurança contra a covid. Todo muito seguro e limpo. Excelente estadia .,"Ótima pousada , com excelente atendimento por toda equipe. O apartamento, atende as expectativas, banheiro com aquecimento de água por passagem , ótimo e Wi-Fi bom. Café da manhã muito bom. A área de recreação com piscina aquecida e sauna bem interessante."
26 de dez.,5,Perfeição,"Excelente lugar , tanto na localização quanto na beleza. Atendimento excelente desde a reserva até checkout. Café da manhã e um show a parte , delicioso , lindo e super farto , um brunch. Piscina aquecida e salada jogos que as crianças se divertiram . Quarto aconchegante , limpo . Indico sem erro."
20 de dez.,5,Tudo muito perfeito! Recomendo,"Pousada sofisticada, muito gostosa, aconchegante... vista linda, tem piscina aquecida, salão de jogos, café da manhã bem diverso, tudo muito bom! Recomendo para casais e famílias... Sem contar a localização, que é perfeito, na mesma avenida dos restaurantes e lojas."
19 de dez.,5,Voltaria fácil !!!,"Excelente Pousada, tudo perfeito, desde o início até o fim, começando pelo atendimento de todos os colaboradores... café da manhã maravilhoso, quarto limpo e aconchegante, voltaremos com toda certeza !!!"
19 de dez.,5,Excelente Pousada,"Excelente pousada, aconchegante, limpeza dos quartos, café da manhã delicioso e bem variado, piscina aquecida com sala de jogos, atendimento diferenciado dos funcionários, parabéns, tudo muito perfeito.."
18 de dez.,5,Confirmando a espectativa,"Excelente pousada em Monte verde, muito bem cuidada, cheia de detalhes , quarto super confortável , cama excelente, tudo com muito bom gosto . Funcionários atenciosos e prestativos, Paulo, Daniel. Gabriela e a Edna da café."
18 de dez.,5,Atendimento é o ponto forte,"Lugar muito gostoso, aconchegante, limpo, mas o atendimento é algo diferenciado neste lugar. Todos, sem exceção, com um destaque para o Daniel que nos atendeu muuuitissimo bem tanto na Pousada quanto no restaurante Alameda Suica. Parabens a todos!"
18 de dez.,5,Maravilhoso,"Voltamos a Pousada Suíça Mineira após 7 anos... e só temos elogios... quarto aconchegante, café da manhã delicioso, piscina aquecida... atendimento especial do Benedito e do Daniel... parabéns a todos da pousada, estão de parabéns. Nota mil..."
17 de dez.,5,Lua de mel,"Pousada maravilhosa, todos os profissionais com excelente atendimento, conforto e limpeza impecáveis. Café da manhã que agrada qualquer um, com muita variedade de alimentos. Restaurante anexo também de muita qualidade. Super recomendamos!"
