Data da opinião,Nota,Título,Conteúdo
out. de 2022,4,Feira Exposibram,"O hotel estava com sua lotação completa e mesmo assim, a equipe de serviços conseguiu dar conta do recado. A refeição no jantar é que precisa de uma melhora para compensar o custo-benefício. No mais, a localização do hotel é 1 ponto positivo."
out. de 2022,5,Satisfação,"Fiquei satisfeito e surpreso positivamente haja vista que o Hotel superou minhas espectativas iniciais. Estadia super tranquila em quarto maravilhoso e aconchwgante, limpo e higiênico. Supersatisfeiito e indico aos amigos e demais pesquisadores a procura de excelente local e hotel em BH."
ago. de 2022,5,Localização e Custo benefício,Localização excelente com acesso fácil e custo dentro da proposta. Fica localizado ao lado do Shoping Del Rey com fácil acesso às principais vias de bh e contagem  Atendimento justo de acordo com a proposta do hotel
ago. de 2022,4,Otimo Hotel,"Atendimento muito bom, check in rapido, quartos confortáveis, banheiros com chuveiro quente e agua forte, ar condicionado muito bom, ótima localizacao e em frente a um shopping com boa praça de alimentação."
jun. de 2022,4,Praticidade,"O Hotel é de fácil acesso e pratico, com quartos amplos e excelente acomodação. O café da manhã tem boas opções. Acredito que há uma oportunidade de ter mais agilidade no check in, mais velocidade principalmente para hóspedes frequentes"
jun. de 2022,2,Boa Localização - Péssimo resto.,"Ao responder o questionário, ficou mais claro pra mim a falta de gestão, problemas que eu identifiquei:    Não fui informado da existência de uma academia ou área de lazer.    Salão de refeição, muito pequeno e sem a devida atenção a limpeza e troca de mesas.    Café da manhã: Pouca variedade, frutas estavam mais pro podre do que pro maduro.    Quarto: Estava sujo, ar com defeito, chuveirinho quebrado, TV com problema, a forma como é feito o BOX inunda o banheiro inteiro, toda vez tinha que dar um jeito na água que vaza.  Janelas e persianas imundas, parece que nunca foram limpas.    Sugestões de melhoria: Manutenção adequada dos quartos, eu cheguei e ouvi os recepcionistas falando de alguém que queria mudar de quarto pois algo estava quebrado, e no meu também tinham coisas quebradas, como a minha estadia era curta era algo que dava pra levar.    Café da manhã: aqueles armarios pra pegar as ""louças"" é um caos, e fica até dificil dos funcionários perceberem que acabou e providenciar uma reposição, as 2 vezes que usei o café estava caótico e faltando itens para pegar o café e os funcionários nem sabiam, precisavam ser avisados.    Antes de uma pessoa adentrar ao quarto, é necessário verificar a TV, Ar e os itens de limpeza, não simplesmente mandar para o quarto. Itens quebrados precisam ser arrumado.  O pessoal do Check-in precisa informar aonde estão as coisas do hotel e principalmente o funcionamento do elevador, o normal é o elevador ir para o andar ""0"" que seria o terreo, no Go-Inn é o andar ""1"". Se não fosse um hospede que estava a mais tempo, eu ia ficar um bom tempo no elevador clicando no 0 e esperando chegar ao local (não, ninguém lê avisos de elevador até que perceba que algo está errado, é obrigação do hotel avisar.)    Em Resumo, eu já fiquei em muitos hoteis ruins, mas o Go-Inn por estar em uma região metropolitana e que possui estrutura virou meu novo ""Pior hotel"", perdendo para Formula1, Ibis budget, entre outros hoteis ""pequenos"" de regiões metropolitanas.  Eu vou retornar ao Hotel, principalmente pela localização, mas sempre a trabalho e nunca a lazer ou com família ou amigos.  Vocês possuem uma ótima localização, uma estrutura que permite um trabalho bem feito, o hotel estava lotado nos dias que eu estive lá, então só falta cuidar do que é de vocês, antes que seja tarde demais."
jun. de 2022,5,Excelente atendimento e localização.,"Hotel com excelente localização, atendimento cordial.  Fui surpreendida com a equipe da qualidade, Hanna deixou um recado muito atencioso, se colocando a disposição para qualquer eventualidade, extrema organização no quarto e um café da manhã delicioso!"
jun. de 2022,5,Ambiente super agradável,"A primeira vez que me hospedo mas fiquei muito satisfeito com toda estrutura do lugar os colaboradores super atenciosos educados, espero retornar outras vezes me senti em casa a viagem foi curta na próxima pretendo ficar alguns dias a mais!"
jun. de 2022,5,Excelente Hospedagem,Retornarei assim que possível. Excelente localização e uma atendimento espetacular com atenção e dedicação aos hospedes.  Desde o checkin até o checkout com a preocupação em melhor atender. Recomendo principalmente a quem vem a negócios.
jun. de 2022,5,Tudo perfeito nos mínimos detalhes,"Atendimento maravilhoso e atencioso! Todos os detalhes cuidados com muito carinho e atenção com os hóspedes. Localização excelente. Destaque para a Coda, que cuida dos nossos quartos como se tivéssemos em casa"
