Data da opinião,Nota,Título,Conteúdo
8 de dez.,5,Sensacional,"Maravilhosa em cada detalhe    O café da manhã é excelente, uma opção mais gostosa que a outra . Gostinho de feito na hora em um ambiente lindo com uma equipe muito simpática (meus agradecimentos especiais a Jéssica, Igor e Valter por terem nos recebido com tanta simpatia e feito nossa estadia ainda melhor).    A suíte estava impecável, tudo muito limpo, cheiroso e em perfeito estado. A qualidade das toalhas e da roupa de cama é visível.    É bem próxima da rua principal    Ansiosa para o retorno rs"
out. de 2022,5,Perfeito para casais em lua de mel ou para quem quer relaxar,"O atendimento foi impecável! Todos os funcionários super gentis. O local é muito agradável, com area externa perfeita para quem quer relaxar. Café da manhã musical nos fins de semana. Quarto bem decorado, confortável, com lareira e lençol térmico."
out. de 2022,5,Melhor localização para quem não vai de carro,"A pousada é muito aconchegante. Linda e romântica em cada detalhe. A equipe é muito prestativa e cordial. E como não fomos de carro, foi a melhor escolha, pois é ao lado da rua principal da cidade (menos de 5 min à pé). Sem dúvidas a melhor localização ainda com vista maravilhosa da Suíte Oriente."
out. de 2022,5,"Fomos surpreendidos com a qualidade dos serviços oferecidos ao nos hospedarmos na Pousada Carícia do Vento, voltaremos .","Quarto confortável com colchão aquecido, ar condicionado quente e frio, lareira e toalhas brancas e grossas, extremamente cheirosas, a higiene do local é impecável, o café da manhã um charme a parte, fui surpreendida com música ao vivo no café da manhã ao som de instrumentos musicais, parecia Deus me dando bom dia. O café da manhã servido na mesa, que traz ainda mais higiene, mousse de morango, creme de banana e creme de abacate são sabores inesquecíveis, a pamonha extremamente delicada e muito saborosa. Chandon 🥂oferecida como gentileza aos hóspedes no café da manhã nos finais de semana. Inesquecível!!! 🥂Obrigada a toda equipe fabulosa deste local. Marcos, Valter, Carlos, Cozinheiras e demais. Vocês são maravilhosos. Equipe em sintonia para oferecer o melhor. Fomos muito felizes aí com vocês e voltaremos em breve."
set. de 2022,5,Ótima pousada,"Eu me hospedei no quarto Ar, ótima experiência, cama muito confortável, tem um aquecedor de lençol que faz total diferença para as noites frias, banheira espaçosa. Tudo muito limpo, funcionários cordiais!  Se fosse pra deixar um ponto de melhoria, seria na maneira de servir o café da manhã, pois eles trazem um kit pré pronto, porém o restante temos que selecionar no cardápio e pedir, acho bacana algumas opções ser assim personalizado, como omelete e tapioca, porém o restante deveria ficar numa mesa para nos servimos, como pães, queijos, leite e café, bolos, pães de queijo, pq as vezes devido a demanda demoram um pouco para trazer, acaba esfriando o café e o leite, até trazerem o pão e os queijos e tbm acredito que seja um trabalho redobrado para os garçons, mas é só uma dica, talvez tenham um motivo para servir dessa forma, mas prefiro os locais que ficam disponíveis para nos servirmos."
set. de 2022,5,Excelente pousada,"Pousada excelente, com ótimo atendimento, café da manhã muito bom e bem servido, excelente localização e chalé muito aconchegante. Lugar muito bom para passar uns dias perto da natureza. Voltarei mais vezes com certeza"
set. de 2022,5,Ótima avaliação,"Atendimento excelente, pousada muito linda bastante verde. Café da manhã excelente, maravilhoso, tudo feito na hora. Ela está bem localizada, na entrada da cidade. Tinha até um mimo quando chegamos . Super indico."
set. de 2022,5,"Lugar maravilhoso, super bem recepcionado!","Alem de lindo o lugar, atendimento e tratamento dos funcionarios excelente, lugar tranquilo e aconchegante, volterei mais vezes!  Academia bem estruturada, spa, jardim tudo otimo e super bem conservado, limpeza tambem super bem feita, nota 1000!"
set. de 2022,5,Lugar bastante agradável e bonito!,"O lugar é bastante bonito. O café da manhã é perfeito! Os funcionários são bastante amigáveis e prestativos. Indico a massagem, é muito boa. Também dão dicas de passeios e restaurantes O único ponto de atenção é que os quartos possuem tamanhos distintos, então fica esperto na hora de fechar a reserva para garantir que escolheu o quarto certo."
set. de 2022,5,Fantástica,"Simplesmente fantastica!!! Lugar maravilhoso, com uma vista deslumbrante. O atendimento é impecável. Café da manhã variado e delicioso. Quartos limpos e aconchegantes… Opções variadas de acomodações. Área comum bonita e com varios ambientes… Perfeita!!!"
