Data da opinião,Nota,Título,Conteúdo
25 de dez.,2,Acústica dos quartos ruim,"É a segunda vez que me hospedo na rede confort e tenho que dizer... a acústica dos quartos são sempre péssima! Os quartos até são de tamanho razoável, mas parece que não preparam o quarto para os hóspedes que já fizeram reserva...pois se vão se hospedar três pessoas, devem ter três toalhas no quarto... simples. Outra coisa que poderiam ter é com baixo custo... é uma brinquedoteca...para distrair as crianças. O café da manhã bem fraco e a piscina é bem pequena... o check-in/check-out rápido. Só tenho que elogiar os chuveiros com bastante fluxo de água e com a temperatura ótima, o que sempre salva as minhas hospedagens na rede confort."
nov. de 2022,4,Excelente,"Hotel muito bom , localização excelente , atendimento da recepção tbm muito bom , café da manhã bacana também. Recomendo sim esse hotel , tanto para negócio como lazer pois atende muito bem . A piscina e bacana mas não frequentei mas vale a pena"
out. de 2022,3,Hotel simples.,"Hotel bem simples, atende o básico, porém antigo, internet ruim, boa alimentação, funcionários atenciosos e boa localização. O quarto possui ar condicionado, bom chuveiro, porém o box é pequeno. O estacionamento é gratuito."
out. de 2022,1,Um dos piores hotéis de uberlandia,"Hotel péssimo! Existem opções mais baratas e bem melhores na região. Quando chegamos no quarto a primeira coisa que virmos foi uma barata morta. Lençol possuía algumas manchas. Televisão do quarto é horrível, imagem e som MUITO ruins. Quarto bem pequeno, quando reservei parecia ser bem maior pela foto, mas me decepcionei até nisso. Outro ponto ruim é o Wifi do hotel, colocaram só pra dizer que tem mesmo, porque em 3 dias de estadia eu não consegui usar pra nada, de tao lento que é, parece internet discada! Café da manhã também é bem fraquinho, poucas opções. E a gota d’água é que eles nem se quer oferecem TALHERES ao hóspedes! Estava doente, pedi uma sopa pelo ifood, e quando eu pedi na recepção talheres e prato, eles só quiseram me dar aqueles pratos de plástico bem raso e…"
set. de 2022,2,SOCORRO,"Hotel limpo, camareiras simpáticas, colchão bom, chuveiro ótimo, café excelente, porém o que mais buscamos em um hotel não encontramos no Comfort Hotel que é a PAZ, SOSSEGO E TRANQUILIDADE. O PIOR Hotel em relação a acústica dos quartos, às 5 da manha o barulho é absurdo, risadas, bateção de portas, as conversas parecem que estão dentro do quarto PÉSSIMO não recomendo."
jun. de 2022,4,ótimo custo beneficio,"localização muito boa, confortavél, limpo e organizado.  Café da manhã ótimo e opções de refeições muito boa.  Não tive problema com barulho, localizado em uma avenida muito bem localizado em uberlandia"
jun. de 2022,4,Jantar demorado/cheiro químico forte,"Mto bom, apenas o jantar fica a desejar....demorou mais de 3h para chegar um misto quente com fritas. Quarto ao lado teve manutenção e cheiro de coisa química incomodou...tirando isso sempre gostei de lá, mas tive mto azar na última vez"
mai. de 2022,2,Velho e desconfortável,"O hotel está velho e sem qualquer renovação. O quarto estava bem limpo, porém a cama tem colchão antigo e mole, os lençóis eram super finos, quase transparentes, e os travesseiros bem ruins. O banheiro é escuro e está bem velho também, apesar da boa ducha. Zero conforto acústico. Dá para escutar absolutamente tudo dos quartos ao lado e corredor, inclusive portas batendo desde bem cedo. É um hotel de baixo custo, porém não está valendo a pena. Precisa de renovação urgente!"
jan. de 2022,2,Gestão desastrosa,"Voltando de férias em Santa Catarina, indo s Brasília, resolvemos descansar em Uberlândia... Os hotéis Confort sempre foram boas opções mas este precisa urgentemente uma mudança de gestão... O restaurante não funciona talvez pela pandemia, bem como a piscina... A comida tem que ser solicitada pelo Whatsapp do Hotel para ser consumida no quarto... as cervejas, só em lata, bem como os refrigerantes e em selfservice no freezer da recepção... Sentamos numas mesinhas perto da piscina onde haviam toldos para nos proteger da chuva... surpresa tivemos foi quando começou a chover o funcionário do Hotel foi retirar o toldo, nos deixando na chuva, sob alegação que os toldos poderiam estragar com chuva e vento... absurdo!!! Nunca mais... Evitem esse hotel em Uberlândia..."
jan. de 2022,2,Hotel precisa de reparos urgentemente,"Estive com minha família nos dias 07/08/9 e 10 de Janeiro de 2022. Ficamos nos quartos 516 e 518 que são conjugados. Parte do teto do hotel caiu, eu e minha família nos assustamos muito. Acordamos com um enorme barulho. Já estava bem apreensiva pelo fato do nosso andar estar cheio de goteiras e vários baldes espalhados pelo corredor. Devido às grandes chuvas em Uberlândia ficamos com muito medo de a estrutura do hotel não aguentar… o hotel parece precisar urgentemente de reforma.  O café da manhã é bom no primeiro dia, porém a partir do segundo dia já fica bem repetitivo. Quartos confortáveis porém como já havia dito a estrutura de modo geral é velha e não muito bonito. Os elevadores também não passam muita  Segurança. A verdade é que o hotel é bem fraco. Irei postar Fotos. chuvas em Uberlândia ficamos com muito medo de a estrutura do hotel não aguentar… o hotel parece precisar urgentemente de reforma.  O café da manhã é bom no primeiro dia, porém a partir do segundo dia já fica bem repetitivo. Quartos confortáveis porém como já havia dito a estrutura de modo geral é velha e não muito bonito. Os elevadores também não passam muita  Segurança. A verdade é que o hotel é bom porém sem nenhuma excelência. Não estou conseguindo postar Fotos por aqui. Mas irei postar no Tripadvisor de parte do teto caído e do corredor com vários baldes espalhados por conta de inúmeras goteiras."
nov. de 2021,4,Bom custo benefício,"Hotel parece os antigos hotéis americanos, com conforto básico e localização onde é necessário utilizar carro. Tem elevadores. Café da manhã gostoso, com itens bem mineiros, como pães de queijo variados, broinhas de milho, bolo de milho e etc. Bom custo benefício."
out. de 2021,4,Precisa de uma boa pintura,"Paramos para fazer um pernoite em Uberlândia, escolhemos o Confort, pois gostamos da rede. Porém ficamos decepcionados com o desgaste das paredes e piso. A localização é muito boa e tem garagem fechada. O café da manhã é bom, bem como o atendimento."
set. de 2021,2,Não gostei!,"Fomos em família. Aluguei dois quartos. Fiquei perplexa com o descaso com as roupas de cama! Amarelas e rasgadas, isso mesmo, rasgadas! Não solicitei troca, pois estava exausta da viagem e estava apenas de passagem para continuar no dia seguinte. A piscina é ridícula. Barulho, se você precisa dormir, estará perdido. Os recepcionistas parecem robôs. Pontos positivos: localização é boa. Café da manhã bom. Fácil acesso para a Rodovia e ao shoping. Possui estacionamento gratuito. Não voltaria."
ago. de 2021,5,"O hotel atendeu nossas expectativas. Meu agradecimento ao funcionário Lucas da recepção. Atencioso, solícito e eficiente","Ótimo quanto à localização, café da manhã mto bom. Fomos muito bem atendidos.  Quarto amplo, cama e chuveiro bons. Nosso domingo foi bem agradável, pois pudemos receber nossos parentes para tomar café da manhã juntos!  Com certeza voltaremos!"
