Data da opinião,Nota,Título,Conteúdo
13 de dez.,4,Otimo. bem tranquilo!,"Hotel super tranquilo e bem aconchegante. Apesar de ter ficado pouco tempo, recomendo as instalações. Somente o aparelho de ar condicionado do quarto que fazia um pouco de barulho, mas nada que atrapasse a estadia. Foi somente uma diaria, mas no mais, recomendo muito o hotel. Cafe da manha com bastante variedades."
jul. de 2021,5,Excelente Opção,"Café da manhã bem justo com muita variedade. Limpeza e cordialidade da equipe são os pontos altos. Apesar da pequena distância do centro (cerca de 7km) tem um shopping muito perto para quem busca alimentação mais em conta, além da pizzaria ao lado da recepção do hotel, uma excelente opção com qualidade e preço acessível."
out. de 2022,5,Atendimento Ramada Encore,"Excelente atendimento, super bem localizado.  Café da manhã maravilhoso, atendentes maravilhosas em todos os setores !  Quarto aconchegante e confortável !  Sempre que vou para BH é com certeza o primeiro lugar que procuro pra me hospedar !"
set. de 2022,2,Lamentável!,"O hotel fica dentro de centro de compras e não se vê a placa com o nome , não tem indicação para chegar de carro e não tem manobrista. O estacionamento disponível é pago. As toalhas de banho estavam FEDENDO à agua Podre. Me Negaram a troca, alegando que não tinha. O lençol era pequeno para o tamanho da cama e ficava soltando, acordei sobre o colchão, que não tinha forro!! O edredom era de tamanho solteiro para uma cama Queen. HORRIVEL. Nenhum isolamento acústico nos quartos, ouvi as conversa do corredor e quartos ao lado, por sorte, antes das 23H , já tinha mais barulho"
set. de 2022,1,Pior hotel que ja fiquei na vida,"Quarto sujo, banheiro sujo. Tinha ate fio dental amarrado no aparador de toalhas. Nao colocaram lencol na cama, nao tem nada no frigobar, vidros trincados de fora a fora, quarto cheirando cigarro. Os lixos nao sao esvaziados na limpeza de quarto. A unica coisa razoavel foi a cama. O resto lamentavel! Nunca mais!"
set. de 2022,4,Para estadias rápidas,"Reservei acreditando que havia chaleira elétrica no quarto conforme imagens para fazer café. Só havia até o 10o andar segundo a recepcionista. Lençol furado. Barulho devido a problema de tratamento/ isolamento acústico. Café da manhã razoável, porém máquina de bebidas quentes com defeito no último dia da minha estadia e uma só funcionando nos outros dias. O quarto era legal, e a limpeza também. A decoração do hotel e quarto eram legais. Recomendo para estadias curtas."
set. de 2022,4,Tour em BH,Hotel bem confortável limpo e aconchegante. Hotel simples. Porém o apartamento que ficamos a cadeira estava sem um parafuso.  Os atendentes não conhece em totalidade os pontos turísticos de BH.  Recomendo pelo conforto mais não espere muito pelas informações turísticos.
set. de 2022,2,Decepcionante,"Muito inferior quarto, sem opção de guarda roupas, qualidade do travesseiro e da roupa de cama muito inferior. E café da manhã tbem decepcionada, não gostei. Tanto que fiquei somente uma noite. Não indico e nem recomendo. Tem que melhorar muito a qualidade"
ago. de 2022,1,Limpeza precária,"Lençol furado, frigobar com restos de comida, aparelho de ar condicionado imundo, chuveiro também sujo. Quarto e banheiro pequenos, mas isso nao teria problema se fosse tudo limpinho. Nao recomendo de jeito nenhum."
ago. de 2022,4,Recomendo,"O hotel cumpre o que promete. A limpeza é muito boa, ambiente agradável, atendentes solícitos e ótima localização. Correspondeu nossas expectativas dentro do que foi proposto. Recomendo aos visitantes de BH."
ago. de 2022,3,Atende para perídos curtos,"Se vai a trabalho e vai ficar pouco, ok. Atende! Mas, se for ficar um período maior e a lazer, achei pouqíssimo agradável. Peguei café da manhã frio, às 8h, e um retaurante com pouquíssimas opções. Raramente alguém atendia o ramal da recepção."
ago. de 2022,5,Excelente Hotel!,"Limpeza, organização, atendimento, estrutura física café da manhã e localização sem defeitos. Super recomendo. Não tive nenhum contratempo desagradável,pelo contrário,fui bem atendida e recebi o melhor dos atendimentos."
ago. de 2022,3,"Sem muito requinte, mas atende ao propósito","Localização muito boa, café da manhã simples mas funcional. Serviço de restaurante é péssimo. Não vale a pena pedir comida no quarto. Mais fácil chamar pelos aplicativos. Para uma viagem rápida de negócios ou pernoite, pode atender."
