Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Ótimo hotel na região central,"Os quartos são bem amplos, limpos. Cama confortável, banheiro grande e banho ótimo. Atendimento muito bom. Café da manhã ótimo, que foi antecipado para atender os participantes da corrida de São Silvestre. Super indico."
dez. de 2022,5,"Ótima localização, ótima relação custo/benefício.","Funcionários bastante solícitos em todos os setores, desde a portaria.  Quarto com cama macia.  No banheiro, ótimos itens de higiene  Cibele e a equipe do restaurante muito atenciosos, e o cardápio bem gostoso."
dez. de 2022,5,Mister trans,"Amei o espaço, acredito que é bem acessível, mais sempre podemos melhorar, ainda mais para acolher melhor as pessoas de todas as formas (uma dica)obrigado por ter recebido a gente com atenção e carinho"
dez. de 2022,5,Atendimento excelente,"Fomos muito bem recebidos e atendidos pela equipe que deu suporte ao Mister Brasil Trans! Staff de alto nível, ótima estrutura (quartos, café da manhã, bar e restaurante). A localização também é ótima, no centro de São Paulo, bem comunicado e fácil acesso ao comércio local"
dez. de 2022,5,Maravilhosa,"Tudo maravilhoso , era um dos candidatos do mister Brasil trans 2022, todos os funcioNarios super simpáticos , todos muito bem educados e a minha experiência foi maravilhosa , gratidão a tudo e todos."
dez. de 2022,3,Hotel precisa de reformas e se encontra em região perigosa!,"Segunda vez que me hospedo, dessa vez fiquei cinco noites e foi possível avaliar com maior precisão. A equipe da recepção é bastante atenciosa. Conseguiram até antecipar meu check in. Os quartos são amplos mas nitidamente necessitam de manutenção urgente. Cortinas com mofo, janelas sujas e empoeiradas, não se consegue ver o exterior através dos vídeos pois estão sujos por fora, o abajour cheio de mofo. A limpeza do quarto em si, estava ótima. O serviço de camareiras também foi muito eficiente. Mas é evidente que o hotel precisa de melhorias principalmente nos quartos. A localização do hote já foi otima, mas hoje se encontra numa região extremamente perigosa, que é a República. Meu Uber sofreu uma tentativa de assalto na porta do hotel. Comigo, especificamente, ocorreu um mal estar relacionado ao segurança da noite, cujo nome jamais consegui descobrir uma vez que (pasmem) ninguém da recepção sabia responder. Entendendo o corporativismo porém com o nome do segurança eu poderia não cometer injustiças, mas como não consegui identificar vou falar a respeito do mesmo jeito: é completamente inconveniente e invasivo (pra não dizer outra coisa) seguir um hóspede “discretamente” até o elevador, pra checar se ele está mesmo hospedado no hotel. Isso aconteceu comigo três vezes, e fui seguido pelo MESMO segurança, que achava que eu não estava percebendo sua movimentação. Entendo que existem protocolos de segurança a serem seguidos, mas pelo visto esse protocolo só era seguido à risca comigo mesmo. Sou negro, o que deixa todo o procedimento de segurança aplicado ainda mais complexo e tudo mais problemático, haja vista que não vi em nenhum momento hóspedes brancos sendo seguidos com desconfiança. Não voltarei ao hotel, e resolvi não expor o funcionário no momento do ato pois estava muito cansado. Mas TREINEM seus funcionários porque isso nada mais é do que racismo!"
dez. de 2022,5,Apoio ao MISTER BRASIL TRANS,"Com atendimento humanizado! Hotel maravilhoso, com grande estrutura e pessoal muito bem treinado. A variedade e sabor do café da manhã é uma experiência por sí só, recomendo super! Parabéns pela inclusão e diversidade, mais do que falar vocês têm feito."
dez. de 2022,5,"Mister Brasil Trans foi o evento, mais lindo pra mim que aconteceu nesse hotel lindo então foi perfeito!","Realmente a melhor experiência da minha vida , tanto no evento maravilhoso que estive , quanto nesse hotel top , super indico porque não iram se arrepender, nunca estive em um lugar tão chique é bem organizado!"
dez. de 2022,5,Concurso Mister Brasil Trans estadia no hotel novotel jaraguá,"Participei do Concurso Mister Brasil Trans esse ano de 2022, Mister Trans São José dos Campos, sou homem trans e também assexual faço parte da diversidade e fui bem recebido, é um belo espaço pra ficar, nos trataram super bem e com respeito e carinho e foram incríveis do começo ao fim, foram muito parceiros. Recomendo muito o Hotel Novotel Jaraguá ❤"
dez. de 2022,5,Participação do concurso mister trans,"Estive hospedado no hotel por 4 dias participei do concurso mister trans, e nos acolheram super bem, tanto eu quanto meus amigos.. atendimento ótimo, muito bem organizado comida muito boa! Profissionais sempre dispostos e prontos pra ajudar! Segue Fotos do teatro do hotel"
dez. de 2022,5,Mister Brasil Trans,"Foi um lugar incrível, todo muito confortável, pessoas muito amáveis e respeitosas. As instalações lindas e o café da manhã excelente. Muito obrigado pela recepção, me senti muito bem de ter passado esses dias com vocês."
dez. de 2022,5,Qualidade Novotel no Centro de São Paulo,"Somos frequentadores de hotéis da Accor, mas foi nossa primeira vez em um Novotel, começando pelo check-in, muito bom e rápido, fomos atendidos em todas as solicitações. O quarto era confortável, o banheiro grande, as amenidades boas. O café da manhã excelente, com muita variedade, doces, pães, frios, tudo com reposição rápido e competente. O Staff é muito bom. O Hotel é um clássico, na recepção vários quadros com personalidades que estiveram no hotel para algum evento ou para se hospedar. A localização é no início da da Rua Augusta, próximo ao Copan, ao Edifício Itália, a Praça da República, achei tranquilo, saímos para jantar e foi tudo bem, caminhamos no entorno, tem moradores de rua, mas nos sentimos seguros em andar de noite. Voltaríamos."
dez. de 2022,5,Muito bom!,"É a terceira vez que me hospedo no Novotel Jaraguá. Hotel bem localizado no centro, equipe muito atenciosa, a estrutura é ótima, limpeza impecável, os quartos são amplos e café da manhã muito bom. Recomendo tanto para estadas curtas como longas, você se sente em casa. Parabéns a toda equipe, vocês são ótimos!"
dez. de 2022,5,"Estadia incrível, hotel de alto nível de estrutura e pessoal!","Participar do Mister Trans foi incrível. Gratidão pela experiência de termos todo o conforto e  Carinho nesses dias inesquecíveis para nós! Abraço do Breno Oliveira, Mister Rio Grande do Norte. Espero voltar em breve meus amores!"
dez. de 2022,5,Mister Brasil Trans 2022,"Hotel muito aconchegante e social. Todos os funcionários muito educados. Witor, Victor e a rainha da recepção (Letícia) dos quais tive mais contato foram essenciais para uma hospedagem tranquila e com questionamentos, resolvidos de imediato."
dez. de 2022,5,Perfeito,"Um hotel aconchegante, limpo, atendimento incrível, café da manhã maravilhoso, dedicação de toda a equipe desde da recepção até a hora de limpar os quartos, uma experiência incrível do começo ao fim, só tenho que agradecer mesmo"
dez. de 2022,5,Amei!,"O hotel possui uma ótima estrutura, amplos quartos, chuveiro bacana, café da manhã com muitas opções e variedades... boa localização, ao lado de restaurante, farmácia e a poucos metros de outras lojas.    Na próxima viagem ficarei lá novamente."
dez. de 2022,5,Excelente,"Recepção excelente atendimento 5 estrelas , fui atendida pelo recepcionista Guilherme, que me orientou e me deu o melhor atendimento , funcionário bem treinados, hotel limpo , restaurante com comida maravilhosa, telão para assistir o jogo no restaurante maravilhoso"
nov. de 2022,5,Especial para SP,"Novamente me hospedei neste hotel. Aliás, agora é só lá, quando vou a São Paulo.    Atendimento cordial, quartos muito limpos e organizados, tudo em ótimo cuidado. Destaque para essa ultima estadio, que tive um perrengue com minhas reservas, e o atendente Lucas Muniz resolveu com paciência e precisão."
nov. de 2022,5,Excelente Escolha,"Primeira experiência que tive e provavelmente irei voltar. Atendimento do Paulo na recepção fez toda diferença, pois pude escolher um quarto melhor, com uma vista excelente e por um custo que coube no orçamento! Resumo, colaborou para a estadia ser muito melhor! Recomendo!"
