Data da opinião,Nota,Título,Conteúdo
23 de dez.,4,avaliação da recreação teens com o tio minhoca,"gostei muito do hotel, vou com a minha família sempre, mas a recreação dos teens deixou a desejar com o tio minhoca, não foi legal, ele não dá nenhuma brincadeira e parece sempre perdido, os adolescentes reclamaram da antipatia e de algumas situações constrangedoras que passaram com o mesmo, além de falar mal e deixar alguns adolescentes desconfortáveis. isso é um ponto que deviam reavaliar, muitos adolescentes reclamam dele e da “recreação” que ele oferece. já tiveram recreadores melhores e mais simpáticos."
ago. de 2022,5,Estadia perfeita,"Melhor hotel para curtir com a família, recreadores perfeitos, comida maravilhosa, melhor experiência, parabéns a toda equipe. Pretendo voltar em breve para curtir mais dias nesse hotel incrível. 👏👏👏👏👏"
23 de dez.,5,Colaboradores nota 10!,"Diferencial do resort são os colaboradores. TODOS. Prestativos, gentis, sem igual.  Melhor pudim e doce de goiaba que já comi.  Sugestões:  .nas plaquetas com o nome da comida inserir os ingredientes.  . Colocar isolamento acústico."
21 de dez.,3,Decepção,"Colocaram a gente num quarto pequeno, e ao questionarmos se existia quartos maiores na mesma categoria, disseram que todos eram iguais. Depois viemos saber que existiam outros quartos da mesma categoria vazios."
16 de dez.,5,Excepcional. O melhor de Minas,"Excelente Resort para descansar com crianças. Estrutura muito boa e ainda ficará melhor com as reformas e ampliações em andamento (que não atrapalharam em nada em nossa estadia). Quartos limpos, arejados e espaçosos. Atendimento excelente, recreadores muito simpáticos e gentis, fazem a diferença para uma perfeita estadia. Destaque especial para a pensão completa, refeições deliciosas, comida sempre fresquinha, tempero de chef. Impecável."
15 de dez.,2,Decepcionante,"Fui com meu marido e filho de 1 ano e ao chegar já fomos colocados em um quarto no prédio em que não havia elevador, rampa … apenas escada (sendo que existe opções de rampa e elevador em outros prédios) e onde não tinha copa baby.Ao fazer o check in nos dão uma pulseira com opção de duas cores que são de acordo com horário das refeições se você escolhe uma cor vc acaba tendo opção do café de 7:00 até 8:30 pois o outro horário eh pra outra pulseira e assim com as demais refeições e caso escolha a outra pulseira acaba pegando o restolho . As refeições com pouquíssimas opções de comida, praticamente a mesma comida no almoço e janta todos os dias e sobremesa apenas um dia que parecia ser por alguma ocasião especial colocaram umas opções a mais no horário de almoço e acaba sendo aquela comida que não dá vontade de repetir , opções para crianças também sempre as mesmas, frutas não tem variedade tinha dias que não tinha banana, uva tinha que pedir pra ver se eles arrumavam pra gente pois não tinha na mesa , café da tarde não tinha praticamente nada nem pão de queijo . Lá não é o local para quem quer descanso pois é extremamente barulhento, muita excursões de crianças que até tarde da noite passam em frente aos prédios gritando e cantando músicas com os recreadores . Sala de jogos para criança todos pagos (8 reais cada ficha) , uma outra área pra crianças maiores tbm com todas atividades pagas a parte… pelo valor da diária esperava bem mais do local, não volto e não recomendo."
10 de dez.,3,Experiência no hotel Taua,"Tivemos a nossa hospedagem em um prédio em péssimo estado de conservação, próximo a local onde guardam o material de construção e com muito barulho. O quarto com cheiro forte de mofo, móveis antigos, roupa de cama e toalhas horríveis com aspecto de velho. Inclusive tivemos que pedir a relocação devido ao quarto estar com um cheiro muito forte e termos problemas respiratórios e alérgicos, mesmo com a troca do quarto para este que fomos ainda tinha vários dos problemas mencionados anteriormente, além do fator da distância enorme para o prédio principal, o mesmo sem possuir um elevador sendo necessário descer e subir escadas! Eu possuo um problema no pé devido a uma cirurgia e fiquei sentindo dores devido a este sobe e desce. Existem muitos lugares que precisam de reforma urgente, a passarela para locomoção até o hotel principal (onde estão as principais atividades) em tempos de chuva com goteiras molhando quem por ali tem que passar para ter acesso a este prédio, além de buracos nesta mesma passarela. A parte onde tem jota City não possui nenhum brinquedo interessante, um espaço sem utilidade, além do fator de não ter atrações para adultos! Os valores das bebidas para o consumo dentro do hotel é um valor muito absurdo, eu inclusive não acho que se pode considerar um resort o hotel. Eu falo isso inclusive por outras experiências que já tive em resorts.O hotel possui sim uma ótima estrutura, porém é necessário ajustes e reformas urgentes, fica uma sugestão também como existe um grande fluxo de alunos de escolas que fazem comemorações no hotel seria interessante fazer um espaço somente para eles fazerem as refeições. O saldo positivo que ficamos e com relação a cordialidade e educação da maioria dos funcionários (com a exceção de dois) a comida também a com exceção do lanche da tarde que não estava bom, de resto estava tudo incrível, os chefs merecem destaque pelo trabalho incrível que fazem. Os funcionários da recepção também merecem destaque do mensageiro até os atendentes! Todos fizeram um trabalho excelente"
3 de dez.,5,Excelência no atendimento,"Fui atendido pela emocionadora Fernanda Magalhaes, muito bom o atendimento!  Rscomendo, muito atenciosa, gente boa, muito sorridente exercendo seu trabalho com excelência.  Resort muito aconchegante e com colaboradoras dispostos a servir com qualidade !"
nov. de 2022,5,Excelente passeio,Amamos os dias que passamos aí! Foi excepcional! Deixar um elogio especial pra DIRLENE e para o Charles. Ela nos deixou uma linda cartinha e ele nos atendeu com mta atenção e cordialidade ! Obrigada e até a próxima…
nov. de 2022,4,Monitores infantis,"Melhorar as atrações para as crianças, ampliando o horário com elas deixando o horário dos pais mais livres, assim como era antigamente.  As piscinas estão excelentes, desta vez todas estão climatizadas"
