Data da opinião,Nota,Título,Conteúdo
27 de dez.,5,Meu Natal diferente!!,"Amei o café da manhã, os quartos são amplos, limpos... E a ducha do banheiro? Uma delícia. Amei! Sempre que vou, me hospedo nesse hotel! Ah, piscina MA-RA-VI-LHO-SA... Senti falta da Ceia de Natal, mas não atrapalhou em nada a minha estadia!!"
27 de dez.,5,Nota 10,"Hotel muito limpo, funcionários excelentes e atenciosos , um excelente cafe da manha. A cada 15 dias me hospede nesse hotel, devido a localização , tudo que preciso sou atendido de imediato, funcionário muito educados e bem treinados."
19 de dez.,5,Boa acolhida.,"Tudo perfeito, funcionários receptivos, café da manhã variado e farto, garagem espaçosa, localização excelente, perto de tudo, fácil acesso, vista do lago do Parque das Águas, nada que desabone, pode ir sem susto."
13 de dez.,5,Incrível,"Gostaria de agradecer pelos dias incríveis, chegamos e fomos recebidos por recepcionistas incríveis e simpáticos, o Sr Renato que levou nossas malas e nos explicou tudo no quarto é extremamente simpático e de uma receptividade incrível, atendentes fora do comum de tão amorosos, até solicitando algo na cozinha eles são incríveis, o quarto é maravilhoso, vista incrível, cama maravilhosa, quarto arrumado, espaçoso, banheiro limpo e organizado, o elevador panorâmico e a cobertura é esplêndido e o café é um dos melhores do que eu já tomei em muitos hotéis maravilhoso e toda hora repõem, eu amei demais e com toda certeza voltarei mais vezes."
12 de dez.,4,Linda Vista do quarto,"Vista incrível para o parque, funcionários muito atenciosos, quarto amplo, claro e arejado. Poderia ter mais opções saudáveis no café da manhã, além de doces mineiros típicos ao invés das guloseimas habituais."
12 de dez.,5,muito bom,"otima localização, funcionarios atenciosos, hotel super limpo, cafe da manha muito bom, recomendaria para quem quer ficar em lugar aconchegante perto de tudo do centro, nem de carro precisa para conhecer os lugares da cidade."
nov. de 2022,4,Excelente hotel em São Lourenço.,"Ótima opção em São Lourenço. Hotel muito bem localizado no centro da cidade, em frente ao Parque das Águas e com muitas atrações ao redor. O café da manhã é excelente, com enorme variedade de pães, bolos, frutas etc. Os quartos são amplos e bem limpos, único problema é o ar-condicionado antigo, de parede, que é barulhento. Os funcionários do hotel são excelentes, muito prestativos e atenciosos sem exceção."
nov. de 2022,5,EXCELENTE,"Funcionários da recepção e de apoio extremamente simpáticos. Acomodações grandes e confortáveis. lençóis e toalhas limpos .O destaque fica para o café da manhã perfeito, completo. Enfim, ótimo custo/benefício."
nov. de 2022,5,Excelente experiência.,"Viagem ocorreu em 2020, e seguiram todos os protocolos de higiene para o período. Mas não posso deixar de avaliar, essa estadia que foi maravilhosa. Atendimento primordial. Funcionários educados, simpáticos e solícitos em atender os hóspedes. Café da manhã maravilhoso, com muitas variedades. As crianças amaram a área de jogos e da piscina."
nov. de 2022,5,Vale a pena! Amamos,"Hotel lindo, quartos grandes, cama confortável, vista linda da cobertura ou quartos de frente pro lago. Localização nota 10. Ficamos no quarto lateral, vista parcial. Elevador panorâmico não se vê nada. Café da manhã maravilhoso! Estacionamento lateral apertado. Demais estacionamentos não sei informar. Chegamos e deixamos o carro na rua (sem problemas) pois fomos informados que não tinha vaga na hora que chegamos (23h30)."
nov. de 2022,5,Excelente localização,Hotel muito bem cuidado. Limpo e funcionários atenciosos e simpáticos. Localização excelente. Café da manhã com muitas opções e muito bem preparado. quarto espaçoso e bem arejado. Excelente expepriência.
nov. de 2022,4,Valeu muito.,"Agradáveis dias de hospedagem no hotel. Equipe de colaboradores muito bem treinada e amigável, sempre disposta a prestar um serviço de alta qualidade com simpatia e profissionalismo. Hotel em ótima localização com dependências espaçosas e ótimo grau de limpeza, um delicioso e farto café da manhã. Altamente recomendável. Uma sugestão: colocação de sistema de isolamento acústico nos apartamentos devido ao som externo."
out. de 2022,5,Qualidade de excelência .,"Da recepção, do atendimento de toda equipe, do quarto, da varanda com vista do Parque das Águas, da limpeza em geral, do café da manhã, do lanche noturno, do estacionamento, recomendamos e retornaremos."
out. de 2022,4,Uma estadia sem sustos e agradável,"A atenção e presteza dos funcionários, todos eles, a limpeza impecável dos quartos e a ótima comida, com uma simpatia sem precedentes das pessoas que servem e preparam o café da manhã no restaurante, recomendo."
out. de 2022,5,Ótima experiência em família!,"Nossa experiência com hotel foi ótima, assim como da outra vez que ficamos hospedados nele. Ótima localização, com vista para o Parque das Águas, quartos bem arrumados, limpos e com ambiente elegante. Café da manhã perfeito, com várias opções de pães, bolos, geleias, sucos... Tudo muito bem preparado e gostoso. Atendentes sempre muito simpáticos e educados. Recomendados bastante o hotel pela qualidade, serviço excelente e ótima localização na região. Estamos muito satisfeitos com o hotel e com certeza voltaríamos a nos hospedar novamente! Foto abaixo da sacada lateral do hotel, vista para o Parque!"
