Data da opinião,Nota,Título,Conteúdo
16 de dez.,5,SEMPRE MUITO BOM,"Após estes anos de pandemia, voltamos a nos hospedar para participar das feiras em BH. Nosso último ano de hospedagem foi em 2019 então este é o 7 ano que utilizamos sempre o mesmo hotel. Continua excelente como limpeza, silencio, atendimento da equipe, porém, notamos uma pequena queda na qualidade do café (apesar da variedade e fartura) e também uma queda no restaurante Amadeus (a qualidade não foi a mesma de sempre) e falta de vinhos brancos na maravilhosa adega. No mais, tudo muito bom e voltaremos com certeza."
12 de dez.,4,Conforto sob medida e localização privilegiada,"O hotel é muito bom, o restaurante Amadeus que fica anexo a ele é perfeito e a localização ótima para quem vai participar de algo no centro de BH. O café da manhã é maravilhoso, uma excelente forma de iniciar o dia. Todos lhe atendem muito bem, não tenho queixas."
6 de dez.,5,"Hotel limpíssimo, café da manhã completo e ótimo atendimento!","Escolhemos o hotel por causa da localização, super próximo da Praça da Liberdade, do Minas Tênis Clube e de ótimos restaurantes e bares, justamente para fazer o máximo possível de passeios a pé, e foi uma aposta certeira. O hotel é incrível, com quarto super bem arrumado e limpíssimo. Reservamos quarto a partir do 6º andar, e ficamos no 12º, super silencioso, nem parecia que estávamos em uma região com muito agito noturno. Pedimos serviço de quarto para um lanche rápido no meio da tarde cm sanduíche e omelete, estava tudo quentinho e muito gostoso. O café da manhã é super completo e muito gostoso. Evidentemente não é dos mais baratos, mas valeu o investimento. Super recomendo!"
6 de dez.,1,Experiância ruim,"Ar condicionado vazou durante a madrugada, e durante a noite, quando minha esposa levantou para ir ao banheiro, acabou escorregando. Sem serviço de passadeira. Me emprestaram um ferro de passar que estava sujo, e com isso, acabou manchando minha blusa."
6 de dez.,2,Savassi Boutique hotel,"somente a localizaçao é boa. o hotel precisa de uma reforma imediata e precisa melhorar a estrutura como um todo. O perfume utilizado é orrivel e da dor de cabeza. Nao recomendo, nao é um 4 estrelas. que lastima"
nov. de 2022,5,Cordialidade e localização,"Hotel muito bem localizado e com uma atendimento de alta qualidade, fomos muito bem atendido por Alef, que gentilmente nos ajudou com precisamos , nosso voo saiu de madrugada e eles permitiu que antecipássemos o check in . Obrigada pela cordialidade e presteza."
nov. de 2022,5,Hotel muito bom,Hotel localizado em uma região muito charmosa e com ponto de táxi em frente. Restaurante com variedade e café da manhã muito bom. Destaque muito positivo para os funcionários Matheus e Leandro da recepção.
nov. de 2022,5,Excelente atendimento,"Hotel muito bem localizado, quartos bons, uncionários educados e gentis, comida muito boa, garçons cordiais no restaurante e destaque para a cordialidade e atenção de Matheus e Leandro na recepção do hotel."
nov. de 2022,5,Avaliação,"Hotel muito bem localizado. Atendimento cordial e pratico. Quarto grande com acomodação superior. Muitos restaurantes e locais para comer em volta, o que facilita na hora da fome. Preço justo para o perfil e qualidade do local."
nov. de 2022,5,O melhor hotel do Belo Horizonte!,"É um hotel muito confortável e ideal para fazer negocios, com atendimento personalizado e muito caloroso do Diego Enrique e da equipe da recepção. O quarto tem todas as comodidades necessárias. E o restaurante é um dos melhores da Savassi."
nov. de 2022,5,Experiência incrível,"Conversei com Diego Henrique, fui muito bem recebida por ele , muita simpatia e educação, todos no hotel me trataram muito bem, hotel muito limpo e com uma comida simplesmente fantástica, lugar impecável, voltarei sempre que vieram em BH e recomendo***"
nov. de 2022,5,Hotel top,"Ótimo atendimento ! Hotel limpo , aconchegante , bem localizado ! Café incluso delicioso , com variedades ! …. Alef Neves muito cordial e atencioso ! Recomendamos para viagens curtas e a passeio . Fuiii"
nov. de 2022,5,Excelência em atendimento; Alef Neves sabe tratar-se o cliente.,"Fomos atendidos de maneira exemplar no hotel; espero que vcs continuem sendo excelência sempre. Alef Neves , nos atendeu de maneira muito educada e satisfaria. Com certeza ficaremos sempre neste hotel ."
nov. de 2022,5,Ótimo Hotel! Recomendo,"Excelente Hotel, ótima localizaçao e instalacao! Fomos muito bem recepcionadas pelo Diego Henrique e a Ana Carolina, sempre dispostos a nos atender da melhor prestesa e educacao Vamos sempre recomendar o hotel Amamos!!"
nov. de 2022,5,Localização excelente.,"O hotel está muito bem localizado, próximo a bares e restaurantes, além de possuir um bar restaurante, com um self-service maravilhoso, o que facilita muito a vida. Os quartos são amplos, limpos e silenciosos. Cama super confortável. Fui muito bem atendido pela Ana Carolina e Diego, que estão sempre prontos para ajudar, dar dicas. Muito bom. Recomendo a todos!!!"
nov. de 2022,5,Foi excelente,A localiza Do hotel é muito central na Savassi. Bem perto da praça da Liberdade e cheio de restaurantes próximos. Os recepcionistas Ana Carolina e Diego nos receberam muito bem. Fomos muito bem tratados depois de uma longa viagem na qual chegamos cedo e conseguimos como cortesia a entrada antecipada.
out. de 2022,5,Royal Savassi,"Quartos confortáveis, excelente roupa de cama e travesseiros, restaurante com muitas opções, idem para o café da manhã. Encontra-se em um local privilegiado, próximo de tudo na Savassi, e ao mesmo tempo, fácil de chegar e sair."
out. de 2022,5,Curtindo uns dias em BH.,"Recomendo muito! As acomodações são ótimas, quarto super confortável, a região tem várias opções gastronômicas e da ora ir andando. Tivemos um excelente atendimento, o Alef Neves foi extremamente solícito conosco, nos deu várias dicas."
out. de 2022,5,Royal Savassi,"Hotel com excelente localização. Ótimo atendimento do Alef Neves, que foi muito útil durante a minha estadia. Gostei muito do restaurante e dos quartos, tudo estava muito limpo e parecia muito bom desde o dia em que cheguei até o dia em que saí. Ficaria aqui novamente."
out. de 2022,5,Hospedagem excelente,"Atendimento excelente, fui atendido por Alef N e Diego foram super solícitos e conseguiram adiantar meu check-in. Hotel super aconchegante e com ótima localização, café da manhã excelente servido no hotel. **************************"
out. de 2022,5,Hotel,"Hotel é bem localizado, bem no centro de Belo Horizonte, próximo a um museu, que pretendo visitar. O hotel é limpo e bem arejado. O preço é justo O atendente Alef Neves é bem atencioso e simpático. Toda a equipe e bem agradável."
out. de 2022,5,Excelente!,Ótima experiência! Alef nos atendeu super bem e foi mto atencioso! A recepção foi agradável ao contrário da experiência que tivemos no Íbis. _ a estadia foi mto agradável e cafe mto bom! Recomendo!!**
out. de 2022,5,Localização,"O hotel tem uma ótima localização, confortável e um excelente localização perto de vários restaurantes, bares e perto dos melhores pontos turísticos de BH. Alem do ótimo custo benefício e uma ótima recepção de Alef Neves."
out. de 2022,5,Excelente,"O hotel é maravilhoso, o atendimento na recepção foi excelente. O Diego Henrique foi super atencioso e Alef Macedo também. O hotel é lindo e muito bem limpo, logo na entra a recepção e bastante aconchegante e a sala de espera é bem bonito. O quarto é muito lindo e limpinho, o banheiro é lindo e limpinho e organizado. Dou nota 10 pelo hotel e pelos funcionários. E bem localizado. So tenho a dizer que amei tudo."
out. de 2022,5,Localização perfeita!,"Fomos recebidos pelo Alef Neves que nos ajudou imensamente na ambientação com o hotel e a localidade. Caso precisem se hospedar em BH, recomendo fortemente a estadia no hotel. A gente chegou e já ama esse lugar! Muito obrigado"
out. de 2022,5,Ótimo hotel!,"O hotel é muito bem localizado, perto de tudo. Ótima estrutura, muito limpo. Tem um restaurante muito legal no próprio hotel. Funcionários muito atenciosos, especialmente Diego Henrique e Alef Neves que nos atenderam muito bem. Na próxima vez que eu voltar, com certeza me hospedarei neste hotel. Top!"
out. de 2022,5,Ótima estadia,"Tive uma ótima estadia, hotel bonito, limpo e muito bem localizado. Funcionários muito simpáticos e atenciosos, especialmente Diego Henrique e Alef Neves que nos atenderam muito bem. Ficaria outra vez e indico para outras pessoas. Ótimo custo x benéfico também."
out. de 2022,5,Hotel muito bom!,Localização excelente e um atendimento muito bom! Na recepção fui atendida pela colaboradora Ana Carolina que foi sensacional! Além disso ficar na Savassi em BH sempre é uma grande opção. Voltarei a hospedar nesse hotel nas próximas viagens a cidade.
out. de 2022,5,Atendimento,Atendimento de excelência logo na chegada. Minha primeira experiência. Hotel impecável na limpeza e na estrutura. Time receptivo para somar com as necessidades do hóspede. Recomendo a experiência no hotel.
out. de 2022,4,Localização ótima e café da manhã excelente,Bem localizado em região tranquila e segura. Café da manhã excelente e várias opções de restaurantes na região. Restaurante funciona também para almoço e jantar. Recepção com café e água cortesia. Staff atencioso.
out. de 2022,5,Relaxamento e Conforto,"A estadia no hotel foi recheada de simpatia, conforto, presteza e agilidade. Simplesmente maravilhosa minha experiência durante o final de semana. Desde o estacionamento até as presteza na impressão de um documento que tanto precisava! O atendimento na recepção, é excepcional, incrivelmente cortês e profissional, o funcionário Diego Henrique super simpático me recebeu com toda atenção que um ser humano merece! Portanto, recomendo incondicionalmente este hotel. A localização perfeita, tudo próximo, a limpeza excelente. Hospedem-se, super vale custo benefício!!!!"
set. de 2022,5,Hospedagem,"Fui muito bem recebido pelo WILLIAM, me ajudou com o check in e passou todas as informações sobre o hotel e à estadia.  Terei uma breve passagem por Belo Horizonte e com toda certeza indicarei o Royal Boutique Savassi"
