Data da opinião,Nota,Título,Conteúdo
18 de dez.,5,Continua com excelencia,"Voltei ao hotel apos 7 anos, continua com a mesma hospitalidade, os chales continuam bem cuidados, o restaurante mudou de local da epoca que fui e ficou melhor ainda. O Sr. Chico continua fazendo os paes de queijo maravilhosos. Destaque para os funcionarios, em especial a Camila, que nos deu toda assistencia, alem de sua cordialidade e atenção. Acho que se a piscina fosse com aquecimento, ficaria mais perfeito, pelo fato da regiao ser mais fria. Cafe da manha muito bom. A TV do chale so tem canais abertos de parabolica, que nao pegam bem, uma sugestão seria trocar por Smart TV, para que os hospedes possam utilizar Netflix por exemplo, ou mesmo espelhar celular na TV para assistir Streaming, mas neste caso precisaria tambem melhorar o Wifi. De toda forma, nao tira o charme do hotel, uma vez que proporciona um local de descanso, mas as vezes uma TV salva no caso de crianças. Voltaremos mais vezes com certeza. Parabéns pelo otimo hotel."
6 de dez.,2,Televisão é Tudo !,"Nos quartos, na Piscina, a Qualidade das Imagens nas TVS são Terríveis ! Que Pena ! Vcs deveriam se Organizarem muito melhor, para receberem hóspedes num Hotel como este.  Já viajei pelo Brasil inteiro e tb pela América do Sul, nunca tinha passado por esta experiência tão ruim.  Televisão hoje em dia, É tudo numa pousada, hotel etc..  Vcs nos Decepcionaram muito."
nov. de 2022,4,Tranquilidade e privacidade,"Para quem deseja passear com a família em dias de Paz e sossego, recomendo em São Lourenço hospedagem na Vila Chico. Chalé confortável, tudo bem limpo e organizado. A piscina é ótima para crianças e adultos. Café da manhã com queijo minas delicioso feito na própria vila. Com certeza, voltarei."
nov. de 2022,5,Um Lugar de muita Paz,Um lugar cheio de pássaros e paisagens muito tranquilo p descansar acolhedor c chalés individuais que consta c uma mini cozinha e uma saleta de Tv  As meninas da administração e tb o pessoal que cuida do restaurante muito simpáticos e prestativos  Passamos um excelente feriado e já estamos c vontade de voltar  Parabéns a toda equipe do Vila Chico !!!
nov. de 2022,4,Um pedacinho de Minas!,Lugar que precisávamos! Muito agradável para família com crianças! Várias atividades ao ar livre e comida boa! Super recomendo 🙂 Os chalés são bem completos e espaçosos! Os funcionários muito atenciosos
nov. de 2022,4,Pousada dos pássaros muito boa mas pode melhorar,"A Vila Chico Hotel Fazenda é muito boa. Está mais para pousada dos pássaros do que Hotel Fazenda. Tranquila, canto dos pássaros o dia todo, atendimento dos funcionários muito bom ( em especial Chico e Alessandra). O café da manhã é bom, mas poderiam tampar a mesa para evitar as moscas. O chalé Coruja é o melhor, mas a cama de casal é pequena pois eu e minha esposa somos grandes de ficamos apertados ao deitar, tanto que tive que pedir um colchão de solteiro de apoio."
nov. de 2022,5,Chalé maravilhoso e café da manhã também,"O hotel é muito bem cuidado e carinhoso. O CHALÉ é bem confortável, com tamanho muito bom, lençóis limpos e de qualidade, café da manhã generoso com destaque pro pão de queijo do sr. Chico. O lugar é muito bucólico e silencioso.  A única coisa que não funcionou foi o Wi-fi do quarto e a piscina estava meio suja.  Mas super recomendo. Todo mundo muito simpático tb."
nov. de 2022,3,Lugar legal,"Gostei muito do lugar, os funcionários são atenciosos e gentis, o ponto que não me agradou foi almoço e jantar: poucas opções no cardápio, pouca comida e muito restrita. Também acho que poderia ter música ao vivo a noite para alegrar as pessoas. A parte de recreação é bem fraca."
nov. de 2022,4,Tranquilidade mas pontos a melhorar!,"A pousada é bonita, tem uma boa área verde e bem decorada. O material de apoio de check in é muito bom.  O Chalé é ótimo, muito bem equipado, limpo, arejado e bem decorado, área da piscina bonita e limpa e funcionários bem educados e solícitos  ( ponto especial para a Camila, Denise e para o Francisco). Local de muita tranquilidade, ideal pra descanso. Internet boa, deu até pra trabalhar home office.  Contudo, o café da manha deixou muitooo a desejar, tanto que nem tive vontade de conhecer o restaurante se pudesse…. Poucas opções, no primeiro dia mosquitos rondavam a mesa, não tinha nenhuma cobertura sobre as opções, no dia seguinte nem pãozinho francês tinha…percebemos também que “tudo tem que pedir” referente ao “famoso” pão de queijo e aos ovos mexidos… colocamos reparo nisso porque é necessário agendar o horário do café da manhã ao fazer o check in então, achamos que seria melhor… a qualidade não é péssima mas, esperávamos mais.  Como sugestão deixo a questão de tv a cabo ou atualizar a smart tv pra uso de apps e de fazer uma sala ou espaço de jogos ( tem algumas mesas e brinquedos mas em pontos separados).  No mais, é uma boa pousada."
out. de 2022,5,Não dá nem vontade de sair da pousada,"Amei tudo, tanto que nem saímos da pousada, foi um domingo maravilhoso, de descanso.. café da manhã delicioso, piscina tb uma delícia, almoço no quarto pq meu filho dormiu e não podemos ir ao restaurante, as meninas muito solícitas levaram até o quarto para nós.. rede para descansar uma vista maravilhosa.. recomendo tudo, irei voltar com certeza e ficarei novamente na vila Chico!!"
out. de 2022,5,Hospedagem,"Hospedagem maravilhosa ! Lugar lindo, com atendimento excelente e um Café da manhã com muitas opções maravilhosas, deliciosas e o melhor pão de queijo do mundo! Super recomendo! Ótimo para ir com crianças, meu filho amou!"
out. de 2022,5,Avaliação,"A nossa estadia em São Lourenço foi inesquecível, usufruímos de um local muito agradável, chalé confortável, um otimo atendimento de todos os funcionários e do dono, Sr. Chico uma pessoa muita simpatica!! Melhor pão de queijo!!! Super recomendo."
out. de 2022,4,"Muito bom, ótima localização","Bem localizada, num lugar tranquilo e de fácil acesso ao centro (10 min de carro). Quarto limpo e de tamanho bom.    Ponto que pode ser melhorado: faltou uma cortininha no quarto, pra ajudar a cobrir a claridade no começo da manhã.    Pra gente, o café da manhã começar só às 8h foi uma restrição tb."
out. de 2022,5,Otimo !!!,"Excelente lugar, quarto e banheiro espaçosos, café da manhã gostoso, tudo muito limpo, organizado, paisagem muito Linda. Funcionários todos Educados, Simpáticos, desde do primeiro contato no WhatsApp. Uma excelente estadia dias maravilhosos !!!"
set. de 2022,5,Lugar aconchegante,"Vila Chico é maravilhoso, bem aconchegante, copa completa, lugar muito limpo, bem cuidado, roupas de cama bem cuidados Todos são bem receptivos e educados, parece que está em casa. Café da manhã e almoço maravilhosos, bem servidos, o pão de queijo é o melhor da vida!! Lugar lindo, muito tranquilo, de muita paz, horta própria, cuidado com o meio ambiente. Foi uma excelente experiência e já estamos nos programando para o próximo retorno."
set. de 2022,5,Paz e Tranquilidade,Estada excelente!  Lugar lindo e tranquilo;  Equipe super atenciosa e agradável;  Almoço e Café da manhã deliciosos;  Chalé limpo e confortável;  Espaço bem cuidado;  Final de semana de paz e tranquilidade.
set. de 2022,5,Ótima experiência,"Foi uma ótima estadia! Todos são muito atenciosos! Os chalés são espaçosos, muito organizados, possuem tudo que poderíamos precisar, como, secador de cabelo, varal e utensilios de cozinha, tinha até sanduicheira! Tudo bem limpo e cheiroso! E o pão de queijo é uma delícia!!! Já pensamos em voltar!"
set. de 2022,5,Tranquilidade e Comodidade,"Lugar tranquilo, com chalés aconchegantes, infraestrutura interna super-adequada e tamanho ótimo. Restaurante com comida deliciosa. Atendimento perfeito. Joice, Alessandra e Priscila uns amores. Certamente quando retornar à São Lourenço ficarei aqui."
set. de 2022,5,LUGAR BONITO E MUITO TRANQUILO,"Chegamos com uma expectativa de encontrar um lugar bonito, mas nos impressionamos com um lugar muito agradável, tranquilo e bonito, certamente voltaremos com a família para mais dias de paz.  Chalé com tudo que precisamos no dia a dia, roupas de cama muito limpas, ligar excelente"
set. de 2022,5,Refúgio na natureza!,"Atendimento excelente, café da manhã delicioso (melhor pão de queijo da cidade), restaurante com almoço cheio de iguarias típicas da região, piscina ótima, parquinho e lago para as crianças se divertirem... Voltarei com certeza!"
set. de 2022,4,Hospedagem familiar,"O ponto forte é café da manhã, tudo o que servem é perfeitamente saboroso e caseiro. A equipe do cafe é uma simpática e solícita.  As áreas são amplas e limpas mas quem tem dificuldade de locomocão sofre um pouco (escadaria para o café e para a piscina).  Os chalés acomodam bem 2 pessoas no quarto de casal, contudo, reservamos o mesmo.para 4 pessoas e duas não ficaram bem acomodadas pois dormiram na sala que é junto da cozinha e é muito clara devido ao pé direito bem alto e com vidros, ou seja, entra toda a claridade da manhã! O item pior que merece pontuação zero é o sofá- cama de madeira que é muito ruim de dormir com colchoes com capa plástica e são muito finos. Isso realmente negativou nossa estadia e nossa coluna pediu socorro na segunda-feira."
set. de 2022,5,Vila Chico - Tudo de bom,"É sempre muito bom estar na Vila Chico, a dedicação e o emprenho de todos os calolaboradores em proporcionar uma experiência inesquecível é gratificante. Você percebe realmente que tudo foi preparado para sua chegada, os pets também adoram. Até a próxima vez."
set. de 2022,4,Local para descanso.,"Achamos bem aconchegante e tranquilo, um bom local para descanso e contato com a natureza ótimo chalé...  Quarto bem aconchegante, banheiro com shampoo e secador, espelho no corredor de corpo todo, sala ampla e com sofá cama e lareira, cozinha completa, varanda com rede para descanso, área de lavar roupas e uma bela vista para natureza..."
