Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Recomendo a experiência,"A estadia como um todo foi muito positiva: excelente limpeza, quarto confortável, comida de qualidade e principalmente o excelente atendimento dos funcionários. Não podíamos deixar de elogiar também o excelente atendimento dos garçons Tiago e Rafael Lucas, sempre muito solícitos. A academia do hotel também foi um ponto muito positivo."
ago. de 2022,5,FDS dia dos pais,"FDS dia dos pais. Estive no hotel com minha esposa e filha. Hospedagem muito boa. Refeições (café, almoço e jantar) muito boas. Programação adulto e infantil muito boas. Quartos grandes, banheiros bonitos e limpos. Vale muito a pena. Recomendo."
25 de dez.,5,relaxamento e conexão interior,"hotel com vários ambientes diferentes, todos incríveis e acolhedores, para todo momento e situação, todos os funcionários super acolhedores e carismáticos, achei tudo realmente estupendo, estão de parabéns!"
12 de dez.,5,excelente experiência,"o taua é um hotel excelente, comida muito boa, quartos ótimos e a recreação é muito boa tambem! O tio robson da recreação é fera, juntou toda a galera, foi muito bom! Alem disso, gostei muito das termas!"
12 de dez.,5,Viagem,"Hotel de excelência, ótimos anfitriões, colaboradores educados e simpáticos, estive com o tio rob e o tio bigode onde fizemos várias brincadeiras e passamos um ótimo tempo juntos assim também com outros hóspedes."
12 de dez.,5,Viagem,Hotel muito organizado e funcionários muito simpáticos e educados. Tio Rob e Tio bigode excelentes taualegres nota 10. Fui tratado muito bem por todos os funcionários e arrumadeiras fazem um ótimo trabalho limpando os quartos. Hotel nota 10.
11 de dez.,5,Clube teens do hotel,"Muito boa acomodação e comida. Os teens são uma atividade muito boa para o público de 12 a 18 anos, com atividades sempre de acordo com as preferências do grupo. Agradecimento especial aos tios Rob, Bigode e Catota, que são muito gente boa e com ideias criativas de atividades."
11 de dez.,5,Otima experiencia,Hotel muito bonito e com varias atracoes e atividades. Para jovens a recreaçao teen com o tio rob e uma otima experiencia e ajuda os jovens a fazerem novas amizades e se divertirem no hotel. Otima estadia.
11 de dez.,5,5 estrelas,"o hotel em si é muito lindo, a comida é muito saborosa e cheia de variedades! Os tios do hotel são incríveis, sempre ajudando as crianças e os adolescentes. O espaço e enorme, piscinas, caiaque etc… a recreação e muito boa também. Super recomendo passar suas férias nesse local, junto com família e amigos! aproveitei bastante"
7 de dez.,5,Experiência Extraordinária,"Sempre sonhei em conhecer esse hotel… Eu não fazia ideia do que me esperava, tive uma experiência completa de conexão, banhos terapêuticos e a melhor massagem que já fiz na vida com a massoterapeuta Sara A educação do Fernando todas as manhãs com minha mimosa tornou a visita ainda mais especial. A Deiva contou a história do hotel como ninguém… Nossa eu já tenho vontade de voltar!"
6 de dez.,5,Lugar maravilhoso,"Um final de semana de muita paz e descanso. Funcionários de uma cordialidade sem igual. Comida muito boa, ambientes muito limpos. Rouparia da melhor qualidade. A piscina aquecida a Maria Rita funcionária do bar da piscina um amor. Tudo pensado para uma estadia maravilhosa."
nov. de 2022,2,Não fazem questão de esconder que não é para crianças.,"Ficamos uma semana no Grande Hotel (que agora se chama Termas de Araxá). Fomos minha esposa, meus 2 filhos (3 anos e 7 anos) e eu. Ficamos muito decepcionados com a equipe de recreação. São jovens que não tem jeito com criança. Estão lá apenas para fingir que trabalham. Não tivemos coragem de deixar as crianças com eles, e assim, não pudemos curtir o Termas como planejado. O espaço Kids fica no subsolo beeeeeem escondido e sem câmeras! Muito fácil acontecer um abuso etc. Tirando isso, fomos muito bem tratados por todos os funcionários! A maioria foi muito atenciosa! Destaco o atendimento incrível da Isabela, Alexander, Joice e Maria (todos encantadores! do Chez Beja e Scott Bar). Foi bom conhecer o Grande Hotel, mas não acredito que voltarei, uma vez que além de tudo os preços…"
nov. de 2022,5,SURPREENDENTE,"O hotel é completo para quem escolhe descansar com lazer e conforto. As Thermas são um atrativo à parte propiciando relaxamento e recuperação do cansaço do dia a dia. Pegamos pensão completa com café da manhã, almoço, chá da tarde e jantar, a comida é farta, variada e de boa qualidade."
out. de 2022,5,"Experiência sensacional, parecia que estava em um coquetel bar de época","Eu fui a trabalho para Araxa, e achei incrível a recepção do hotel meio pegada do filme grand hotel Budapest , o café da manhã tinha de tudo sucos bem fresquinhos , e o melhor deixando para o final foram os drinks fora de série feitos pela Maria Paula estavam sensacionais."
out. de 2022,5,Novo Grande Hotel,"Havíamos marcado desde março/22 o retorno para a semana da criança (outubro/22), meu filho simplesmente ama a equipe de recreação. porém no início do segundo semestre o hotel passou por uma enorme reformulação. E muita coisa mudou! O hotel ainda faz parte do grupo Tauá, mas não tem mais o nome Tauá e nem o formato dos outros hoteis da rede. Agora o foco são os adultos, as termas e o spa. A equipe de recreação manteve os melhores animadores, (equipe fantástica, tia Boo, Lipe, Bigode, Girafa, Morango... ) com a missão de manter as crianças entretidas para o relax dos adultos. As mudanças começam pela entrada, recepcionada pelo concierge com um uniforme impecável, desenhados por ninguém menos que Marcelo Sommer. Essa virada de chave, assusta quem conhecia o hotel e/ou procurava um…"
ago. de 2022,5,Comemoração dos 38 anos de casados (Bodas de Carvalho),"Excelente hotel, principalmente para quem quer descansar, aproveitar as águas termais, comer bem, relaxar na piscina emanatória. Queremos voltar assim que pudermos. Amei a surpresa que meu esposo fez para mim de passarmos a comemoração do nosso aniversário de casamento nesse hotel maravilhoso. Um sonho. Somente sugiro ter a opção de travesseiro mais baixo."
jul. de 2022,1,"Não parece um hotel, e sim uma casa de eventos","Hotel muito mal administrado. Nem a cordialidade dos funcionários se salva nesse hotel, pois é aquela cordialidade inútil, de pessoas que não vão fazer nada por você além do que elas são orientadas, e isso mesmo recebendo gorjetas generosas. Camas rangendo de forma que nem podemos nos mexer à noite sem acordar os demais. Banheiro sem tapete para enxugar os pés. Apesar dos vários espaços sociais, não existem funcionários para lhe atender e levar uma bebida. Balcão de atendimento na piscina sempre cheio e com pessoal despreparado que nem sabe o que está disponível do cardápio. Hotel não dispõe de barman e drinks são preparados de forma precária. Péssimo serviço de vinhos (taças inadequadas e temperatura do vinho errada). Ao pedir um vinho os funcionários nunca sabem quais vinhos…"
