Data da opinião,Nota,Título,Conteúdo
22 de dez.,4,Localização,O apto de 3! Quartos é sensacional para famílias. A localização e o atendimento são ótimos.’ Recomendo não aceitar a sugestão de aluguel de carros que o hotel indica: LOCADORA MISSIONEIRA!!! CUIDADO !!! Café da manhã bom. Limpeza adequada.
19 de dez.,5,Sempre excelente,"Mais uma vez que fico nesse maravilhoso Hotel, continua com o mesmo charme e conforto. Funcionários super atenciosos, quartos amplos e limpos. Recomendo demais. Tanto a suíte luxo que é a mais simples como a master que tem dois quartos, são excepcionais."
13 de dez.,5,NATAL LUZ EM FAMILIA MARAVILHOSO,"Excelente hotel ....super bem localizado, ambiente agradável com uma decoração maravilhosa, café da manhã esplêndido, quartos super confortáveis e claro, os funcionários nota 1000 !!!! Com certeza , voltaremos para um inverno aqui!!!"
nov. de 2022,5,Vale a pena,"Bom chuveiro, camas confortáveis, café da manhã excelente e bem variado. Atendimento nota 10. Vale a pena comer o hamburguer artesanal com alface, tomate e cebola caramelizada. Bem localizado, uma quadra da Rua fechada. Pouca iluminação no banheiro, ruim para as mulheres se maquiarem. Ficamos no 1 andar, de vez em quando um barulho que parecia ser de um motor/gerador atrapalhava o sono."
nov. de 2022,5,Experiência Surreal,"Atendimento excepcional com total atenção, cordialidade e hospitalidade. Recomendo a todos, uma experiência única!!! E com a melhor localização em Gramado. A poucos passos da rua coberta e do palácio dos festivais."
nov. de 2022,5,"Melhor, impossível!","Excelente hotel, atendimento de primeira, qualidade de comida e de quarto. Vou voltar lá com certeza, a localização é perfeita, bem estratégica e um preço justo pelo serviço de excelência prestado. Tem área kids, todo mundo na portaria é super atenciosos, o pessoal do café da manhã não tem o que eles não façam pra você, me senti um rei. Minha família amou."
nov. de 2022,5,Impecável,"O hotel é super agradável. Foi a segunda vez que eu e minha família nos hospedamos lá. A localização é excelente, perto de tudo. Dá pra fazer muitas coisas a pé! O quarto é muito bom também, super limpo e arrumado. Espaçoso também. O café da manhã muito bom e variado, opções para todos os gostos. Funcionários simpáticos e educados!"
out. de 2022,3,Faltou conforto acústico,"É bem localizado. Ao lado da rua coberta. Tem um boa estrutura, mas faltou conforto acústico no nosso quarto. Foi difícil dormir depois das 6:00 durante a estadia. Escutavamos todos os passos do hóspedes dos quartos dos andares superiores."
out. de 2022,4,hospedagem,"Excelente recepção com taças de espumante na chegada. Atendentes muito atenciosos, especialmente o Giovani. Café da manhã deixou de disponibilizar algumas opções de café e capuccino, aparentemente por problemas na máquina. Demais, muito bom!"
out. de 2022,5,Excente opção em Gramado.,"Localização espetacular, atendimento impecável, valor justo, quarto silencioso e aconchegante, limpeza excelente e café da manhã diversificado e saboroso. Destaco o atendimento da Angélica, Giovani e Diego. Muito atencioso e simpáticos."
out. de 2022,5,Hospedagem superou as expectativas!,"Hotel sensacional... Atendimento, estrutura, café da manhã, localização... . Fica no centro de Gramado, próximo a restaurantes, pontos turísticos. Hotel bom para famílias com espaço kids. Cafe da manhã com variedades estilo colonial. Recomendo!"
set. de 2022,5,Maravilhosooooo!,"Maravilhosoooooo! Atendimento impecável, quarto super aconchegante e limpinho, hospedaria novamente. A única coisa que tenho como sugestão, é o café da manhã ser mais variado, mas no geral é um hotel q eu super recomendo, tudo perfeito!"
set. de 2022,5,Excelente hotel,"Viajamos em casal,para celebrar bodas de prata, hotel excelente, serviço de quarto impecável, café da manhã farto e delicioso, cama king size super confortável, roupas de cama e banho sempre limpas, serviço de hotelaria nota 10. Voltaremos com certeza."
set. de 2022,5,Perfeito!!!,"Ótimo Hotel, ótima localização, bem pertinho do centro, quase em frente a rua Coberta! Café da manhã incrível, e com bastante com variedades!! Quarto mto bom, cama confortável, ótimo serviço de limpeza, de bar e restaurante tbem. Td, para mim, perfeito!!!"
set. de 2022,5,Sensacional,"Hotel top, limpo, excelente localização, café muito bom. Funcionários atenciosos. Quarto com um espaço muito agradável, duas suítes. Ao lado da rua coberta, próximo dos melhores restaurantes no centro. Próxima viagem a Gramado ficaremos lá novamente."
set. de 2022,5,Feriado em gramado 20 de setembro,"Pontos positivos e negativos: - Localização perfeita (bem no centro, uma quadra da rua coberta e do Palácio dos Festivais); - Rua tranquila nesse final de semana visitado, sem barulho; - Recepção adequada, entrada do hotel de fácil acesso; - Serviço de manobrista (mas não obrigatório - pode estacionar o próprio carro e ficar com a chave se preferir); - Estacionamento dentro do hotel e coberto (liguei antes confirmando que era coberto)(há 4 ou 5 vagas descobertas). Vaga bem espaçosa (evitando portadas); - Living bonito com bar ao lado e restaurante (tomamos apenas o café da manhã no hotel); - Cortesia de duas taças de espumante para conhecer o bar do hotel (cortesias sempre são bem vindas); - Hotel muito novo, tudo de bom gosto e funcionando perfeitamente); - Funcionários do…"
set. de 2022,4,"Hotel novo, com ótima localização e café da manhã, mas com algumas ressalvas.","O hotel é relativamente novo e está localizado uma quadra atrás da Rua Coberta, fato que já eleva o Cercano ao top 3 para quem pretende visitar o centro de Gramado sem depender de carro (principalmente se você tem criança pequena e/ou depende de carrinho de bebê como em nosso caso). Café da manhã muito bom, com muitas opções, em um ambiente bem organizado e aconchegante. Cama e chuveiro também muito bons. Fomos recebidos com uma bebida de boas-vindas (você recebe um vale espumante para consumir no bar no momento mais oportuno). Aí vêm algumas ressalvas que surpreenderam negativamente.. a começar pela recepção que, apesar de sempre disponíveis, em algumas circunstâncias foram um pouco antipáticos, ratificando uma avaliação que lemos de outro hóspede recente. Penso que deveria…"
set. de 2022,5,Coladinho à rua coberta,"Hotel com excelente localização a uma quadra da rua coberta. Além de ser muito silencioso e limpo, os funcionários são muito atenciosos e prestativos. Excelente para viagem de negócios e passeios com a família."
set. de 2022,5,Hotel maravilhoso,Passamos a nossa lua de mel no hotel Cercano e a suíte Premium e é maravilhosa! O hotel tem a melhor localização e pudemos passear a pé sem precisar pagar o ticket de estacionamento exigido na cidade. O atendimento do hotel também foi excelente e a limpeza feita pela Lisele é impecável! Pedimos jantar e almoço no hotel e a gastronomia está de parabéns! O café da manhã possui variedade de itens e foi bem gostoso nos 4 dias que passamos no hotel!
