Data da opinião,Nota,Título,Conteúdo
27 de dez.,5,"Ótimo hotel, acomodações muito boas, comida boa e atendimento diferenciado","O hotel é bem localizado é bonito. As acomodações são novas, confortáveis e muito agradáveis.  O restaurante é excelente, com pratos gostosos é preços acessíveis. O atendimento dos funcionários é bom, sobretudo a equipe do restaurante é muito cordial."
20 de dez.,3,Falharam no básico,"Pontos positivos: atendimento cordial e localização  Pontos negativos: acústica, do banheiro é possível ouvir conversas; cama de casal é a junção de solteiros, a divisa incomoda, muito mole. No entanto, o fator crucial foi a roupa de cama, as fronhas estavam mofadas, pena que só vi perto do checkout. Quando nos referimos a "" cama de hotel"" geralmente a menção se relaciona a qualidade, não foi o caso do k-hotel."
13 de dez.,3,Sempre tem algum problema,"Na chegada o mensageiro foi excessivamente ríspido com meu filho para que retirasse o carro da entrada.  No domingo a arrumadeira bateu na porta às 8h30 para arrumar o quarto. Pedimos que voltasse depois. Saímos às 10 hs e retornamos às 16 hs e o quarto sem arrumar.  Minha esposa foi embora um dia antes e chamei meu filho para o café. Está correto a cobrança, mas uma cortesia para um hóspede que fica 3 a 4 vezes ao ano no hotel faz parte do bom atendimento."
6 de dez.,5,Muito bom!,"Hotel bem localizado, recepção com funcionários bem preparados, café da manhã com bastantes variedades e bem gostoso, tinha até pamonha doce e salgada. Gostei da academia também, com equipamentos novos."
nov. de 2022,5,Serviço de excelência e equipe de profissionais qualificados.,"Desde o primeiro contato fomos extremamente bem recebidos por uma equipe que se mostrou competente, profissional, qualificada e com altíssimo nível de excelência. Parabéns a cada colaborador que esteve conosco, fazendo do evento um momento único, de celebração, alegre, divertido, seguro e que possibilitou concretizar o que havíamos sonhado."
nov. de 2022,5,Excelente experiência!,"Instalações novas e modernas. Quartos com todos os recursos necessários e ótimo ambiente. Serviço excelente e cortês em todo o momento. E a localização é excelente, próxima ao shopping e a farmácia e restaurantes."
nov. de 2022,5,Equipe extremamente atenciosa.,Recepção calorosa desde o manobrista. Check-in rápido e fácil. Um quarto amplo e uma cama gigante. E pamonha no café da manhã.  Um agradecimento especial ao Clayton que nos atendeu com carinho e gentileza no restaurante todos os dias.
nov. de 2022,5,Excelência no atendimento e instalações,"Muito bem localizado, o hotel têm instalações impecáveis, atendimento primoroso o que proporciona vontade de voltar constantemente. Em particular Clayton, sempre com um sorriso no rosto atento a todas minhas solicitações. A comida é muito boa, tanto os lanches como os pratos muito bem elaborado. Com certeza vale a pena se hospedar aqui."
nov. de 2022,5,"Bem localizado, experiência excelente. Profissionais atenciosos e educados.","Bem localizado, experiência excelente.  Profissionais atenciosos e educados.  Quartos limpos, banheiro sempre em ordem.  Bom café da manhã, restaurante para almoço e jantar também funciona bem.  No geral, um ótimo hotel em Goiânia."
out. de 2022,5,Localização e estrutura diferenciadas,"Hotel bem localizado e estruturado, com ótimo atendimento.  Água saborizada e maças na recepção dão um toque acolhedor ao hotel, além dos chocolates e águas todos os dias após a arrumação do quarto completaram a ótima experiência"
