Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Segunda vez no hotel. Muito bom,"Segunda vez, perfeita Segunda vez que levo minha família ao hotel Foi excelente mais uma vez Ficamos no flat de 2 quartos então lá ficamos todas as refeições para não depender do hotel, visto que tinha muita gente falando da qualidade Piscinas limpas sempre Parte chata dessa hotel ê os vendedores de cotas mentirosas que ficam toda hora enchendo o saco querendo enganar os turistas - quarto ótimos -piscinas ótimas -chekin ótimo"
jul. de 2022,1,HOTEL LIXO! NAO VENHAM!,"Hotel péssimo. Pior estadia possível. Fiz check in, meu quarto está revirado, todo sujo e ainda com pratos, talheres e panelas usados. Não venham! Pior experiência possível. Demoraram séculos para atender pq não tem funcionários suficientes."
abr. de 2022,3,Boa estádia (muitos pontos a melhorar),"Uma boa estádia (bem distante dos ótimos serviços de bons hotéis). Estrutura física é boa, porém não dão conta de limpar em função do excesso de movimento. Fui em feriado, talvez agravou essa questão. Como o hotel funciona em regime de aptos alugados, fica claro uma falta de controle de qualidade. Porém, as piscinas são boas, bastante salva vidas, tem bem razinha, tem umas mais fundas, tem as geladas, e as quentes. Não achei um local familiar, muita gente bêbada, músicas extremamente depravadas, sem local atrativo para os pequenos (tem uns parquinhos bem velhos e nada mais). O estacionamento 25$ por dia (salgado demais), a refeição 50$ por cabeça. Tem uma boa padaria quase em frente, e uma mercearia, e a distância para o centro é 1km.... Por ser perto do Centro, a…"
mar. de 2022,2,Decepcionante. Já havia ido 3 vezes no hotel e agora foi terrível!,Ficamos mais de 30 minutos no check in sem ninguém na frente! Quarto com móveis bem danificados! Sem serviço de limpeza diária. Foram fornecidas 3 toalhas de banho para 4 dias sem troca. Cobertor mediante locação. Segurança cobrando máscara ao entrar no hotel e já na recepção os próprios funcionários nãos as utilizavam!
mar. de 2022,2,Demora absurda para o check-in,"Me hospedei no hotel neste Carnaval No sábado eu cheguei as 16h no hotel e só consegui fazer meu check-in as 23h porque estava muito cheia a recepção, com muita gente também dando entrada no hotel Foi horrível! Não tinha ar condicionado funcionando direito, não tinha aonde sentar, e ainda tinham os funcionários corrigindo quem tirava a máscara um pouco para tentar respirar naquela loucura que estava. Várias pessoas gritando, reclamando e nada acontecia Quando finalmente conseguimos ir para o quarto, que já eram quase 0h, não tinha controle do ar e nem da TV para nos dar. Enfim.. acabamos pagando uma diária a toa, já que tivemos que ficar horas na recepção do hotel esperando que chegasse o número da nossa senha Muita falta de organização Deprimente Não quero voltar mais naquele…"
jan. de 2022,4,Hotel se regras,"Adoramos o quarto onde ficamos, porém o hotel não tem regras, os hospedes ficam nas piscinas até altas horas da madrugada, gritam bebem e escutando som, infelizmente não foi tão bom a nossa experiência neste hotel.  quanto aos quartos não temos reclamações, pois são muito lindos e confortáveis."
out. de 2021,2,Bagunça,"O check in foi muito cheio de tumulto.  Filas demoradas para pedir no Bar.  Não fui informado que tinha frigobar no apartamento e que poderia consumir alimentos.  No anuncio não ficou claro que existia uma taxa de limpeza e mesmo depois da compra não foi explicado e quando cheguei na portaria o quarto nao estava liberado para mim. Por sorte deram o telefone do proprietário para o proprietario explicar, mandar uma chave PIX para depois liberar o quarto. Achei um desrespeito total, pois tudo que deve ser pago deve estar bem claro para o cliente."
set. de 2021,3,Minha avaliação,"Área das piscinas muito boa, limpa, funcionários prestativos. Wi-Fi com problema, piscina de recreação com muita gente...perigo de contaminação de ""COVID-19"", ESTACIONAMENTO PAGO, Não pretendo voltar."
set. de 2021,4,Hotel bom,"Hotel três estrelas d verdade tem prós e contras. Achei ruim, os elevadores lotados, a recepcionista não dão informações corretamente, senti falta de um bebedouro para hóspedes. A favor:café muito bom, limpeza ok, piscina bem cuidada, indico sim, quer luxo vai para um resort"
ago. de 2021,1,Lazer,"Estou decepcionada após 29 horas de viagem encontrar o hotel em péssimas condições para receber hóspedes. Comida de péssima qualidade com impressão de reaproveitamentos. Só era possível comer saladas. Foi necessário fazer refeições complementares fora do hotel. A limpeza do quarto era necessário solicitar para que fossem fazer. Chegamos na piscina o primeiro dia, estava com uma barra de ""craca"" nojenta. Após reclamação, os dias seguintes limparam. Difícil aceitar tamanho investimento por tão pouco proveito."
