Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,Evento corporativo de primeira qualidade,"Fui num evento corporativo. Tudo saiu absolutamente perfeito! O ar condicionado na área de eventos era o suficiente para conseguirmos trabalhar em paz, mesmo com calor escaldante do lado de fora, estrutura técnica excelente, comida de primeira. Hotel muito lindo e com ótima estrutura de lazer."
set. de 2022,5,Hotel muito limpo e organizado. Considero o mais bem estruturado da região. Recomendo!,"Esse hotel tem tudo que precisamos, aliado a um bom atendimento e comida de primeira. Um grande diferencial é o piano tocado todos os dias durante o café da manhã. A pianista, D. Sandra, é super simpática, assim como todos os que nos atenderam ao longo dos dias que estivemos lá. Conseguiram trocar nosso quarto em razão de um problema de mobilidade, e também nos concederam a possibilidade de sair um pouquinho mais tarde no check-out. Enfim, nossa estada foi maravilhosa. Voltaremos com certeza!"
nov. de 2022,4,Voltaremos à Pousada dos Pirineus,Local lindíssimo. Chalés aconchegantes e espaçosos. O ar condicionado poderia se adequar a amplitude do apartamento. Bom café da manhã. Jantares temáticos deixam a desejar a depender do dia. Piscina climatizada. Espaço excelente para o lazer
out. de 2022,5,Charme e Conforto,"Muito arborizada a pousada. A infra estrutura muito confortável. Quarto espaçoso. Comida boa e farta. Piano bar no café da manha. Atendimento cordial. Jardim bem cuidado. Não fica longe da Rua do Lazer. Uns cinco minutos de caminhada, porém, NÃO use calçado com salto: a rua de pedra não permite. A cidade me pareceu segura."
out. de 2022,5,Muito Bom,"Comida ótima, local muito bom para ir com crianças, piscinas grandes e brinquedoteca muito legal, minha filha amou e já quer voltar. Muitas atividades para crianças de várias idades. Quarto limpo e confortável."
out. de 2022,5,Adorei!,"Local super agradável com uma linda vista da cidade. Os quartos são uma gracinha. O café da manhã não é nada sobrenatural, mas é bom. Eles são pontuais para retirar então não cheguem 10:10 rsrs. Pode ser que tenha aquecedor na piscina por que a água não estava congelante, mas está longe de estar quente (o que para mim, particularmente não é problema algum). Não é lugar para quem não gosta de criança. Volto com certeza!!!"
set. de 2022,2,Uma triste experiência,"A estrutura da pousada é ótima, mas o atendimento é precário, vim com meus filhos e minha mãe e tivemos uma infeliz surpresa, para quem espera animação para crianças, esqueça, as ditas animadoras não chamam as crianças, não tem um instrumento de som para empolgar as crianças, se quer sabemos que está havendo alguma atividade na pousada, só participaram de uma pq os levei, num piquenique que só tinham eles, e de noite numa atividade vergonhosa de tão desanimadora. A pousada acha que dormimos as 19h, apagam as luzes de toda a pousada assim que o sol se põe, deixando no escuro as quadras de esporte. Até para chegar no jantar minha mãe ficou desorientada, com a escuridão. No jantar não oferecem água da casa Ou qualquer suco, os quartos para 4 pessoas são relativamente pequenos como toda e qualquer pousada, não nos mostraram onde era nosso quarto o que nos fez andar pela pousada toda em procura. E tudo isso por uma diária de 1600 a diária para 2 adultos e 3 filhos!. Se quer colocaram um colchão a mais para minha filha pagante elagando que não tinham. Com muito custo e desgaste, depois de muita briga enfim colocaram. Enfim, indignada com a experiência! Não vale! Ja fui em pousadas com mais alegria, dedicação e receptividade. Não percam seu dinheiro neste lugar. Há que se melhorar muito p valer a pena."
set. de 2022,4,Bom,"Hotel gostoso para curtir com a família e ideal para crianças.  Comida saborosa, café da manhã farto com várias opções para todos os gostos.  Pode melhorar: disponibilizar água potável em vários pontos do hotel, pois muitas crianças fazem atividades ao ar livre e não há bebedouro, oferecer tomadas para recarga de celular e Tablet , limpeza na piscina ficou a desejar e mais quiosque de palha por serem mais frescos, pois os de plástico não dão conta do calor da cidade, Wi-Fi instável em vários pontos do hotel."
ago. de 2022,1,Um verdadeiro pesadelo! Jamais voltaremos! Não indicamos para ninguém!,"Um verdadeiro pesadelo! Jamais voltaremos! Pagamos por acomodações para dois adultos e duas crianças e nos foi servido um serviço para somente dois adultos, tivemos que dormir com as nossas duas filhas na mesma cama, tínhamos direito a apenas duas toalhas, tendo que ser revezada, fizemos a solicitação da cama e toalhas e não fomos atendidos. Os funcionários nos atenderam de forma ríspida e menosprezaram todos os nossos pedidos. Em especial o gerente geral, Paulo Silva, boçal, prepotente e desrespeitoso. Disse que nada poderia fazer por nós e que eu ficasse à vontade em reclamar nas minhas redes sociais, num tom de “nada abala a taxa de ocupação do nosso hotel”…sempre com as mesmas respostas padrão que usa para se justificar, como as que temos visto em sites de avaliação, querendo reverter e colocar a responsabilidade no cliente, nunca aceitando os próprios erros.  Comida sem brilho no jantar, não existe nenhuma piscina aquecida, no máximo um quebra gelo.  Para pais que pretendem levar seus filhos, precisam se atentar aos programas oferecidos, pois muitos são pagos a parte.  Não oferecem água potável, para te obrigarem a pagar 6 reais numa garrafa, clara falta de boa fé em tratar os hóspedes.  Já visitamos muitos hotéis por todo país e mundo e a pousada dos Pirineus está longe de ser um resort, deveriam sair dessa categoria."
ago. de 2022,1,RISCO DE FURTO IMINENTE E DESCASO DA GERÊNCIA,"Fui furtado dentro das áreas comuns da pousada. Duas jaquetas e um óculos de sol. Detalhe: penso que quem furtou sabe que não existe monitoramento por camêras. Demos sorte de não termos celulares levados, pois seria impossível saber quem foi. Além disso, o diretor/gerente falou que não se responsabilizam por objetos no interior da pousada e não colocam camêras para deixarem os clientes ""mais à vontade"". Surreal!!! Ou seja, à merce de ""ratos"" que levam nossos pertences.  O ""jantar italiano"" poderia ser chamado de noite da pizza pois era um dos únicos alimentos italianos que haviam por lá. Os próprios funcionários falaram que no fim de semana eles acrescentam mais itens. Pelo que observamos e pelos relatos que ouvimos, o tratamento de hóspedes de meio de semana e final de semana é diferente. Nos sentimos enganados e mal tratados! Obs: na ""meia-pensão"" deles até a água é cobrada no jantar. Todas as bebidas são preços exploratórios. 1 lata de refri e 1 xícara de café (minúscula) 10 reais cada, mais taxa de 10%.  Sugestão: evitem este estabelecimento!!"
