Data da opinião,Nota,Título,Conteúdo
8 de dez.,5,ibis Goiania Arrasa!,"Sem dúvida é a melhor opção pra se hospedar em Goiânia. Tudo limpinho, equipe simpática, café da manhã maravilhoso e ainda dá pra treinar ali do lado na BodyTech. Custo benefício vale muito a pena. Com o Ibis não tem erro."
nov. de 2022,3,Meio termo em tudo,"MEio termo na limpeza do quarto, no atendimento, no conforto, no café da manhã. Banheiros estilos mais antigos. Achei o valor bem elevado para o que oferece. Pelo mesmo preço tem outros com melhor custo benefício."
nov. de 2022,5,Excelente experiência !,"A Equipe que me atendeu de 04.11.2022 (sexta-feira) até hoje, 07.11.2022, é espetacular. Inicio meus agradecimentos pelo Valério (que já me atendeu em outras ocasiões), Pedro e Ana Beatriz (equipe da recepçao). Além disso, agradeço também às queridas da cozinha: senhoritas Fran, Ana Maria e Ana Márcia, Lu e Cláudia. Meu abraço especial envio à senhorita Cláudia, que teve especial paciência comigo. Obrigado também às camareiras, que, como os demais colegas já mencionados, foram simpáticas, solícitas e gentis com este Mineiro de Sete Lagoas. Por fim, desejo a todos vocês uma ótima semana, muito sucesso e espero revê-los muito em breve. Atenciosamente, Cleto Verdolin Neto. Vitória/Espírito Santo"
set. de 2022,5,Organizado e perfeito,"Limpo, organizado e descomplicado. Paguei com pontos fidelidade, sem dificuldades . Checkin e checkout ágeis. Ponto positivo é a porta do banheiro, tipo comum, pois em outros hotéis da rede acontece de a porta do banheiro ser de material que permite passagem da luz, o que faz o quarto se iluminar de madrugada, prejudicando a qualidade do sono dos outros ocupantes."
set. de 2022,2,Pontos negativos,"O secador do quarto estava quebrado, a funcionária Evelyn falou q não tinham quem concertar no dia e que se eu quisesse eu teria q pegar na recepção um, pois não tinha ng pra entregar lá no quarto. Falou q já tinha batido o ponto dela e estava de saída. Na recepção só havia um único funcionário, o Sr. Valério , que disse q o serviço íbis é isso mesmo é que eu poderia escrever no Trip Advidor. Outro ponto negativo é q não tem estacionamento gratuito. A diária é R$28,00 se quiser deixar o veículo estacionado lá."
jul. de 2022,5,Tudo ótimo!,"Localização excelente, serviço de quarto impecável, cama confortável, café da manhã bom, os recepcionistas são bem atenciosos e simpáticos, gosto muito da rede de hotéis Ibis e certamente voltarei a me hospedar neste hotel.🥰🥰🥰🥰🥰"
jul. de 2022,3,Falta de comunicação,"faltou comunicação sobre as prestações de serviço, principalmente sobre a terceirização do estacionamento,café da manhã razoável, melhorar a comunicação sobre o que oferece aos clientes e sobre o que é terceirizados…"
jul. de 2022,1,Estacionamento não incluso na estadia,"Quando comprei, o estacionamento estava incluso na estadia. Na hora do check-in, tive que pagar 26 reais a mais. Na recepção não havia o que fazer, me pediram pra reclamar com o hotel urbano. Falaram que já mudaram as regras a mais de 1 ano e o hurb não atualiza a oferta."
jun. de 2022,3,Cobranças por fora,"Padrão Ibis, mas com café da manhã e estacionamento fora da diária, sendo utilizada aumenta em mais de R$ 50,00 a diária. O café da manhã ser cobrado a parte vejo em outros hotéis isso acontecer, mas estacionamento foi a primeira vez."
jun. de 2022,5,Satisfação,"Sempre muito satisfeito em todas as vezes que me hospedei no ibis. Apesar de pequenas diferenças entre os hotéis, como, por exemplo, a idade dos mesmos, que reflete um pouco no estado de conservação, isso não interfere muito na qualidade. Apenas acho que o café da manhã poderia ser um pouco mais cedo, pois 6:30hs dificulta para quem tem que trabalhar ou viajar. É muita correria."
jun. de 2022,4,Bom custo benefício,"Bom atendimento, cama confortável, quarto bem limpo e silencioso, café da manhã bom e orgsnizado. Acredito que o ponto alto do hotel seja a excelente localização excelente. Me hospedaria novamente...."
mai. de 2022,4,Custo benefício regular,"Quarto padrão, fiquei em um apto no último andar o que recomendo. Recepção muito atenciosa e café da manhã muito bom. Paguei 240 diária e acredito que não seja um bom custo benefício. Mesmo patamar de preço de outros hotéis melhores. Ponto positivo é a localização, bem central e perto de tudo."
abr. de 2022,4,Não é Claro que o Estacionamento é PAGO,Sei que é para reduzir custos com a Estadia! Mas deveria ser mais claro o faro de não haver Estacionamento incluso no Preço. Isso foi abusivo e desgastante. Além do preço cobrado pela terceirizada ser alto em relação ao que é oferecido: vagas em frente à outros carros.
mar. de 2022,4,Bom custo benefício,"Boa localização, bom atendimento, e bom Wi-fi. O cafe da manhã poderia ser melhor pelo preço cobrado.nA limpeza não foi realizada no segundo dia de estadia pois iria sair as 18 hs creio que isso não deveria ser justificativa."
dez. de 2021,1,Péssimo o pior de Goiânia.,"Péssimo o hotel! Atendimento péssimo com qualidade duvidosa.    Falta de qualidade em todo o processo, atendimento porcamente e de baixíssima qualidade. Além da má vontade de atender! Deveriam rever a bandeira pois é uma vergonha a bandeira do IBIS este hotel"
dez. de 2021,4,Tranquilo,"Hotel tranquilo, boa noite de sono, cama confortável e roupa de cama macia, limpo (apenas o ralo da pia que apresentava um pouco de sujidade, decoração do hall de entrada do hotel estava legal (linda árvore de Natal), funcionários simpáticos."
dez. de 2021,1,Sem fornecimento de nota fiscal,"Após vários dias ainda eu ainda não recebi a nota fiscal por e-mail, conforme haviam me informado que seria feito, mesmo após telefonemas cobrando a recepção do hotel. lamentável eu perder tempo com isso!"
nov. de 2021,5,Excelente escolha de hotel em Goiânia,"Ótima localização, quartos amplos e limpos, cuidado com as recomendações sanitárias da pandemia. Café da manhã diversificado e saboroso. Sugiro pegar os quartos superiores pois são melhores e mais silenciosos. O hotel tem ambiente para drinks e lanches. Estacionamento pago a parte."
nov. de 2021,4,Boa relação custo benefício,"O quartos dos iBIS são meio que padrões, o úncio senão é com o atendimento, poucos funcionários na recepção para atender o balcão, o telefone, o bar. Apesar de atenciosos, não conseguem dar vazão quando o Hotel está cheio. Impossível resolver qualque r problema pelo telefone, que não era atendido, tendo o hospede que descer e pegar fila para resolver."
nov. de 2021,4,Tudo o que se espera num Ibis,"Quarto bom, o chuveiro em particular estava excelente. Café bem simples, padrão da rede. Um convênio com uma academia chique bem próximo foi um diferencial bem bacana. Staff bem amistoso e esforçado, mesmo com o hotel cheio conseguiram ajudar em tudo. Eu voltaria!"
nov. de 2021,5,Bom,"Tem pequenos inconvenientes, mas o Hotel é bom. Me hospedei duas vezes, dá segunda vez foi melhor. Os problemas que havia tido da primeira vez foram sanados então minha hospedagem foi bem tranquila. Qualquer coisa só falar com eles que eles resolvem."
out. de 2021,5,"Limpo, prático e bem localizado","Eu amei, preço justo, boa localização, quaro extremamente limpo, so o banheiro que é pequeno. Ótimo pra quem quer praticidade, fui a trabalho então atendeu todas minhas necessidades. Super Recomendo!!"
out. de 2021,1,Atendimento horrível!,"O atendimento foi péssimo. Solicitei na reserva que deixassem duas cadeiras no quarto para eu e meu companheiro pudesse trabalhar, chegando para fazer o check-in nem minha reserva o atendente achou, e obvio que não tinha duas cadeiras no quarto, liguei para pedir, a recepção não atendia.. liguei... liguei... liguei... Desci na recepção pedindo uma cadeira, o atendente me disse que já ia levar. Não levou!!! No dia seguinte do café da manhã, eu falei ""bom dia"" pra moça que atendia ela nem me respondeu e com estupidez perguntou qual número do meu quarto, quando finalizei o café, fui pedir a cadeira novamente e a recepcionista pediu para que eu levasse uma das cadeiras que estavam ali mesmo.  E o atendimento do estacionameto? Grosso, estupido, parecia que estava com preguiça de abrir a boca pra falar."
out. de 2021,1,Zero custo benefício - não vá com crianças,"O menor quarto de hotel que já me hospedei. Pedi um berço, mas nem falaram que não caberia na hora do checkin. Banheiro vazando água no box, não tinha toalha de rosto. Levantei a cama auxiliar do quarto para ter espaço para o carrinho do meu bebê e estava imundo. Não é uma tarifa barata. Principalmente pelo fato de tudo ser cobrado a parte. Até estacionamento é na parte e nem tem estacionamento público perto."
set. de 2021,3,Serviços de Alimentação (jantar),"Cheguei no hotel na segunda-feira e não queria sair para jantar, o tipo de serviço fornecido estava muito limitado e tive que sentar num local foral do refeitório e pouca oferta de comida. Recomendo ofertar mais opções."
ago. de 2021,3,"Igual todos ibis, mas com traidor horrível","Hotel bem localizado e é igual a qualquer ibis do Brasil, mas nessa unidade tem um problema que atrapalha muito descansar: O travesseiro é horrível! Impossível dormir bem a noite. Tive que dar uma adaptação com edredom que estava no armário, mas não adiantou muito não."
jul. de 2021,1,A pior hospedagem que ja fiz na vida,Não é exagero não.  A pior experiência mesmo.  Fiz a reserva no site…  Fiz o checkin online um dia antes…  Coloquei os dados… passei os dados do cartão…  Recebi email falando que tava tudo pronto…  Que era soh chegar e pegar a chave…  Ao chegar tive que esperar pessoal que não tinha feito checkin fazer o checkin… pagar..  depois me colocou p passar o cartão.. que o que coloquei no site era só pra enrolar mesmo…  Assinar um monte de papel…  Pra depois me liberar a chave…  Nisso meia hora pra hora de prazo esperando…  Ao chegar no quarto pra 3 pessoas…  Uma cama sem travesseiro e somente 2 toalhas…  Mandaram uma toalha..  Mas disseram que não tinham travesseiro…  Que alguém ia ter que dormir sem…  To aqui sem a hospedagem ter terminado…  Torcer pra que mais nenhum desastre do atendimento me assole.
jun. de 2021,4,Bom hotel!,"O hotel é o padrão da rede. Tem frigobar, telefone, quarto com um bom tamanho, televisão a cabo, banheiro espaçoso.  Café da manhã, desta vez, foi incluso no valor da diária. Um bom café da manhã, também no padrão Ibis.    A única ressalva ficou por conta do secador que estava queimado, mas que foi providenciado um outro quando solicitado.    A pressão da água do chuveiro também estava bem menor do que o normal.    Tirando essas duas situações que precisam ser corridas, a hospedagem foi excelente.    Quanto aos cuidados da COVID, o quarto estava higienizado e no café da manhã sendo obedecido o distanciamento, uso de máscaras e uso de luvas no manuseio dos talheres para pegar as comidas.    Por fim, a vista do quarto é excepcional."
abr. de 2021,1,A pior noite da minha vida em um hotel,"A pior noite da minha vida em um hotel    Um casal, segundo o sr. Diogo que estavam embriagados, chegaram quase às 3h da manhã hospedando-se ao lado do meu quarto causando um enorme barulho e bagunça, o que impedediu que dormíssemos, eu e minha namorada.  O sr. Diogo, tentou mas não conseguiu que os baderneiros parassem. Na quinta vez que reclamei, me disse que tentaria resolver, caso contrário, teria que solicitar a retirada dos mesmos do hotel.  O problema não foi resolvido e liguei mais algumas vezes. Ele então me sugeriu trocarmos de quarto, mas minha namorada estava sob efeito de remédio para dormir e não seria essa a opção inicial informada e aguardei que fosse efetivada, aliás, a algazarra era provocada pelo casal ao lado que se recusavam a parar.    Isso começou às 2h53min e foi até quase 6h15min. Não dormi neste período. Saí do hotel por volta das 8h pois teria compromisso logo cedo.    Fica aqui minha indignação pela inércia por parte do hotel.    JAMAIS me hospedarei neste hotel novamente e não recomendo ao pior inimigo."
jan. de 2021,5,ATENDIMENTO NOTA 10,"Tudo muito bom, como sempre em todos os hotéis da rede. O atendimento é excelente, as pessoas são atenciosas e se preocupam com os bem estar dos hóspedes. Fui a negócios, levei a família e fomos muito bem atendidos. Obrigado pelo apoio!!!"
dez. de 2020,5,Excelente hospedagem,"Não tenho do que reclamar do hotel. Desde o check-in online até presencial no dia, foi tudo ok. Tive um pequeno problema com o café da manhã, mas imediatamente foi resolvido. Todas as pessoas que nos atenderam foram muito educados e prestativos, a escolha do quarto com vista para o viaduto foi maravilhosa. Recomendo e voltarei!"
