Data da opinião,Nota,Título,Conteúdo
21 de dez.,5,Ótima hospedagem a trabalho,"Este hotel tem uma ótima estrutura para quem vem a trabalho em Manaus, pois sua localização permite acessar muitas empresas pela localização, bem como, possui ótimas acomodações, internet e um serviço de quarto muito bom. Ótima experiência com o serviço de cozinha, após perceberem uma pequena falha no atendimento. Gratidão ao Sr Constant!"
20 de dez.,5,Simpatia e gentileza,"É sempre ótimo me hospedar no Hotel Holliday Inn em Manaus. Além do conforto do quarto, o hotel oferece um buffet de café da manhã maravilhoso e tem uma moça que prepara omeletes e tapiocas sensacionais, a Suziely, sempre simpática e muito gentil."
17 de dez.,5,Experiência magnífica.,"Experiência maravilhosa, agradeço de coração a todos que compõe a equipe, são gentis, atenciosos, especialmente as recepcionistas Elle e Camyla, foram excelentes, por mais pessoas assim neste mundo. 💓"
9 de dez.,5,Cafe da manha com omeletes e tapiocas feitas na hora,"Ótimo atendimento da Dayanny que fica responsável por fazer na hora tapiocas e omeletes, muito bem feito e saborosos. Tivemos problemas durante o check in por não haver quartos disponíveis na hora prevista, fora isso bons quartos, cafe da manha bem variado."
4 de dez.,5,Hotel Holyday Inn Manaus muito bom,"Adoro ficar na rede Holyday Inn. Aqui em Manaus especialmente, sou sempre bem recepcionada, quartos limpos, cheirosos, cama e chuveiro muito bons. Cama grande muito boa. Café da manhã bem caprichado, com muitas opções. Restaurante no almoço sempre sou muito bem atendida pela Elizabeth, atenciosa, simpática e preocupada com o bem estar dos hóspedes. Recomendo este hotel!"
2 de dez.,5,Show,"Hotel muito bom e não poderia de mencionar Camyla e Gabriela foram muito solicitas, pegou até um café pois saímos muito cedo, obrigado meninas pela gentileza e hospitalidade. Muito obrigado Manaus pela hospitalidade"
nov. de 2022,5,Excelente atendimento,"Sempre atenciosa e a disposição. A funcionária Luiza Fernandes a sorridente da equipe.    As 4efeicoes são excelentes a feijoada maravilhosa .    Porém às saladas são ruins a de rúcula não condiz com o cardápio, 6 folhinha e o tomate era o cereja e não o seco"
nov. de 2022,5,Excelente Hotel,"Quero agradecer a receptividade da Michelle da recepção. Fui abordado com largo sorriso no rosto e uma educação ímpar. Complemento dizendo que o hotel possui ótima instalação e os demais funcionários são sempre muito simpáticos, o que faz a hospedagem ser completa."
nov. de 2022,5,Elogios,"Um dos melhores omelete feito pelas mãos da suziely, e um grande atendimento pela grande profissional Dany, estadia muito boa jantar excelente academia , o serviço recepção atendimento diferenciado aliás tudo ótimo."
nov. de 2022,5,Ótimo hotel,"Hotel maravilhoso! Atendimento impecável dos funcionários, sempre cordiais e dispostos a ajudarem.Café da manhã excelente com muitas opções. Chuveiro bom e cama confortável. Quarto com cafeteira disponível."
nov. de 2022,5,Muito bom!,"O hotel é muito confortável, quarto com bom tamanho, cama excelente. Bom chuveiro. Café da manhã muito completo e excelente. O atendimento em todos os setores é espetacular. Parabéns pelo atendimento em especial da Michelle e da Gabriela da recepção!"
nov. de 2022,5,Hotel Holiday inn manaus,"Gostaria de avaliar e elogiar a funcionária do checkin a Srta.Michelle pelo o excelente atendimento e desprendimento para resolver um imprevisto na minha reserva , assim como todos os outros funcionários estão de parabéns."
nov. de 2022,5,Ótimo atendimento,"Gostaria de agradecer o atendimento dos funcionários do hotel, tanto recepção qto restaurante. Todos extremamente gentis. Solicitei a troca do frigobar e foram muito eficientes.  Eu super indico o hotel"
nov. de 2022,5,Excelente atendimento,"Excelente hotel, estrutura e atendimento impecável, agradeco toda a equipe, muito atenciosa, desde o pessoal da limpeza até a equipe de atendimento... Agradecimento especial a srta Deyse (recepção- hall) da cordialidade, profissionalismo e sorriso ímpar e cativante.."
nov. de 2022,5,Melhor hotel de Manaus,"Parabéns por toda dedicação da equipe Holiday Inn. Tudo feito com maior dedicação e cuidado, um dos melhores hotéis que pude ir. A melhor parte é a água quentinha e a banheira com hidromassagem que é fantástica."
nov. de 2022,5,Excelente! Recendo,"Surpreendeu a expectativa. Quarto e banheiro grande, roupa de cama e toalhas da mais alta qualidade.  Área de piscina, academia e lazer.  Realmente recomendo a quem deseja se hospedar em Manaus.  Obrigado."
nov. de 2022,5,Excelente,"Excelente atendimento (Deyse, Gabriela, Daniela, Michele, Elizabeth, Luiza) e Excelente acomodação.  Ótimo café da manhã. E infraestrutura (piscina, academia, restaurante e bar).  Estacionamento gratuito .... Ótima opção em Manaus para negócios ou turismo. L"
set. de 2022,5,Ótimo atendimento,"Tudo muito organizado... Alimentação perfeita, tudo muito gostoso... Quarto bastante confortavel... A funcionária Elizabeth que trabalha no restaurante foi bastante atenciosa...    Voltarei outras vezes."
set. de 2022,5,Excelência no restaurante,"Gostaria de parabenizar as funcionárias Day e Elizabeth na área do restaurante. Sempre com  Sorriso no rosto e disposição de ajudar a quem quer que seja a todo momento. O nível de atenção dada aos clientes é ímpar.  Posso ver que elas amam o que fazem.  Parabéns pela excelente recepção tornando o Holidayinn Em Manaus, um lugar muito especial"
set. de 2022,5,Elogio e agradecimento,"Estive no hotel para ficar alguns dias com o meu namorado já que ele não é brasileiro, mas ele estava na cidade a trabalho.  Os (as) atendentes do hotel são muito educados e atenciosos. Os funcionários do restaurante / cozinha fazem tudo ao alcance para nos deixar confortáveis. Ótima comida!  A equipe do Holiday Inn Manaus está de parabéns!  Um agradecimento especial ao Sr Francisco Brito que me atendeu muito bem e com quem eu mais conversei.  Muito obrigada pelo ótimo atendimento de toda equipe! 🥰"
set. de 2022,5,Restaurante excepcional!,"Faço questão de comer no restaurante do hotel sempre que estou por Manaus, pela qualidade da comida e do atendimento. Em especial as atendentes Daniela e Luana que prestaram um serviço excepcional e me indicaram a sugestão do chefe, filé de tambaqui grelhado com arroz amazônico e banana frita. O prato foi muito bem servido e recomendo!"
ago. de 2022,5,Atendimento Excelente,"Atendimento excelente no café da manhã. Quero enaltecer o atendente Mateus, que me atendeu com muita simpatia e disposição! Café da manhã muito bom e o atendimento melhor ainda! Obrigado Mateus! E parabéns pelo seu profissionalismo!"
