Data da opinião,Nota,Título,Conteúdo
26 de dez.,5,Natal 2022,"Eu e minha família passamos a semana de Natal( de 20/12 a 26/12/22) no Hotel ponta do Madeiro e foi perfeito! Local lindo e agradável, mtoo conforto e gentileza, o café da manhã mto bom e se tornava completo com a equipe que serve ao restaurante, que são super atenciosos . Os quiosque que serve a área de praia é excelente, e os quartos bem confortáveis. Foi maravilhosa nossa estadia!"
nov. de 2022,5,Passeio Maravilhoso!,"Foram dias maravilhosos! Tudo perfeito de verdade. Funcionários educados, hospedagem top, café da manhã gostoso, refeições de chefe. Tudo muito bem cuidado, uma vista de tirar o fôlego de tão linda! Tem uma praia praticamente particular, mas existem muitos degraus até chegar lá. Rsrs....Mas acreditem, vale o esforço."
nov. de 2022,5,Experiência incrível,"Não bastasse o visual belíssimo do mar, o hotel tem uma decoração charmosíssima, comida excelente, e a atração principal - a atenção e cordialidade dos empregados. Foi uma experiência excelente, que com certeza se repetorá!"
nov. de 2022,4,Vista maravilhosa,"Lindo lugar! A vista é de emocionar! O restaurante tem uma equipe de profissionais, que são muito solícitos. O Chef faz os pratos de uma maneira, especial. Apresentação é sabor nota 10. O café da manhã é ótimo.. foi uma experiência gastronômica. Os quartos espaçosos . Gostaria de comentar a necessidade, de uma manutenção em todo hotel. A piscina é linda, jardim bem cuidado, mas também necessita de um conservação. Em todos os hotéis, translado é cortesia, neste não. Obrigado por este tempo aí é só não volto, devido a necessidade de descer 196 degraus , para estar na praia. Mas recomendo!"
nov. de 2022,5,Visual Incrível,"Hotel cercada de verde, aberto para o mar. Vale o esforço da descida e subida da pirambeira! Visual incrível. Atendimento cordial e atencioso do time do restaurante. Café da manhã com boa entrega. Ótimo chuveiro e cama confortável, quarto amplo. Vale o hotel ter uma atenção, para sua rouparia de cama e banho e para a cozinha do restaurante nas refeições. Preços altos, para uma entrega bem razoável."
set. de 2022,5,Excente custo- benefício.,"Ótima localização, frente para o mar, otimo serviço com simpatia e acolhimento que nos fazem sentir em casa.  Já conheciamos, voltamos e voltaremos.  Recomendo para quem busca tranquilidade.  Tem uma escada de 200 degraus para a praia. Não recomendo para que tem difuculdade na mobilização."
abr. de 2022,4,Um encanto,"Encarapitado no alto de uma falésia imponente na ponta da praia do mesmo nome, acessada por uma escadaria de mais de 170 degraus apresenta uma vista deslumbrante de todo o entorno de Pipa. Bem cuidado, piscina agradável, bar molhado e um verde impressionante das plantas. Bom café da manhã. O restaurante pode melhorar muito."
mar. de 2022,4,"Ótimo para quem quer praia, mas precisa de reforma","Para quem quer praia, o principal trunfo deste hotel é a localização: ele fica no canto da Praia do Madeiro, de cara para o mar, com escada própria para a areia.  Essa parte da praia tem menos movimento e agito, o que é ideal para quem quer descansar. O bar pé na areia é ótimo, com petiscos e bebidas que podem ser colocados em sua conta.  Ao lado, a quase deserta Praia de Cacimbinhas é ótima para caminhadas e fotos das falésias.  A vila de Pipa está distante uns 7 minutos de carro, mas eles possuem transfer próprio do hotel de hora em hora, inclusive com retorno (cobrado, preço justo).  A equipe é muito atenciosa e educada, sempre disposta a ajudar.  A comida do restaurante é excelente, inclusive no café da manhã. Pratos bem apresentados e gostosos.  A ducha e a cama são ótimas, quartos amplos, amenities do Boticário igualmente boas.  Dois pontos negativos (e é uma pena que esses existam):  1 - Blackout nos quartos: simplesmente não há. A cortina grossa por mais que esteja perfeitamente fechada NÃO consegue bloquear a luz do dia, e já nas primeiras horas da manhã o sol inunda o quarto e sim, fica bem claro.  2 - O hotel inteiro NECESSITA URGENTEMENTE de uma repaginada completa. Os quartos, móveis, pisos, pias, banheiras, cores, decoração, forros, corrimãos estão bem datados. O quarto como já falado é confortável, mas parece saído de um catálogo dos anos 80. O mesmo vale para a piscina e demais áreas comuns.  No restante, há muito verde e o local é perfeito para casais.  Não é permitido levar sua caixinha de música (graças a Deus) e a tolerância do staff com isso é zero na única vez que vi acontecer (o que foi excelente)."
fev. de 2022,5,The best hotel in Pipa!👏👏👏,"Sem dúvida nenhuma é um dos melhores hotéis do 🌎. Atendimento de todos os colaboradores, quartos e qualidade das refeições são 🔝🔝🔝.  Estrutura do hotel é super confortável.  A localização do hotel é maravilhosa. E próximo ao centrinho de Pipa. O hotel tem traslado para a vila.  Enfim, não há nada que seja ruim neste hotel.  Highly recommended!"
jan. de 2022,5,Absurdamente Lindo!!,"Hotel Maravilhoso, sob a falésia da Praia do Madeiro, com uma área verde generosa e chalés espalhados por ela, garantindo privacidade e integração ao ambiente. Linda vista do mar, onde no horário e maré correta é possível avistar os golfinhos.    Ficamos na categoria luxo, ambiente espaçoso, camas enormes, banheiro acima da média e uma varanda com rede que dá o charme.    O hotel possui sua própria barraca de praia, para o acesso é necessário descer (e subir) uma escadaria nas falésias, então para quem precisa de acessibilidade pode ser um dificultador. A localização do hotel/barra é na ponta esquerda da praia, no sentido oposto da muvuca, o que garante tranquilidade. A Barraca tem diversas opções de drinks, petiscos e serve um churrasco de peixe maravilhoso.    Todas as refeições que comi no restaurante foram acima da média, se precisar eles customizam os pratos à necessidade do hospede, alias todo o atendimento dos colaboradores é bem acima do padrão para a região. Tudo funciona redondinho."
