Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,diversão,"gostei muito da recreação, do tio big, da tia pandinha, do tio sapato, e da tia bambi, gostei muito da limpeza do hotel e achei os zeladores muito educados rafael me ajudou bastante e foi bem educado ao me levar até a piscina"
uma avaliação Ontem,5,Bom atendimento recomendo,"A nossa hospedagem no Hotel Grand Carimã tem sido uma experiência maravilhosa. Além da beleza do Hotel, da sua excelente cozinha, o que torna realmente incrível a hospedagem é a incrível amabilidade, gentileza, educação e disponibilidade de todos os seus funcionários, começando da recepção, restaurantes, limpeza, etc! Sem exceção, eles são muitíssimo educados, sem afetação, e, com amabilidade sincera e espontânea! Encantam e deixam a nossa experiência de hospedagem indescritível! A gente se sente verdadeiramente em casa! Parabéns e obrigada por tudo!"
28 de dez.,5,Se divertimos muito na piscina e no hotel com o nosso amigo Tio Sapato!!,"A melhor estadia que eu e minha família já tivemos, o atendimento ótimo principalmente do Tio Sapato que tirou todas as nossas dúvidas e nos ajudou a se divertir todos os dias, a decoração do hotel ótima e tudo magnífica, adoramos o hotel e com certeza voltaríamos a se hospedar!!"
27 de dez.,5,Final de semana,"Local excelente, próximo às cataratas e Paraguai, destaco o excelente atendimento e carisma do bar. Senhor Afonso é uma figura única de simpatia e pode dar várias dicas da região!!!! Ao visistar o Grand Carima, procurem pelo Afonso no bar 🍸."
27 de dez.,5,Melhor diversão que tivemos esse ano foi com o Tio Sapato ❤️,"Amamos a nossa hospedagem no hotel eu e a minha família adoramos, a decoração linda e impecável, tivemos um ótimo atendimento no hotel e se divertimos muito com o Tio Sapato com ele a diversão é garantida ❤️"
27 de dez.,5,Natal Família Kist no Grand Carima Resort,"Nosso Natal de 2022 foi muito especial pelo carinho, dedicação e preparo de toda equipe do Grand Carima Resort. Superou nossas expectativas!! Todos extremamente gentis, energia maravilhosa, comida excelente, decoração impecável e animação 100% com Tio Sapato e amigos! Sem falar no Show da Ceia de Natal e espetáculo do Tio Fepo imitando o Silvio Santos 👏👏👏👏🎄❤! Estávamos em 6 pessoas mais o pet da família 🐶 que também teve atenção e atendimento VIP. Fechamos o pacote com a agência de viagens Comfort de Cianorte e já liguei agradecendo a indicação 👏👏!"
26 de dez.,5,"Estadia incrível, nossa filha adorou","Essa foi provavelmente a viagem que nossa pequena mais curtiu, graças a animação da equipe de recreação (tias Panda, Bambi, Maravilha, Pipoca e tios Big e Sapato), que são realmente incríveis com as crianças (e com os adultos também). Esperamos reencontra-los em breve!  As instalações do hotel são ótimas, quarto bem aconchegante, banheiro espaçoso, e as refeições deliciosas.  Viemos para o Natal, a ceia e a banda foram muito boas!"
26 de dez.,4,Estrutura melhorou muito,"Hotel após a reforma melhorou muito, destaque para Sr. Afonso do bar que com certeza o melhor atendimento de um colaborador do hotel. Equipe de recreação tio sapato muito bom e prestativo. Acredito que alguns colaboradores precisam saber lidar com os hóspedes principalmente alguns na recepção como também a moça que fica no restaurante, talvez esteja passando por alguma dificuldade. Enfim o hotel como um todo deu um show na ceia de natal e ficamos satisfeitos."
25 de dez.,5,Hospedagem,"Hotel muito bom com ótimos quartos. Atendimento excepcional.  Equipe de recreação divertida e muito atenciosa com as crianças.  Segundo natal que passamos em família no hotel, foi maravilhosos e mágico, super indico!  A passadinha no piano bar é obrigatória, se Afonso prepara drinks maravilhosos!  Super aprovado!"
25 de dez.,5,"Muito bom, gostei muito","Gostei muito, tem muito bom atendimento, a comida é muito boa também. A recreação é muito animada e quero agradecer o tio sapato e a tia pandinha que nos receberam e os pavões são maravilhosos recomendo"
23 de dez.,3,"Um hotel muito grande, com bastante área verde. Ainda podemos ver estruturas do antigo hotel, antes de ser reformado.","A extrutura do hotel é bem grande e uma das coisas que mais gostamos foi Bar do hotel. O atendimento é excepcional, principalmente em relação ao seu Afonso, que nos atendeu com muita gentileza e parceria."
23 de dez.,5,Um dos melhores resorts de foz iguaçu,"Gente,vcs não imaginam tem um barmen sr. Afonso q faz uma caipiiinha e uns drink q não existem, sao mais q maravilhosos, sem contar a sua simpatia.  O pessoal do restaurante LEA, e equipe tratam vc como sua família. É uma sensação de acolhimento muito grande. Somos Italianos e tivemos a sensação de estarmos em nosso país.  Sem contar o sr. Moacir q é o responsável por toda essa organização.  Venham! É mais q ótimo"
23 de dez.,5,BAR,Recomendo as sugestões do Sr. Afonso do bar.  Muito boas! Ficamos muito satisfeitos com o seu atendimento. Margarita excelente e caipirinha de morango ótima. Atendimento de primeira. Parabéns. Se vocês vierem se hospedar aqui não deixem de experimentar os drinks.
23 de dez.,5,Surpresa mais que agradável,"Muito melhor do que imaginava. Espaçoso, muito limpo e agradável. O café da manhã muito farto. O jantar simples, mas bastante razoável. Mas gostaria de destacar a Micaela. Atendimento diferenciado. Muito gentil, atenciosa e simpática. Gostamos muito."
