Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Excelente custo x benefício,"Sinceramente, eu esperava um hotel bem velho, mas me surpreendi positivamente. Realmente, o hotel é antigo, mas percebe-se o cuidado e que estão trabalhando constantemente para renovar o ambiente. As áreas comuns são muito boas, renovadas e gostei muito do meu quarto, todo reformado, grande, camas muito confortáveis e chuveiro muito bom. A animação infantil é excelente durante todo o dia. Minha filha mais nova amou! O café da manhã é excelente, com muitas opções. Fica a minha sugestão para adicionarem opções para quem possui restrição alimentar, como alimentos sem lactose e sem glúten. Um hotel desse porte já deveria se preocupar em oferecer essas opções para os hóspedes. No geral, a minha experiência foi muito positiva. Indico sem ressalvas e voltaria caso necessário."
28 de dez.,5,"Serviço excelente, preço justo e recreação infantil FORA DE SÉRIE!","O atendimento é fantástico, a recreação é simplesmente um sonho para as crianças e para nós pais. O preço é justo. Se você vai com crianças prepare-se para uma experiência incrível. É caminho sem volta. Ficamos de 19 a 27 de dezembro de 22 e já saímos de lá programando a volta."
26 de dez.,5,Fantástico,"Estamos ainda hospedados Rafain. E posso avaliar nossa estadia como: incrível! Estivemos em diversos hotéis em Foz do Iguaçu, e afirmo que o Rafain é a melhor opção em custo benefício! Quartos reformados, estrutura linda aliando o tradicional e o novo. A equipe é maravilhosa! Extremamente educados e solícitos, Fazem com que nos sintamos em casa! Equipe do bar extremamente atenciosa! Comidas e petiscos muito bons! Check-in rápido e eficiente, passando muitas informações importantes e sempre atendendo nossas solicitações. A recreação infantil é a melhor parte, para quem tem crianças, é o ponto alto da hospedagem! Os “tios” sao realmente muito bons! Com programação diária bastante variada e interessante para as crianças. Além de cuidarem com muito carinho e prepararem atrações…"
25 de dez.,5,Recreação sensacional/ ótimo custo benefício,"Rafain mora em Nossos corações!! Sempre que nossa família vem para foz é aqui que ficamos! Não tenho reclamação alguma desses cinco dias que passamos aqui. Viemos passar o natal pela segunda vez no Rafain! Essa vez com ctza foi a mais especial! Nossa filha de 5 anos foi embora chorando!!!! Pois queria brincar mais com os tios! Equipe de recreação FANTÁSTICAAAAA!! Atividades das 08:30 às 22:00. Atenciosos, carinhosos! Tia Rapunzel, tia pudim e tia docinho encantaram o coração da minha pequena Yasmin ! Se vocês procuram uma recreação de excelência, é Rafain Palace! Tirando o custo benefício! Quartos ótimos, espaçosos, limpos, comida muito boa e funcionários muito gentis!!!!"
24 de dez.,3,Bom atendimento!!!,"Estive a segunda vez no hotel. O hotel é antigo e tem um bom atendimento, principalmente no bar da piscina. Academia antiga, sem ventilador ou ar condicionado, ou seja, vira uma sauna no calor de Foz do Iguaçu. Comida do buffet poderia ser melhor. O hotel é pet friendly, nada contra, também tenho pets, porém no jantar do dia 20/12 no American Bar, tinha um hóspede com o pet solto, e o mesmo veio direto na mesa que estava jantando pular nas pernas. Ficou por alguns minutos rodando o bar e nenhum funcionário e o dono do pet tomou alguma atitude."
9 de dez.,4,voltaria....algumas observaçoes,bom apto...bom café da manha e jantar razoavel....deixar o automovel estacionado sem cobertura com sol de 40 graus realmente gera desconforto; precisa urgentemente consertar escada da piscina; sem duvida vai causar algum acidente principalmente para idoso. melhorar a seleção de musicas;
nov. de 2022,5,RECREAÇÃO E APARTAMENTO,"Deixo aqui meu muito obrigado a equipe Rafain, as acomodações do 5 andar são ótimas e novas, mas tenho que destacar principalmente a recreação que ao longo dos dias encantou não só meus filhos mas toda a família, já estivemos em muitos hotéis da cidade e a recreação desse hotel e fantástica, fazem atividades o dia todo, acompanham as crianças em todas as refeições e cima de tudo promovem interação e sociabilidade entre os pequenos. Não pense que os adultos ficam desassistidos, pois, o tio Rafa faz atividades o dia todo e integra toda a galera que está na piscina, participei da prova da cerveja e de muitas outras foi muito divertido, curtimos a musica ao vivo que tem de dia e de noite, destaque para a baladinha das crianças que meus filhos adoraram, só tenho agradecimentos tias Docinho, Pudim, Borboleta, Jack , Princesa, e muitos outros que não lembro nome, Obrigado e voltaremos para o natal."
nov. de 2022,5,Recreação,"Já nos hospedamos várias vezes no hotel. Sempre foi ótimo, mas agora foi a primeira vez que meu filho foi na recreação e foi sensacional. Equipe ótima, criativa, cuidadosos. Também ficamos em um quarto novo, todo reformado. Gostamos de tudo."
nov. de 2022,1,Desrespeito no tratamento com as pessoas,"No ultimo dia 03/11 estive presente para um congresso de 4 dias  Como não estava hospedado adquiri um cartão para consumo deixando um cartão de credito como caução    Abaixo segue a conversa e o fato descabível e inaceitável    [15:13, 04/11/2022] +Recebi a seguinte mensagem : 55 45 9108-6194: Olá, boa tarde. Tudo bem? Aqui é da equipe do Rafain Palace Hotel. Estou falando com o senhor Beni    [15:19, 04/11/2022]Respondi: Sim    [15:21, 04/11/2022] Sou eu mesmo    [15:26, 04/11/2022] +55 45 9108-6194: O senhor tem uma conta avulsa aberta conosco, certo? Verificamos que estão tendo consumos neste cartão, gostariamos de informar que o pagamento deve ser feito diariamente. Caso o senhor não queira passar aqui na recepção. Podemos debitar deste cartão que nos foi apresentado aqui na recepção?    [15:44, 04/11/2022] +55 45 9108-6194: Senhor, como não obtivemos resposta, fizemos o débito diretamente pelo cartão cadastrado. Caso o senhor precise de nota fiscal, mande os dados que nós emitiremos para o senhor!    O que me admira é que :  1) Em momento algum a Sra Gisela(e) informou que o acerto deveria ser diário já que o congresso duraria 4 dias.  2) O fato de demorar 18 minutos para responder estando em um congresso , fez eles tomarem a decisão de debitar o cartão , conforme o Sr alexandre informou: Já tivemos vários CALOTES e o Sr não respondeu a mensagem , então debitamos.  3) Já que mandaram mensagem poderiam ser mais assertivos na mesgagem tipo:  O Sr poderia passar aqui na recepção até X horas caso contrario .... ou melhor e mais dignamente me TELEFONAR e não tomarem a decisão aleatoriamente    Se por um causa tão pequena fizeram isso , imaginem quando tiverem hospedados"
nov. de 2022,4,"Ponto alto para recreação, baixo para estrutura.","O ponto alto do hotel é a recreação, um elogio especial a Tia Valente. Haviam crianças de todas as idades e meu filho de 9 anos se divertiu muito, foi embora chorando.  Porém, a realidade da estrutura do hotel não é como mostrada no Instagram. Uma instalação que atende bem, porém antiga. Torneira com vazamento, tampa do vaso solta.  A jacuzzi não estava quente e pedimos manutenção mais de 4x e não foi atendido. Não conseguimos utilizar.  O café da manhã é bom, com boas opções e salão espaçoso.  Para quem vai ao Paraguai é uma boa localização, para quem vai as Cataratas, Argentina, outros pontos turísticos fica longe."
