Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Estadia muito agradável,"Foi tudo maravilhoso. Vim em lua de mel e estou muito satisfeita com o atendimento e com os serviços prestados pelo hotel. O serviço de quarto é excelente, a camareira Flávia nos surpreendeu todos os dias com os bichinhos de toalhas, muito lindo de ver, ela teve muito capricho e atenção ao arrumar o quarto. O buffet de café da manhã é completo, não tem nada de extravagante, mas o que é ofererecido tem boa qualidade e fresco. O hotel em geral não tem o que reclamar, os funcionários são muito gentis. Não tenho o que reclamar, minha estadia foi muito agradável e com certeza voltaria neste hotel em outra oportunidade."
uma avaliação Ontem,5,Uma experiência incrível,"Valeu muito a pena esse hotel, café da manhã muito bom e excelente localização do ladinho do terminal, que dá pra fazer todos os roteiros turísticos. O quarto sempre impecável graças a Flávia que sempre deixa um bichinho de toalha pra gente."
29 de dez.,5,Recepcionista Tatiane top 10,"Quero ressaltar o atendimento da recepcionista Tatiane, em 25/12, muito atenciosa e eficiente, e ajudando junto à gerente Terê na extensão de minha estadia, por motivo de alteração de voo. Parabéns a todos os funcionários da recepção do Mirante Hotel."
29 de dez.,4,Hotel Mirante.. show,"Ótimo opção para família..apesar deu está em juntos minha esposa, há dois.. Só precisa melhorar na opção piscina do hotel.. Muito perigoso, devido que não há funcionários para alertar sobre profundidade da piscina.."
27 de dez.,5,Muito obrigada,"Gostaria de agradecer a todos os funcionários do Mirante Hotel, fomos super bem atendidos. Em especial a nossa camareira Débora, que sempre deixou nosso apto muito organizado e limpo, sem contar nos belos bichinhos feito com as toalhas que minha filha adorou. Todos nós adoramos o Hotel, e quando retornarmos á Foz do Iguaçu, nossa hospedagem será no Mirante com certeza."
23 de dez.,5,Minha experiência o hotel mirante!,"Atendimento muito bom, a camareira Elizandra, super atenciosa, deixou meu quarto sempre limpo, atendeu todas as minhas expectativas ❤...  As camas sempre arrumadas, minhas roupas sempre organizadas, futuramente espero poder voltar a foz, e com certeza o hotel mirante vai ser minha prioridade, atendimento de primeira, recomendo muitooooo"
21 de dez.,4,"Hotel bom, hospedagem no quarto 851 do oitavo andar, perfeito para 04 pessoas (família).","Ficamos hospedados por 04 dias no quarto 851 (oitavo andar), estavamos 04 pessoas (família). Bom atendimento de todos os funcionários e em especial da camareira Elizandra muito atenciosa. Bom café da manhã, sempre com bolos novos em torno de 06 (seis), fartura de queijo e presunto para um bom sanduíche e mais opções. Não utilizamos o estacionamento já que fomos de avião para Foz do Iguaçu. Piscina limpa e ensolarada. O terminal de ônibus fica a uma quadra do hotel, com ônibus para Cidade de Leste, Puerto Iguazu e CATARATAS. A região pareceu ser segura, já que o batalhão do Exército fica próximo. Tem um supermercado Muffato a três quadras. Ressalto qua avaliação do quarto é do 851, qual ficamos bem hospedados. Visualizei mais famílias hospedadas."
10 de dez.,5,Camareira,A camareira Elizandra é ótima! Cuida muito bem de tudo!  Atenciosa! O homem tem um serviço satisfatório com a participação de uma colaboradora como ela! Recomendo o hotel e agradeço pela gentileza da Elizandra!
6 de dez.,1,"Não recomendo, descaso com os hóspedes.","Não se deixe enganar com os bichinhos na toalha !!! Hotel só é limpo e fica no centro. Cobram uma taxa de 30,00 pelos serviços que é obrigação deles prestar. Nos colocaram em um quarto que o ar condicionado era ruim e não tinha água quente, quando pedimos pra trocar de quarto pareciam que estavam nos fazendo um FAVOR !!  Até ai ainda estava “ok”, quando fomos surpreendidas com um aviso colocado no elevador, que não teria energia no hotel naquele dia até a 13:30h.  não tiveram se quer o trabalho de avisar que o hotel passaria por uma manutenção no período que estaríamos hospedadas quando fizemos o check-in, para que pudéssemos nos organizar com antecedência e agendar mais passeios para esse dia.  Fomos para o passeio, voltamos e o hotel ainda estava sem energia, fomos almoçar, voltamos e o hotel ainda estava sem energia, fomos ao centro esperando que quando voltássemos a energia já teria retornado, pois estava prevista para voltar 13:30h e já eram 14:40 e a energia AINDA não tinha voltado.  Tive que subir 4 andares de escada com a minha mãe que é obesa, tem problemas no joelho e problemas do coração e eles se quer pediram desculpas ou forneceram algum tipo de solidariedade !!!! Não tiveram nenhuma consideração.  E para ajudar, as funcionárias ainda estavam LAVANDO A ESCADA !!  Como se já não bastasse isso, no outro dia o hotel também ficou sem energia das 10h às 17h, mas nesse dia tínhamos passeios agendado então quando voltamos a energia já havia retornado.  Os funcionários são secos e parecem que estão te fazendo um favor a todo momento. Só algumas moços que trabalham à noite que ainda tem um pouco de educação.  Total falta de respeito com os hóspedes.  sabemos que manutenções precisam ser realizadas mas devem ser comunicadas e planejadas com antecedência e com consideração aos hóspedes, pois ficamos sem ar condicionado e sem elevador por muitas horas.  No mais a piscina é limpa, os quartos são limpos, e o café da manhã é bem básico.  Não recomendo."
nov. de 2022,5,Boa localização e atendimento,"O hotel é bem limpo, bom café da manhã e bom atendimento. Muito bem localizado, ao lado do terminal de ônibus para todas as atrações. Bichinhos de toalhas nas camas que a Elizandra deixou para nós ❤️"
nov. de 2022,5,Passeio top,"Amei muito!! A camareira JANE caprichou e arrasa nas decorações com as toalhas!! Estão de parabéns, todo mundo muito atencioso o salão de jogos incríveis só faltou liberar o fliperama kkkk gostei de tudo!!"
nov. de 2022,5,Melhor experiência,Agradeço a equipe do Hotel Mirante pelo receptividade e compromisso. Ótima limpeza a camareira Flávia foi incrível na arrumação e atenção ao quarto. Infelizmente alguns problemas com o elevador mas fora isso foi ótima nossa estadia.
nov. de 2022,5,Minha hospedagem no Mirante,"Gostei do atendimento do café da manhã e amei a decoração feita pela camareira Flavia, estão de parabéns. Desde o dia em que chegamos fomos ben recebidas, atendimento da recepção excelente, todos do hotel muito atenciosos."
nov. de 2022,5,Viagem,"Eu e meu marido ficamos 5 dias hospedados no hotel, e nossa camareira foi a Flávia, maravilhosa, o quarto ficou impecável durante todos os dias da hospedagem, os bichinhos estavam lindos, todo o hotel foi maravilhoso."
nov. de 2022,5,Ótima hospedagem,"Passamos 5 dias hospedados no Mirante Hotel. O hotel é antigo, mas muito confortável! Cama excelente, bem localizado e um banheiro bem grande, oque é raro em hotéis! O hotel é muito limpo e destaco aqui a camareira FLÁVIA, que cuidou do nosso quarto todos os dias que estivemos hospedados, deixando o quarto impecável e nos surpreendendo com um bichinho confeccionado por ela com toalha e cobertor que nos recepcionava quando chegávamos de nossos passeios. FLÁVIA VOCÊ É NOTA 10!!!!  O único ponto que deixa um pouco a desejar é o café da manhã, que apesar de ser bom, oferece todos os dias sempre os mesmos produtos. Uma sugestão seria que a cada dia, houvesse outros tipos de frutas e produtos."
nov. de 2022,5,Lua de mel 🍯,"Fomos bem recebidos pelos funcionários da CVC, a recepção também foi boa.  O que mais me impressionou foi a obra de artes feita  pela camareira Flávia que no primeiro dia com as toalhas fez uma cobrinha rsrs no segundo dia 🐕 muito fofo!  A limpeza está excelente não deixou nada a desejar.  Parabéns Flávia!🌹💜😻"
nov. de 2022,5,Hotel maravilhoso,"O hotel é excelente, a começar pela localização simplesmente perto de tudo. O atendimento da equipe é excepcional, todos são atenciosos e prestativos. O quarto muito organizado, limpo e aconchegante! Café da manhã com variedade e muito delicioso! Um agradecimento mais do que especial para a camareira Flávia! Os.bichinhos de toalha que ela faz são um charme a parte! Um hotel com mais beneficio do que custo acessível a todos que querem conhecer Foz do Iguaçu."
nov. de 2022,5,Viagem maravilhosa,"O Hotel Mirante possui uma governança atenciosa, quartos muito limpos. A camareira Jane é um amor, deixa tudo limpinho e cheirosa e com uma surpresa nas toalhas.... todo dia uma obra de arte. Amamos passar esse tempo no Hotel e em Foz do Iguaçu."
nov. de 2022,4,Mirante hotel,"Passamos as férias. Fomos muito bem atendidos, todos os colaboradores são super receptivos e prontos para nos atender e tirar dúvidas. Café da manhã razoável, muito repetitivo! Senti falta de pão de queijo. Mas a camareira Flávia, foi sensacional. Capricho total, cuidou do nosso quarto muito bem. Tudo bem limpinho e nos apaixonamos pelos bichinhos de toalha nas camas 🥰, parabéns pela dedicação!!! O hotel é bem localizado, próximo de bares(contudo, tranquilo para dormir), supermercado, farmácia, feirinha e deliciosos restaurantes com rodízio de carnes nobres. Relação custo benefício bom. O hotel também conta com atendimento e venda de ingressos para os principais pontos turísticos de Foz, o que facilita muito 👏"
nov. de 2022,5,A Camareira Jane,"Gostaria de agradecer todo o atendimento do hotel mas em especial a Camareira Jane que com todo cuidado e carinho nos entregou um quarto super lindo e decorado e cuidou dele durante nossa estadia. Amamos muito nosso Cisne feito de toalhas!. Nós agradecemos pelo excelente trabalho, sucesso a senhora!!"
nov. de 2022,4,Camareira Matilda,Ótimo atendimento. Quarto limpo e organizado. Adoramos o bichinho feito com as toalhas. Adoramos a estadia. A camareira Matilda e toda a equipe do hotel Mirante estão de parabéns. Espero ter a de ficar hospedado mais uma vez neste hotel.
nov. de 2022,4,Boa localização.,"Bom custo benefício. Hotel antigo mas bem conservado. Bem Simples. Camas boas. Banheiro ok. Café repetitivo, mas bom. Ficamos nos quartos de trás, não tem vista mas não tem barulho. Tem salão de jogos, uma lojinha de souvenirs e atendimento da agência De turismo Combo Iguassu no lobby o que facilitou os passeios. Fica próximo ao centro, do lado do terminal de ônibus, a 500m de um supermercado com restaurante, do lado de uma boa churrascaria, cerca de um 1,5km do shopping JL e o valor dos aplicativos para as atrações não ficou alto."
nov. de 2022,5,Muito bom !!!,"Um bom hotel. Não tive problemas, excelente serviço prestado por toda a equipe em especial a camareira Débora que sempre arrumou o quarto muito bem. Café da manhã com muitas opções, massas, doces, bebidas, salgados, ovo, molho para cachorro quente etcc"
nov. de 2022,4,Hotel muito bom,Os atendentes do hotel são muito gente boa e atenciosos.  As camareiras são impecáveis é muito divertido chegar e cada dia as toalhas estarem com um formato diferente.  Não é um hotel novo porém é super limpo e confortável.  A única coisa ruim é que não tem muita variação no cardápio do café da manhã e tbm não tem pão de queijo.
nov. de 2022,5,Estadia muito top !,"Adoramos nossa estadia no hotel mirante, a limpeza do quarto feita pela Jane era impecável e cada dia com um desenho de toalha diferente na cama! Com certeza super recomendamos , a localização, os funcionários ...tudo perfeito"
nov. de 2022,5,Hotel com bom atendimento e camareiras criativas,"A camareira Flávia nos presenteou com bichinhos variados que nos encantaram. Tudo muito bom e organizado.Limpo, tranquilo e satisfatório. A recepção sempre a postos e atenciosos e cuidadosos. Foi muito bom, chegar todos os dias dos passeios curiosa para ver qual bichinho encontraria."
out. de 2022,5,Ótimo custo benefício e parabéns pra Jane.,"Uma ótima estadia, hotel estilo antigo mas tudo funciona perfeitamente! Valeu muito a pena ficar os 5 dias hospedado no Mirante Foz. Voltarei em Foz e provavelmente voltarei a me hospedar lá. O café da manhã não é tão completo mas serviu muito bem. A camareira Jane, muito profissional fazendo seu ótimo trabalho com amor, deixando nosso quarto sempre no grau cheirosinho e arrumado todos os dias. Parabéns Jane, continue assim. Apesar de não ter falado pessoalmente contigo te admiro e te parabenizo pelo seu carinho."
out. de 2022,5,Hotel,"Muito bom hotel.  O setor de governança e a camareira Flávia são sensacionais!!!  Café da manhã ótimos, tudo muito limpo e organizado.  Posso elogiar novamente a Flávia? Ela é ótima.  Estadia está sendo incrível."
out. de 2022,5,Ótima experiência,"Excelente recepção e atenção de todos, prestadas.  O Hotel é bem aconchegante, limpo e agradável.  O quarto muito confortável e o trabalho da Jane, camareira, impecável. Muito caprichosa, além de super simpática. Fora as esculturas nas toalhas que são fofissimas!!"
out. de 2022,5,Quartos bons,Cama bem arrumada. Camareira Flávia excelente. Bem localizado. Tudo funcionando. Café da manha com suco artificial de laranja e uva. Estacionamento com algumas vagas. Pessoal atencioso. Próximo a Argentina e Paraguai. Boa carne na argentina
out. de 2022,5,A realização de um sonho que se tornou realidade.,"A realização de um sonho que se tornou realidade.  Avaliação de Águas do Iguaçu Hotel Centro    Hotel bem localizado no centro de Foz, um excelente serviço executado pela camareira Jane e por sua habilidade em fazer arte com os lençóis, também um excelente café da manhã. Recomendo, pois gostei de mais.  A piscina muito boa e um refeitório amplo e aconchegante, o quarto confortável com água fria e quente, com frigobar, tv e ar-condicionado."
out. de 2022,5,Satisfação,"Hotel com excelente localização, muitos atrativos nas proximidades , e com fácil deslocamento as grandes atrações de Foz.  Também próximo a cidad del este , para compras..  Atendimento de primeira desde a recepção , as camareiras ( em especial a camareira Jane ) que com sua simpatia e seus bichinhos feitos com as toalhas de banho decorando as camas...  O café da manhã muito bem posta e com diversas opções..  Parabéns a equipe..."
out. de 2022,4,Hotel centralizado,"O Hotel conta com ótima localização, destacando a camareira Flávia, com seus lindos bichinhos criados, organizada deixando o apartamento com sensação de casa. Todos os funcionários atenciosos, O recepcionista Luís como os demais muito atenciosos."
out. de 2022,3,Foi satisfatório apesar dessas críticas que considero construtivas,"Queria elogiar a Camareira Flávia. Que a toda limpeza me surpreendia com um bicho feito com as Toalhas rsrsrs. Mas também sugerir ao Hotel que diversifique as Frutas do Café da Manhã. Existe Mamão e Abacaxi que podem sim agradar aos hóspedes. Nas minhas 7 diárias só foi servido Melancia, Melão e Banana. Na parte salgada também todos os dias cuz cuz e molho de salsicha. Uma Macaxeira cozida, e até mesmo inhame cozido pode ser interessante."
out. de 2022,4,Hotel bem localizado. Otimo custo x benefício!,"Localizado no marco zero da cidade, região central. Hotel ofere tudo para uma estadia agradável. Uma boa internet wifi, desjejum de café da manhã bem servido, lobby do hotel com uma agência de turismo para contratação de passeios locais, salão de jogos, loja de souvenir e um time de recepcionistas sempre prestativos e dispostos para pestar atendimento. Com destaque para a Michele e a Taty que esbanjaram simpatia. O serviço quarto fomos atendidos pela camareira Flávia que, além de uma simpatia contagiante, nos presenteou todos os dias da estadia com quarto limpo e uma decoração com nossas toalhas de banho. Já a localização do hotel é algo diferenciado. O bairro oferece muitas opções de restaurantes para todos os gostos e bolsos ($). Um local adequado para quem buscal uma boa cama para dormir com quarto limpinho, arrumado. Espero voltar mais vezes."
out. de 2022,5,Muito bom,"O Mirante hotel fica bem localizado, no centro da cidade. Tem um café da manhã razoável, não tem muita variedade, mas é ok. A limpeza é ótima, chama atenção a criatividade da camareira Flávia. Ela sempre faz um bichinho diferente com as toalhas que nós faz rir sempre que entramos no quarto. Além dela, todos os atendentes são super prestativos. É um local recomendável. Eu e meu parceiro gostamos."
out. de 2022,4,"Hotel bem localizado, além de uma recepção gentil e prestativa!","Hotel muito bem localizado, próximo a terminal de ônibus, supermercado, restaurantes, farmácias, etc. Limpeza ótima, destaco aqui a camareira Flávia com seu carisma e os bichinhos lindos que ela faz com as toalhas. Os recepcionistas sempre simpáticos e prestativos. Café da manhã variado, delicioso, além de ser servido no horário de 6:30 a 9:30 que permite a alimentação antes dos passeios. Voltando a Foz, me hospedaria novamente aqui."
out. de 2022,5,Foz do Iguaçu é tudo de bom 👍,"Hotel top tudo muito bonito , café da manhã tudo fresquinho , atendimento excelente,foram 6 dias maravilhosos nossa camareira foi a jane não a conhecemos mas fomos tratados com muito carinho ,todos dias ela faz um bichinho novo com as toalhas, quarto e banheiro sempre limpos.  Obrigada jane pela atenção. Voltaremos nas próximas férias se Deus quiser 🙏"
out. de 2022,5,Muito bom,"Preço justo, e serviço de qualidade. Obs: nossa camareira Flávia é excepcional, todo dia ela faz uma decoração com as cobertas na cama e nosso filho que é um bebê adora. O café da manhã é bem servido e as moças sempre nos trata com carinho"
