Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,Ótima opção para conhecer Santa Felicidade,"Quarto amplo e bem limpo, com boa ducha. O estacionamento é gratuito e amplo. Atendimento da cozinha foi excelente, tanto na presteza dos colaboradores (bar/cozinha) e da fartura do prato. Localização excelente no Bairro Santa Felicidade, porém este não tem muitos atrativos a noite."
7 de dez.,1,IBIS SANTA FELICIDADE - CURITIBA,"Fiz minha reserva pelo booking, de 2 apartamentos (reservas iguais), para mim e um cliente, eis que, quando chego, me colocaram num quarto de PNE (portador de necessidade especial). Cama baixa e dura e o chuveiro, tinha 1,60m, ou seja, banho somente acocorado. Tentei com a atendente (que não tem poder nem de fazer uma alteração de quarto) e a mesma informou que TODOS os quartos dessa categoria são assim, o estranho é que o outro quarto reservado não era. Não foi CAPAZ de me trocar de quarto, alegando falta de apartamentos ou me dar um outro apartamento, nem que fosse de outro padrão, pra eu não ter que tomar banho sentado no chuveiro. Falta de respeito e consideração com o hospede que está acordado desde as 04:30 e já esteve em 02 voos no mesmo dia."
nov. de 2022,5,Superou minhas expectativas,"O melhor Ibis de Curitiba. Atendimento, limpeza, decoração e café da manhã maravilhosos. O bairro é encantador, o hotel está em uma localização privilegiada cheia de atrações em volta, além do ótimo custo benefício."
nov. de 2022,3,Feriado conturbado,"Feriado com muito movimento e pareceu-me que o hotel não estava preparado. Espera de 20 min para entrar no quarto, mesmo próximo das 16 h, pois tiveram que ir nos quartos ver se estavam prontos pois outros hospedes já tinham tido problemas. Café da manhã com muita demora para limpeza de mesas e reposição de itens com a necessidade de ficar pedindo os itens aos funcionários a todo momento. Manutenção do quarto poderia ser melhor, Box e pia vazando e toalhas bem desgastadas pelo uso, porta do banheiro toda mofada e com a parte de baixo podre devido a água que vaza do Box. Funcionários educados e fazendo o que podiam porém ou falta treinamento ou o número de pessoas é insuficiente. Estacionamento poderia ser melhor organizado pois somente parte é coberto e o pátio externo não…"
nov. de 2022,4,Excelente limpeza e conforto do apartamento.,"Fiquei com meu filho num apartamento super limpo e cama muito confortável. Café da manhã super gostoso e com muitas opções. Aproveitamos bem a piscina. Mas fiquei um pouco decepcionada com o atendimento na hora que chegamos (não vieram nos recepcionar, tive que procurar ajuda) e também na hora da saída. Pelo investimento eu esperava um atendimento bem melhor."
out. de 2022,4,Ibis Sta Felicidade ....Styles?,"Bem localizado. Mas restaurante deixa muito a desejar. Sou cliente frequente do hotel, me hospedo aqui a cada 60 dias e fico por 6 a 8 dias.  A cada vez tem pessoas diferentes atendendo o rest. Não sei se proprio ou terceirizado. Mas sem duvida nada tem de Styles"
ago. de 2022,5,Conforto e excelente localização,"Estive hospedada por um fim de semana no hotel e fiquei encantada desde a recepção até a saida. São todos muito cordiais, aptos espaçosos e limpos, o café da manhã muito bom com grande variedade. A localização é um show a parte, a área externa é linda com uma loja de chocolate FLORYBAL na frente do hotel toda decorada de Natal, ainda de contamos com um lindo emporio da Vinicola Durigan, ótimo para fazer comprinhas bem em frente, fora a proximidade com otimos restaurantes inclusive o famoso Madalosso."
ago. de 2022,5,Amei esse hotel!,"Hotel muito bom próximo de tudo: farmácia, padarias, restaurantes e etc..., atendimento impecável, quartos espaçosos e um destaque especial para as toalhas que achei novas e também pela decoração dos quartos e corredores com pratos e panelas o que achei muita criatividade e perfeição Parabéns! Wi-Fi perfeito, recepcionistas educadas e rápidas no atendimento. Restaurante funcionando 24 horas e tem uma sopinha maravilhosa. Amei tudo! Voltarei outras vezes. Recomendo!"
jul. de 2022,4,Excelente localização,"Procuramos o hotel em razão das opções gastronômicas, uma vez que passaríamos por Curitiba em uma viagem de carro de POA a SP. Pelo cansaço, não conseguimos ir até os restaurantes, mas jantamos no próprio hotel - com um bom menu para hotéis. Os quartos são padrão Ibis, mas já parecem sentir o tempo - embora não tenhamos tido nenhum problema na hospedagem. O checkin poderia contar com mais pessoas, para ter mais agilidade."
jun. de 2022,5,RECOMENDO,"Não gostei de não ter toalha de rosto nos banheiros.  Os preços do restaurante é muito caro  A localização é excelente, por isso escolhemos esse hotel  A qualidade do sono ficou ruim na ultima noite, hospede de cima arrastou móveis a madrugada toda"
jun. de 2022,4,Tranquilidade em Santa Felicidade,"Com toda a vocação turística gastronômica do bairro, o hotel é tranquilo e agradável. Fica na principal via do bairro, a Manoel Ribas, em frente à tradicional vinícola Durigan e a 5 minutos de caminhada dos restaurantes Madalosso. Já ficamos nele quando era da bandeira Tulip in. Os quartos tem ótimo tamanho e a limpeza estava muito boa. Como é costume da rede Accor, check in e check out sem complicação. Os colaboradores foram simpáticos e prestativos. O café da manhã não tem grande quantidade de itens, mas todos estavam com ótima qualidade. Enfim, é um hotel que devemos voltar em outra oportunidade."
mai. de 2022,3,Ainda com problemas...,"Hotel localizado no bairro de Santa Felicidade, um ótimo local para gastronomia. Instalações razoáveis com manutenção precária. Pegamos dias de muito frio em Curitiba e o ar condicionado do quarto simplesmente não funcionava. Passamos frio no primeiro dia, passamos frio no segundo dia e só quando ameacei de sair do hotel, apareceu a gerente e me trocou de quarto. Atendimento da recepção é péssimo! Estacionamento interno é minúsculo e os carros tem de ser deixados ao tempo. Infelizmente este hotel não está conseguindo manter o padrão IBIS."
abr. de 2022,2,Limpeza 0,"Você acaba de chegar de uma feira, pensa em tomar uma ducha e descansar. Quando olha para o lado e encontra esse lindo presente. Muito obrigado pelo cuidado.    Eu ainda fico pasmo que isso ainda ocorra, ai você fica com aquele pensamento. Será que foi trocado ou não? Por via das dúvidas é melhor dormi com a toalha por baixo..."
fev. de 2022,5,Boa acomodação e pet friendly.,"Excelente localização no bairro de Santa Felicidade, próximo aos restaurantes. Excelente atendimento da recepção. Amplo estacionamento com vagas cobertas e descobertas. Pet friendly. Restaurante/bar no local. Café da manhã diverso."
jan. de 2022,4,HOTEL COM BOA LOCALIZAÇÃO,"Hotel com boa localização, no tradicional Bairro Santa Felicidade, quarto grande e um bom café da manhã, estacionamento com uma parte coberta e outra sem cobertura, não tem funcionário para carregar as malas, mas o pessoal da recepção são muito cordiais e atenciosos. Um dos pontos de não gostei foi a presença de cachorros dos hospedes no saguão do hotel, onde latiam muito com a presença de outros animais. O barzinho do hotel fechava as 21,00 horas, muito cedo para uma cidade com muito turistas. Do restante foi tudo bom, recomendo a todos."
jan. de 2022,5,Incrível!,"Hospitalidade, conforto e limpeza nota 1000! A suíte é incrivel, excelente para familia, com privacidade e conforto. Café da manhã delicia e localização é estratégica. Uma experiência muito agradável pra uma cidade linda como Curitiba!"
jan. de 2022,4,confortável,"quarto excelente para família, amplo, estacionamento bom. Fica no bairro gastronômico da cidade, próximo de diversos restaurantes. Ponto do ônibus de turismo há cerca de 100 metros, excelente localização."
jan. de 2022,5,Visita janeiro 2021,"Ótimo para viagens curtas. Quarto grande e confortável. Café da manhã simples, mas com tudo que é suficiente. Fomos em janeiro, o hotel estava com bastante clientes e mesmo assim fomos bem recebidos. Localização ótima. Recomendaria para outras pessoas."
jan. de 2022,4,Boa hospedagem e ótima localização,"O hotel fica bem localizado num dos bairros mais legais da cidade, com muitos restaurantes próximos e rápido acesso aos pontos turísticos. Os funcionários são bem atenciosos e a limpeza é muito boa. A piscina é aquecida e precisa de reserva para usar. Um ponto negativo é que os cartões magnéticos do quarto sempre davam problema e precisamos descer várias vezes na recepção para acertarem.  O quarto é grande e bem decorado, o chuveiro é excelente, as camas macias, o ar condicionado um pouco barulhento e o wi-fi é razoável.  O que sugiro melhoria é no café da manhã, que tem pouca variedade e demora na reposição. Os salgados muitos vezes estavam queimados e duros demais.  Um ponto positivo é que aceitam pets e tem mesas no restaurante reservadas pra você levar seu cão."
set. de 2021,5,Elogio ao funcionário Gustavo Barros,"Muito aconchegante a acomodação. Aproveito para elogiar o atendente Gustavo Barros, muito atencioso e prestativo. Resolveu um problema inesperado que tive e tenho gratidão pela disposição do mesmo. Muito Obrigada"
set. de 2021,5,Praticidade e conforto,"Ficamos 4 dias no hotel a passeio. O pessoal do hotel muito atencioso nos atendimentos, protocolos contra a covid estão sendo feitos, quartos bonitos como abjures legais, cama boa, banheiro ótimo com chuveiro muito bom, falta apenas uma ducha higiênica.  Foram muito atenciosos arrumando para meu bebe um bercinho e uma banheirinha mesmo fora de horário.  Café da manhã muito bom, produtos frescos e croissant de chocolate delicioso, meu marido sentiu falta de uma sanduicheira pra aquecer o pão e no jantar pedimos 2 dias para as crianças e a comida veio quentinha e eles gostaram.  A Localização é boa, perto de ótimos restaurantes e achei bem tranquilo."
ago. de 2021,4,"Hotel bem localizado, de fácil acesso com boas dependências","O Ibis Styles está bem localizado p/ quem quer ficar próximo a bons restaurantes. Perfeito pra quem está viajando principalmente a lazer, porém se for a negócios, dependendo de onde for ficar talvez seja um pouco longe.    Tem bom estacionamento, com algumas vagas cobertas disponíveis também.    Em minha opinião, não vale a pena incluir o café da manhã na diária, pois tem bem pouca variedade (E próximo do hotel tem uma padaria/confeitaria ótima chamada Girassol, que compensa ir tomar café todos os dias, mesmo que fique um pouco mais caro).    O Restaurante do hotel (Capone), apesar do atendimento atencioso, foi minha grande decepção. A qualidade não combina com o preço. Fiz duas refeições lá e a primeira estava abaixo de Ok. A segunda pedi uma Carbonara que infelizmente veio outro prato com molho branco totalmente diferente. Enfim, há muitos restaurantes bons próximos. Espero que o problema tenha sido apenas nesse dia comigo."
ago. de 2021,5,Excelente opção em Curitiba,"Excelente opção em Curitiba  Me hospedei em agosto e adorei o hotel, a decoração, o restaurante, a estrutura de eventos e o principal: a cortesia e profissionalismo da equipe. Recomendo para negócios, eventos e lazer. Muito bem localizado!"
ago. de 2021,5,Excelente Hospedagem,"A nossa hospedagem foi, mais uma vez, uma grata experiência. O hotel aceitou nosso Pet, Ellyot, que é um golden de 33 quilos como hóspede. Todos os funcionários estão preparados para recepcionar pet. Com certeza voltaremos ao Ibis Styes Curitiba Santa Felicidade. Parabéns pela iniciativa de aceitar Pet de grande porte. Obrigada!"
ago. de 2021,3,Ótima localização!,"A localização desse hotel é muito boa, fica próximo a vários restaurantes sendo possível ir a pé a vários deles. O café da manhã é razoável, não tem muita variedade. O que precisa melhorar é a limpeza da piscina, a água estava turva no dia que a utilizamos."
ago. de 2021,4,Ótima opção com preço justo,"Os quartos são amplos, wifi funciona muito bem, o café da manhã deixa a desejar com pouca variedade e lenta reposição. Entretanto vale a pena hospedar-se, afinal fica em um bairro muito agradável e silencioso. O quarto para familias tem duas camas de casal, bastante diferente de outros ibis pelo Brasil."
ago. de 2021,5,TUDO ÓTIMO,"Localização perfeita, perto dos restaurantes. Quarto ótimo e muito aconchegante. Atendimento excelente. Com a pandemia a piscina funciona com hora marcada e o café da manhã é servido pelos funcionários, tiraram o self service mas você pode pedir quantas vezes quiser eles te levam. Ótimo custo benefício"
jul. de 2021,4,muito bom,"Otimo Hotel , bem localizado .  Falta uma tomada elétrica para carregamento de veiculo elétrico .  Esperava mais opçoes no Restaurante , o cardapio estava bem enxuto nos dias que ficamos no Hotel  No final da Estadia faltou agua no Hotel ."
jul. de 2021,4,Satisfatório,"Para quem quer ficar localizado perto dos melhores restaurantes de Santa Felicidade, este é o hotel ideal. Dá para fazer bastante coisa a pé. O café da manhã por R$ 29 não vale a pena. Pouca variedade de comes e bebes. Ficamos hospedados por 3 noites, não houve arrumação no quarto nenhum dia, ou troca de toalhas."
