Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,"Eficiência, Competência e Cordialidade!","Tenho o enorme prazer em indicar o HOTEL MABU CURITIBA BUSINESS, onde tenho ficado sempre que vou à Curitiba! Geralmente vou a trabalho e fico hospedado a semana toda. Além dos quartos serem confortáveis, o Café da Manhã e Restaurante excelentes, contamos ainda com a simpatia no atendimento dos funcionários, desde a recepção até a governança. Sou Maestro Titular e Diretor Musical da Orquestra Sinfônica do Paraná da Fundação Teatro Guaíra e, como eu, nossos artistas também se hospedam no MABU CURITIBA BUSINESS!"
nov. de 2022,5,Café da manhã e funcionários do restaurante nota 10! Obrigada Ângelo.,"Estou dando Nota 5 pelo profissional Ângelo, do restaurante (café da manhã) room service, um exemplo de gentileza e excelência de serviço. Obrigada Ângelo. Quantos aos quartos, carece uma maior manutenção, e os cobertores podiam ser mais novos. :)"
nov. de 2022,5,Ótimo,"Muito bom, vou para Curitiba a cada três meses e sempre mudo de hotel . Fiquei no Mabu e fiquei bem satisfeita. Quartos limpos , tamanho bom, chuveiro bom, colaboradores solícitos, arrumação diária ok, estacionamento no hotel , café da manhã bem variado … A piscina é interna, coberta, mas, não é aquecida. Para quem gosta, tem um piano, meu filho pediu para tocar é um hóspede se juntou à ele para cantar Frank Sinatra … se não me engano a gerente gravou e foi para o insta …rsrsrsrs Retornarei sem dúvidas ."
nov. de 2022,3,Não valeu a pena. Me arrependi da escolha.,"Meu quarto e banheiro tinham detalhes de mofo nas paredes. Não podíamos deixar as janelas fechadas que o quarto cheirava mofo. A piscina era gelada, perdemos de utilizá-la. O restaurante e café da manhã são ótimos. O estacionamento cobra diária de aprox. R$ 20,00 e não tem acesso direto de elevador para o hotel."
nov. de 2022,3,Caiu muito,"Me hospedo nesse hotel há muito tempo e esse ano caiu muito a qualidade no geral. Na torre Royal os quartos estão mais novos e atendem bem, porém a parte de serviços está absolutamente degradada, inclusive no quesito limpeza. O quarto não estava sujo, mas estava bem longe do que considero um alto padrão de limpeza. Serviço de camareira falho e restaurante EXTREMAMENTE lento. Apesar disso, ainda é a melhor opção perto do Teatro Guaira, não porque é ótimo, mas porque a concorrência está pior."
out. de 2022,4,BOM CUSTO X BENEFÍCIO,"Hotel bem localizado, perto de vários pontos turísticos como Teatro Guaira, Praça Tiradentes, Catedral e outras mais.  As instalações são boas e o quarto/banheiro são de bom tamanho. Os funcionários são atenciosos .  O café da manhã é servido no restaurante e tem frutas, bolos, salada de frutas, frios ...  O atendimento no restaurante, no período noturno, deixa a desejar pois no tempo em que nos hospedamos tivemos que procurar um atendente para pegar nossos pedidos e isso aconteceu todas as noites, porque chegávamos cansados e não queríamos sair para jantar fora.  A linha de ônibus turística passa ao lado do Teatro Guaira e vc pode comprar o ingresso 24 horas no próprio ônibus. O custo x benefício é positivo e voltaremos a nos hospedar no Mabu Curitiba Business quando voltarmos a Curitiba."
out. de 2022,1,Era uma vez uma reserva...,"Dia 17/09 fiz pelo site do hotel uma reserva para o dia 24/09 . Nesse mesmo dia fizemos um passeio com o ônibus turístico pela cidade e lá pelas 17:30 horas resolvemos parar o passeio e ir para o hotel pois tínhamos um show a noite e queríamos descansar um pouco antes de ir. Para nossa surpresa quando chegamos para o check-in fomos avisados que o hotel estava lotado e que eles haviam reservado um outro hotel para nós. Oi??? E ainda perguntaram se tínhamos feito a reserva por site de reservas de hotéis querendo dizer que era lá o problema. Sinceramente fico nesse hotel pela localização em relação ao Guaíra, porque você chega e tem que subir uma escada carregando a mala, o check-in é sempre confuso, muita gente do lado de cá e pouca do lado de lá; café da manhã é bom, os quartos razoáveis. Como se pode confiar em um hotel que não respeita o hóspede ? Lamentável esse descaso."
out. de 2022,3,Ambiente gostoso mas equipe confusa,"Quarto muito confortável, higiene ótima, localização boa, porém funcionários confusos, nos trocaram de quarto 3 vezes na chegada por erros na reserva, ar condicionado que não estava funcionando e com clientes já hospedados. E no penúltimo dia de hospedagem o pessoal responsável pelo estacionamento perdeu nossa chave de carro, encontrando 1 hora depois."
set. de 2022,5,Excelente hospedagem,"O atendimento foi perfeito, principalmente por parte do Caio, o recepcionista mais educado, prestativo, simpático, eficiente que já conheci. Toda estrutura do hotel é excelente e o café da manhã é delicioso, bastante variado. Foi uma experiência excelente."
set. de 2022,2,"Quarto ruim, internet oscilante e TAXA DE SERVIÇO COBRADA ANTECIPADAMENTE.","O hotel é muito bem localizado, possui café bom 7/10. Mas, nos chateou em alguns pontos: Wi-fi extremamente lento, o chuveiro nunca foi limpo, TV não tem sinal na maior parte do tempo e quando tem é muito ruim e não houve troca dos copos sujos de um dia para o outro.    Além do mais, para nossa surpresa o valor de serviço é cobrado antecipadamente, ou seja, caso tenha uma experiência negativa, o valor já estará pago. Não faz sentido."
