Data da opinião,Nota,Título,Conteúdo
9 de dez.,5,Bom atendimento do garçom evertom,"O Evertom ótimo atendendo no bar da piscina, com certeza retornarei. Piscina maravilhosa, cerveja impecável, ótimas opções de petisco. O café da manhã 0 defeito, muito variedade, o coquetel perfeito. O único defeito foi o Brasil perder a copa"
nov. de 2022,5,ÓTIMA OPÇÃO DE HOSPEDAGEM EM FOZ DO IGUAÇU,"Hotel super bem localizado, a 500m de um Shopping(Com todos os serviços), próximo ao Centro de Foz do Iguaçu (cerca de 5min), próximo ao Duty Free da Argentina e de atrações. Hotel com toda infraestrutura que você possa imaginar! Ótimos aptos, piscina, SPA, café da manhã completíssimo e Restaurante/Room Service com diversas opções, academia, ampla área com eventos , estacionamento e o principal de tudo é a equipe espetacular!!! Não sabem o que fazer para agradar os hóspedes..."
nov. de 2022,5,Otima opção,Hotel muito bem cuidado. Piscina boa e cama boa. Os Colaboradores são educados e prestativos. O café da manhã é maravilhoso inclusive com uma ilha de tapioca. Unico defeito foi nao ter tomadas ao lado da cama. Estacionamento gratuito. Com certeza voltaremos
nov. de 2022,3,"Hotel bom/razoável, porém pelo valor da diária deixou muito a desejar","Pontos positivos: Quarto bom, área do restaurante excelente, piscina muito boa, localização ótima! Pontos negativos: atendimento ruim, academia péssima, com muito sujeira, sem serviço de lavanderia.."
out. de 2022,4,Quartos amplos e bom café da manhã,Quarto bastante amplo e confortável. O ar condicionado demorou um pouco pra funcionar. Sem opções de restaurantes ou mercados nas proximidades mas a uma curta distância para o centro da cidade de uber ou taxi. Os pedidos para o frigobar precisaram ser feitos no andar da recepção mas eram entregues no apartamento. Café da manhã com boas opções.
set. de 2022,2,Péssimo atendimento,"A estrutura e a limpeza do quarto é confortavel e os atendentes do bar são simpáticos, MAS todo o restante é péssimo, a começar pela ""boa vontade"" dos atendentes da recepção. Eles não simpáticos e fazem o mínimo que a obrigação manda. Eu reclamei do espaço kid e nada foi feito. Apenas olhe as fotos que postei e avaliem se há como deixar uma criança pequena no local. Pelo mesmo valor com certeza há opções melhores."
set. de 2022,5,Segunda hospedagem,"Nos hospedamos um final de semana, juntamente com a família. Todos amaram, desde a cordialidade da equipe da recepção, até as refeições (tapioca do café da manhã um espetaculo) e jantares (pegamos o pacote que incluía jantar) com diversas opções saborosas. O único porém foi um dos hóspedes que acabou ficando no quarto muito próximo da piscina, e o barulho acabou incomodando um pouco, mas fora isso, foi uma experiência incrível. Ainda pudemos estender o horário do check out. Já fiquei em vários hotéis em foz do Iguaçu, mas esse pelo custo beneficio e qualidade continuarei recomendando e voltando"
set. de 2022,1,Restaurante com preços absurdos e comida ruim,"O hotel é limpo, elegante, confortável e os funcionários são ultra educados e prestativos. Mas o restaurante do hotel é inacreditavelmente ruim. Peguei pacote de meia pensão e me arrependi totalmente. Preço de almoço: R$ 85,00; preço jantar: R$ 80,00. Menu: o mesmo de qualquer restaurante popular de prato feito a R$ 20. Sem exagero, é decepcionante que o hotel não invista na qualidade do restaurante. Até os sorvetes vendidos no bar do hotel são de uma marca péssima e desconhecida (imitando o Magnum). Não há restaurantes ou padarias, lanchonetes perto do hotel. Eu não me hospedaria novamente."
ago. de 2022,4,Um hotel com bom custo x benefício!,"Um hotel bem localizado, para quem quer fazer os passeios, tem uma boa infra-estrutura, com café da manhã e comidas diversas. Não é um hotel novo, mas é bem cuidado, principalmente na limpeza. Ele fica em frente a uma rodovia, para quem tem sono leve, podem ouvir os veículos passarem."
ago. de 2022,4,turismo e lazer,"Estive hospedado neste hotel juntamente com a minha esposa, filho nora e netos no período de 25.07. a 27.07.2022. Café da manhã excelente o muitas variedades. Quartos limpos, camas espaçosas , ótimos banheiros. Fica localizado próximo do Parque das Aves. Funcionários são atenciosos, com exceção dos da portaria que poderiam ser um pouco mais cordiais."
jul. de 2022,1,Lua de mel frustada.,"Bom dia , infelizmente foi a última vez que me hospedei nesse hotel, no qual fui por indicação porém quem me indicou não volta tbm, triste pq sei q sou apenas mais um cliente , e não vou fazer diferença se foi bem ou não a hospedagem, porém foi minha viagem de lua de mel com minha esposa, e era um sonho nosso que infelizmente foi frustrado, para vcs somos apenas mais um cliente , porém para nós era o nosso sonho , criamos tanta expectativa, reservamos com meses de antecedência fomos nos programando certinho e qnd chegamos lá nos colocam em um quarto no térreo ao lado da piscina aonde fica o povo cnvs e brincando maior barulho não dando pra descansar, aonde a noite ficam no bar e cnvs e meu quarto próximo não conseguindo dormir direito, no qual eu saí domingo 06;30 da manhã retornei as 13:00 e nem se quer tinham limpado o quarto tivemos q ir pedir para arrumarem, dps a noite deu uma esfriada minha esposa pediu um edredom na recepção no qual ficamos esperando e não veio, no outro dia fomos pedir e mandaram, ao ir tomar café tinham acabado o leite da geladeira, no outro dia qnd fui tomar café novamente a mesma caixa vazia estava na geladeira, ou seja não tiveram nem ao menos trabalho de verificar a geladeira para conferência, . Simplesmente frustrado com um hotel q imaginava ser coisa de outro mundo, porém só é para quem tem condições, se vc aparentar não ter $ te jogam no terro."
jul. de 2022,1,Hotel tenebroso. Procure outros pela região. Aqui não dá.,"PÉÉÉSSIMO hotel. Socorro! Procurem outros pela região. Não entendo como podem classificar com estrelas (plural) este hotel.  Para quem tem um mínimo de requisito de exigência, pesquise.  São 4h10 da manhã e acordei devido a vários barulhos no Hotel (o Staff não controla nada por aqui). Cama dura, chuveiro que esquenta demais (Escaldante. Não possui controle de quente e frio), café da manhã horrível, quartos bizarros (troquei 3 vezes! Não peguem 35 nem 350). Graças a Deus que a descarga do banheiro, pelo menos, funcionou (ufa!).  Este hotel não era assim: tenebroso.  Durante a madrugada faz tanto barulho que parece um filme de horror.  Eu tinha outros dias reservados. Nunca passei por situações como essas. Cancelei tudo e troquei por outro próximo.  Uma pena porque anos atrás o Viale Cataratas era bom. Passado."
jul. de 2022,4,Hotel muito bom,"Hotel bom, atendimento nota 10 , otimo cafe . Minha esposa precisou de produtos sem lactose e sem gluten e foi prontamente atendida. A recepçao foi primorosa e as meninas do dia ( creio que Perla e Jessica) sao muito atenciosas."
jul. de 2022,5,CUIDADO com cobrança indevida!!,"Fiquei hospedada com minha família em 07/22.    Tive experiência negativa no check out, no qual foram lançados, em nosso apto,. Consumos de bar indevidos.    O bar do hotel não possui controle, então você pode indicar qualquer apto para débito, não pedem assinatura e não aceitam pagamento na hora. Somente no check-out você descobre essa bagunça.    De resto, área da piscina bem bacana, com recreação e jogos para os pequenos. Como era inverno não pudemos aproveitar a piscina em si, uma pena! Água super gelada, não possuem piscina aquecida."
jun. de 2022,4,Padrão de Qualidade e atendimento,"Hotel muito bom, com uma estrutura de mini resort, que oferece um excelente custo benefício em sua estadia. Atendimento profissional e especializado. Restaurante de muita qualidade. Vale a pena conhecer."
jun. de 2022,5,Excelente hotel e atendimento,"Segunda vez que venho este ano e o atendimento continua excelente, fiquei em Abril de 2022 e retornei em Junho de 2022, só tenho elogios para este hotel, seus funcionários, limpeza, quartos e proximidade para conhecer os pontos turísticos da região"
mai. de 2022,5,recepção INCRÍVEL,"Fiquei hospedada à trabalho no hotel, e foi tudo incrível! Recepção, alimentação, quartos, tudo perfeito.  Agradecer por tudo e principalmente por todo cuidado que os garçons tiverem com a equipe, em principal Milo, Andressa e Hudson! Com toda certeza voltarei mais vezes à lazer para curtir esse lugar maravilhoso.  Muito agradecida!"
mai. de 2022,5,Atendimento excepcional,"Funcionários completamente prestativo, principalmente os garçons Milo, Andressa e Hudson … com certeza voltarei e me hospedarei novamente nesse hotel, comida maravilhosa, caipirinha então …. Parabéns equipe!"
