Data da opinião,Nota,Título,Conteúdo
set. de 2022,2,Falta de Limpeza no Quarto,"O Íbis é conveniente por sabermos o que vamos achar, porém, vários probleminhas que não devem acontecer. O fluxo de água da torneira da pia fecha muito rápido e não limparam o quarto, apesar de eu ter colocado a placa para limpeza as 8 da manhã. Qdo chego no final do dia pergunto o que ocorreu e as três pessoas que estavam na recepção ficam com cara de paisagem dizendo que nada poderiam fazer mas que iriam informar a coordenação. Mentira! Nem se preocuparam e disseram isso para eu sair dali. Falta de preparo e profissionalismo."
set. de 2022,5,Muito bom mas estacionamento pago,"Quarto muito bom, limpo, hospedagem tranquila. Cheguei de madrugada e a recepção é 24h. O único problema é que o estacionamento NÃO é gratuito! R$25 reais a diária, então se você estiver de carro deve avaliar esse custo extra."
set. de 2022,3,Muitos pequenos problemas,"Fiquei hospedado por 8 dias e alguns pequenos problemas somados viram uma grande decepção. - Falta de energia; - O nosso carro pernoitou do lado de fora do estacionamento que é pago e não nos foi informado; - Falta de água no andar, precisando se deslocar para outro andar para que pudesse fazer a higiene pessoal; - Ocorreu uma briga no andar e pedimos anonimato ao chamar a polícia e o recepcionista nos acorda na madrugada, falando nosso nome, após os ânimos estarem controlados (isso é o ápice);"
ago. de 2022,3,Hospedagem,"Hotel bem localizado, porém havia feito a reserva em abril 22, solicitando um quarto em andar alto e no check-in em agosto disseram que não tinha disponível. Mesmo eu fazendo parte do All Accor. Neste Ibis também não havia opção de cofre no quarto."
ago. de 2022,3,"Hotel ok, poderia ser melhor","Prós: preço, localização, padrão ibis, café da manhã bom. Contras: recepção confusa, tinha feito pré-check in mas tive que passar todas as informações novamente, inclusive cartão de crédito que já tinha autorizado para self check out. Quarto não foi limpo na segunda diária."
jul. de 2022,3,Vagas de estacionamento limitadas,"Chegamos às 17:00 pra fazer o chekin e não havia mais vaga de estacionamento para caminhonete.. fica complicado pois Maringá não é uma cidade pequena e a última vez q deixamos estacionado na rua jogaram uma pedra e quebraram o vidro do carro.. como um hotel desse porte, 4 estrelas, não possui vagas suficientes para seus hóspedes?  Outro detalhe, demoramos quase 30 minutos para fazer chekin, sendo que havia somente 2 pessoas na nossa frente."
jul. de 2022,2,MARINGA PRECISA DE MAIS OPÇÃO ALL ACCOR!,"Este hotel está muito abaixo do padrão Íbis. Precisa de reforma, toalhas bem gastas, não tinha amenities (tivemos que buscar na recepção), sem contar que o colchão é fino, desconfortável e acordamos com muita dor nas costas. Não recomendo!"
jun. de 2022,5,Equipe 10,"Tive um problema com meu vôo de chegada e a equipe foi muito solícita para ajustar da melhor forma, em especial o funcionário Eduardo. Toda a equipe muito simpática e atenciosa. Desde minha última hospedagem em 2020 percebi que os quartos foram reformados e a apresentação está bem melhor. A localização do hotel é excelente."
abr. de 2022,4,Poderia ser melhor,As dependências do Ibis seguem um padrão e este hotel não foge a regra. Gosto muito da localização e do atendimento. O único ponto à melhorar na minha opinião é o café da manhã (é a única refeição que faço no hotel) pois acredito ser o pior omelete de todos os hotéis Ibis que conheço.
mar. de 2022,5,Proposta cumprida!,"Fomos recepcionados pelo manobrista muito atencioso e educado, aí então se dirigimos até a recepção do hotel para nos identificar e retirar a chave do quarto! Tiramos todas as informações e sempre as atendentes foram cordiais e souberam sanar todas nossas dúvidas. Após isso fomos até o quarto onde tudo estava muito bom, desde a cama ao ar condicionado. Na manhã seguinte, fomos tomar o café da manhã onde havia de tudo, muito bom! Como só iríamos passar somente 1 dia no hotel, não pudemos aproveitar mais, mas o pouco tempo que ficamos no local, sempre fomos muito bem atendidos! Pretendo voltar no fim do ano, pois não temos nada o que reclamar do Hotel!"
mar. de 2022,5,Perfeito,"Quarto confortável, limpo, aconchegante.  Com mini cozinha disponível, contendo micro-ondas, chaleira elétrica, muito util.  Chegamos por volta das 23hs e o atendimento foi bom. Atendente muito simpática."
jan. de 2022,4,Razoável,"A localização é excelente, próximo aos principais pontos de interesse do centro da cidade e em uma região cheia de restaurantes, bares e mercados. O hotel em si é razoável. Check-in demorado, mesmo tendo feito antecipadamente pelo aplicativo, quarto razoável e banheiro bom, mas com toalhas muito velhas que parecem lixas de tão gastas.  Me surpreendeu positivamente o café da manhã que era bem completo e muito saboroso, bem acima do padrão dos demais hotéis da rede."
dez. de 2021,5,Proposta cumprida.,"Cama e banho ótimos que é o essencial desejado por mim.  Ressalvas:  1.Não consegui fazer o check-in on-line para chegar e pegar a chave sem burocracia.  O meu check-in presencial demorou muito. O suficiente para criar uma fila de 5 pessoas. Só havia um atendente.  2, As duas toalhas do quarto eram muito diferentes: uma muito velha e outra bem nova."
nov. de 2021,3,Muitas Oportunidades de Melhora,"A equipe da recepçao nova e em treinamento, demora para os procedimentos de check-in, e poderiam apresentar mais simpatia. No cafe da manhã demora na reposicao dos alimentos e pouca equipe de atendimento"
nov. de 2021,5,Estadia a negocios,"Topppp a minha estadia muito bom recomendo a todos que precisem ir a Maringá pois sei que vale muito a pena . Qualidade, transparência e muito bom gosto parabéns e sempre nos hospedaremos lá no íbis Maringá"
nov. de 2021,4,Praticidade,"Ja fiquei em varios Ibis e gosto muito pela praticidade, limpeza e organização.  Esse não foi diferente.  Unica coisa q fiquei incomodada é ter q descer ate a recepção p buscar a minha janta q pedi por telefone atravésdo cardapio do hotel..  Ja estava de banho tomado, de pijama e tive q me trocar e descer p buscar uma sopa.  Acho q poderiam fazer essa cortesia de levar ao quarto p o hospede poder descansar. Afinal se vc pediu no quarto, nao ta a fim de sair....    Café da manhã c bastante variedade."
out. de 2021,1,Mal atendimento,"No anúncio havia que tinha estacionamento, quando chegamos no hotel, um valor de 23reais por noite, mesmo assim resolvi deixar meu carro no estacionamento as 20h.  As 22:05 me ligaram da portaria falando que não deveria tirar meu carro do estacionamento e que era para colocar na rua.  Atendimento muito ruim durante o checkin.  Outro ponto de insatisfação, foi o café da manhã que no anúncio aparecia incluso, porém com um acréscimo de 27reais por café- cuidado pegadinha"
out. de 2021,3,Precisa melhorar,"O hotel é bom, agradável, ambiente bem limpo, vários pontos de higienização disponíveis, com todos os cuidados necessários, a parte de recepcionista com bom atendimento. Quarto limpo, bem organizado, ar condicionado por tubulação (não split), cama boa, banheiro limpo, toalhas limpas. Café da manhã com boas opções de alimentos, várias frutas, cereais, pães, frios e sucos, dentre outros itens diversos. As situações estão descritas na sequência, mas em resumo: o atendimento é ""ruim"" apenas pelas ocorrências no café da manhã e ausência da colaboradora nos momentos em que precisou; a qualidade do sono é ""ruim"" por causa de muita claridade à noite e do ruído sempre que ativar o sistema do ar. Itens que merecem atenção e precisam melhorar: - o quarto não escurece, a cortina deixa passar muita claridade e a porta do quarto na ""soleira"" permite a entrada de muita luz do corredor, deixando o quarto com bastante claridade; - o ar condicionado é bom, mas todas as vezes que o automático aciona faz um ruído longo seguido de um estalo alto, o que é muito incômodo; - a colaboradora que fica no café da manhã não está sempre presente, fica mais na parte interna da cozinha do que na área do café, portanto sempre que precisar dela precisa aguardar ela aparecer, além de não atender às solicitações minhas e de outros hóspedes em mais de uma oportunidade; - no café da manhã só existe café (muito ruim) de máquina, com uma térmica com leite ao lado, mas o leite acaba e a colaboradora não repõe o leite, ou seja, a pessoa se obriga a tomar café da máquina; - o cartão de liberação da porta do quarto sempre fica bloqueando, pude vivenciar vários momentos de cartão que não liberava a fechadura porque estava bloqueado, obrigando a descer na recepção e pedir para liberar novamente o cartão; - no banheiro do quarto, o chuveiro não é na parede, fica bem no meio do teto do ""box"", sem ducha acoplada, a água fica falhando a todo momento com ar intercalado com a água, a ducha não é constante, com todos os jatos tortos espalhando água para várias direções, por isso a pessoa sempre vai molhar a cabeça; - o estacionamento é muito caro para os hóspedes, deveria ser um valor mais em conta para quem for ficar no hotel, ou trocar de empresa terceirizada para uma que ofereça um valor mais baixo, pois provavelmente o hóspede com carro vai deixar no estacionamento do hotel, isso é uma questão de prestigiar e valorizar o hóspede, desaprovo totalmente a atual opção de estacionamento no valor que está."
out. de 2021,5,Um dos melhores Ibis que conheci,"Conheço Hoteis Ibis pela Europa, América Central, América do Sul e Ásia.  Este Ibis Maringá foi de longe o melhor que já estive. Pessoal altamente qualificado e serviços impecáveis  Parabéns a toda a equipe"
ago. de 2021,2,Higiene Passa Longe,"Chegada, logo após entrar no quarto, minha filha achou um palito de dente usado na cama, em meio ao lençol. Aspecto geral do banheiro era de encardido. Café da manhã, nos dois dias os pratos estavam sujo, sabe quando dão aquela batidinha, ou talvez limpem a parte de cima, sem limpar a debaixo e ai empilham e a debaixo suja, volta a sujar o outro, e não era 1 prato, eram vários, copos também tive que ficar cassando um limpo. Bebida, fui a recepção pegar um refrigerante e não tinha nenhum, nem suco de latinha nd, ou vc bebia cerveja, h2o ou energético, tive que pedir pelo ifood, e no dia seguinte permanecia sem refrigerante. Já fiquei muitas vezes em IBIs, são simples, mas costumavam ser limpos e organizados. Outro fator que não me agradou, foi que um dos dias eu fui na recepção e pedi cartão para colocar na porta não perturbe, pois eu sai e mesmo com o cartão na porta entraram no quarto para arrumar, detalhe, não tiveram a capacidade de trocar toalhas. Além do aspecto higiene, está faltando treinamento e um gerenciamento melhor. Vai ser difícil voltar para o IBIS."
mar. de 2021,3,"FICOU A DESEJAR, DIFERENTE DE OUTROS IBIS","banheiro molhado perto do vaso sanitário ao entrar, toalhas muito usada, devido pandemia café no quarto contudo bandeja sem repetição e quantidade pequena pelo valor, televisão sem sintonia e ao pedir reparo pouca atenção, no check in ofereceram no jantar um prato e quando efetuamos o pedido não tinham, despreparo, casal no quarto para o cafe e tem que suplicar para ter outra cadeira, tive que buscar na reccepção, bem diferente dos outros Ibis."
fev. de 2021,3,Porta agarrando e cobrança indevida.,"A porta do meu quarto 869 agarrava ao abrir exigindo que eu empurrasse com o pé. Outro detalhe é que cobraram de mim R$ 232,01 que correspondia ao desconto do Clube Accor. Creio que tenha sido algum problema com o sistema que não habilitou o desconto além de registrar duas reservas no meu nome."
fev. de 2021,5,Muito Bom,"O Hotel Ibis fica em uma ótima localização, perto do shopping, fácil acesso do aeroporto, farmácia, mercado entregavam via Ifood, o quarto é aconchegante e confortável, o café da manhã é super completo e excelente."
fev. de 2021,5,Atendimento excepcional,"Fiquei hospedado de quinta a sabado desde agosto de 2020 até fevereiro de 2021. A equipe do Ibis Maringá (XV de Novembro) sempre foi maravilhosa. Só tenho elogios a todos os atendentes. Além de excelentes profissionais, são pessoas de bom coração, que fizeram de tudo para que a minha hospedagem durante todos esses meses se igualasse ao conforto da minha casa. Muito obrigado, pessoal!! Um abraço a cada um de vocês. Márcio."
jan. de 2021,5,Ótima experiência,"Atendimento rápido e eficiente, desde o check-in até o café da manhã. Medidas de proteção durante a pandemia adotadas pelo hotel e quarto muito limpo. Ótima hospedagem e café da manhã. Equipe bem atenciosa."
jan. de 2021,5,um do melhores hotéis que já fiquei,"estava tudo perfeito, desde a chegada ate a saída, um excelente cafe da manha, um bom atendimento, quartos limpos e higienizados, passei uma noite tranquila e agradável, estadia perfeita, um dos melhores hotéis que já fiquei."
jan. de 2021,4,Limpo e confortável!,"O hotel apresentou todas as condições necessárias para uma boa noite de sono, café da manhã com boas opções e refeição simples mais be m saborosa!  Equipe muito atenciosa e prestativa, super recomendo para em precisa de um hotel para trabalho!"
jan. de 2021,3,Razoável,"A instalação é razoável, estava limpo, sem serviço de quarto, pedimos caldo, o mesmo sem tempero, e tivemos que buscar na cozinha....café da manhã servido individualmente.... ducha maravilhosa, ar bem geladinho, travesseiro extra, estacionamento pago, porém cuidaram muito bem do carro então valeu a pena."
jan. de 2021,4,Sempre muito bom,"O hotel é bem localizado, perto do parque Ingá, da Catedral e de pontos bons para comer, Hachimitsu, Cathedral Pub, entre outros.  Ibis sempre vale a pena pelo custo x benefício, são sempre bem localizados, uma equipe jovem e bem atenciosa, destaque para a Akemi muito eficiente e simpáica."
dez. de 2020,5,Boa Opção no dentro de Maringá,"Ibis não tem surpresa. Este fica bem no centro, perto de lojas e restaurantes. O quarto é pequeno mas funcional. O banheiro tem toalhas finas, mas limpas. Apenas é chato o fato de ter de pagar à parte para estacionar o carro."
out. de 2020,3,Hotel está deixando à desejar,"Estive novamente nesta unidade, o estacionamento vc mesmo estaciona, legal pela segurança e higiene, porém tem que ficar a disposição dos funcionários para eles abrirem e fecharem a porta quando querem. No café da manhã é a maior bagunça, as pessoas se servem e não ha um controle de higiene (Covid). produtos expostos, sem alguém controlar para utilização de luvas. Faltava café na máquina e demora em repor. Não estava disponível canal Sport TV, não foi resolvido enquanto estive no hotel."
ago. de 2020,1,Hotel velho fora do padrão Ibis,"Hotel velho, quarto sujo, sem espaço para acomodar a bagagem ( tem que expor todos os itens nesse momento dê atenção ao Covid não seria a melhor escolha, todas as mesas próximas no café da manhã, não vi ninguém fazendo desinfecção das áreas comuns e para piorar se você for cliente fidelidade não espere ser tratado como merece. Descaso com os clientes Le Club nem o drink de boas vindas você irá receber. Tinha mais 15 dias para fazer a reserva mais a experiência me fez mudar de hotel. Ibis Maringá nunca mais."
ago. de 2020,1,"Pessimo, nao va","quarto barulhento, devido as janelas velhas q nao vedam o barulho da rua. o cafe da manha estava bem precario com granola com formigas e pao meio duro. o suco de laranja pasteurizado nao é dos melhores. definitivamente nao comprem o cafe da manha deles. E ainda tenho q criar conta no tripadvisor para conseguir dar nota pro hotel, o sistema de vcs anterior era melhor"
mar. de 2020,5,Hotel Bem Localizado,O Ibis de Maringá é bem localizado para quem quer conhecer a cidade e mesmo para uma passada rápida. Bom café da manhã. Perto do Shopping e do parque do Ingá. Apenas a cor do quarto que era um pouco triste.
fev. de 2020,4,Bem localizado,"O ponto forte desse ibis é a localização, bem no centro, perto do parque do ingá, shoppings, mercado e restaurantes. Funcionários educados e prestativos. Falta apenas um pouco de manutenção, de resto nada a reclamar."
fev. de 2020,4,Normal,Ibis costuma ter o mesmo padrão... achei o banheiro bem apertado. Localização excelente!!! Para quem só utiliza pra dormir está ótimo . Equipe gentil na recepção. Indico para os que não forem muito exigentes.
fev. de 2020,3,DEVE MELHORAR!,"As instalações estão bem surradas. Cama não confortável e o banheiro... é um caso à parte. Muito Ruim! Vasamentos, mal cheiro, roupas de banho surradas... no geral bem acabado, todo o hotel precisa de reforma URGENTE."
fev. de 2020,1,Me senti enganado,"Adquiri a reserva para um quarto com 2 camas, sendo uma de casal e uma de solteiro, para filha de 8 anos. Ao chegar me deparei com um verdadeiro puxadinho, sendo que metade da cama de  Solteiro fica encoberta com o móvel, estando a crianca sujeita a se machucar e dar cabecada. Nao existe opcao de quarto diferente dessa, com 2 camas como o contratado. Péssimo. Ibis sendo Ibis 🤬😡"
jan. de 2020,2,um ibis piorzinho,"Os lençóis tem uma péssima apresentação: nota-se que alguns estão gastos, mais fininhos, as costuras se desfazendo, pequenos de tamanho. Além disso a rede devia reavaliar a questão dos cobertores: oferecem um edredon - e um cobertor sobressalente, - ambos muito quentes, impossivel de usar (a não ser que voce ligue o ar-condicionado pra gelar o ambiente, o que é um contra senso) ou temos que ficar apenas com lençol e passar frio. Sugerimos que ofereçam um cobertor mais fino tipo manta. O café da é simples, dessa vez não havia o tradicinal pão-de-queijo que aparece nas fotos de café-da-manhã que o ibis usa na divulgação. Haveria que ter mais um suporte para malas no quarto."
jan. de 2020,4,Excelente para o padrão,"Excelente hotel para o padrão econômico. Bem próximo aos principais pontos turísticos e restaurantes da cidade, muito bem localizado.    Ótima opção pra quem vai ficar um ou dois dias na cidade e passará a maior parte do dia fora do hotel.    Estacionamento terceirizado com manobrista."
dez. de 2019,4,Hotel Ótimo. Estacionamento péssimo!!!!,"Tudo ok com hotel. Segue rigorosamente padrão Ibis. Estacionamento terceirizado terrivel, péssimo atendimento do estacionamento.    Nao se permite acesso ao estacionamento. Nao se pode carregar ou descarregar o carro lá."
dez. de 2019,4,Ibis - Maringá,"Ao hospedar-se no Íbis você sabe que encontrará. Excelente atendimento, apartamento limpo, com as condições de sempre, internet excelente. Hotel bem localizado, com facilidade para sair e visitar locais próximos, sejam lojas ou restaurantes."
dez. de 2019,4,Boa estadia,Confortável e limpo! Porém quarto próximo ao elevador com barulho frequente logo cedo! Ótima localização! Voltarei se conseguir preço promocional for fidelização. Café da manhã foi tumultuado no domingo e demoravam para repor.
dez. de 2019,4,Avaliação,"Achamos o quarto e o banheiro muito simples, o café da manhã é bom, nosso cartão de abrir a porta não abria de primeira, hotel com boa localização, saimos nos shoppings próximos e catedral sem tirar o carro da garagem do hotel."
nov. de 2019,4,Muito bom,"O atendimento é sempre tranquilo e sem burocracia, pessoal da recepção atencioso, café da manhã cobrado a parte banheiro limpinhos. O hotel é super bem localizado bem no centro da cidade.Para passar uma noite tudo bem."
out. de 2019,3,Precisa Melhorar,"Infelizmente hotel precisa urgentemente renovar o mobiliário! Colchão, roupa de cama e toalhas muito usados. Sou cliente Platinum da rede mas não me hospedo mais neste hotel! Uma pena! Café da manhã sem qualidade. Não vejo nada com o padrão que me levou a eleger a rede como minha primeira opção em hospedagem."
set. de 2019,5,ótima,"Como sempre, não tive problemas desde a recepção até a instalação no quarto. O atendimento é sempre tranquilo e sem burocracia, procurando o atendimento com rapidez e solicitude. O hotel é super bem localizado."
set. de 2019,4,Verificar antes de fazer reserva pir que o café e cobrado a parte,"Para passar uma noite tudo bem, mas é muito ruim você depois de um dia de trabalho e não encontrar os lenços bem esticados, parecendo que outra pessoa acabou de levantar da cama que voce vai passar a noite, pessoal da recepção atencioso, manobrista mal humorado, café da manhã cobrado a parte banheiro limpinhos"
ago. de 2019,4,Bom Hotel,"Hotel bom, otimo atendimento, odores ruins no banheiro ap569. Hotel dentro do padrão Ibis. Gerente e atendentes da recepção muito dispostos e solicitos. Sala de passar roupa poderia ter um ferro mais moderno (esta possui um ferro black and decker da epoca da minha avó)"
ago. de 2019,2,"São Miseráveis, cobram até para imprimir um texto.","Sou jornalista e viajo bastante. Nunca tive que pagar para imprimir um texto, independente da rede do Hotel. Detesto quando isso acontece, perdem clientes por besteira. Já estava insatisfeito pois precisei falar com a recepção e fui mal atendido, quando me cobraram 50 centavos por página impressa, fiquei muito desapontado. É domingo, não posso ir a outro lugar e tive que pagar, mas prometo que jamais voltarei a este hotel."
ago. de 2019,5,Hotel padrão Accor,"Hotel muito bem localizado, limpo, quartos confortáveis e café da manhã muito bom. É um ótimo lugar para viagens curtas.  Um pouco distante do aeroporto (como tudo lá) mas o deslocamento é rápido.  Tem mercado e Shopping perto."
jul. de 2019,3,Prós e Contras,"Na minha penúltima hospedagem acabei esquecendo algumas peças de roupa e quando lembrei já estava muito longe para voltar. Telefonei e solicitei que guardassem para mim, uma vez que vou a Maringá regularmente. Parabéns para a equipe minhas roupas estavam me esperando, muito obrigado. Agora por favor prestem atenção no café da manhã: 1) A máquina de café nunca funciona, 2) os produtos quando acabam devem ser repostos 3) Também os utensilios como copos e xicaras devem ser repostos 4) as mesas devem ser limpas 5) o chá deve estar a disposição 6) os horários respeitados, se o café completo deve ser servido as 06:30h assim seja e não o buffet ficar pronto as 07:00h, enorme falta de respeito com os hospedes que tem horário marcado e cumprem o mesmo."
jul. de 2019,4,Experiência muito boa!,"Excelente localização e excelente cordialidade no atendimento. Possui bons serviços, porém o valor dos produtos da conveniência são um pouco caros. Limpeza, preço e condições de pagamento estavam tudo ok."
jul. de 2019,3,Fim de semana frio em Maringá,"O hotel não possui aquecedor, apenas ar frio. Quarto muito gelado, não preparado para temperaturas mais baixas. Contratamos o check-in antecipado por 1/3 de diária e chegando la só poderíamos entrar as 9h e quem não contratou o serviço, ja poderia entrar as 10h (e não as 12h conforme o site), então esse serviço é desnecessário. Localização ótima, próximo a vários serviços e shopping. Preço bem acessível."
jul. de 2019,4,Qualidade padrão,"Uma das coisas mais interessantes do Ibis é poder contar com sua qualidade padrão em qualquer unidade, vc sabe que vai encontrar instalações limpas, recentes, opção para um lanche rápido e preços honestos. Está unidade dica bem localizada, próximo ao Maringá Park shopping e parque do Inga. O inconveniente é que o estacionamento é pago (R$20 por dia em junho/2019) é que as tomadas ainda não estão no padrão de 3 pinos atual e talvez vc precisa de adaptador (é uma jabuticaba nacional esse padrão, mas já faz tempo que foi adotada e poderia ter sido atualizada)."
jun. de 2019,4,Compacto bom,"Fiquei hospedada no hotel durante 5 dias. O quarto é considerado pequeno, mas atende perfeitamente uma pessoa. Senti falta de um frigobar para armazenar bebidas geladas. O bom desse hotel é que ele fica ao lado do shopping, havan e de um supermercado."
jun. de 2019,4,Padrão IBIS,"O hotel segue o padrão da rede Ibis, porém não estava tão conservado quanto outros que já estive. Possui estacionamento cobrado à parte R$20,00/dia. Possui café da manhã, cobrado à parte. Excelente localização perto de shopping,restaurantes e pontos turístico como a Catedral e o Parque do Ingá."
mai. de 2019,4,Padrão Ibis com ótimo café,"Hotel no padrão Ibis, limpo, bem localizado, apesar dos atendentes serem muito simpáticos, o que nos atendeu no jantar estava um pouco perdido(Não sabia a diferença das cervejas E da falta de insumos para o jantar), mas foi muito cortês, o ponto alto foi o bolo de cenoura no café da manhã, foi o melhor que comi em minha vida."
mai. de 2019,4,Estadia muito agradável,"Padrão Íbis, com um bom custo/benefício, limpeza, tudo funcionando adequadamente, bom atendimento. O café da manhã surpreendeu na qualidade e variedade, além do normal de outros Íbis. Muito bem localizado no Centro de Maringá."
mai. de 2019,3,Atendimento padrão dos hoteis da rede Ibis,"Nada excepcional, com preços adequados e atendimento ajustado ao padrão da rede. Estacionamento à parte e café opcional não incluso na diária. Prefira visitar uma padaria nas proximidades, já que o hotel é muito bem localizado."
abr. de 2019,5,Excelente atendimento e honestidade,"Quero agradecer á equipe do Hotel, especialmente à Diva.  Esqueci minha frasqueira no hotel e a recebi intacta e com rapidez.  Além disso, o hotel é bom e o atendimento impecável.  Obrigada  Lívia Copelli"
abr. de 2019,2,Propaganda Enganosa,"O Íbis para mim sempre foi o Mclanche Feliz da hotelaria. Você sabe o que vai encontrar: quarto limpo, lençois lavados, e uma ducha forte que em quinze segundos já te traz água quente.    No entanto, nesta hospedagem, a água quente não veio, já estava nu, e tive que me vestir para chamar a recepção. A pessoa que veio mencionou a política do Íbis de em 15 minutos dar uma resposta ao problema ou resolver o problema da melhor maneira possível. Tinha que esperar uns 10 minutos, e saí para comer alguma coisa enquanto o problema era resolvido.    Voltei depois de 30 minutos, e na recepção a mesma pessoa disse que o problema estava resolvido. Subi e encontrei meu quarto com a porta aberta, e com duas pessoas trabalhando na descarga do vaso sanitário, e como não poderia esperar optei por mudar de quarto.    Fui ver um no mesmo andar, e era só com duas camas de solteiro, tive que esperar no corredor até que trouxessem uma nova chave.    Esperei mais de uma hora pela solução. Propaganda enganosa, pois recorri ao gerente e ele falou que era outro problema, falei que era o mesmo, pois sou arquiteto e o problema estava na prumada. Ele falou que o problema da ducha estava resolvido, e eu aleguei que não consegui perceber pois tinha duas pessoas no meu banheiro. Disse que ia estudar, mas não tocou mais no assunto.    O Íbis se desafia a resolver em 15 minutos, senão o serviço é por conta do estabelecimento. Não foi o que aconteceu nesta hospedagem.    O novo quarto estava como nas fotos anexadas."
abr. de 2019,3,Localização e o ponto forte,"O hotel não realiza arrumação do quarto se não for solicitado, o ar condicionado necessita de manutenção, o café da manhã pode melhorar em relação a opção de frutas. O serviço de checkout foi muito lento pois o atendente estava aprendendo. Esqueceram de colocar o lençol de cobrir!  O ponto forte é à localização próximo há shoppings restaurantes e shopping!"
abr. de 2019,5,Passeio,"Gostei muito das acomodações, bem como das refeições, mas o que mais me impressionou foram os atendimentos da equipe de funcionários. Atenciosos e prestativos em todos os aspectos, também gostei da presteza do pessoal da garagem."
abr. de 2019,4,No padrão,"O esperado para o padrão Ibis. Bem localizado. Bom quarto, cama confortável. Chuveiro estava com água torta. Café da manhã no padrão esperado. Atendimento solícito. Preço justo. Quem está acostumado com o padrão Ibis, não vai se decepcionar"
mar. de 2019,2,Precisando de reforma,"O hotel precisa passar por reforma e melhorar a limpeza, trocar cortinar, colocar tomadas próximo a cama.  O café da manhã tem varias opções.  O estacionamento é cobrado a parte.  A localização é ótima com parque, bares, mercados e shopping próximos."
