Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Indico,"Super indico! Tudo impecável. Quarto super aconchegante, espaçoso, com ante sala, tudo perfeito. Café da manhã ótimo. Equipe extremamente cuidadosa e atenciosos. Localização excelente. Voltaremos em breve."
out. de 2022,5,Excelente custo benefício,"Muito bem localizado no centro de Maringá, limpeza impecável, excelente atendimento, enfim um excepcional custo benefício. Serviço de restaurante 24 horas, serviço de manobrista, cama king super confortável, isolamento acústico e um magnífico café da manhã."
out. de 2022,4,"Hotel bom, com custo benefício saatisfatório.","Pontos positivos: Bom atendimento dos funcionários, café da manhã muito bom, excelente atendimento dos garçons, quarto amplo, cama limpa e confortável, banho excelente, secador de cabelo de boa qualidade, hotel silencioso e novo. Pontos negativos: Elevadores pequenos, apertados e sempre cheios. Hall de entrada com manequins (bonecos) que assustam, ao chegar. Toalhas pequenas e finas. Academia de ginástica ruim, pequena e com poucos aparelhos."
out. de 2022,5,Boa experiência.,"O Hotel Metrópole está muito bem localizado , tendo Shoppings e muitos comércios ao redor. Além de bancos e supermercados. É próximo da Catedral, podendo fazer uma caminhada até lá para apreciar a paisagem, próximo à Catedral tem um lindo gramado para curtir o pôr do sol. As refeiçoes do Hotel são muito boas."
jul. de 2022,1,"Pessimo atendimento, descaso total com hospede toda equipe, principalmente da gerencia.","Estive hospedado no quarto 1004 no ultimo dia 24/07, deixei pendurado no guarda roupas, algumas pecas de roupas. Quando retornei de viagem, percebi a falta dessas roupas, entrei em contato imediatamente com hotel, fui informado que precisava retornar na manha seguinte (27/07). Fui informado pela chefe da governança que o referido apto nao tinha sido mais ocupado apos a minha saida, e ate hoje (29/07) estou aguardando retorno do gerente/hotel para informar onde foi parar minhas roupas. As roupas ficaram lá, ninguem mais locou o apto no periodo que sai ate ter entrado em contato com hotel pela primeira vez (26/07) e simplesmente minhas roupas SUMIRAM! Entro em contato TODO DIA, no minimo 3x ao dia com hotel, estou esperando a gerencia me retornar desde entao, mas TODAS as vezes…"
jul. de 2022,4,Apartamento adequado para negócios,"Apartamento com mesa para trabalho, auditórios para convenções e reuniões, café da manhã com ótima qualidade e ótimo atendimento.  Boa higienização e ventilação.  Serviço de quarto com bom atendimento.  Localização excelente, perto da catedral e parque do Ingá, principais atrações turísticas da cidade."
jul. de 2022,3,Pacote núpcias decepcionante!,"Me hospedei na suíte 1402. Ela é ampla, bonita, bem decorada e muito limpa. A cama é muito confortável. Se eu tivesse contratado apenas a hospedagem, estaria extremamente satisfeita. Entretanto, contratei o pacote núpcias, que deixou MUITO a desejar.... os bombons finos do pacote se tratam de 6 bonbons Brasil Cacal. Não havia nenhum arranjo de flores (q constava na proposta), apenas uma rosa artificial em cima da cama. A tábua de frutas frescas se trata de meia dúzia de pedaços de frutas, que acredito que fazem parte do café da manha. Como não consumimos bebidas alcoólicas, pedimos para substituírem o Chandon Brut... mandaram uma jarra de alumínio com suco de uva. Bem romântico! Kkk Nem para servirem um bom suco de uva na garrafa original. Mas a pior parte foi o café da manhã servido no quarto... os pães recheados vieram tão duros que machucaria se tentasse comer. Portanto, não recomendo o pacote núpcias do Hotel Metrópole Maringá."
jun. de 2022,5,Ótima localização.,Hotel muito bem localizado com boas opções de alimentação ao redor. Centralizado.  Confortável.  Café da manhã bom.  Quarto confortável e bonito.  Vale a pena fazer uma caminhada até a catedral.  A cidade de Maringá é muito bonita.
mai. de 2022,5,Excelente,"Excelente hotel, o quarto é bem espaçoso e limpo, a cama também é grande, ótima localização, perto de muita coisa (Lojas, Restaurantes...), café da manhã bom! Ficamos no 11º andar, com vista para a Catedral que é um show a parte a noite... Recomendo com certeza!"
mar. de 2022,5,Ótima instalação e bem localizado,"Fomos eu e minha mãe para Maringá e ficamos hospedadas no hotel, simplesmente amamos a experiência. Recepção com colaboradores extremamente educados, quarto espaçoso e super limpo.  Café da manhã super gostoso e bastante variado e hotel bem localizado. Com certeza, retornaremos."
