Data da opinião,Nota,Título,Conteúdo
29 de dez.,4,Muito boa hospedagem,"Quartos bem conservados, limpos, com boa vedação do barulho externo. Boa cama. Funcionários bastante atenciosos e cordiais. Foi minha primeira experiëncia. Pretendo voltar e recomendo. O café da manhã bem servido."
23 de dez.,4,Ótima experiência,"Ótima experiência. O hotel me agradou em todos os aspectos. Está localizado no Batel, com uma bela vista e próximo a Shopping, supermercado, padaria, farmácia, praça do Japão. Funcionários educados e prestativos. Quarto limpo e organizado."
23 de dez.,5,Uma boa experiencia,"Foi uma experiencia muito boa mesmo sento uma passagem muito rapida pelo hotel, para uma primeira vez achei bem positivo o hotel. Em uma proxima oportunidade espero ter uma experiencia bem mais completa ao Rio hotel."
14 de dez.,3,Ok por 1 ou 2 noites.,"Para a sua categoria, é um hotel razoável de se hospedar! Limpo e com café da manhã farto e com variedade (as meninas da cozinha são mto atenciosas). Mas o hotel precisa de melhorias: faltam tomadas de 3 pinos nos quartos (eles fornecem adaptador se pedido), o travesseiro é extremamente mole e a TV deixa a desejar. E o que mais me incomodou: não tem blackout na cortina! O quarto fica claro mto cedo. Melhoria simples, que daria qualidade aos hóspedes."
1 de dez.,5,Excelente opção para se hopedar em Curitiba,"E um hotel onde se é muito bem atendido, com muita cordialidade e atenção. O quanto em que me hospedei estava super limpo, com uma cama maravilhosa e o banho excelente. O único problema foi com as percianas que estavam danificadas, mas informei esse problema na recepção e corrigiram rapidamente, o que me deixou muito satisfeito."
nov. de 2022,4,None,"Olá, tudo bem?  Eu costumo ficar neste hotel cerca de 5 a 6 vezes por ano, e o motivo da minha nota geral não ter sido 10, é porque as tomadas do quarto em que eu estava, não era no padrão brasileiro com 3 furos. Infelizmente tive que pedir um adaptador na recepção para poder carregar meu notebook para trabalhar.  Fora esse detalhe, o hotel é excelente."
nov. de 2022,3,Estacionamento e Televisão ruim,"O preço não condiz com o hotel. Quartos simples, televisão ruim e lençol com algumas pequenas manchas, dá impressão que não é trocado. Estacionamento é o ponto fraco, além de pago é muito apertado podendo gerar alguma avaria nos veículos. Mesmo que se não cobrassem estacionamento, ainda assim ficaria um pouco acima da média de preços de outros hotéis da mesma categoria. A academia é fraca também. Paguei mais caro achando que era um hotel melhor. Os funcionários são muito bons. Só isso."
nov. de 2022,5,Me surpreendeu,"Fui com meu marido passar um final de semana, e com baixas expectativas, porém o hotel surpreendeu muito, o quarto muito bem arquitetado, roupas de cama e toalhas branquinhas e bem limpas, cama super confortável! A equipe bem cordial e solicita, pedi para esquentarem água pra mim e na hora atenderam meu pedido.    Único ponto negativo pra mim foram os travesseiros, são um pouco desconfortáveis mas nada que estragasse a estadia."
nov. de 2022,5,Treinamento,"Excelente custo/localização!  Café da manhã maravilhoso e com muitas variedades de pães! Realmente um diferencial!  Atendimento bom!  Quarto excelente, muito arejado, limpos, banheiro impecável!  Recomendo!"
nov. de 2022,5,Localização e café da manhã excelentes!,Excelente localização. Ótimo café da manhã. Funcionários muito gentis em todos os setores. Excelente chuveiro. A única observação é que a cama é muito dura pra minha lombar. Ótima experiência e custo benefício!
nov. de 2022,3,Viagem em família,"Hotel limpo, bem organizado, localizado numa região tranquila, em frente a uma padaria maravilhosa. Pontos a melhorar: a camareira esqueceu de colocar a capa do jogo de Lençol, na cama e uma das toalhas de rosto. Tive que arrumar a descarga do banheiro, que soltou a trava, às 5h da manhã, pois minha mãe foi usar e não funcionava. No café da manhã, minha xícara estourou na minha mão, pois disseram que o leite sem lactose estava gelado e a xícara estava quente porque veio da máquina de lavar, mesmo tendo já colocado o café quente. Não me queimei pois o líquido ficou morno, mas minha roupa ficou manchada de café. Sugiro colocar as xícaras quentes para trás das xícaras já resfriadas."
nov. de 2022,4,jorge issao zensque,"Às vezes é preciso ter uma cordialidade, sei que vocês vendem água, mas hoje natural ter um espaço para água, principalmente quando vem da rua depois uma corrida rua como nos parques tem água para beber rapidinho. Depois você pede um suco natural para beber. Hotéis na Europa se utilizam dessa prática"
nov. de 2022,4,ÓTIMO CUSTO/ BENEFÍCIO,"Funcionários prestativos, ágeis e simpáticos, sempre nos atendendo com informações precisas ; instalações limpas e confortáveis; localização perfeita; ótimo custo/benefício. Retornando à Curitiba pretendo me instalar no mesmo hotel. Recomendo!!!"
nov. de 2022,5,Desde a recepção ao café da manhã,"Além de uma boa recepção e o quarto confortável, a chefe da cozinha (Lucilene) foi excepcional se dedicando não só a antecipar a disponibilidade de itens ao café da manhã, ela o fez com total maestria e sempre com um sorriso, atenciosa com os hóspedes, sempre disposta a ajudar.... muito obrigado por toda a atenção e carinho ""Lu""."
out. de 2022,5,Muito satisfeito,"Ótimo hotel. Rodrigo muito atencioso e solicito. Café da manhã surpreendente! Quinta vez que volto à CWB, primeira vez nesse hotel, mas sem dúvidas foi o melhor até agora. Voltarei com certeza. Muito obrigado!"
out. de 2022,4,Ótimo custo/benefício,"Fiquei duas noites hospedadas no hotel e atendeu o esperado. Todos os funcionários (desde a recepção, até o restaurante) foram super atenciosos e simpáticos.  O quarto de fato não é tão grande e me incomodou um pouco a acústica. Tive o azar de ter ""vizinhos"" que falavam alto pelos corredores, então eu ouvia tudo perfeitamente do meu quarto, mas tirando isso, minha estadia foi tranquila. O café da manhã foi muito bom e variado, a cama era confortável e no banheiro continha amenidades (shampoo, sabonete, touca). A localização é outro ponto positivo."
out. de 2022,2,"Estacionamento ruim, cordialidade a desejar","Além do estacionamento ser muito pequeno, alguns funcionários, principalmente da recepção, não sabem o que é cordialidade e bom atendimento. Localização muito boa. Funcionário s da limpeza e do café estão de parabéns, mas mesmo assim não vale o Custo-benefício."
out. de 2022,5,Avaliação do Rio Hotel by Bourbon,"Estivemos no hotel num curto período, mas recomendamos demais. O hotel possui ótima localização, requinte, um ótimo café da manhã e o excelente atendimento dos recepcionistas, especialmente de Karina e Rodrigo, que além de super simpáticos, nos deram orientações valiosas."
set. de 2022,4,Ótima localização,"Hotel bom apesar de quartos pequenos, bem limpo, recepção 24h todos muito educados e prestativos, café da manhã bom, atendeu nossas expectativas. Ótima localização, com padaria e shopping bem próximos, como o hotel não tem restaurante essas opções acaba salvando. Ficaríamos novamente."
set. de 2022,5,Excelente hotel,"Excelente hotel, muito limpo e agradável, funcionários super atenciosos e educados, café da manhã excelente. Tudo perfeito, super indico e com certeza voltarei a me hospedar lá .Eu e meu marido fomos muito bem atendidos . Excelente localização"
set. de 2022,3,Férias 2022,"O hotel deixa muito a desejar.  Não gostei da recepção, do quarto apertado, barulhento e com cheiro de morfo, a roupa de cama acredito que não foi trocada, e também não arruma, fiz o teste como cobertor e constatei que não foi arrumada, o banheiro não era limpo todos os dias, malmente tirava o lixo, não fazia reposição de sabão e shampoo, toalhas ruins e as paredes com crostas nos rejuntes, os funcionários são mal-humorados, mal respondia o bom dia, sempre de caras fechadas.  Foi uma grande decepção o hotel. Não recomendo."
set. de 2022,4,None,"Hotel com boa localização, pessoal que me atendeu foi muito simpático.  A garagem é pequena mas o pessoal estacionou meu veículos e toda vez que precisei eles buscaram rapidamente. Café muito Bom. Internet Boa."
