Data da opinião,Nota,Título,Conteúdo
25 de dez.,4,Uma boa opção para ceia de Natal,"Participamos da ceia de Natal do Hotel Rafain Centro. Foi uma boa experiência. Atendimento ágil e céler. O cardápio era variado. Foi open food e open drinks. Uísque, cerveja, vinho, espumante e refrigerante à vontade. O preço é caro (320 por pessoa), mas está dentro do padrão cobrado em outros locais."
20 de dez.,4,Excelente localização,"Excelente localização, o Hotel Rafain Centro está próximo a bares e restaurantes, farmácias e lojas. Tem um bom atendimento desde a recepção aos atendentes no restaurante, um café da manhã ótimo e limpeza dos quartos. Tem elevador para facilitar acesso aos andares superiores."
nov. de 2022,4,Bem localizado,"Hotel tradicional em Foz, bem localizado na área central da cidade. Possui quartos grandes e bem arejados. Banheiro grande e completo. Café da manhã farto de saboroso. Todos os atendentes são gentis, prestativos e educados. Só um porém: faltou água quente em um dia e água fria na parte de outro dia."
out. de 2022,4,"Bem Localizado, agradável","Nosso quarto estava limpo e acolhedor em nossa chegada. Com TV, frigo bar, boa cama, banheiro em bom estado. Pessoal simpático e eficiente na recepção. Café da manhã bem completo. No lobby a Camila da Loumar Turismo foi muito prestativa. Foi possível comprar ingressos para todas as atrações, alguns com desconto.  O melhor do hotel é a localização, perto do comércio, restaurantes e pizzaria. Estacionamento pago a parte."
out. de 2022,5,Ótimo custo benefício,"Hotel limpo, com café da manhã bem variado, cama confortável e chuveiro bom. Foi excelente! Fica próximo a vários restaurantes bons, o que facilita a locomoção. Valeu a pena ter escolhido este hotel, excelente custo benefício."
ago. de 2022,3,Estrutura quarto precisando reforma,"Eu e meu esposo ficamos hospedados de 30/07/22 à 04/08/22. Hotel boa localização, perto de restaurantes, farmácias, pizzaria, dentre outros. A estrutura é boa, piscina, salão de jogos, etc, na reforma faltou fixar direito o vaso sanitário e trocar a tampa que estava quebrada. O atendimento destaco o serviço de Gladstone, Jeferson e de uma senhora do balcão. Os demais frios e sem empatia, principalmente Josué."
ago. de 2022,5,Buffet de feijoada maravilhoso aos sábados!,"Hoje minha avaliação é sobre o delicioso buffet de feijoada de sábado do Hotel Rafain Centro em Foz. Apesar de não estar hospedada no hotel, fui com minha família experimentar o buffet de feijoada e quero deixar aqui os maiores elogios ao chef e aos atendentes do restaurante! A Feijoada estava maravilhosa, muito saborosa e feita no capricho, com ingredientes de qualidade e muito bem servida! De comer rezando! Minha família amou! Parabéns pela excelência! Recomendadíssimo!"
jun. de 2022,2,Decaiu bastante,"Tive uma experiência bem ruim dessa última vez. Não fiquem no quarto 350. Faz um barulho insuportável de uma máquina a noite toda, não sei dizer o que é. Liga e desliga a noite toda. O quarto também é muito pequeno e o exaustor é extremamente barulhento. Na penúltima vez o quarto estava cheirando super azedo. Desta, ao menos estava limpo. Muito triste! Decaiu demais"
jun. de 2022,5,Um ótimo custo/benefício,"Hotel muito bom para o que buscamos, ótima localização e atendimento . Com um ótimo custo/ benefício! Localizado bem no centro de Foz do Iguaçu. Tem o atendimento de guias da agência Loumar para direcionar os passeios, o que foi super útil!!!"
mai. de 2022,5,Recepção e localização,"Atendimento excelente em todos os sentidos!  Quartos devidamente arrumados e higienizados, com uma vista linda , tanto no interno do hotel quanto ao externo.    Café da manhã oferecido com muita variedade para todos os gostos    Ótima localização no centro de Foz, com farmácia próxima, mercado, restaurantes e bancos."
mai. de 2022,3,Quarto vista para parede,"Se você se incomoda com quartos sem vista, não fique no quarto 373. Tem uma janela pequena que da para uma parede, onde tem pombos que fazem barulho que pode ser ouvido pelo banheiro. E vc escuta o barulho do ar condicionado. Como me sinto sufocada com quarto sem janela, me incomodou um pouco."
abr. de 2022,5,Maravilhoso,"Excelente custo/benefício/localização    O Hotel oferece tudo que precisa, internet, boas camas, bons chuveiros e localização.  Um hotel limpo, organizado, atendimento nota 10.  Café da manhã excelente, nada a reclamar."
fev. de 2022,4,Bem localizado,"Bem localizado, bom atendimento e quarto amplo. O hotel fica de frente para uma farmácia 24hs que tem tudo. O café da manhã é bem servido. O hotel possui restaurante que atende dia e noite, além de atender a área da piscina.  Possui academia pequena, porém bem equipada e que funciona sob reserva. Tem sala de jogos e espaço para estacionamento seguro, com um custo adicional de 15 reais na diária.  Único incômodo foi em relação a limpeza das mesas e cadeiras na área da piscina, pois como permitem alimentação no entorno, muitos hospedes sem noção acabam sujando/bagunçado a área e deixando toalhas sujas espalhadas."
fev. de 2022,4,Recomendável,"Resumo de avaliações do Google  4,4  Muito bom  2.187 avaliações  Quartos  3,9  Localização  4,7  Serviço  4,4  O que os hóspedes estão dizendo  ""Tudo de acordo, serviço de quarto bom, possui piscina, sala de jogos e academia.""  ""Boa localização com opções de restaurantes, bares e mercados mas próximos.""  ""Amei esse lugar,comida deliciosa,as atrações uma melhor que a outra""  Mais    Famílias  4,3    Casais  4,2    Sozinho  4,3    Negócios  4,2  Avaliações  Pesquisar avaliações  Assuntos frequentes    Monica Pizzo  4/5  3 minutos atrás no Google  Ótima estrutura, café da manhã bem variado, funcionários receptivos principalmente no restaurante. O único ponto a melhorar é na limpeza da área comum na piscina que presenciamos máscaras descartáveis no chão e guardanapos principalmente no fundo da área com as mesas que permaneceram de um dia para o outro sem serem recolhidos. No quarto a limpeza também não segue um padrão rígido, ficamos com os mesmos resíduos de alimentos que pedimos delivery embaixo da mesa de apoio por três dias pois não foi varrido e limpo. Assistência para autista no quarto que possue necessidades especiais como no nosso caso infelizmente também não foi bem atendido no quesito de deixar a disposição lençol de cama para troca na madrugada e forro para o colchão. Para o check out é necessário deixar o quarto desocupado para vistoria. Essa que com certeza foi muito mal feita já que ficamos esperando na recepção o translado por 20 min e não nos avisaram de alguns pertences simples esquecidos, ou seja, se realmente fosse feito a vistoria, teriam visto e nos avisado . No demais voltaríamos a nos hospedar no hotel , pela facilidade de locomoção para outros locais pois está num ponto ótimo localizado, ótimos restaurantes e a estrutura em si é muito boa."
jan. de 2022,4,Muito bom!,"Eu e minha família adoramos o hotel e tivemos uma ótima experiência por lá! Um ponto muito positivo é a localização, pois está próximo de tudo e dá pra fazer bastante coisa a pé, apesar de termos alugado carro para se locomover na cidade; outro ponto são os funcionários que foram muito educados, atenciosos e prestativos em toda a nossa estadia.  Dois pontos que poderiam melhorar é a Internet, o Wi-Fi caía diversas vezes ao dia devido ao sinal fraco, e a limpeza dos quartos, que deixou um pouco a desejar.    Resumidamente, gostamos muito e indicamos."
jan. de 2022,4,Em família,"Instalações excelente  Localização ótima  Funcionários atenciosos  Café da manhã não tinha muitas opções por isso não foi nota máxima.  Pelo valor que paguei merecia uma café da manhã com mais variedades. O ambiente é super agradável e ainda conta com serviço de estacionamento por mais R$15,00 na sua diária."
dez. de 2021,4,Funcionários muito simpáticos e prestativos,"Gostei muito do hotel: o quarto estava limpíssimo, a internet funcionou bem para funções básicas (mas não testei para trabalhar ou coisas que demandassem uma estabilidade maior) e os funcionários foram extremamente simpáticos e prestativos, fazendo além do que precisavam para nos ajudar a ter uma boa estadia.  O café da manhã é ok - na média dos hotéis brasileiros do mesmo padrão."
dez. de 2021,3,Limpeza e manutenção,"A limpeza do quarto deixou a desejar: tinha resto de comida do hóspede anterior embaixo da cama. O box do banheiro com aquela “gordura”, o rejunte do banheiro preto perto do chão. Fora isso a manutenção: o frigobar estava estragado, colcha da cama rasgada e Cuba do banheiro trincada. Um hotel tao famoso pecando em detalhes que mudam a experiência do hóspede. Por outro lado: funcionários atenciosos e queridos e um café da manhã sem luxo, mas muito gostoso."
nov. de 2021,5,Excelente hotel,"Gostei muito do hotel, atendimento muito bom. Ótima localização no centro da cidade. Muitos restaurantes ao redor. Quartos ótimos e limpos. Tem uma piscina gostosa. Academia de ginástica. O café da manhã é uma delícia."
