Data da opinião,Nota,Título,Conteúdo
14 de dez.,5,Descanso é lazer é na pousada Pedra Azul,"Lugar muito lindo, recomendo a todos, a experiência foi ótima…..o Waze leva na recepção, pois eu não sabia como chegar….. comidas perfeitas, hospedagem maravilhosa ou funcionários de bem recíproco para ajudar e indicar os locais da gastronomia do local… recomendo o mínimo de 2 dias…. Pois vão surpreender com o local….."
1 de dez.,5,Lugar maravilhoso!,"Localização realmente privilegiada bem perto da pedra azul, a estadia foi perfeita, o quarto, o café da manhã delicioso e sem falar na vista impecável. Estamos impressionados com a beleza do lugar, com certeza vou voltar."
nov. de 2022,5,Estadia incrível,"A nossa estadia na pousada foi incrível, o lugar é colado na famosa pedra azul e possui vários pontos ""instagramáveis"" para os amantes de fotografia. O que mais nós impressionou foram os pratos no nosso jantar, elaborados pela chef Anna. 🙌🏻"
out. de 2022,5,Encantador o lugar com lago negro e pedra azul na nossa janela do quarto!,"Pousada linda, super bem cuidada, com piscina e quadras de tênis em frente à pedra azul e pedra do lagarto. Abrir a janela e encontrar esse visual! Os quartos são amplos e com banheirinha no chuveiro. Decoração bonita de madeira. Única ressalva foi a academia estar com a esteira quebrada e achei que faltaram no café da manhã um omelete, tapioca, pão de queijo quentinho."
out. de 2022,5,Adoramos e com certeza voltaremos!!!,"Ficamos no quarto de baixo e podemos escutar barulho no quarto de cima, (passos, cadeiras arrastando), acho que poderia melhorar somente isso, no mais a pousada é ótima, o atendimento é excelente, o restaurante é excelente tb. Enfim recomendo."
out. de 2022,5,Vale Muito Conferir!,Localização e atendimento nota 10. Acomodações rústicas combinam com o clima da serra. Café da manhã na medida: sem exageros e feito com muito capricho. Restaurante com bom cardápio. Piscina poderia ser aquecida.
out. de 2022,5,"Simplesmente maravilhoso, lindo lindo de mais !!!","Simplesmente maravilhoso, lindo lindo de mais !!! A pousada é muito linda, rustica. O restaurante é divino, o café da manhã com aquela lareira é sem igual. Uma piscina top, a paisagem é deslumbrante. Mas para ficar 100% excelente só falta a hidro para casal, a hidro é individual (conforme informado no site) mas pelo nível da pousada, merece uma hidro para casal."
out. de 2022,4,"Ótima localização, mas o custo benefício não vale a pena","A localização e o café da manha são excelentes, mas o custo-benefício da pousada não é bom, pois o nível da acomodação não condiz com o preço. Na primeira noite em que ficamos na pousada o barulho de hospedes no quarto do andar de cima não nos deixou dormir."
set. de 2022,2,"Boa, mas com desabor","Não tem ferro de passar e cobram um absurdo para passar. O atendimento na recepção deixou a desejar. Piscina estava interditada por conta de um evento e só avisaram na véspera. Lugar lindo, mas pode melhorar a experiência."
set. de 2022,5,Viagem inesquecível.,"Um local maravilhoso, surpreendente, hospedagem acolhedora com boas instalações e serviços. É para não esquecer e voltaria mais vezes por não ter conhecido todas as atrações do local como a culinária, artesanato e cultura local."
set. de 2022,5,Ótimo passeio.,"Local muito bonito, bem cuidado. O hotel oferece ótima comida, com funcionários muito receptivos e atenciosos. A natureza local é de uma beleza exuberante, que nós dá vontade de não sair de lá. Deus é perfeito em suas obras."
ago. de 2022,5,Relaxante e aconchegante,"Pousada com visual lindo p a pedra , funcionários muito educados e solícitos ..localização ótimo , restaurante muito bom e linda decoração O lago dentro da pousada e a visão do por do sol é lindo com reflete o amarelo na pedra do lagarto . Fiquei encantada com o visual da pousada . Incrível"
ago. de 2022,5,Localização a melhor de toooda Pedra Azul e Domingos Martins como um todo,"Vista fantástica de qualquer ponto da Pousada (áreas verdes, lago, restaurante etc) cuidados especiais com a equipe de manutenção com seus jardins como se ""...tivessem uma assinatura de um grande paisagista como Roberto Burle Max..."" única ressalva em ""melhorar o isolamento acústico dos quartos"" ou novas ampliações de quartos com um maior critério""acústico""... Parabéns aos atendentes Henzo & Tamara sendo ambos sempre preocupados nos aconselhar ""os melhores roteiros & restaurantes"""
ago. de 2022,5,Final de semana Perfeito !,"Pousada maravilhosa , aconchegante . Fomos muito bem atendidos .Café da manhã muito farto. A localização bem favorável , próximos aos melhores restaurantes da rota do lagarto . Super indico .Amamos !!"
ago. de 2022,5,Excelente,"A Pousada é linda dmais. Jardins lindo e mto verde. Limpa e extremamente organizada. Restaurantes tanto jantar e almoço comida deliciosa, quanto o café da manhã. Vale cada centavo. Quartos extremamente confortáveis, lindos e lindos."
ago. de 2022,5,Perfeito,"Foi tudo maravilhoso e perfeito com certeza vamos voltar para um outro passeio. Deixo como sugestão de ter uma piscina aquecida, pois ficamos com vontade de utilizar porém a água gelada não ajudou muito kk."
ago. de 2022,5,Eu voltaria!,"Excelente Pousada, empregados simpáticos, solícitos e competentes. Café da manhã variado e delicioso. Ambiente tranquilo e muito bonito. Único ponto a melhorar é a proteção acústica dos quartos que não proporciona privacidade e silêncio em caso de ocupação vizinha."
ago. de 2022,4,Muito boa,"Muito bom, excelente café da manhã e vista maravilhosa, só os quartos que acho que deveriam ter uma lareira, os recepcionistas e camareiras são bem simpáticos, em geral vale muito a pena conhecer e ficar na pousada pedra azul."
