Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Hospedagem espetacular,"Sempre hospedamos no china parque, nosso filho de 09 anos gosta muito da recreação, a alimentação de super qualidade!! Os garçons João Felipe e Celso baiana com ótimo atendimento e cordialidade. No Espírito Santo é o melhor."
uma avaliação Ontem,5,Lugar perfeito para passar em família,"Lugar muito agradável. A comida é excepcional. Adorei. Ótima localização, clima super agradável , mesmo sendo em pleno verão. Com certeza, assim que puder, voltaremos para apreciar o ambiente . Adoramos o passeio."
uma avaliação Ontem,5,Surpresa,"Viagem em família, passamos para conhecer e tivemos uma exelente surpresa, superou as expectativas, estávamos de passagem, voltaremos mais vezes, comida boa, quartos limpos, boa estrututa e ótimo atendimento"
uma avaliação Ontem,5,Ótima experiência,"Gostamos sempre de vim no aniversário da minha filha, esse ano, solicitei um bolo, a Lucelia foi muito gentil e atenciosa me ajudando na escolha do bolo. No dia do parabéns, a equipe (Douglas, Sirlene e Elane) foi atenciosa e cantou parabéns. A equipe de recreação também ( Tio Soneca, Tia Valente, Tia Fafá, Tia Shock, Tio Palito, Tia Parafusa, Tio Avatar, Rock, Montanha e Tio Vigarista) , e também o pessoal da recepção (Mikaelly,Jarbas, Gabriel, Dayane).  E não poderia de deixar de elogiar o chefe, que fez um bolo lindo e saboroso para o aniversário da minha filha."
29 de dez.,5,Excelente opção de lazer,"Viemos pela segunda vez ao China Park e temos só elogios. Três observações importantes que gostaríamos de fazer sobre o hotel fazenda China Park.  1 - atendimento espetacular, principalmente pelo garçon João Felipe e sua equipe e a camareira Flávia.  2 - sugestão para melhor a opção de sucos nas refeições, pois achei pouca e repetitiva, mas o buffet é excelente.  3 - horário de check-in as 16:00hs e saída às 12:00hs, acredito quê levamos uma leve desvantagem com esses horários.    No mais ee tudo muito bom."
29 de dez.,5,Experiência agradável,"Hotel com ótimo clima, localização, bom para o verão e principalmente inverno, estrutura formidável, atendimento impecável, principalmente se feito pelo Gabriel da recepção, que nos auxiliou em tudo o que precisávamos e se colocou à disposição."
29 de dez.,5,Ótima experiência,"Eu e meu esposo ficamos hospedados no hotel e amamos a experiência, começando pela recepção, quem nos atendeu foi o Gabriel e já pudemos ver a qualidade do serviço, pois ele foi extremamente educado, solicito e atencioso conosco. Chegando ao quarto fomos surpreendidos novamente com o trabalho muito bem feito da camareira Naiara, que também nos atendeu prontamente assim que solicitamos. Nossa estadia foi ótima, a comida é excelente ponto que também precisamos ressaltar."
29 de dez.,5,Férias no China Park,"Tudo muito bom. Atendimento excelente dos garçons João Felipe, Baiano e Celso. Eles foram tops nos atendimentos, muito atenciosos. A equipe do hotel tanto da recepção, quanto da limpeza foram excelentes também."
29 de dez.,5,Férias,"O serviço é excelente , a camareira Juliana foi muito atenciosa e solicita , nós atendendo em tudo que precisamos . A comida também estava ótima e a equipe de recreação também foi muito legal , a minha filha se divertiu muito"
29 de dez.,5,Diversão,"Dias de muita diversão e descanso com amigos e filhos. Estávamos em 4 casais, todos com crianças. O garçom Baiano foi o que geralmente nos atendeu, muito simpático e solicito. Parabéns aos demais funcionários também pelo atendimento."
29 de dez.,5,Avaliação,"Comida muito boa, atendimento do Baiano excelente. A variedade de comida é otima, apenas no café da manhã poderia ter frutas diferentes a cada dia.  Area de lazer e recreação completa com recreadores animados.  Os travesseiros poderiam ser melhores, mas tivemos uma estada bem proveitosa."
29 de dez.,5,Hotel incrível,"Hotel incrível e profissionais extremamente educados. Parabéns a toda equipe do china que deixa ainda mais especial nossa hospedagem. especialmente quero parabenizar o João Felipe, Boliano, Celso, Maycon, Juliana, Eloiza, Baiano e Renata. Parabéns!!!!"
29 de dez.,5,Camareira Zenilda,"Atendimento da camareira Zenilda, excelente, simpática, educada, comunicativa, durante toda hospedagem sempre manteve quarto limpo, troca de toalhas diariamente, limpeza impecável, quando solicitada esteve a disposição, parabéns!"
28 de dez.,5,Excelente!,"As acomodações são 200%, limpeza impecável, variedade de recreação e lazer. O atendimento é sem detalhes, fomos atendidos pelo Sr. João Felipe durante a festa de natal. Super atencioso e prestativo. Certamente retornaremos!"
28 de dez.,5,Férias,"Gosto muito do hotel fazenda parque do china, do ambiente, das atrações, dos atendimentos e gostaria de citar alguns garçons... João Filipe, Marcelo, João Paulo, Celso, Junior; entre outros o meu muito obrigado."
28 de dez.,5,Excelente,"Ótima experiência, melhorou muito com o atendimento do Garçom chamei Baiano. Muito atencioso e gente boa! O parque do China é ótimo pra família, casal e todo mundo. Recreação ótima. Piscina ótima. Buffet maravilhoso!"
28 de dez.,5,Férias,"O Garçom baiano bastante prestativo e excelente atendimento, o hotel oferece tudo oque está descrito, super indico pra qualquer pessoa, comida excelente impecável, serviço de quarto ótimo, todos funcionários sempre bem prestativos e educados super indico pra qualquer pessoa"
28 de dez.,5,Maravilhosa,"Comida maravilhosa, atendimento excelente, todos funcionários educados e prestativo, lugar extremamente Aconchegante pretendo voltar várias outras vezes, bastante coisa pra passar o tempo, resumindo o lugar é excelente super indico pra qualquer pessoa"
28 de dez.,5,Visita fantástica,"Fizemos uma visita ao park do china e adoramos tudo desde a alimentação ao atendimento de todos. Destaco os funcionários João Felipe, João Paulo, Marcelo, Júnior e Celso. Adoramos tudo voltaremos mais vezes. Parabéns, equipe!!"
28 de dez.,5,Sempre Maravilhosa a experiência.,"China Parque sempre é um experiência muito boa, o lazer, atendimento e alimentação.  Viemos com um grupo de amigos e todos amaram a experiência.  Um destaque para o café da tarde que sempre é espetacular e um mérito para o atendimento excepcional do João Felipe, muito educado e atencioso."
28 de dez.,5,Excelente atendimento,"Excelente atendimento da equipe parke do china,muitos prestativos e atenciosos com nossos pedidos,sempre com um sorriso e com informacoes precisas sobre o cardapio eos horarios  Baiano,Maycon,jadeon,joao paulo,luan,felipe,suihan"
28 de dez.,5,Atendimento garçom Baiano,"O garcon Baiano é atencioso, bem humorado e competente.  Além de tudo, flamenguista gente boa.  Nos atendeu de acordo e sempre se colocando a disposição.  Puxou assunto e se mostrou prestativo e atento.    Nota 1000    Recomendamos"
28 de dez.,5,Recreação brinquedao,"A Ariane é ótima ela está de pá sempre cuidando das crianças, fez um trabalho incrível com a minha irmã, ajudou ela nós brinquedos ela é maravilhosa e super educada 👏👏👏 ela merece muito reconhecimento 👏👏😍"
28 de dez.,5,China Park Buffet,"Parabéns a toda equipe do café da manhã. Tudo muito gostoso e, em especial, a Eloísa, Renata e Juliana pela simpatia, educação e presteza! Voltaremos sempre para desfrutar das delícias e da gentileza do povo capixaba."
28 de dez.,5,Garçons,"Estou extremamente satisfeita, principalmente pelo atendimento do garçom Baiano. Muito prestativo, atencioso, simpático e humilde. O restaurante precisam de mais pessoas como ele, de excelência e confiança."
28 de dez.,5,O baiano,"Ótimo atendimento do garçom baiano, está de parabéns.  Muito atencioso e prestativo isso para o park China é fundamental.  Sempre estou aqui e o atendimento dele foi diferenciado super parabéns para ele.  Continue assim mantendo pessoas como ele pq faz muito diferença!"
28 de dez.,5,Paixão,"Este hotel tem tudo que precisamos, aérea verde muito linda, com várias recreadores para as crianças e várias atividades também para crianças e adultos, os funcionários são muito atenciosos, principalmente os do restaurante, a funcionária Juliana se destaca no atendimento."
28 de dez.,5,Maravilhoso,"Hotel tem uma infraestrutura completa e excelente. Os funcionários desde a portaria na entrada até os da limpeza, principalmente os do restaurante são muito delicados e atenciosos, principalmente Juliana e João Paulo."
28 de dez.,5,Férias em família.,"Atendimento excelente o tempo todo. Equipe de trabalho nota mil. Os garçons são super atenciosos, principalmente o garçom Baiano que nos acolheu com sua simpatia e dedicação. Os garçons Maycon, João Paulo, Luan, Janddeon, Felipe, Suihan, também foram excelentes.Gostaria de citar o nome de todos, mas não tem como.rsrs"
28 de dez.,5,Melhores férias de final de ano!,"Minha família amou a experiência, é um local ótimo para crianças e com comida ótima!  Gostaria de agradecer de mais o carinho das meninas do centro gourmet Juliana e Renata, a simpatia e o carisma da tia Fafa do trenzinho e de toda a equipe da recreação. Vocês são nota 1000!!!!!!"
28 de dez.,5,Experiência de hospedagem,"Excelente lugar e execelentes garçons, dentre eles o Baiano, Maycon, Jandeon, João Paulo, Luan, Felipe, Suihan.  Todos muito prestativos e atenciosos!  A experiência da hospedagem é incrível, o lugar é aconchegante e possui várias atividades."
28 de dez.,5,Excelente lugar,"O park é lindo, o chalé tbm, superaram nossas expectativas. Excelente atendimento dos garçons, principalmente o Baiano, e serviços em geral. O agendamento do chalé com a Lucília tbm foi muito bom. Um verdadeiro achado esse park, valeu a pena a viagem de SP para esse paraíso. Além de tudo, trataram nosso cachorro como membro da família."
28 de dez.,5,Maravilhoso,"Excelente lugar! Funcionários exemplares.  Baiano, Maycon, jandeon, Luan, João Paulo, Felipe suikan... Todos fazem de tudo pra nos servir com excelência.  Comida maravilhosa, lugar bom pra criança e aceitam pets."
27 de dez.,5,Recreação perfeita para os pequenos.,"Foi o natal mais especial que poderíamos ter tido. Quero deixar aqui o meu agradecimento a turma da recreação que minha filha amou, Vigarista, Soneca, Avatar, Chock, Valente, Palito e Montanha.  Tudo perfeito. Comida para todos os gostos com excelência. Atendimento maravilhoso em todos os setores, em especial ao garcon Mateus que com muita simpatia nos atendeu durante esses dias.  Mas também quero falar de uma abordagem desnecessária e inconveniente logo na chegada por funcionários com pranchetas querendo saber tudo da nossa vida para tentar nos vender cotas. Tirando isso, tudo perfeito."
27 de dez.,4,Estadia muito agradável,Tivemos uma ótima experiência na nossa estadia. O atendimento de toda a equipe é excelente. Especial agradecimento ao atendimento dos garçons Marcelo e Maycon sempre atenciosos! Esperamos voltar em breve.
27 de dez.,5,China Park,"Esse lugar é maravilhoso, o atendimento excelente por a equipe, Luan, Maycon, Bahiano,Jandeon, Jão Paulo, obrigada, por todo cuidado e dedicação, esse lugar ficou marcado em minha história, espero voltar muito mais vezes, se Deus permitir."
27 de dez.,5,"O que te leva a voltar é o pacote completo de bom atendimento, lazer e acomodações.","Fui ao parque do China numa curta viagem de Natal e logo ao chegar no hotel me surpreendi com a gentileza do recepcionista Gabriel, que esteve sempre pronto para resolver todos os problemas. Durante a estadia, fui muito bem tratada por todos, e desde às moças da limpeza até os garçons do restaurante, e em especial deixo aqui meu agradecimento ao Bahiano, João Paulo, Luan Taide, e Marcelo Henrique e Suhian! Ah, e de carro chefe, o a comida do lugar é DIVINA! Estou muito contente"
27 de dez.,4,Restaurante,"Baiana, João Paulo, garçons café da manhã vinte e sete dezembro. Acesso ao hotel pista horrível asfalto péssima condições, mesa de sinuca precisando trocar o forro, tacos de sinuca sem condições de uso, jogo de toto quebrados sem condições de uso, mas Ping pong tortas ou seja todos os equipamentos de jogos sem condições de uso verdadeiro enganação."
27 de dez.,4,Satisfação pelo invistimento,"Muito bem atendido pelos garçons luan ataide, maycon, bhaiano, jandeon, joao paulo com muita educação, prestativos e muito organizados, parabens a equipe pela competência e com um comprometimento para conosco muito bom"
26 de dez.,5,Férias,"Eu e minha Família amamos os dias que passamos no China Park, a recepção de todos os colaboradores é maravilhosa, cada cuidado com nossa família foi fundamental para termos momentos marcantes , o cuidado da Zenilda com nossa suíte, os meninos João Felipe e Junior com nossa alimentação, a turma do chininha( shock, pirulito, valente, fafa, soneca, montanha, avatar, parafusa e vigarista) com todo o amor a nossa pequena."
26 de dez.,5,RECREAÇÃO PERFEITA!!!!!!,amo o tio palito desde 2018 e conheci a tia chock e perfeita dms!!! amei que elas desenvolvem demais as brincadeiras  Francisco super nos atendeu muito bem!!!  e o park como sempre melhorando cada vez mais mas que pena que choveu o fim de semana inteiro🥹🥹🥹🥹🥹🥹
25 de dez.,5,China Park,"Adorei o lugar...comida deliciosa. Quarto limpo e confortável, os garçons João Felipe. Celso, Jr e Jandeon são cordiais e atenciosos...com certeza voltarei em outra oportunidade.  Aproveito pata falar sobre a limpeza da colaboradora Zenilda."
25 de dez.,5,Parabéns para a Colaboradora Elizângela 2 é um Feliz Natal pra ela.,"Amo o parque do China e amo também os colaboradores, mais em especial aqui quero deixar em ênfase a colaboradora Elizangela 2, pessoa incrível que estava responsável pela unidade do recanto dos guerreiros. Em pleno natal mais é fazendo tudo com muito carinho e bem carismática. Parabéns e um Feliz Natal pra vc Elizângela."
25 de dez.,5,Excelente,"Execelente atendimento da Ariane do brinquedao e lurdinha, a comida entao nem se fala a noite se natal foi maravilhosa td muito bem organizado, o local aconchegante quartos maravilhosos os funcionarios em geral sao todos bem atenciosos, muito bom !!"
25 de dez.,5,Natal,"Passei esses dias do Natal aqui no Park e quero agradecer o excelente atendimento dos garçons Jandeon, Douglas, Rian, Maicon e Celso. Todos muito prestativos e sempre de bom humor para nos atender.  Da recepção não posso deixar de citar a Luana que sempre me atende com excelência e também a Johana, além delas, o Victor que está sempre disponível para resolver toda e qualquer situação.  Muito bom passar o Natal mais uma vez nesse lugar tão agradável.  Feliz Natal a todos vocês!"
25 de dez.,5,Nosso Natal no China Park,"Lugar excelente para passear com a família, super recomendo, é a minha segunda vez neste lugar maravilhoso, com certeza iremos retornar, o quarto que ficamos super limpo, quero muito agradecer a simpatia e gentileza da camareira Flávia Lima, que nos atendeu muito bem, outra pessoa que tivemos muita alegria em conhecer foi o tio Palito, minha filha se encantou com ele, muito gentil e educado com as crianças, enfim, só tenho elogios com equipe China Park, sem dúvida nenhuma um lugar para se alegrar com toda família."
25 de dez.,5,Lugar excelente tranquilo,Lugar familiar  Com atendimento sem comentários  Todos atendem nos super bem  Deus abençoe sempre  O garçom que nós atendeu está de parabéns o BAIANO  está de parabéns  Já viemos outras vezes e super aconselho
25 de dez.,5,Atendimento excelente,Atendimento excelentes  Já é a 3 vez que viemos neste lugar  Um lugar aconchegante familiar  E o atendimento do BAIANO o garçom que nos atendeu super excelente trabalho  Só agradecer 😃  Voltaremos mais vezes
25 de dez.,5,Natal Magico,"Tudo perfeito, desde o ambiente, educação dos funcionários, a equipe de recreação foi maravilhosa. O centro gourmet foi espetacular, desde o café da manhã até o jantar, tudo impecável. Só deixou saudades de voltarmos novamente."
25 de dez.,5,Natal 2022,"Esse é o nosso 6 natal aqui parque china.  Amamos a estrutura, ambiente, atendimento, comida excelente, tudo perfeito, zero reclamações.  Indico com certeza a virem conhecer e se hospedar, meu filho ama tudo aqui, ele é autista e fica super bem, sem contar que a equipe se preparou para o receber, buscando conhecer tudo Ele gosta.  Deixo aqui um like 5 estrelas pelos atendimentos dos garçons João Felipe e Baiano, super prestativos e simpáticos, fizeram bom trabalho durante nossa estadia assim como toda a equipe.    Katicilene Holtz"
25 de dez.,5,Melhor lugar para se estar com a família,"Passei meu natal em família no China Park e foi minha melhor escolha. Ambiente extremamente agradável, quarto enorme, mt lazer e comida espetacular. A ceia foi perfeita! Recomendo demais e já quero voltar"
24 de dez.,5,Nota 10,"Gostei de todas as atividades, e de em específico o atendimento dos garçons Celso, Jandeon, Júnior e Douglas. A única dica que eu dou para o hotel é colocar barras fixas para o apoio no banheiro dos chalés."
