Data da opinião,Nota,Título,Conteúdo
4 de dez.,5,Nosso ligar na serra do Espírito Santo . Voltaremos em breve .,Maravilhosa . Tenha calma para desfrutar tudo que eles preparam para você . Fique no hotel no quarto e aproveite . Tenha tempo para se surpreender com o café da manhã servido com  Muito carinho pelos colaboradores que fazem toda a diferença . Voltaremos em breve
nov. de 2022,5,Local impecável e atendimento pessoal especialíssimo!!!,"Estivemos hospedados entre 05 e 08/11/2022 na Suíte Aymorés, que é muito aconchegante e bem decorada, onde o atendimento pessoal foi de primeira linha, com muita e pronta atenção de todos que tivemos contato, com especial atenção dada nas manhãs pela Natânia e no jantar de comemoração de aniversário da minha esposa, onde fomos surpreendidos por um arranjo feito pelo Júlio Dias, sendo notável o esforço em nos colocar em ótimo local, com decoração de mesa perfeita e coroando a noite com um jantar muito equilibrado e delicioso!!!"
nov. de 2022,5,Detalhes que fazem a diferença,"A minha primeira impressão não foi boa. Fizemos um pedido de reserva on line , que não foi respondido. Ao fazer contato telefônico a suíte desejada já não estava disponível. Tivemos que escolher outras, mas ao chegar no lugar isso não fez a menor diferença, pois fazem de tudo para a experiência ser incrível.  Dizer que o lugar é lindo, impecável, bem cuidado é redundante. Mas, o que faz a diferença são as pessoas. Absolutamente todos os funcionários foram impecáveis e fazem de tudo para agradar. Destaque para o Maxwell.  Algumas observações! A pousada não tem um spa. Mas, tem uma massoterapeuta excelente. Um espaço próprio seria maravilhoso. Também não tem alguém para carregar as malas e o estacionamento é um pouco distante. Ideal é parar o carro em frente ao quarto, tirar as bagagens e depois estacionar. Tivemos um incômodo com um hóspede que não entendeu a vibe do local, fazendo barulho após 00:00, mas a equipe resolveu a situação para as noites seguintes."
nov. de 2022,5,Tudo impecável!,"Sem dúvidas a melhor pousada que já fiquei hospedada, tudo é impecável! Desde a recepção até a atenção dos funcionários, que são super solícitos e educados. A Pousada Rabo de Lagarto não é apenas uma hospedagem e sim, uma experiência de cheiros, sabores e beleza que se apresentam nos mínimos detalhes. Estive em uma época de chuva e amei ter uma lareira no quarto para nos aquecer.♡ Quero destacar também, o café da manhã com as surpresinhas que sempre nos surpreendiam com algo super saboroso."
out. de 2022,5,Um lugar especial,"Ao chegar na pousada fomos surpreendidos pela beleza e cuidado do lugar…  Fomos muito bem recebidos do início ao fim da nossa hospedagem!!!  Me sentir como se fosse uma Rainha sendo tratada com tanto carinho e profissionalismo dos funcionários em geral.  E gostaria fazer um agradecimento em especial para todos inclusive para a Vanessa que esteve nos servindo no café da manhã, com sua simpatia e cordialidade, sem falar em todas as fotos lindas que ela com muito carinho nos ajudou a registar esse momento tão mágico e ÚNICO para nós.    Confesso que não tivemos vontade de ir embora e que já saímos com saudades.    Voltaremos com certeza!!!!"
out. de 2022,5,10 anos juntos!,"Tudo irretocável! Melhor café da manhã da vida! Sempre um prazer enorme nos hospedarmos aqui! Lilian e toda sua equipe estão de parabéns!  Você sente o carinho em cada detalhe, na limpeza, nos aromas, nos mimos deixados! Obrigada pela experiência Lilian"
out. de 2022,5,A melhor,"Esta pousada sem dúvida é a melhor da região de Pedra Azul. Ambiente muito agradável, funcionários educados e profissionais. Café da manhã impecável. Fica ao lado da Rota do Lagarto, que é onde há concentração (algumas) de lojas e restaurantes."
out. de 2022,5,Chiquerrimo!,"Restaurante chiquerrimo!  Fomos recebidos com um sorvete de azeitona preta! Nhoque ripieno com cogumelos Paris, papardelle de fillet migno, risoto de camarão c siciliano, super leve! Delicioso! Lugar lindo!  Ambiente estilizado e encantadora a decoração"
out. de 2022,4,Ótima pousada,"A Rabo da lagarto é a pousada mais bem conceituada da região do ES.  Eu e meu marido fomos esse mês de outubro comemorar 1 ano de casamento.  É uma pousada aconchegante, bonita, bem arborizada, os quartos tem uma decoração linda!  O café da manhã e ótimo - onde há um menu degustação com vários mimos/surpresinhas muito gostosas.  Os funcionários são impecáveis! Muito atenciosos.  Eu acredito que vale o preço que se cobra nas diárias, visto todo conforto e alimentação oferecidos.  O que acredito que não combina é os 10% sob o valor total da diária, já que o preço já é considerável. Mas tudo bem pedir para retirar.    Vale a visita!  Muito bom"
out. de 2022,5,Impecável,"Faltam adjetivos para tentar descrever o quanto este lugar é incrível.  A extrema atenção aos detalhes faz desta pousada uma experiência única.  Atendimento personalizado ao hóspede, decoração rica em detalhes aconchegantes, gastronomia impecável e uma paisagem exuberante.  É impagável o carinho na forma como somos tratados.  Local incomparável e momentos inesquecíveis.      There are no adjectives to try to describe how amazing this place is.  The extreme attention to detail makes this place a unique experience.  Personalized service to the guest, decoration rich in cozy details, impeccable cuisine and an exuberant landscape.  The affection in the way we are treated is priceless.  Incomparable place and unforgettable moments."
