Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Agradecimento,"Meu review é para agradecer e parabenizar o atendimento que recebi do Supervisor Rafael Costa da recepção do hotel Renaissance, com profissionalismo e muita cortesia.  Estendo meus agradecimentos aos jovens Wesley e karolaine do lounge, com atenção e demonstrando preparo."
set. de 2022,5,Segunda vez neste Hotel neste ano / Staff maravilhoso.,"Esta foi a nossa 2ª experiência neste Hotel neste ano.  A nossa estadia foi maravilhosa desde o 1º minuto, quando fomos atendidos impecavelmente no Check-in pelo Gabriel, e em outros momentos no front-desk pelo sempre atencioso João Pedro. Estes dois são muito queridos e especiais para nós, eles elevam o nível de atendimento deste hotel ao máximo.  O Staff da recepção é simplesmente extraordinário.  O café da manhã além de ser um espetáculo à parte, conta também com uma equipe maravilhosa. Ana, Sávio, Alan e Renato são sensacionais no que fazem. O atendimento magistral desta equipe tornava nosso início do dia perfeito. Eles fizeram do nosso café da manhã um momento muito especial e inesquecível. Esta turma espetacular é regida pelos sempre atenciosos Natália e Kevin.  O primoroso atendimento da Karolaine, Eduardo e Wesley do Club Level, tornou os nossos finais de tarde no Lounge num dos momentos mais agradáveis e felizes da nossa estadia, eles superavam nossas expectativas em todos os momentos. Eles estavam sempre atentos e fizeram tudo o que puderam para tornar nossa experiência mais agradável e melhor.  A Camila e a Mariana da recepção do Club Level merecem nossos elogios por sua simpatia e atenção. Ainda sobre o Club Level, o Chef Gilmar e o Chef André sempre nos surpreenderam com seus pratos deliciosos, e o Bruno da confeitaria fazia um brigadeiro sem igual. Essa equipe é demais.  A Marta e a Dete que cuidavam da limpeza do nosso quarto são ótimas, sempre simpáticas e atenciosas.  Enfim, gostaríamos de agradecer também a todos aqueles que não tivemos o prazer de conhecer, mas que sempre ao nos encontrarmos pelos corredores nos cumprimentavam com um sorriso e uma palavra gentil, temos certeza de que estes também são especiais.  Nós com toda certeza não viemos a São Paulo, viemos ao Renaissance, não escolhemos uma cidade, escolhemos um Hotel.  Muito obrigada a todos.  Graziela e José."
dez. de 2022,5,Ótima experiência,"Gostaria de agradecer o serviço incrível do supervisor da recepção Rafael Costa que nos ajudou no checkin com muita simpatia e profissionalismo.  Um super obrigada também para o Wesley e a Karolaine no lounge que nos recepcionou com muito carinho e um serviço incrível.  Tivemos uma ótima experiência no hotel. Quartos lindos e limpos, decoração do lobby moderna e uma ótima localização. Chegamos no meio do treinamento de incêndio."
dez. de 2022,5,Excelente,"Viemos comemorar aniversário de minha esposa, foi muuuito bom. Hotel nos deu um presente maravilhoso no quarto. Staff muito simpático. Café da manhã , muito bom. Localização excelente. Destaco a cama do hotel, muito confortável. Queremos voltar"
dez. de 2022,5,Terceira vez neste Hotel neste ano / Staff maravilhoso.,"Nesta nossa terceira vez neste Hotel neste ano, Isadora com sua competência e simpatia deu início a mais uma experiência maravilhosa neste Hotel. Natani sempre atenciosa também nos atendeu em alguns momentos no Front Desk e Olivia encerrou nossa hospedagem com um agradável check-out.  Gabriel e João Pedro do Front Desk são extremamente competentes, são sensacionais no que fazem, eles são impecáveis, superavam nossas expectativas em todos os momentos, eles sabem como fazer um hóspede se sentir bem-vindo, eles são demais!!  A recepção tem um staff inigualável.  Victória, Natália e Patrícia nos recebiam todos os dias no café da manhã com muita simpatia e atenção. Sávio, Ana, Teixeira, Thiago e Ivanildo deram sempre o seu melhor, e fizeram nossos cafés da manhã serem um ótimo início de dia. Esta equipe é fenomenal.  Karolaine, Eduardo, Wesley, Nayara, Ally, Bruna, Paulo, Mariana, Letícia, Ana e Luciana, do Club Lounge sabem o que fazem, são extremamente atenciosos e profissionais, a atenção e o carinho deles fizeram nossos finais de tarde serem um dos pontos altos da nossa estadia. Esta equipe espetacular é regida pela sempre atenta Camila.  Chef Gilmar e Chef André com seus pratos deliciosos e o Bruno da confeitaria com seus deliciosos brigadeiros também fizeram parte dos nossos maravilhosos finais de tarde no Hotel.  O Room Service conta com o sempre atencioso Renato.  Nougre estava sempre atento e gentil no Lobby.  O Hotel novamente nos proporcionou momentos inesquecíveis, superando sempre nossas expectativas. Lembrando sempre que o Staff é o seu grande diferencial.  Enfim, gostaríamos de agradecer também a todos aqueles que não tivemos o prazer de conhecer, mas que sempre ao nos encontrarmos nos cumprimentavam com cordialidade e simpatia, temos certeza de que estes também são especiais.    Graziela e José."
dez. de 2022,3,Quarto ruim,"Quarto deixou muito a desejar! Pelo preço da diária e considerando todas as estrelas que ainda tem , o lençol estava com uma mancha , não sei dizer do que e, meu marido achou uma unha postiça no chão do quarto! Ainda pedimos para fazer um late checkout e o recepcionista disse que infelizmente teríamos que sair até às 12h pq não tínhamos o cartão fidelidade!!"
dez. de 2022,5,Perfeito!!! Vale muito a pena!,"Ótimo do começo ao fim! Fomos recebidos muito bem pela atendente Clara. Durante o checkin a Clara notou que era aniversário da minha esposa e, para nossa surpresa, recebemos um espumante em nosso quarto depois. Tudo foi excepcional!!…….."
dez. de 2022,5,Excelente hotel,"Estive hospedada com minha irmã no último final de semana de novembro e tudo foi maravilhoso: o atendimento de todos os funcionários, sem exceção, primoroso e gentil; o quarto muito limpo e excelente, silencioso e com camas super confortáveis. O café da manhã estava divino. Perto da avenida paulista, ao lado de excelentes restaurantes e do MASP. No sábado assistimos a peça de teatro Barbara, no próprio hotel. Recomendo a estadia no hotel para quem vier a São Paulo!"
nov. de 2022,5,Um dos melhores hotéis de SP Capital,"Provavelmente o melhor hotel da capital do Estado de São Paulo. O padrão é internacional, com equipe cordial e disposta a resolver absolutamente qualquer problema que você venha a enfrentar na estadia ou mesmo os de ordem pessoal e de negócios."
nov. de 2022,5,Hotel Renaissance,"Lugar excelente, muito bom atendimento! Fiquei no SPA e Jantar, anteriormente já tinha ido no café da manhã por duas vezes, tudo impecável! Quero voltar e super indico! Tem lounge também com bar drinks e comida japonesa com muita variedade."
set. de 2022,5,Café da manhã e atendimento excelentes,"Fomos tomar café da manhã no hotel. A experiência foi excelente, muita variedade e a frutas pareciam selecionadas de tão boas.    O atendimento feito pelo garçom Renato foi muito atencioso.    Pela ambientação e pela experiência o preço foi ok, super recomendo!"
set. de 2022,4,"Ótima opção, excelente localização","Staff atencioso, prestativo... Bar e restaurante do lobby muito bons. Ótima localização. Café da manhã muito bom. Pontos negativos: quarto um pouco apertado e banho. O banho precisa melhorar. A ducha nos fazia correr atrás da água. Ou: ducha incompatível com o padrão pretendido pelo hotel e esperado pelo hóspede. Banho fraco mesmo."
set. de 2022,5,Bodas de Porcelana,"Não poderríamos ter feito melhor escolha para celebrar nossas Bodas.  04 dias sendo acolhidos com extremo profissionalismo e empatia genuína.  Ótima localização, muito conforto e bom gosto na decoração.  Café da manhã fora da curva (experimente os Ovos Beneditinos).  Saudações super especiais ao Gerente Marcelo que quando soube do motivo de nossa estadia nos presenteou com um espumante no quarto.  Abraços fraternos ao Emerson e demais amigos do bar do lobby ( Gianechinni e J.Bieber rsrsrs) e tb para a Bar-Girl que me serviu o melhor Negroni da vida.  O hotel ainda conta com um teatro onde hospedes tem 50% de desconto...execelente.  Nossa "" nova casa ""em S.Paulo, com certeza...  Até breve!"
set. de 2022,1,Hotel que segrega as pessoas e só atende bem os padrões. Nos sentimos humilhadas no local pelo segurança.,"Hotel que segrega as pessoas por gênero / vestimentas / orientação. Sem dúvidas, a minha maior decepção durante minha visita a cidade de São Paulo. Fomos ao hotel conhecer o local porque já tínhamos ouvido falar sobre o restaurante ser incrível (que de fato é) e o hotel em si, porém fomos surpreendidas depois por seguranças do hotel que nos taxaram de fãs de artistas que estavam supostamente hospedados lá e nos expulsaram do espaço do hotel, nos mandando ir para a “rua” em 5 minutos caso quiséssemos pedir o Uber. O mesmo segurança foi extremamente grosseiro conosco, enquanto explicávamos que já tínhamos consumido no bar, etc. mesmo se fôssemos fãs de quem supostamente estava lá, o que poderíamos fazer? já não consumimos no espaço e não estamos conhecendo o hotel como qualquer outra pessoa? Liguem as câmeras pra ver se fomos atrás de pseudoartistas em algum momento. Além disso, outro grupo de garotos e pessoas padrões estavam sendo tratados normalmente, por que será? Minha esposa saiu totalmente constrangida do local, isso acabou com o restante da noite dela que chorou sem parar pela forma desrespeitosa como fomos tratadas. O atendente da recepção João, foi bastante solicito, disse que iria repassar aos superiores e pediu desculpas, mas hoje, 2 dias depois do ocorrido, não recebemos nenhuma ligação como pedido de desculpas dos seus superiores. Pelo visto ninguém “ligou” para o que ocorreu, isso já mostra a “preocupação” do hotel com o ocorrido. Fomos clientes do bar como todos os outros, consumimos e se o problema era estar “hospedado” era simples: não liberasse entrada do público externo no bar, ou então nos pedissem para nos hospedamos (se o problema for dinheiro, isso a gente tem). O que poderia virar posteriormente uma estadia, a ida ao hotel virou uma completa decepção. Nos sentimos tratadas como um lixo. Se eu puder, falarei mal ao hotel por onde for. Não por sua estrutura/ alimentação, mas sim pelo despreparo e pela nítida segregação. Nesse ponto, estão há anos luz de distância (atrasados) de outros hotéis de SP que já fomos. Além do mais, isso é crime. Que fique registrado aqui e em todas as páginas que eu puder falar sobre o ocorrido."
jul. de 2022,5,Muito bom!,"Adorei as áreas comuns, o SPA, o café da manhã (peça os ovos benedict com cogumelos salteados), o bar. Só achei que os quartos deixam a desejar, para um hotel 5 estrelas. Falta um roupão, amenidades de melhor qualidade. Adorei o atendimento da Nathany, no bar."
jul. de 2022,5,UM TRANSATLÂNTICO DE LUXO NOS MARES DA CAPITAL,"Vc quer se sentir fazendo parte da REALEZA ? Este é o lugar perfeito! Que hotel e este? De proporções faraônicas tudo no hotel funciona, mas funciona mesmo ! A começar pela reserva (Marcela) da recepção (Clayton e Paulo) e de qq coisa q precisar no hotel (Mariana). Equipe bem afiada, atendimento pontual e sempre com um largo e cativante sorriso. Você não precisa sair do hotel. Tem quartos ultra confortáveis (uma cama maravilhosa) SPA, piscina e um lounge c música animada a noite. Hotel digno de um cruzeiro de luxo, onde você é cercado de mimos a todo instante. Tudo aqui e superlativo. P mim o melhor hotel do País. Aproveite cada momento de sua estadia e ae vai uma dica : não deixe de experimentar os ovos beneditinos no café da manhã : SÃO IMPERDÍVEIS !!!"
jul. de 2022,1,Aterrorizante,"O que vou escrever não sei se dá pra acreditar , vim passar a semana do meu aniversário e para mim foi aterrorizante ate então achei que o hotel era pet friendly achei que eles tinham o amor é cuidado que tenho por qualquer animal , depois de algumas vezes que sai para jantar ou almoçar percebi que meu cachorro estava super estranho quando voltávamos no quarto , ele se escondia , parecia que estava com medo achei que era a energia do ambiente até uma da vezes eu e meu esposo reparamos que ele estava tendo reflexos a qualquer movimento e ele nunca teve hoje dia 12/07/2022voltamos mais cedo do jantar (bem mais cedo do normal ),eu ja estava com o cartão então fui direto para elevador e subi e meu esposo ficou lá em baixo para pedir um novo cartão foi pior momento da minha viagem simplesmente percebi que meu cachorro NAO ESTAVA MAIS LA procurei em todos ambientes , ele tinha simplesmente desaparecido ,fiquei completamente desesperada depois se uns 20 minutos eu chorando e ligando para a recepção eles falaram que encontraram ele e que cachorro eles tiveram que trancar em uma “sala” mesma que deixam as malas do quarto dos hóspedes não acreditei até acontecer com o meu próprio , final das contas traumatizante experiência até hoje não sei exatamente o que fizeram com meu cachorro só sei que ele esta completamente assustados com reflexos dos movimentos ! Assustador e aterrorizante ( ele estava vomitando pouco de sangue desde o segundo dia que chegamos no hotel não sei se tem a ver com o lugar que andavam tracando ele , só sei que foi aterrorizante chegar e não encontrar ele ) detalhe estávamos na segunda melhor suíte presidencial do hotel ! Tenho um vídeo até meu falando com a recepção e eles fazendo completo descaso !"
jul. de 2022,5,Ótima estadia,"Um ótimo hotel para se hospedar, próximo à avenida paulista, com fácil acesso.  Possui um teatro com várias atrações, que pode ser acessado pela parte interna do hotel.  Café da manhã bastante saboroso, com muitas opções disponíveis como omelete, tapiocas, dentre outros."
jul. de 2022,5,Um diamante em São Paulo,"Excelente localização, ao lado da av. paulista e a uma quadra das estações de metro consolação e paulista, 2 mega shopping centers a duas quadras, varias opções de restaurantes, bares, centro financeiro e comércio. O hotel tem instalações renovadas, modernas e impecáveis, com uma decoração intimista, de excelente bom gosto, acolhedora e super linda. O Renaissance São Paulo tem um padrão a nível internacional. São vários restaurantes com destaque para o espetacular Terraço Jardins e um bar super animado. O hotel dispõe de vários ambientes internos, piscina externa climatizada, o melhor Fitness Center em hotéis no Brasil, um Spa de categoria internacional com hidromassagem, ofuros, jacuzzi, saunas a vapor e seca, salas de massagem e ambientes de relaxamento. O centro de convenções é gigante com varias opções de sala, um teatro grandioso e um lounge muito agradável. O quarto é amplo, bem decorado, cortinas e black outs perfeitos, a cama é excelente com um enxoval novo e de ótima qualidade. Wi-Fi de alta qualidade e TV a cabo. O banheiro é amplo e moderno com um excelente duch, banheira e com produtos de amenities de primeira qualidade. O café da manhã está entre os melhores do mundo, um buffet espetacular de excelente qualidade, sucos feitos na hora e pratos a la carte.  O Staff são prestativos, atenciosos e amáveis. São muito mais do que excelente profissionais, são seres humanos maravilhosos. A gestão é extremamente competente, percebe-se um alto padrão de processos com serviços personalizados por uma equipe humana. Vale a pena. Recomendo."
jun. de 2022,5,Final semana delicioso,Encontro de amigas de faculdade. Fomos recebidas muito bem e com  Muita gentileza. Nos fizeram uma surpresa pelo aniversário de mais de 20 anos de amizade. Foi muito bacana. As acomodações estavam perfeitas. Jantar muito agradável no restaurante do hotel.
jun. de 2022,5,Sempre excelente,"Hotel impecável. Serviço de todos os funcionários sem erro , sempre perfeito e muito rápido. Café da manhã farto ( inúmeras opções) , de qualidade e delicioso. Quartos grandes, confortáveis, limpos e modernos. Localização para mim mais do que perfeita. Lobby com um excelente bar e tvs."
mai. de 2022,4,Surpreendente e atencioso,"Hotel grande, muito movimentado. Ótima localização. Nos recebeu super bem e conseguiram antecipar a liberação do quarto as 11:30, bem antes das 15h que seria o normal. Quarto muito confortável, cama king, banheiro com banheira, guarda roupa espaçoso, chaise e mesa de apoio. Ótimas roupas de cama. Café da manhã muito farto e diversificado, novo restaurante muito bonito. Ficamos no apto 1691 e o único ponto negativo é a acústica. Se ouve tudo do corredor e do quarto ao lado, principalmente quando se está no banheiro. Mas voltaria!"
abr. de 2022,5,Hotel bem transado.,"Desde a recepção no check-in até café da manhã e restaurante atendimento muito Cortez. As instalações do hotel estão em bom estado de conservação principalmente o restaurante Terraço, é muito bonito. O apto é tamanho muito bom e o banheiro bem legal também. Nota 10 pra roupa de cama."
mar. de 2022,5,Hotel de Categoria Internacional. Serviço por Excelência!,"Hotel de categoria internacional. Serviço por excelência! Desde o check-in impecável, com funcionários treinados para dar as boas-vindas aos hóspedes com respeito, classe e muita cortesia. Fomos atendidos pela recepcionista DANI, uma super-profissional que não mediu esforços para atender nossas necessidades, provendo um early check in com uma simpatia e carinho inigualáveis! Já no apartamento constatamos a decoração de classe, camas perfeitas, toalhas limpíssimas e serviço de quarto impecável. Este é o hotel PERFEITO: Esqueça HILTON ou L'HOTEL. Se você quer ser atendido com classe, respeito e cortesia que você merece, este é o hotel para se hospedar em São Paulo."
mar. de 2022,5,Experiência espetacular,"Nos hospedamos dia 5/03 no hotel para celebrar o aniversário do meu marido. Já no check in ganhamos um upgrade, o que já achamos muito especial . Saímos para jantar e quando voltamos tinha bolo e refrigerante em nosso quarto. Ficamos encantados com o atendimento, em especial do Cleiton na recepção e de toda equipe que fez nossa experiência no hotel ser única e espetacular."
fev. de 2022,5,Bodas de prata,"Hotel espetacular, todos os funcionários são atenciosos e gentis. Minha bodas de prata foi mágica, inesquecível. Agradeço a toda equipe maravilhosa que ajudou na preparação com meu marido. Adriana, Carol, Mariana e Vinicius, vcs são demais, só tenho que agradecer muito por tanto carinho demonstrado a nós, obrigada de coração! São demais de atenciosos, pessoas com coração gigante, lotado de amor, compreensão, carinho etc. restaurante maravilhoso, excelente atendimento, sempre com muita alegria! Amei o café da manhã, enfim tudo é perfeito! Agradeço imensamente pela surpresa que vcs fizeram pra nós! Foi inesquecível! Todo hotel está de parabéns, equipes muito bem preparadas para ligar com o público. Me senti acolhida por vcs. Obrigada mais uma vez!"
fev. de 2022,3,Brunch já não é mais o mesmo…,"Um tanto decepcionada com mudanças que ocorreram no brunch, que para mim sempre foi o melhor de São Paulo!  Ficamos 4 anos sem ir…  Impressionante como reduziram a variedade de frios (que antes incluía presunto parma, salmão defumado, queijo brie…), opções de bolos (apenas 1 bolo caseiro como opção) e doces (que antes eram divinos e variados)… A variedade de pratos quentes tbm mudou e foi reduzida.  A tapioca também feita às pressas, com recheio ainda cru, e queijo sem derreter, também não agradou.  Uma pena!"
jan. de 2022,5,HOTEL MARAVILHOSO!,"Hotel muito requintado. Tem um maravoilhoso café da manhã com atendimento dos garçons que são maravilhosos (entre eles, Allan, Otavio e todos os que me atenderam) e extremamente gentis. Fazem o impossivel para agradar.  O atendimento é um dos melhores de todos os hotéis que já fiquei. Quartos aconchegantes, com edredons fofos e enxoval todo em algodão branco.  Vista maravilhosa da cidade. Localização extremamente privilegiada."
jan. de 2022,4,Ótimo hotel 5 estrelas mas que precisa de algumas melhorias,"O hotel está muito bem localizado nos Jardins e tanto o predio como o hall de entrada já impressionam pela beleza e elegância na decoração. Os funcionários são extremamente gentis, desde o check in. Infelizmente não me lembro do nome da moça do lobby, mas ela foi muito educada. Fomos com nosso pet e ele foi muito bem tratado, com especial atenção do funcionário Ari e com kit pet completo no quarto, com caminha, tigelas, tapete higiênico, brinquedo e mantinha. O quarto tinha um tamanho bom e com cama bem confortável. Eu e meu marido estávamos comemorando uma data especial e nos fizeram uma surpresa no quarto, com champanhe e frutas. Ficamos muito felizes com essa gentileza. O spa do hotel tb é maravilhoso, e a sauna e jacuzzi estão disponíveis sem taxas para os hospedes e vale muito a pena. Eu tb aproveitei pra fazer uma massagem que, apesar de não ser barata, é excelente e eu recomendo. Optamos pelo quarto com acesso ao Club Lounge e, na minha opinião apresenta um otimo custo-benefício. Qdo vc opta por esse serviço, tem acesso a um lounge com bebidas e comidinhas. Como era sábado, teve um happy hour no lounge, com um buffet variado e bebidas alcoólicas e não alcoólicas. Tudo bem gostoso.  Café da manhã também impecável. Os melhores ovos beneditinos da cidade!  Claudia que trabalha no Spa e Claudete e Bruno da parte gastronômica foram muito atenciosos com a gente, e só tenho a agradecer por todo o carinho e cordialidade no atendimento.  Agora minhas críticas ao hotel: o serviço deixa muito a desejar para um hotel 5 estrelas e que não é barato. Fica claro que faltam funcionarios.  Na área de piscina, demoramos pra ser atendidos e nossos drinks e petisco também demoraram pra chegar. Petisco excelente, mas drinks não muito bons.  Inclusive, essa é uma das minhas maiores críticas. O hotel tem um bar grande no lobby e a carta de bebidas disponível através de QR Code é extremamente pobre em opções. Tivemos que pedir pro barman fazer os drinks de nossa preferência e que não estavam no cardápio. E muitas vezes os drinks não vieram com a qualidade desejada . Pra mim isso é uma falha grave, pelo preço que cobram por um cocktail.  O jantar no restaurante japones, que tb fica no lobby, não foi muito agradável. O local a noite estava extremamente barulhento e faltavam funcionários para tanta demanda. Acrescente-se ao barulho a musica ao vivo, que apesar de ótima, foi prejudicada pela acústica do local.  Por fim, faltam amenidades no quarto. No banheiro tinha apenas o basico, como shampoo, condicionador e hidratante. Não tinha nem uma touca de cabelo.  E deixo como sugestão que vcs disponibilizem alguma área no hotel para quem vai com o pet. O hotel é enorme, e talvez vcs pudessem pensar num espaço para que a gente possa, por exemplo, poder fazer nossas refeições com nossos filhos de 4 patas.  A experiência, no todo, foi bem agradável, em especial pela cordialidade do staff e pela boa comida servida. Mas acho que, para um hotel com diária media de mil reais, vcs ainda podem sim fazer alguns ajustes e entregar uma experiência ainda melhor."
jan. de 2022,5,Já deixo saudades !,"Lugar perfeito ! Ambiente top ! Garçon bruno no atendeimento nos sentimos em ksa ! Simpatia educação e muito dedicado em proporciona o melhor que tem a oferecer ! Fez nossa noite fantastica ! #GratidãoBruno  Ambiente show,musica agradevel, petisco oferecido pelo Bruno prato de frios top ! Já quero voltar !"
jan. de 2022,5,BRUNCH espetacular,"O brunch do hotel é excepcional. Funciona entre 12h e 15h com uma variedade de alimentos tanto de café da manhã quanto de almoço incluso no valor. Destaque especial para os atendimentos do Allan, Andreia, Ana, Sávio e Patrícia. Celebrei meu aniversário e foi inesquecível. A decoração do restaurante é muito boa também, muito instagramavel e cheio de plantas."
jan. de 2022,1,Fui destratada em plena noite de ano novo pelo supervisor do Sushi Bar!,"Estava aguardando o início da festa de ano novo ontem e fiz um pedido no restaurante do hotel. Não havia mesas, então fui acomodada no sofá. Quando uma mesa desocupou, o garçom disse que eu poderia ir para lá. Limpou a mesa e me sentei. Aí chegou um funcionário se dizendo arrogantemente “supervisor”, pedindo para eu ME RETIRAR pois teria que reservar a mesa. Isto mesmo, eu já estava SENTADA, consumindo, e tive que me levantar, com a minha bebida, sem ser acomodada em nenhum outro lugar para outras pessoas sentarem! Perguntei diversas vezes onde me sentaria, e ele não respondeu, sendo que eu havia pedido uma refeição e já estava com a bebida. Indignada, fui até a recepção e fiz uma reclamação. O concierge providenciou uma mesa para mim, mas nada vai apagar a humilhação de eu, como mulher, ter sido tratada com extrema deselegância por um funcionário de um hotel que se diz 5 estrelas, em plena noite de ano novo!!!"
dez. de 2021,5,Experiência ótima,"O hotel tem o principal, atendimento e cuidado com o hóspede, ainda estamos hospedados no 1417 e desde que chegamos só temos que elogiar o atendimento e o carinho com a nossa família, chegamos no dia do aniversário do meu filho e foi colocado um mimo pra ele no quarto com saudações pelo seu aniversário, para minha filha foi montada uma barraca de unicórnio e ela ficou encantada, o café da manhã é maravilhoso, um dos melhores que já provamos, e o destaque vai para o Fabio e a Ana que toda manhã são uns amores com a gente! A única coisa que o hotel pode melhorar seria a instalação de ducha higiênica no banheiro, pois no nosso apartamento ainda tem bide, somente isso seria uma sugestão para melhoria o restante está excelente portanto voltaria a me hospedar sim"
dez. de 2021,5,Experiência Primorosa e inesquecível!,Experiência PRIMOROSA! Serviço impecável! Em especial o atendimento incrível e maravilhoso de Vinícius Doraciotto do Club Level que tornou a nossa experiência simplismente inesquecível! Parabéns a Luciana Gomes e Ana Claudia do Club Lounge e a gerente Adriana Seguin. Recomendadíssimo! Amamos!!!!
nov. de 2021,5,Hotel Sensacional e Excelente atendimento,"As instalações do hotel são muito boas, limpas e impecáveis. Além disso, um ponto fundamental é o atendimento e a atenção com o hóspede e com a sua experiência durante a estadia. Posso destacar a Cássia da Recepção com atendimento excepcional. Aproveitamos e fomos assitir a uma peça no Teatro Renaissance com a comodidade de ficar junto com o hotel. A localização é ótima ao lado da Av Paulista e na região tem shoppings, lojas e restaurantes."
nov. de 2021,5,Ótima Experiência,"O hotel é mesmo muito bom. Localizado a 01 quadra da Av Paulista e curta distancia a pe de lojas, restaurantes shoppings, metrô, ônibus, enfim SP ao seu dispor ,  Lobby imenso e lindo, renovado, um bar central, pequeno restaurante Sushi a direita e ao fundo uma linda sala com sofas e poltronas confortáveis com tvs. Os serviços sao cordiais, Elevadores muito rápidos , Quartos confortáveis, banheiro grande e amenities da marca do hotel ( apenas ok) ..Academia moderna .  Cafe da manha nao esta sendo oferecido no bonito restaurante Terraço por motivo de reforma, mas a qualidade e variedade continua a mesma.  Porque nem tudo são flores o problema ( e sem pre foi assim...pois ja me hospedei outras vezes ou sera politica americana da rede?), o balcão de check in é o local onde voce pratica sua paciência. Com 04 posições de atendimento , nos 04 dias que me hospedei no hotel o máximo que vi foram 02 atendentes...Sempre 01 e depois aparece outro funcionário de uma porta lateral . Filas e filas imensas...aquele inconveniente . Ë um problema com chave que nao funciona no elevador ou quarto, É uma informação necessária, ë uma ajuda e la vai voce para aquela fila imensa. Nao vou entender isto. Claro que quando voce finalmente é atendido o funcionário e tao simpatico e gentil que vc esquece o tempo de espera.  Olá Renaissance este hotel e imenso e merece 04 pessoas posicionadas lá  E, sim voltaria sem duvidas ao hotel"
out. de 2021,5,"Experiência espetacular, comida fresca e saborosa. Atendimento excepcional em um ambiente aconchegante.","Experimentei o menu degustação do Living Lounge bar& Sushi e alguns drinks no bar. A experiência no sushi foi excepcional, os pratos do chef Vitor e Renato fizeram toda a diferença, ingredientes muito frescos e combinações espetaculares. No bar a experiência não foi diferente, atendimento perfeito, em especial do garçom Bruno Taveira, com drinks incríveis. Recomendo 100%. Voltarei mais vezes."
out. de 2021,5,otimo hotel,"desde a recepção ao chegar com uma equipe atenciosa , você é recebido com um espumante , um astral muito bom no lobby com um lindo bar e um restaurante de sushi excelente . o quarto espaçoso , ótimo banheiro , o chuveiro poderia se mais forte e concentrada a ducha , mas é amplo e iluminado . a cama é uma situação a parte daquelas que te abraça e é dificil de sair , e ótimo sistema de blackout . cafe da manha espetacular , comi ovos benedict no ponto perfeito. recomendo e sem duvidas retornarei"
