Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Posse de Lula!!!!,"Excelente hotel, com muita segurança, ótima localização, alimentação maravilhosa e impecável, atendimento perfeito! Parabéns!!!! Não entendemos a TripAdvisor exigir 200 carácteres para informarmos nossas impressões do hotel."
28 de dez.,5,Uma experiência marcante para as crianças,"O hotel Gran Mercure tem uma equipe extremamente preparada para atender, seja em viagem de negócio como viagem de passeio em família ! Recentemente tive uma experiência fantástica com minha família. Desde o check in onde fui muito bem acolhido pelo Sr John até o momento do check out, a equipe cuidou para que pudéssemos ter uma excelente hospedagem ."
28 de dez.,5,MOMENTOS COM CHEIROS E SABORES QUE LEVAREMOS PARA A VIDA.,"Foi uma experiência ímpar, recomendo a experiência, uma tenção maravilhosa, cheiros e sabores inesquecíveis! GRATO Rogério!!! A festa do parabéns foi uma festa ! Adoramos!!!! Atendimento sem igual. Uma atenção de outro mundo."
27 de dez.,5,Desejo voltar,"Fui muito bem recepcionada no check in, pessoas preparadas, quarto muito bom, boa localização, com uma vista maravilhosa chuveiro maravilhoso, café da manhã delicioso com atendimento especial do Júnior, que nós apresentou tudo com muita atenção."
27 de dez.,5,Desejamos retornar,"Obrigado a todo time do hotel, desde a recepção nos detalhes, nos deixou bastante a vontade, destaque para o café da manhã, onde onde nossa experiência foi nota 10, obrigado ao Júnior ótimo atendimento."
24 de dez.,5,Restaurante Capim Dourado,"Comida muito boa, atendimento excelente. Reposição continua dos alimentos no buffet. Limpeza das mesas sempre.  Parabéns aos envolvidos para proporcionar o café da manhã do Hotel Grand Mercure Brasília."
23 de dez.,5,Hotel muito bom,"Profissional José Paulo foi o grande destaque nos ajudando já na recepção, estávamos com crianças e ele foi muito solícito e proativo nós ajudando até a instalação no quarto. Parabéns a este profissional. Excelente hospedagem, café da manhã poderia ser mais surpreendente pela expectativa da rede grand Mercure, mas foi razoável."
23 de dez.,5,Restaurante TOP,Restaurante espetacular  Sebastião é nota 10!  Atendimento excelente. Profissionais super atenciosos e comida saborosa e com linda apresentação.  O chef também super atencioso.  A moqueca de peixe é a melhor que já comi!  O ambiente acolhedor e com profissionais super simpáticos.  Tivemos uma experiência espetacular!
18 de dez.,3,Não volto e não recomendo.,"Qualidades: super bem localizado, quarto amplo e decoração moderna, amenities l'occitane (suíte categoria deluxe), café da manhã bom.  Problemas: atendimento na recepção ruim, limpeza do quarto deixa muito a desejar, corredor dos quartos de carpete com cheiro ruim, ar-condicionado barulhento e com luz incômoda e o principal defeito, o colchão. A impressão que tenho é que o colchão é muito velho, cheio de buracos, tive uma péssima noite e levantei cheia de dores. Por esse motivo eu não volto e não recomendo."
16 de dez.,5,Esse café tem um croissant 👌🏻,"O hotel tem uma recepção cuidadosa, ornamentação e decoração bonitas. Limpeza também, muito boa! O café da amanhã tem frutas diversas, estavam maduras e doces. Vários bolos, o de tapioca amei! Vários pães, o croissants tradicional e de chocolate são maravilhosos! Sucos variados, o detox estava com gengibre, um xuá! Também preparan ovos mexidos, tapiocas e omeletes feitos na hora e com recheios a sua escolha. Gostei da qualidade."
