Data da opinião,Nota,Título,Conteúdo
27 de dez.,5,Surpreendeu!,"Tudo muito limpo, arrumado, atendimento excelente, e a comida muito boa mesmo. Camareiras atenciosas, localização excelente, com shopping ao lado, o que facilitou a estadia. Piscina ótima com raia. A academia pode melhorar."
17 de dez.,5,Excelente opção em Brasília,"Excelente acomodação. Instalações novas. Quarto amplo com área de trabalho separada. Limpeza impecável. Toaleteria completa (shampoo, sabonete, hidratante corporal, touca, lenço de papel e kit para lustrar sapato. Apenas o secador de cabelo oferecido deixou a desejar por ser muito fraco. Café da manhã farto e delicioso. Localização privilegiada em frente ao Brasília Shopping."
13 de dez.,4,Localização excelente,"Proporciona acesso fácil à Esplanada dos Ministérios e a boa parte dos pontos turísticos principais de Brasília, restaurantes, cafés e shoppings. Por estar exatamente em frente ao Brasília Shopping, é muito conveniente para quem quer evitar muitos deslocamentos para as refeições ou eventuais compras. Bom atendimento e camas muito confortáveis. O café da manhã poderia ser um pouco melhor, mas segue o padrão dos hotéis de preço similar."
11 de dez.,5,Café da manhã diferenciado,"A gentileza do Rafael no receptivo e no check-out foi exemplar. A variedade de itens no café da manhã também é um diferencial do hotel, pois a diária nem é tão cara. Apartamentos limpos e funcionais, apesar de não tão grandes. Piscina e academia acanhadas"
nov. de 2022,5,ÓTIMA ESTADIA,excelente atendinento ... desde o check in ate a estadia. Ótimo cafe da manha ... quarto ótino e tudo bem organizado. Fico semprr neste hotel. Ambiente tranquilo e sossegado. Ótimo cafe da manha. Parabens !
nov. de 2022,4,Ótimo hotel,"Ótimo café da manhã. Atendentes muito educados e chuveiro bom. Eu sempre fico nesse hotel e fico satisfeita. Ele é bem localizado, fica perto do shopping e isso facilita. Tem um funcionário que leva as malas que é o maia educado de todos"
out. de 2022,5,Aconchegante,"O hotel é muito limpo, quartos vem atrativos e o café da manhã é muito gostoso, muitas variedades e opções. Recepção prestativa e piscina agradável apesar de não ser aquecida tem uma temperatura agradável. Com certeza voltaria para esse hotel."
out. de 2022,5,Excelente hotel,"Café da manhã maravilhoso, hotel lindo e confortável, cama e lençóis muito bom… achei o atendimento maravilhoso também, vista dos quartos são bacanas, a experiência no geral foi excelente, devido ao meu tempo não consegui visitar a área de piscina e academia."
out. de 2022,4,Avaliação Geral,"A estrutura do hotel é muito boa. Ótimas instalações, quarto limpo, com cama boa e ótimo espaço. O restaurante, onde serve-se o café da manhã é muito bonito e bem organizado. Uma variedade bem grande de alimentos no café da manhã. Atendimento da recepção excelente, principalmente do Rafael - muito detalhista nas explicações e com uma boa vontade em nos ajudar que foi um diferencial.    Piscina, sauna e academia são muito boas.    A localização é top demais. Atravessamos a rua e estamos em um shopping com ótimas opções de atividades e restaurantes. Do hotel para os principais pontos turísticos de Brasília, era um tempo máximo de 10 minutos.    Gostamos demais de nossa estadia e em um retorno a Brasília, o Cullinan Hplus Premium será nossa primeira opção para hospedagem. A relação custo x benefício é muito vantajosa."
out. de 2022,5,Excelente,"Higiene localização e café da manhã diversificado com uma excelente tapioca, atendimento de primeira qualidade de todos desde o atendimento até às camareiras,roupas de cama super limpas e macias, voltaremos mais vezes eu e a minha esposa"
out. de 2022,5,Sempre impecável! Nunca decepciona!,"Ficar no Cullinan é sempre satisfação garantida.  Hotel sempre impecável, na limpeza, alimentação, conforto e principalmente atendimento.  Funcionários sempre atenciosos, solícitos, e disponíveis para ajudar.  Dessa vez gostaria de dar um destaque especial para o Jesiel que foi um querido conosco, sempre de bom humor e o Edivan, extremamente educado, atencioso e uma pessoa agradável e de bem com a vida!  O café da manhã sempre ótimo! Com certeza no TOP dos cafés de Brasília!  Apto muito limpo! Enfim tudo ótimo! Sempre que vou a Brasília a negócios me hospedo lá!"
out. de 2022,5,Ótima experiência!,"O hotel tem uma estrutura muito boa e uma equipe muito atenciosa! Funcionários gentis e prestativos, com destaque para os recepcionistas Rafael e Edivan. Adoramos a experiência e recomendamos a hospedagem."
out. de 2022,5,Fim de semana casal,"Os empregados são atenciosos, gentis, prestativos. Higiene impecável. Amenities L'Occitane, outros mimos. Café da manhã com muita variedade. Localização excelente. Vista da cidade é linda.  Voltaremos."
set. de 2022,5,Comemoração de aniversário,"Estivemos hospedados no nosso aniversário de namoro. Nunca vi tanto carinho em preparar um noite especial pra gente (água, chocolates).  Muita cordialidade, atenção e cuidado.  Parabéns à toda equipe. Obrigada mais uma vez. Esperamos voltar em breve."
set. de 2022,5,Excelente,"Tudo superou o esperado.  Hotel com boa higienização, quarto amplo, boas opções de comida para serviço de quarto, piscina consideravelmente grande (achei que fosse menor, devido a foto), todos os funcionários de extrema educação, café da manhã uma delícia, com várias opções e funcionários limpando e atendendo a todo momento.  Não sei se foi o tipo de quarto que selecionei na reserva, mas em meu quarto havia chaleira elétrica, chás e ferro a vapor, como diferencial.  Fui a trabalho e ficaria também a lazer.  Próximo a vários pontos turisticos e em frente a um shopping."
set. de 2022,5,Hotel Excelente,"Fui em Brasília e tive uma experiência muito agradável! Hotel tem varias pontos positivos e nenhuma crítica. Começando pelo café da manhã: uma variedade enorme de comidas, entre frutas, cereais, pães, bolos, sucos, chá, proteínas, laticínios, ou seja tudo o que gosta de comer encontrará. Mesmo para intolerantes a lactose existe variedade.  Depois vamos para o quarto: fiquei em um quarto triplo, a cama é muito confortável, mas não ganha do travesseiro que excelente qualidade, edredom bem quentinho e macio, quarto limpo e bem organizado, com muito espaço de armazenamento, entre guarda-roupa, cômodas, mesa de escritório, pia, frigobar com bebidas variadas, além dos mimos que ganhamos, que foram duas águas sem gás e um chocolate, o quarto também tem disponível umidificador, que foi muito utilizado todo o tempo que estivemos lá. O banheiro não fica para trás, com chuveiro quente e água forte, disponibilizaram shampoo, condicionador, loção hidratante, touca para banho, lenço, lustrador de sapatos e sabonete. As únicas queixas foram o ralo da pia do banheiro que estava quase entupido e a porta do banheiro que não estava trancando, mas que não atrapalhou em nada a minha estadia.  Eu não consegui ir até a piscina, então não posso opinar sobre."
set. de 2022,5,Perfeito,"Hotel me surpreendeu, tudo perfeito, funcionários educados, café da manhã delicioso e muito variado, quarto amplo, bem cuidado e com limpeza impecável, bem localizado, próximo a shopping e a esplanada dos ministérios.Recomendo demais o hotel."
set. de 2022,5,Reuniões,Pessoal de serviços e atendentes muito prestativos e simpáticos. Café da manhã e almoço a lacarte excelentes. Hotel muito limpo no geral. Piscina também bem limpa. So o colchão que estava um pouco deformado.
set. de 2022,5,ótima localização e relação custo/benefício.,"A suíte em quem me hospedei 1405 é bastante confortável, silenciosa e com uma vista bem bacana. Hotel muito bem localizado, equipe muito solicita e educada. Academia precisa de melhorias, mas não desmerece a qualidade do hotel."
ago. de 2022,1,Não gostei,"O hotel não condiz com o que apresenta nas fotos da internet que são altamente atrativas. Não possui serviço de manobrista, as televisões do quarto não são smart e os canais disponíveis da net são apenas os básicos. Foi necessário acionar a manutenção porque a televisão não funcionava. O ar condicionado fica ligado constantemente e não é possível mudar a temperatura porque o controle é bem antigo e não funcionava, não sendo possível sequer desligar. O café da manhã é normal, nada diferente de um hotel 2 ou 3 estrelas. Não possui serviço de bar na piscina, sendo necessário deslocar até um interfone para solicitar algo. A piscina e a academia ficam no primeiro andar, então se hospedar nesse andar é péssimo. Área da piscina possui apenas 12 cadeiras não comportando dessa forma a quantidade de pessoas que buscam a área de lazer. Várias pessoas chegavam e não tinham onde ficar e por isso acabavam indo embora. No meu caso quando cheguei não haviam os itens básicos de higiene e tive que solicitar por 2 vezes. Pelo preço cobrado deixa muito a desejar. Não vale a pena."
ago. de 2022,5,A rede Hplus ten ótimo custo benefício,"Ótima localização. Do lado do Shopping Brasília, de centros comerciais e dos melhores restaurantes da cidade. Café da manhã muito bom. Devido à época do ano, tinha itens de comida de São João. Usamos academia. Tem o básico pra um treino simples, com aparelhos bons. Voltarei a me hospedar no hotel."
ago. de 2022,1,"Horrível, não é o que mostram nas fotos. Não é um hotel 5 estrelas.","Eu tinha uma reserva para 9 noites e cancelei todas e fiquei apenas uma. O hotel não é o que mostra nas fotos. Não é muito espaçoso, os lençóis estavam sujos, pouca luz nos quartos, o banheiro era pequeno e a água quente não funcionava bem. NÃO é um hotel 5 estrelas. Suas instalações não são de um hotel 5 estrelas e nem a atenção. Mudei para um hotel que realmente é 5 estrelas e pelo mesmo preço.    Eu não recomendo."
ago. de 2022,5,Indico o hotel !,"Excelente atendimento, quartos muito bem limpos, camas confortáveis e um café da manhã muito bem servido com excelente atendimento.  Hotel bem localizado com vaga de garagem.  Acústica dos quartos excelente.  O ar condicionado também funciona muito bem !"
ago. de 2022,5,Viagem a Brasília para ver o Cruzeiro jogar no estádio Mane Garrincha.,"Ótima localização, quartos amplos, modernos e muito bem decorado. Excelente café da manhã. Funcionários muito simpáticos e bastante solícitos.  Hotel próximo aos principais pontos turísticos e enfrente ao shopping com vários restaurantes. Excelente."
ago. de 2022,5,Excelente acomodação e serviço,"Hotel excelente de forma geral, boa estrutura, tudo muito limpo, cama e travesseiros confortáveis, delicioso café da manhã com muitas variedades, e os funcionários muito educados, atenciosos e prestativos! Minha experiência foi excelente! Parabéns a toda equipe e fica meu carinho aos funcionários que foram muito atenciosos conosco. Obrigada!"
ago. de 2022,5,Excelente,"As acomodações são novas, bem decoradas, e o atendimento é impecável. Todos os funcionários foram muito solícitos, e estão bem preparados para receber o público lgbtqia+ de forma amistosa e cordial. Recomendo fortemente."
ago. de 2022,4,Boa opção para o trabalho.,"Hotel renovado com boa localização junto ao Brasília Shopping. Quarto amplo e confortável, com escrivaninha para trabalhar. Boa dormida e bom banho. Bom café da manhã e funcionários super atenciosos. A passadeira de roupas a vapor no quarto foi uma surpresa positiva. O ponto negativo foi o isolamento acústico do quarto, pois o vizinho do andar acima fez bastante barulho ao arrastar a cadeira. Sugiro colocação de protetores de pé nas cadeiras de trabalho dos quartos para evitar tal incômodo."
ago. de 2022,5,Hotel excepcional!,"Estadia impecável em todos os aspectos.  Quarto amplo e limpo. Bom mobiliário, campo espaçosa.  Café da manhã com muitas opções para todos os gostos e necessidades. Destaco a possibilidade de pedir tapiocas quentinhas na hora.  Recepção e demais funcionários muito atentos às necessidades dos clientes e dispostos a auxiliar.  Além da localização privilegiada.  Indico e pretendo retornar em breve ao hotel."
ago. de 2022,3,"Hospedagem boa, mas com uma surpresa desagradável no final.","A hospedagem foi muito boa apesar de ser rápida (viagem a trabalho), entretanto confesso que fui surpreendido no momento do check-out com a cobrança de uma ""taxa de serviço"" no valor de 10% da diária. Na minha opinião, prezando pela transparência, isso deveria ser informado no momento da reserva ou no máximo ao realizar o check-in, já que a diária e os impostos já haviam sido pagos previamente. Algumas pessoas podem não aceitar pagar a cobrança dessa taxa e gerar um desconforto no local."
ago. de 2022,5,Ótimo café da manhã,"Em frente ao shopping: basta atravessar a rua.  Café da manhã sensacional: tapioca feita na hora, vitaminas, diversos sucos, infinidade de frios, etc, etc.  Quarto para três pessoas é apertado, o de duas é ótimo; ficamos em dois quartos, em um dos quartos tinha cafeteira, nebulizador e aparelho para passar roupa, no outro não.  Chuveiro ótimo. Piscina ótima com uma comprida raia para natação. O sol incide sobre a piscina apenas de manhã, piscina com poucas mesas e cadeiras, piscina fechada as terças-feiras tarde para manutenção.  Quarto do 2o andar barulhento: havia encontro de motoqueiros na cidade e de madrugada eles estacionavam suas motos barulhentas, a isolação acústica do quarto não dava conta.  Funcionários atenciosos e educados."
jul. de 2022,5,Descanso,Bem localizado defronte ao Brasília shopping. Visita aos amigos após ter morado em Brasília por doze anos. Uma semana memorável para ser repetida se vier a a ganhar na mega sena ou algum prêmio especial.
jul. de 2022,5,Viagem,"Ótima hospedagem, cozinha maravilhosa, funcionários muito educados e higiene impecável. Recomendo esse hotel para quem estiver visitando Brasília.excelente localização, ao lado de shoppings e do centro de Brasília."
jul. de 2022,1,CUSTO/BENEFÍCIO RUIM,"Cuidado! Cobram o triplo do preço pelos produtos do frigobar. Hotel com uma fachada muito bonita, no entanto, no interior, as instalações são de um hotel comum. Quarto apertado pelo preço que cobram. É bem localizado."
jul. de 2022,5,Férias,"O Cullinan hotel é excelente, acredito que deve ser um dos melhores em Brasília.  Quarto maravilhoso, camas confortáveis, banheiro limpo, linda vista da cidade e café da manhã excepcional.  Funcionários educados e gentis.  Recomendo."
jul. de 2022,5,HOTEL BEM LOCALIZADO E COM EXCELENTE ATENDIMENTO,"Hotel próximo as principais atrações, ao lado de um Shopping, com excelente atendimento, estacionamento privado gratuito com vigia, café da manhã farto e variado, o quarto em que fiquei era pequenos mas tinha tudo o que precisávamos."
jul. de 2022,3,"Bom hotel, mas para trabalho é péssimo.","Hotel bom, quartos bons, mas como vim para Brasília trabalhar foi uma péssima experiência, a internet do hotel é uma das piores que eu já utilizei, ficava 3 o 4 horas a mais no escritório para adiantar as coisas porque no hotel não conseguir utilizar o wifi extremamente lento.."
jul. de 2022,4,Aniversário,"A agilidade e a rapidez na recepção foram excelentes. O conforto do quarto e o silêncio fez toda diferença para ter uma boa noite de sono. A única resalva (talvez em função do hotel estar muito cheio devido a um jogo de futebol na cidade) foi o café da manhã que não estava bom. Achei também a cozinha muito fraca. O prato que pedi na janta chegou totalmente frio e quando voltou estava queimado. Mas elogios aos funcionários, todos muito educados e atenciosos."
jul. de 2022,5,Late Checkout,Liberaram late checkout até as 14 hrs sem custo adicional e sem que batessem na porta ou ficassem ligando no quarto. Gentileza que nunca tinha visto antes mesmo após muitas viagens muito afora. Excelente!
jul. de 2022,5,Confortável,"Ótima localização, ao lado do Brasília Shopping. Cama confortável, ducha agradável, os lençóis são de qualidade, o ar-condicionado funciona bem, as toalhas poderiam ser mais encorpadas. Os souvenirs oferecidos são de ótima qualidade: xampú, condicionador, sabonete, chocolate, água, café e outros. A dica é não deixar para tomar café da manhã mais tarde, pode ser que todos os itens do cardápio não estejam disponíveis."
