Data da opinião,Nota,Título,Conteúdo
5 de dez.,4,Localização excelente,O hotel está muito bem localizado próximo a diversos pontos de interesse e acesso fácil. Café da manhã possui opções sem lactose e é bem completo. O quarto é amplo e possui figrobar e micro-ondas. Chuveiro com ducha excelente. Ponto negativo foi o serviço de quarto que não foi realizado.
nov. de 2022,5,Hotel confortável,"Excelente hotel, muito limpo e cheio de atendentes educados. A localização também é excelente, fica perto do Brasília shopping, torre de brasilia e estádio de futebol. Próximo também de bons restaurantes, como o Coco Bambu."
set. de 2022,5,Bom hotel :),"Me hospedei por 4 noites no hotel, e foi tudo muito bom! O hotel fica numa região muito boa, próximo ao estádio e à torre de TV. Também fica próximo ao Brasília Shopping, o ID e o Conjunto Nacional. Ao chegar, já fui muito bem recebido pelo pessoal da recepção e, por ter chegado à noite, me deram boas dicas de onde sair para jantar.    Quando entrei no quarto, me surpreendi com a limpeza e qualidade do ambiente. Como eu estava viajando sozinho, me senti numa suíte presidencial! A vista do quarto era surreal! Cama confortável, banheiro limpo, conta com tudo que você pode precisar: secador de cabelo, cofre, cafeteira, frigobar... Minha única ressalva é em relação ao chuveiro do meu quarto, que foi o 1202, que quando abre com a água quente, ela sai bem fraca, e quando abre com a água fria, o chuveiro fica bem forte. Como eu não consigo abrir mão de tomar banho quente, tomei banho todos os dias com o chuveiro fraco. Mas isso não atrapalhou a experiência.    O café da manhã é delicioso, com muitas opções de pão, frutas, frios, pratos quentes, e bebidas. Até pastel de carne tinha no café!    O hotel possui piscina e sauna na cobertura, academia no subsolo, e estacionamento coberto, com segurança. Caso cheguem no hotel de carro, evitem colocar no estacionamento na frente do hotel, pois ele é publico, e o hotel não se responsabiliza pelo que pode acontecer por lá.    Mas o diferencial do hotel foi a cordialidade dos funcionários. O pessoal da recepção, do restaurante... todos me tratavam com a maior educação. Como foi minha primeira vez em Brasília, me deram dicas de restaurantes para almoçar e jantar, locais que eu deveria conhecer antes de ir embora... Estão de parabéns pelos funcionários que tem.    Foi uma excelente viagem para uma cidade que queria muito conhecer, e com certeza o Nobile foi uma ótima parte dela :)"
jun. de 2022,4,Bom hotel,Hotel com tudo bem conservado. Quarto com divisão de flat. Banheiro e chuveiro bom. Café da manhã variado. O atendimento é muito bom também. A localização é boa para chegadas e saídas. Só no restaurante achei estranho que os pratos cheguem em isopor e papel alumínio... tipo marmita.. no quarto. Entendo a questão da Covid mas estranhei
jan. de 2022,4,Muito bom,"Instalações novas e modernas, ambiente limpo e agradável, café da manhã bastante variado e saboroso, quarto silencioso. O banheiro é super limpo e a ducha com pressão perfeita! Toalhas e jogos de cama super limpos e cheirosos, a vista também é ótima."
jan. de 2022,3,Vale conhecer.,"No check-in foi oferecido 2 opções de quarto, com a informação de que todos, 100%, estão reformados.  Achei o apto pequeno/apertado por causa do excesso de mobiliários: mesa em L, 3 cadeiras, sofá, guarda-roupas, 2 criados e cama (ap 207).  O tamanho da cama (queen) tornou a noite um pouco desagradável (casal + criança).  Cozinha: equipada com copos de vidro, xícaras de cerâmica, pratos e talheres descartáveis, frigobar (abastecido), microondas, chaleira elétrica e armários.  Banheiro: possui amenities (sabonete, shampoo, condicionador, hidratante e touca) secador e ducha higiênica. Ducha de banho ótima. Área de banho limpa (sem limo/lodo), mesmo sem ventilação (janela).  O chão em geral estava nitidamente sujo (farelos/pó).  TV a cabo com canais kids.  Bom café da manhã. Fazem tapioca e omelete a pedido, sem custo adicional, só precisa ter “sorte” para que o humor do senhor, atendente de mesa, esteja bem positivo.  Estacionanento coberto pago a parte.  O hotel fica a 2min de caminhada até o Brasília Shopping, mas a noite é bom ter bastante cuidado ao andar naquela região à pé."
jan. de 2022,5,Hotel ótimo!,"O hotel é muito bom! Com certeza eu indicaria para amigos… todos do hotel são muito solícitos, serviço de quarto rápido, café da manhã delicioso e com bastante variedade, limpeza diária, troca de toalhas diária e todos bastante educados também!"
dez. de 2021,4,Hotel aconchegante,"Passei uma diária no hotel. Instalações muitos limpas. Quarto acolhedor. café da manhã com muitas opções. Wi-fi intermitente, necessitando aumentar a capacidade. Os funcionários bastante solícitos. Recomendo."
nov. de 2021,4,Satisfação,"Hotel muito limpo, organizado, café da manhça delicioso e variado, Funcionários muito educados e prestativos. Área da academia muito limpa e arrumada, bem equipada também. Quartos amplos, cama e travesseiros confortáveis."
nov. de 2021,2,Caro pelo que oferece.,"Custo benefício ruim. Banheiro mto apertado. Ar condicionado mto barulhento, velho.  Obra nos apartamentos. Qdo cheguei, pedi um apto silencioso.me colocaram em um do lado das obras.  Sem opções vegetarianas e veganas no cardápio."
